date,avg
2021-01-02,85.00
2021-10-29,70.00
2021-10-30,66.67
2021-10-31,65.00
2021-11-01,65.00
2021-11-02,66.67
2021-11-03,86.67
2021-11-04,86.67
2021-11-05,96.67
2021-11-06,96.67
2021-11-07,96.67
2021-11-08,95.00
2021-11-09,96.67
2021-11-10,95.00
2021-11-11,96.67
2021-11-12,96.67
2021-11-13,96.67
2021-11-14,95.00
2021-11-15,96.67
2021-11-16,96.67
2021-11-17,95.00
2021-11-18,96.67
2021-11-19,96.67
2021-11-20,86.67
2021-11-21,85.00
2021-11-22,85.00
2021-11-23,86.67
2021-11-24,86.67
2021-11-25,86.67
2021-11-26,86.67
2021-11-27,96.67
2021-11-28,95.00
2021-11-29,96.67
2021-11-30,96.67
2021-12-01,96.67
2021-12-02,96.67
2021-12-03,96.67
2021-12-04,95.00
2021-12-05,95.00
2021-12-06,95.00
2021-12-07,96.67
2021-12-08,86.67
2021-12-09,95.00
2021-12-10,96.67
2021-12-11,95.00
2021-12-12,95.00
2021-12-13,76.67
2021-12-14,76.67
2021-12-15,85.00
2021-12-16,85.00
2021-12-18,86.67
2021-12-19,85.00
2021-12-20,86.67
2021-12-21,86.67
2021-12-22,76.67
2021-12-23,76.67
2021-12-24,76.67
2021-12-25,76.67
2021-12-26,75.00
2021-12-27,76.67
2021-12-28,75.00
2021-12-29,75.00
2021-12-30,85.00
2021-12-31,85.00
2022-01-01,85.00
2022-01-02,85.00
2022-01-03,86.67
2022-01-04,76.67
2022-01-05,86.67
2022-01-06,85.00
2022-01-07,86.67
2022-01-08,85.00
2022-01-09,85.00
2022-01-10,86.67
2022-01-11,85.00
2022-01-18,95.00
2022-01-19,96.67
2022-01-20,96.67
2022-01-21,95.00
2022-01-23,95.00
2022-01-24,96.67
2022-01-25,115.00
2022-01-26,76.67
2022-01-27,85.00
2022-01-28,85.00
2022-01-29,75.00
2022-01-30,75.00
2022-01-31,86.67
2022-02-01,76.67
2022-02-02,76.67
2022-02-03,85.00
2022-02-04,85.00
2022-02-05,75.00
2022-02-06,75.00
2022-02-07,76.67
2022-02-08,75.00
2022-02-09,75.00
2022-02-10,76.67
2022-02-11,76.67
2022-02-12,76.67
2022-02-13,75.00
2022-02-14,76.67
2022-02-15,76.67
2022-02-16,85.00
2022-02-17,75.00
2022-02-18,95.00
2022-02-19,95.00
2022-02-20,95.00
2022-02-21,85.00
2022-02-22,85.00
2022-02-23,85.00
2022-02-24,85.00
2022-02-25,85.00
2022-02-27,85.00
2022-02-28,86.67
2022-03-01,86.67
2022-03-02,85.00
2022-03-03,85.00
2022-03-05,85.00
2022-03-06,85.00
2022-03-07,85.00
2022-03-08,85.00
2022-03-09,85.00
2022-03-10,86.67
2022-03-11,95.00
2022-03-12,95.00
2022-03-13,95.00
2022-03-14,95.00
2022-03-15,95.00
2022-03-16,95.00
2022-03-17,95.00
2022-03-18,96.67
2022-03-19,96.67
2022-03-20,95.00
2022-03-21,95.00
2022-03-22,95.00
2022-03-23,95.00
2022-05-07,95.00
2022-05-08,95.00
2022-05-09,95.00
2022-05-10,95.00
2022-05-11,95.00
2022-07-27,155.00
2022-08-09,125.00
2022-08-10,125.00
2022-08-11,125.00
2022-08-12,125.00
2022-08-13,125.00
2022-08-14,125.00
2022-08-15,115.00
2022-08-16,110.00
2022-08-17,125.00
2022-08-18,110.00
2022-08-19,95.00
2022-08-20,86.67
2022-08-21,85.00
2022-08-22,86.67
2022-08-23,90.00
2022-08-24,86.67
2022-08-25,76.67
2022-08-26,86.67
2022-08-27,75.00
2022-08-28,75.00
2022-08-29,75.00
2022-08-30,75.00
2022-08-31,75.00
2022-09-01,65.00
2022-09-02,66.67
2022-09-03,75.00
2022-09-04,75.00
2022-09-05,110.00
2022-09-06,86.67
2022-09-07,75.00
2022-09-08,76.67
2022-09-09,75.00
2022-09-10,75.00
2022-09-11,75.00
2022-09-12,76.67
2022-09-13,75.00
2022-09-14,76.67
2022-09-15,75.00
2022-09-16,75.00
2022-09-17,65.00
2022-09-18,55.00
2022-09-19,55.00
2022-09-20,85.00
2022-09-21,75.00
2022-09-22,75.00
2022-09-23,75.00
2022-09-24,75.00
2022-09-25,85.00
2022-09-26,76.67
2022-09-27,76.67
2022-09-28,76.67
2022-09-29,76.67
2022-09-30,75.00
2022-10-01,75.00
2022-10-02,75.00
2022-10-03,85.00
2022-10-04,75.00
2022-10-06,75.00
2022-10-08,85.00
