date,avg
2019-05-31,255.00
2019-06-01,255.00
2019-06-02,255.00
2019-06-03,255.00
2019-06-04,345.00
2019-06-05,290.00
2019-06-06,275.00
2019-06-07,290.00
2019-06-08,290.00
2019-06-09,290.00
2019-06-10,305.00
2019-06-11,310.00
2019-06-12,305.00
2019-06-13,295.00
2019-06-14,305.00
2019-06-15,285.00
2019-06-16,305.00
2019-06-17,310.00
2019-06-18,240.00
2019-06-19,310.00
2019-06-20,310.00
2019-06-21,305.00
2019-06-22,310.00
2019-06-23,310.00
2019-06-24,310.00
2019-06-25,310.00
2019-06-26,315.00
2019-06-27,310.00
2019-06-28,315.00
2019-06-29,315.00
2019-06-30,315.00
2019-07-01,315.00
2019-07-02,315.00
2019-07-03,315.00
2019-07-04,315.00
2019-07-05,315.00
2019-07-06,315.00
2019-07-07,315.00
2019-07-08,315.00
2019-07-09,290.00
2019-07-10,315.00
2019-07-11,315.00
2019-07-12,310.00
2019-07-13,315.00
2019-07-14,315.00
2019-07-15,310.00
2019-07-16,310.00
2019-07-17,305.00
2019-07-18,305.00
2019-07-19,305.00
2019-07-20,305.00
2019-07-21,305.00
2019-07-22,305.00
2019-07-23,305.00
2019-07-24,305.00
2019-07-25,310.00
2019-07-26,310.00
2019-07-27,310.00
2019-07-28,310.00
2019-07-29,315.00
2019-07-30,310.00
2019-07-31,315.00
2019-08-01,315.00
2019-08-02,305.00
2019-08-03,305.00
2019-08-04,315.00
2019-08-05,315.00
2019-08-06,320.00
2019-08-07,325.00
2019-08-08,315.00
2019-08-09,315.00
2019-08-10,310.00
2019-08-11,310.00
2019-08-12,315.00
2019-08-13,315.00
2019-08-14,325.00
2019-08-15,315.00
2019-08-16,305.00
2019-08-17,315.00
2019-08-18,315.00
2019-08-19,305.00
2019-08-20,305.00
2019-08-21,315.00
2019-08-22,315.00
2019-08-23,315.00
2019-08-24,315.00
2019-08-25,315.00
2020-07-04,145.00
2020-07-05,145.00
2020-07-06,145.00
2020-07-07,145.00
2020-07-08,145.00
2020-07-09,145.00
2020-07-10,145.00
2020-07-11,145.00
2020-07-13,145.00
2020-07-14,145.00
2020-07-15,145.00
2020-07-16,145.00
2020-07-17,145.00
2020-07-18,145.00
2020-07-19,145.00
2020-07-20,145.00
2020-07-21,145.00
2020-07-22,145.00
2020-07-23,145.00
2020-07-24,145.00
2020-07-25,145.00
2020-07-26,145.00
2020-07-27,145.00
2020-07-28,145.00
2020-07-29,145.00
2020-07-30,145.00
2020-07-31,295.00
2020-08-01,295.00
2020-08-02,295.00
2020-08-03,295.00
2020-08-04,295.00
2020-08-05,295.00
2020-08-06,295.00
2020-08-07,295.00
2020-08-08,295.00
2020-08-09,295.00
2020-08-10,295.00
2020-08-11,295.00
2020-08-12,295.00
2020-08-13,295.00
2020-08-14,295.00
2020-08-15,295.00
2020-08-16,295.00
2020-08-17,295.00
2020-08-18,295.00
2020-08-19,295.00
2020-08-20,295.00
2020-08-21,295.00
2020-08-22,295.00
2020-08-23,295.00
2020-08-24,295.00
2020-08-25,295.00
2020-08-26,295.00
2020-08-27,220.00
2020-08-28,255.00
2020-08-29,290.00
2020-08-30,295.00
2020-08-31,295.00
2020-09-01,295.00
2020-09-02,295.00
2020-09-03,295.00
2020-09-04,295.00
2020-09-05,295.00
2020-09-06,295.00
2020-09-07,295.00
2020-09-08,295.00
2020-09-09,295.00
2020-09-10,295.00
2020-09-11,295.00
2020-09-12,295.00
2020-09-13,295.00
2020-09-14,295.00
2020-09-15,295.00
2020-09-16,295.00
2020-09-17,295.00
2020-09-18,295.00
2020-09-19,295.00
2020-09-20,295.00
2020-09-21,295.00
2020-09-22,295.00
2020-09-23,295.00
2020-09-24,295.00
2020-09-25,295.00
2020-09-26,295.00
2020-09-27,295.00
2020-09-28,295.00
2020-09-29,295.00
2020-09-30,295.00
2020-10-01,295.00
2020-10-02,295.00
2020-10-03,295.00
2020-10-04,295.00
2020-10-05,295.00
2020-10-06,295.00
2020-10-07,295.00
2020-10-08,295.00
2020-10-09,295.00
2020-10-10,295.00
2020-10-11,295.00
2020-10-12,295.00
2020-10-13,295.00
2020-10-14,295.00
2020-10-15,295.00
2020-10-16,295.00
2020-10-17,295.00
2020-10-18,295.00
2020-10-19,295.00
2020-10-20,290.00
2020-10-21,290.00
2020-10-22,310.00
2020-10-23,310.00
2020-10-24,310.00
2020-10-25,310.00
2020-10-26,310.00
2020-10-27,310.00
2020-10-28,310.00
2020-10-29,310.00
2020-10-30,310.00
2020-10-31,310.00
2020-11-01,295.00
2020-11-02,290.00
2020-11-03,290.00
2020-11-04,290.00
2020-11-05,290.00
2020-11-06,290.00
2020-11-07,290.00
2020-11-08,295.00
2020-11-09,290.00
2020-11-10,290.00
2020-11-11,290.00
2020-11-12,290.00
2020-11-13,290.00
2020-11-14,290.00
2020-11-15,290.00
2020-11-16,290.00
2020-11-17,290.00
2020-11-18,290.00
2020-11-19,290.00
2020-11-20,290.00
2020-11-23,290.00
2020-11-24,290.00
2020-11-25,290.00
2020-11-26,290.00
2020-11-27,290.00
2020-11-28,290.00
2020-11-29,290.00
2020-11-30,290.00
2020-12-01,290.00
2020-12-02,290.00
2020-12-03,290.00
2020-12-04,290.00
2020-12-05,290.00
2020-12-06,290.00
2020-12-07,290.00
2020-12-08,290.00
2020-12-09,290.00
2020-12-10,290.00
2020-12-11,290.00
2020-12-12,290.00
2020-12-13,290.00
2020-12-14,290.00
2020-12-15,290.00
2020-12-16,290.00
2020-12-17,290.00
2020-12-18,290.00
2020-12-19,290.00
2020-12-20,290.00
2020-12-21,290.00
2020-12-22,290.00
2020-12-23,290.00
2020-12-24,290.00
2020-12-25,290.00
2020-12-26,290.00
2020-12-27,290.00
2020-12-28,290.00
2020-12-29,290.00
2020-12-30,290.00
2020-12-31,290.00
2021-01-01,290.00
2021-01-02,290.00
2021-01-03,290.00
2021-01-04,290.00
2021-01-05,285.00
2021-01-06,295.00
2021-01-07,295.00
2021-01-08,295.00
2021-01-09,290.00
2021-01-10,290.00
2021-01-11,290.00
2021-01-12,290.00
2021-01-13,290.00
2021-01-14,290.00
2021-01-15,290.00
2021-01-16,290.00
2021-01-17,290.00
2021-01-18,290.00
2021-01-19,290.00
2021-01-20,290.00
2021-01-21,290.00
2021-01-22,290.00
2021-01-23,290.00
2021-01-24,290.00
2021-01-25,290.00
2021-01-26,290.00
2021-01-27,290.00
2021-01-28,290.00
2021-01-29,290.00
2021-01-30,290.00
2021-01-31,290.00
2021-02-01,290.00
2021-02-02,290.00
