date,avg
2013-04-18,43.00
2013-06-25,30.00
2013-06-26,33.00
2013-06-27,38.00
2013-06-28,38.00
2013-06-30,38.00
2013-07-01,30.00
2013-07-02,29.00
2013-07-03,29.00
2013-07-04,29.00
2013-07-05,33.00
2013-07-09,33.00
2013-07-10,33.00
2013-07-11,33.00
2013-07-12,33.00
2013-07-14,33.00
2013-07-15,33.00
2013-07-16,38.00
2013-07-17,38.00
2013-07-18,33.00
2013-07-19,33.00
2013-07-21,33.00
2013-07-22,30.00
2013-07-23,33.00
2013-07-24,29.00
2013-07-25,29.00
2013-07-26,29.00
2013-07-28,29.00
2013-07-29,33.00
2013-07-30,31.00
2013-07-31,33.00
2013-08-01,33.00
2013-08-02,33.00
2013-08-04,33.00
2013-08-05,33.00
2013-08-06,38.00
2013-08-07,43.00
2013-08-08,38.00
2013-08-12,23.00
2013-08-13,38.00
2013-08-14,38.00
2013-08-16,38.00
2013-08-18,33.00
2013-08-19,38.00
2013-08-20,38.00
2013-08-23,38.00
2013-08-25,39.00
2013-08-26,38.00
2013-08-27,38.00
2013-08-29,38.00
2013-08-30,38.00
2013-09-02,38.00
2013-09-03,38.00
2013-09-04,38.00
2013-09-05,38.00
2013-09-06,38.00
2013-09-08,38.00
2013-09-09,38.00
2013-09-10,38.00
2013-09-11,38.00
2013-09-12,38.00
2013-09-13,38.00
2013-09-15,38.00
2013-09-16,38.00
2013-09-17,38.00
2013-09-19,38.00
2013-09-20,38.00
2013-09-22,38.00
2013-09-23,38.00
2013-09-24,38.00
2013-09-25,38.00
2013-09-26,38.00
2013-09-27,38.00
2013-09-29,38.00
2013-09-30,38.00
2013-10-01,38.00
2013-10-02,33.00
2013-10-03,38.00
2013-10-04,38.00
2013-10-06,33.00
2013-10-07,38.00
2013-10-08,38.00
2013-10-09,38.00
2013-10-10,33.00
2013-10-11,33.00
2013-10-12,38.00
2013-10-17,38.00
2013-10-20,33.00
2013-10-21,38.00
2013-10-22,18.00
2013-10-23,38.00
2013-10-24,39.00
2013-10-25,38.00
2013-10-27,38.00
2013-10-28,38.00
2013-10-29,38.00
2013-10-30,38.00
2013-10-31,38.00
2013-11-01,39.00
2013-11-03,39.00
2013-11-04,38.00
2013-11-05,38.00
2013-11-06,39.00
2013-11-07,39.00
2013-11-10,38.00
2013-11-11,37.00
2013-11-12,38.00
2013-11-13,37.00
2013-11-14,38.00
2013-11-16,38.00
2013-11-17,38.00
2013-11-18,37.00
2013-11-20,38.00
2013-11-21,33.00
2013-11-22,38.00
2013-11-24,38.00
2013-11-25,38.00
2013-11-26,38.00
2013-11-27,38.00
2013-11-28,38.00
2013-11-29,38.00
2013-12-01,38.00
2013-12-02,38.00
2013-12-03,38.00
2013-12-04,38.00
2013-12-05,38.00
2013-12-06,38.00
2013-12-08,38.00
2013-12-09,38.00
2013-12-10,38.00
2013-12-11,38.00
2013-12-12,38.00
2013-12-13,38.00
2013-12-15,38.00
2013-12-16,38.00
2013-12-18,38.00
2013-12-19,38.00
2013-12-20,38.00
2013-12-22,37.00
2013-12-23,38.00
2013-12-24,38.00
2013-12-26,38.00
2013-12-27,38.00
2013-12-29,38.00
2013-12-31,38.00
2014-01-01,38.00
2014-01-02,38.00
2014-01-03,38.00
2014-01-05,38.00
2014-01-06,38.00
2014-01-07,38.00
2014-01-08,38.00
2014-01-09,38.00
2014-01-10,38.00
2014-01-12,38.00
2014-01-13,38.00
2014-01-14,38.00
2014-01-16,38.00
2014-01-17,38.00
2014-01-19,38.00
2014-01-20,38.00
2014-01-21,38.00
2014-01-22,38.00
2014-01-23,38.00
2014-01-24,38.00
2014-01-26,37.00
2014-01-27,38.00
2014-01-28,38.00
2014-01-29,38.00
2014-02-02,38.00
2014-02-03,38.00
2014-02-04,38.00
2014-02-05,38.00
2014-02-06,38.00
2014-02-07,38.00
2014-02-09,38.00
2014-02-10,38.00
2014-02-11,38.00
2014-02-12,38.00
2014-02-13,48.00
2014-02-14,48.00
2014-02-16,48.00
2014-02-17,48.00
2014-02-18,48.00
2014-02-20,48.00
2014-02-21,48.00
2014-02-23,48.00
2014-02-24,48.00
2014-02-25,48.00
2014-02-26,48.00
2014-02-28,48.00
2014-03-03,48.00
2014-03-05,48.00
2014-03-06,48.00
2014-03-07,48.00
2014-03-09,39.00
2014-03-10,39.00
2014-03-11,39.00
2014-03-12,41.00
2014-03-13,43.00
2014-03-14,39.00
2014-03-17,39.00
2014-03-18,39.00
2014-03-19,39.00
2014-03-20,39.00
2014-03-21,39.00
2014-03-23,39.00
2014-03-24,39.00
2014-03-25,39.00
2014-03-26,43.00
2014-03-27,39.00
2014-03-28,39.00
2014-03-31,34.00
2014-04-01,42.00
2014-04-02,48.00
2014-04-03,43.00
2014-04-04,48.00
2014-04-06,53.00
2014-04-07,44.00
2014-04-09,48.00
2014-04-10,48.00
2014-04-11,48.00
2014-04-13,48.00
2014-04-15,43.00
2014-04-16,43.00
2014-04-17,43.00
2014-04-18,47.00
2014-04-20,47.00
2014-04-21,46.00
2014-04-22,47.00
2014-04-23,47.00
2014-04-25,47.00
2014-04-27,47.00
2014-04-28,58.00
2014-04-29,58.00
2014-04-30,58.00
2014-05-02,58.00
2014-05-04,57.00
2014-05-05,58.00
2014-05-06,58.00
2014-05-07,57.00
2014-05-08,58.00
2014-05-09,58.00
2014-05-11,57.00
2014-05-12,58.00
2014-05-13,58.00
2014-05-15,58.00
2014-05-16,57.00
2014-05-18,58.00
2014-05-19,58.00
2014-05-20,58.00
2014-05-21,58.00
2014-05-22,58.00
