date,avg
2021-01-02,275.00
2021-10-29,250.00
2021-10-30,275.00
2021-10-31,275.00
2021-11-01,275.00
2021-11-02,233.33
2021-11-03,225.00
2021-11-04,233.33
2021-11-05,233.33
2021-11-06,233.33
2021-11-07,225.00
2021-11-08,275.00
2021-11-09,275.00
2021-11-10,283.33
2021-11-11,283.33
2021-11-12,283.33
2021-11-13,275.00
2021-11-14,275.00
2021-11-15,283.33
2021-11-16,275.00
2021-11-17,275.00
2021-11-18,283.33
2021-11-19,275.00
2021-11-20,275.00
2021-11-21,275.00
2021-11-22,283.33
2021-11-23,275.00
2021-11-24,283.33
2021-11-25,275.00
2021-11-26,275.00
2021-11-27,275.00
2021-11-28,275.00
2021-11-29,283.33
2021-11-30,275.00
2021-12-01,275.00
2021-12-02,275.00
2021-12-03,283.33
2021-12-04,275.00
2021-12-05,275.00
2021-12-06,275.00
2021-12-07,275.00
2021-12-08,275.00
2021-12-09,275.00
2021-12-10,275.00
2021-12-11,275.00
2021-12-12,275.00
2021-12-13,275.00
2021-12-14,275.00
2021-12-15,325.00
2021-12-16,325.00
2021-12-18,325.00
2021-12-19,325.00
2021-12-20,333.33
2021-12-21,333.33
2021-12-22,325.00
2021-12-23,325.00
2021-12-24,325.00
2021-12-25,325.00
2021-12-26,325.00
2021-12-27,325.00
2021-12-28,325.00
2021-12-29,325.00
2021-12-30,325.00
2021-12-31,275.00
2022-01-01,275.00
2022-01-02,275.00
2022-01-03,275.00
2022-01-04,275.00
2022-01-05,275.00
2022-01-06,275.00
2022-01-07,325.00
2022-01-08,325.00
2022-01-09,325.00
2022-01-10,325.00
2022-01-11,325.00
2022-01-12,375.00
2022-01-13,375.00
2022-01-14,375.00
2022-01-15,383.33
2022-01-16,375.00
2022-01-17,375.00
2022-01-18,375.00
2022-01-19,375.00
2022-01-20,375.00
2022-01-21,375.00
2022-01-22,375.00
2022-01-23,375.00
2022-01-24,375.00
2022-01-25,375.00
2022-01-26,375.00
2022-01-27,375.00
2022-01-28,375.00
2022-01-29,375.00
2022-01-30,375.00
2022-01-31,375.00
2022-02-01,375.00
2022-02-02,375.00
2022-02-03,375.00
2022-02-04,375.00
2022-02-05,425.00
2022-02-06,450.00
2022-02-07,425.00
2022-02-08,425.00
2022-02-09,425.00
2022-02-10,450.00
2022-02-11,450.00
2022-02-12,450.00
2022-02-13,450.00
2022-02-14,450.00
2022-02-15,450.00
2022-02-16,450.00
2022-02-17,450.00
2022-02-18,450.00
2022-02-19,450.00
2022-02-20,450.00
2022-02-21,450.00
2022-02-22,450.00
2022-02-23,450.00
2022-02-24,450.00
2022-02-25,450.00
2022-02-27,450.00
2022-02-28,475.00
2022-03-01,450.00
2022-03-02,450.00
2022-03-03,450.00
2022-03-05,450.00
2022-03-06,450.00
2022-03-07,450.00
2022-03-08,475.00
2022-03-09,450.00
2022-03-10,450.00
2022-03-11,450.00
2022-03-12,450.00
2022-03-13,450.00
2022-03-14,450.00
2022-03-15,475.00
2022-03-16,450.00
2022-03-17,475.00
2022-03-18,475.00
2022-03-19,483.33
2022-03-20,475.00
2022-03-21,475.00
2022-03-22,475.00
2022-03-23,475.00
2022-03-24,475.00
2022-03-25,475.00
2022-03-26,475.00
2022-03-27,475.00
2022-03-28,475.00
2022-03-29,475.00
2022-03-30,475.00
2022-03-31,475.00
2022-04-01,525.00
2022-04-02,475.00
2022-04-03,475.00
2022-04-04,475.00
2022-04-05,475.00
2022-04-06,475.00
2022-04-07,475.00
2022-04-08,475.00
2022-04-09,475.00
2022-04-10,475.00
2022-04-11,475.00
2022-04-12,475.00
2022-04-13,475.00
2022-04-14,475.00
2022-04-15,475.00
2022-04-16,475.00
2022-04-17,475.00
2022-04-18,475.00
