date,avg
2013-04-15,29.00
2013-04-16,29.00
2013-04-17,33.00
2013-04-18,33.00
2013-04-21,33.00
2013-04-22,33.00
2013-04-23,35.00
2013-04-25,38.00
2013-04-26,38.00
2013-04-28,38.00
2013-04-29,38.00
2013-04-30,38.00
2013-05-02,43.00
2013-05-03,43.00
2013-09-29,95.00
2013-09-30,95.00
2013-10-01,95.00
2013-10-02,95.00
2013-10-04,85.00
2013-10-07,95.00
2013-10-08,95.00
2013-10-09,95.00
2013-10-10,95.00
2013-10-11,95.00
2013-10-20,75.00
2013-10-21,65.00
2013-10-22,65.00
2013-10-23,65.00
2013-10-24,75.00
2013-10-25,75.00
2013-10-28,95.00
2013-10-29,85.00
2013-11-03,95.00
2013-11-04,95.00
2013-11-10,85.00
2013-11-11,85.00
2013-11-12,95.00
2013-11-22,95.00
2013-11-24,85.00
2013-11-25,78.00
2013-11-26,85.00
2013-11-27,85.00
2013-11-28,85.00
2013-11-29,85.00
2013-12-01,78.00
2013-12-02,75.00
2013-12-03,75.00
2013-12-04,78.00
2013-12-05,85.00
2013-12-06,75.00
2013-12-08,75.00
2013-12-09,75.00
2013-12-10,65.00
2013-12-11,65.00
2013-12-12,65.00
2013-12-13,67.00
2013-12-15,75.00
2013-12-16,65.00
2013-12-18,75.00
2013-12-19,58.00
2013-12-20,55.00
2013-12-22,58.00
2013-12-23,48.00
2013-12-24,58.00
2013-12-26,65.00
2013-12-27,63.00
2013-12-29,55.00
2013-12-31,63.00
2014-01-01,63.00
2014-01-02,58.00
2014-01-03,58.00
2014-01-05,58.00
2014-01-06,58.00
2014-01-07,58.00
2014-01-08,58.00
2014-01-09,53.00
2014-01-10,58.00
2014-01-12,53.00
2014-01-13,48.00
2014-01-14,58.00
2014-01-16,53.00
2014-01-17,48.00
2014-01-19,39.00
2014-01-20,39.00
2014-01-21,39.00
2014-01-22,38.00
2014-01-23,39.00
2014-01-24,33.00
2014-01-26,38.00
2014-01-27,38.00
2014-01-28,33.00
2014-01-29,38.00
2014-02-02,33.00
2014-02-03,38.00
2014-02-04,38.00
2014-02-05,38.00
2014-02-06,38.00
2014-02-07,33.00
2014-02-09,33.00
2014-02-10,33.00
2014-02-11,33.00
2014-02-12,38.00
2014-02-13,38.00
2014-02-14,38.00
2014-02-16,39.00
2014-02-17,39.00
2014-02-18,38.00
2014-02-20,39.00
2014-02-21,33.00
2014-02-23,43.00
2014-02-24,38.00
2014-02-25,37.00
2014-02-26,38.00
2014-02-28,38.00
2014-03-03,38.00
2014-03-05,43.00
2014-03-06,38.00
2014-03-07,38.00
2014-03-09,39.00
2014-03-10,38.00
2014-03-11,38.00
2014-03-12,38.00
2014-03-13,39.00
2014-03-14,39.00
2014-03-17,38.00
2014-03-18,38.00
2014-03-19,38.00
2014-03-20,38.00
2014-03-21,38.00
2014-03-23,38.00
2014-03-24,38.00
2014-03-25,38.00
2014-03-26,23.00
2014-03-27,19.00
2014-03-28,19.00
2014-03-31,34.00
2014-04-01,29.00
2014-04-02,29.00
2014-04-03,29.00
2014-04-04,32.00
2014-04-06,29.00
2014-04-07,26.00
