date,avg
2013-04-15,75.00
2013-04-16,74.00
2013-04-17,75.00
2013-04-18,78.00
2013-04-21,78.00
2013-04-22,78.00
2013-04-23,78.00
2013-04-25,78.00
2013-04-26,78.00
2013-04-28,78.00
2013-04-29,78.00
2013-04-30,78.00
2013-05-02,78.00
2013-05-03,78.00
2013-05-05,73.00
2013-05-06,73.00
2013-05-07,68.00
2013-05-08,68.00
2013-05-09,68.00
2013-05-10,68.00
2013-05-12,58.00
2013-05-13,68.00
2013-05-14,68.00
2013-05-15,68.00
2013-05-16,75.00
2013-05-17,68.00
2013-05-19,73.00
2013-05-20,75.00
2013-05-21,75.00
2013-05-22,75.00
2013-05-23,75.00
2013-05-24,75.00
2013-05-26,75.00
2013-05-27,75.00
2013-05-28,75.00
2013-05-30,75.00
2013-05-31,75.00
2013-06-02,75.00
2013-06-03,75.00
2013-06-04,75.00
2013-06-05,75.00
2013-06-06,75.00
2013-06-09,75.00
2013-06-10,75.00
2013-06-11,58.00
2013-06-12,58.00
2013-06-13,55.00
2013-06-14,55.00
2013-06-16,53.00
2013-06-17,55.00
2013-06-18,55.00
2013-06-19,55.00
2013-06-20,55.00
2013-06-21,55.00
2013-06-25,55.00
2013-06-26,55.00
2013-06-27,55.00
2013-06-28,65.00
2013-06-30,65.00
2013-07-01,55.00
2013-07-02,227.00
2013-07-03,65.00
2013-07-04,65.00
2013-07-05,65.00
2013-07-09,65.00
2013-07-10,65.00
2013-07-11,65.00
2013-07-12,65.00
2013-07-14,58.00
2013-07-15,65.00
2013-07-16,65.00
2013-07-17,65.00
2013-07-18,65.00
2013-07-19,65.00
2013-07-21,65.00
2013-07-22,65.00
2013-07-23,65.00
2013-07-24,65.00
2013-07-25,65.00
2013-07-26,65.00
2013-07-28,65.00
2013-07-29,65.00
2013-07-30,65.00
2013-07-31,65.00
2013-08-01,75.00
2013-08-02,65.00
2013-08-04,65.00
2013-08-05,70.00
2013-08-06,65.00
2013-08-07,65.00
2013-08-08,58.00
2013-08-12,53.00
2013-08-13,63.00
2013-08-14,63.00
2013-08-15,63.00
2013-08-16,63.00
2013-08-18,63.00
2013-08-19,63.00
2013-08-20,68.00
2013-08-23,63.00
2013-08-25,63.00
2013-08-26,65.00
2013-08-27,68.00
2013-08-29,63.00
2013-08-30,68.00
2013-09-01,68.00
2013-09-02,68.00
2013-09-03,65.00
2013-09-04,68.00
2013-09-05,68.00
2013-09-06,65.00
2013-09-08,68.00
2013-09-09,65.00
2013-09-10,68.00
2013-09-11,68.00
2013-09-12,68.00
2013-09-13,68.00
2013-09-15,68.00
2013-09-16,68.00
2013-09-17,68.00
2013-09-19,68.00
2013-09-20,65.00
2013-09-22,65.00
2013-09-23,65.00
2013-09-24,65.00
2013-09-25,65.00
2013-09-26,65.00
2013-09-27,65.00
2013-09-29,65.00
2013-09-30,65.00
2013-10-01,65.00
2013-10-02,55.00
2013-10-03,55.00
2013-10-04,55.00
2013-10-06,55.00
2013-10-07,55.00
2013-10-08,55.00
2013-10-09,55.00
2013-10-10,55.00
2013-10-11,57.00
2013-10-12,55.00
2013-10-13,55.00
2013-10-14,55.00
2013-10-15,55.00
2013-10-16,58.00
2013-10-17,58.00
2013-10-20,53.00
2013-10-21,53.00
2013-10-22,55.00
2013-10-23,55.00
2013-10-24,55.00
2013-10-25,58.00
2013-10-27,55.00
2013-10-28,53.00
2013-10-29,55.00
2013-10-30,55.00
2013-10-31,55.00
2013-11-01,55.00
2013-11-03,55.00
2013-11-04,55.00
2013-11-05,55.00
2013-11-06,55.00
2013-11-07,55.00
2013-11-10,63.00
2013-11-11,63.00
2013-11-12,65.00
2013-11-13,75.00
2013-11-14,75.00
2013-11-15,75.00
2013-11-16,78.00
2013-11-17,78.00
2013-11-18,90.00
2013-11-20,89.00
2013-11-21,55.00
2013-11-22,57.00
2013-11-24,55.00
2013-11-25,55.00
2013-11-26,55.00
2013-11-27,75.00
2013-11-28,95.00
2013-11-29,105.00
2013-12-01,110.00
2013-12-02,110.00
2013-12-03,105.00
2013-12-04,115.00
2013-12-05,115.00
2013-12-06,105.00
2013-12-08,125.00
2013-12-09,125.00
2013-12-10,127.00
2013-12-11,125.00
2013-12-12,125.00
2013-12-13,125.00
2013-12-15,125.00
2013-12-16,125.00
2013-12-18,125.00
2013-12-19,140.00
2013-12-20,127.00
2013-12-22,135.00
2013-12-23,130.00
2013-12-24,133.00
2013-12-26,145.00
2013-12-27,135.00
2013-12-29,135.00
2013-12-31,135.00
2014-01-01,137.00
2014-01-02,145.00
2014-01-03,140.00
2014-01-05,135.00
2014-01-06,135.00
2014-01-07,137.00
2014-01-08,137.00
2014-01-09,135.00
2014-01-10,140.00
2014-01-12,145.00
2014-01-13,157.00
2014-01-14,155.00
2014-01-16,143.00
2014-01-17,147.00
2014-01-19,153.00
2014-01-20,153.00
2014-01-21,153.00
2014-01-22,155.00
2014-01-23,163.00
2014-01-24,160.00
2014-01-26,155.00
2014-01-27,153.00
2014-01-28,167.00
2014-01-29,155.00
2014-02-02,143.00
2014-02-03,155.00
2014-02-04,155.00
2014-02-05,157.00
2014-02-06,155.00
2014-02-07,155.00
2014-02-09,156.00
2014-02-10,156.00
2014-02-11,155.00
2014-02-12,156.00
2014-02-13,155.00
2014-02-14,153.00
