date,avg
2013-04-15,43.00
2013-04-16,45.00
2013-04-17,48.00
2013-04-18,75.00
2013-04-21,65.00
2013-04-22,65.00
2013-04-23,65.00
2013-04-25,67.00
2013-04-26,73.00
2013-04-28,75.00
2013-04-29,75.00
2013-04-30,65.00
2013-05-02,67.00
2013-05-03,65.00
2013-05-05,65.00
2013-05-06,65.00
2013-05-07,65.00
2013-05-08,65.00
2013-05-09,78.00
2013-05-10,75.00
2013-05-12,75.00
2013-05-13,75.00
2013-05-14,75.00
2013-05-15,75.00
2013-05-16,65.00
2013-05-17,65.00
2013-05-19,95.00
2013-05-20,95.00
2013-05-21,95.00
2013-05-22,75.00
2013-05-23,75.00
2013-05-24,65.00
2013-05-26,75.00
2013-05-27,75.00
2013-05-28,75.00
2013-05-30,85.00
2013-05-31,85.00
2013-06-02,75.00
2013-06-03,85.00
2013-06-04,75.00
2013-06-05,75.00
2013-06-06,75.00
2013-06-09,75.00
2013-06-10,75.00
2013-06-11,75.00
2013-06-12,75.00
2013-06-13,75.00
2013-06-14,75.00
2013-06-16,75.00
2013-06-17,75.00
2013-06-18,75.00
2013-06-19,75.00
2013-06-20,75.00
2013-06-21,75.00
2013-06-25,65.00
2013-06-26,65.00
2013-06-27,55.00
2013-06-28,55.00
2013-06-30,45.00
2013-07-01,45.00
2013-07-02,45.00
2013-07-03,45.00
2013-07-04,45.00
2013-07-05,45.00
2013-07-09,45.00
2013-07-10,55.00
2013-07-11,55.00
2013-07-12,55.00
2013-07-14,45.00
2013-07-15,45.00
2013-07-16,55.00
2013-07-17,55.00
2013-07-18,55.00
2013-07-19,55.00
2013-07-21,55.00
2013-07-22,55.00
2013-07-23,55.00
2013-07-24,55.00
2013-07-25,55.00
2013-07-26,55.00
2013-07-28,55.00
2013-07-29,55.00
2013-07-30,55.00
2013-07-31,55.00
2013-08-01,55.00
2013-08-02,55.00
2013-08-04,55.00
2013-08-05,57.00
2013-08-06,55.00
2013-08-07,55.00
2013-08-08,55.00
2013-08-13,45.00
2013-08-14,55.00
2013-08-15,55.00
2013-08-16,55.00
2013-08-18,55.00
2013-08-19,55.00
2013-08-20,65.00
2013-08-23,55.00
2013-08-25,55.00
2013-08-26,55.00
2013-08-27,55.00
2013-08-29,55.00
2013-08-30,55.00
2013-09-01,55.00
2013-09-02,55.00
2013-09-03,55.00
2013-09-04,65.00
2013-09-05,65.00
2013-09-06,65.00
2013-09-08,55.00
2013-09-09,55.00
2013-09-10,57.00
2013-09-11,55.00
2013-09-12,55.00
2013-09-13,55.00
2013-09-15,55.00
2013-09-16,55.00
2013-09-17,55.00
2013-09-19,55.00
2013-09-20,55.00
2013-09-22,55.00
2013-09-23,57.00
2013-09-24,53.00
2013-09-25,55.00
2013-09-26,48.00
2013-09-27,48.00
2013-09-29,48.00
2013-09-30,48.00
2013-10-01,48.00
2013-10-02,48.00
2013-10-03,48.00
2013-10-04,45.00
2013-10-06,45.00
2013-10-07,55.00
2013-10-08,55.00
2013-10-09,55.00
2013-10-10,55.00
2013-10-11,55.00
2013-10-12,55.00
2013-10-13,65.00
2013-10-14,65.00
2013-10-15,55.00
2013-10-16,57.00
2013-10-17,55.00
2013-10-20,55.00
2013-10-21,55.00
2013-10-22,55.00
2013-10-23,55.00
2013-10-24,55.00
2013-10-25,55.00
2013-10-27,55.00
2013-10-28,55.00
2013-10-29,55.00
2013-10-30,55.00
2013-10-31,55.00
2013-11-01,55.00
2013-11-03,58.00
2013-11-04,55.00
2013-11-05,55.00
2013-11-06,55.00
2013-11-07,55.00
2013-11-10,55.00
2013-11-11,55.00
2013-11-12,55.00
2013-11-13,55.00
2013-11-14,55.00
2013-11-15,55.00
2013-11-16,55.00
2013-11-17,63.00
2013-11-18,63.00
2013-11-20,58.00
2013-11-21,58.00
2013-11-22,53.00
2013-11-24,48.00
2013-11-25,55.00
2013-11-26,55.00
2013-11-27,45.00
2013-11-28,55.00
2013-11-29,53.00
2013-12-01,45.00
2013-12-02,55.00
2013-12-03,45.00
2013-12-04,45.00
2013-12-05,45.00
2013-12-06,45.00
2013-12-08,45.00
2013-12-09,45.00
2013-12-10,45.00
2013-12-11,45.00
2013-12-12,45.00
2013-12-13,43.00
2013-12-15,45.00
2013-12-16,45.00
2013-12-18,45.00
2013-12-19,45.00
2013-12-20,45.00
2013-12-22,45.00
2013-12-23,45.00
2013-12-24,45.00
2013-12-26,45.00
2013-12-27,45.00
2013-12-29,48.00
2013-12-31,45.00
2014-01-01,45.00
2014-01-02,43.00
2014-01-03,45.00
2014-01-05,45.00
2014-01-06,45.00
2014-01-07,45.00
2014-01-08,45.00
2014-01-09,43.00
2014-01-10,45.00
2014-01-12,45.00
2014-01-13,45.00
2014-01-14,45.00
2014-01-16,45.00
2014-01-17,45.00
2014-01-19,48.00
2014-01-20,45.00
2014-01-21,45.00
2014-01-22,45.00
2014-01-23,45.00
2014-01-24,45.00
2014-01-26,45.00
2014-01-27,53.00
2014-01-28,45.00
2014-01-29,45.00
2014-02-02,45.00
2014-02-03,45.00
2014-02-04,45.00
2014-02-05,45.00
2014-02-06,45.00
2014-02-07,45.00
2014-02-08,75.00
2014-02-09,45.00
2014-02-10,45.00
2014-02-11,45.00
2014-02-12,45.00
2014-02-13,45.00
2014-02-14,45.00
2014-02-16,45.00
2014-02-17,45.00
2014-02-18,45.00
2014-02-20,45.00
2014-02-21,45.00
2014-02-23,45.00
2014-02-24,55.00
2014-02-25,45.00
2014-02-26,45.00
2014-02-28,53.00
2014-03-03,48.00
2014-03-05,48.00
2014-03-06,48.00
2014-03-07,58.00
2014-03-09,48.00
2014-03-10,48.00
2014-03-11,48.00
2014-03-12,48.00
2014-03-13,48.00
2014-03-14,48.00
2014-03-17,48.00
2014-03-18,48.00
2014-03-19,48.00
2014-03-20,48.00
2014-03-21,48.00
2014-03-23,55.00
2014-03-24,48.00
2014-03-25,65.00
2014-03-26,65.00
2014-03-27,65.00
2014-03-28,65.00
2014-03-31,58.00
2014-04-01,55.00
2014-04-02,55.00
2014-04-03,65.00
2014-04-04,63.00
2014-04-06,55.00
2014-04-07,58.00
2014-04-09,65.00
2014-04-10,65.00
2014-04-11,65.00
2014-04-13,65.00
2014-04-15,65.00
2014-04-16,65.00
2014-04-17,65.00
2014-04-18,87.00
2014-04-20,85.00
2014-04-21,75.00
2014-04-22,75.00
2014-04-23,75.00
2014-04-25,85.00
2014-04-27,85.00
2014-04-28,95.00
2014-04-29,95.00
2014-04-30,95.00
2014-05-02,95.00
2014-05-04,97.00
2014-05-05,93.00
2014-05-06,95.00
2014-05-07,85.00
2014-05-08,93.00
2014-05-09,85.00
2014-05-11,87.00
2014-05-12,85.00
2014-05-13,87.00
2014-05-15,85.00
2014-05-16,95.00
2014-05-18,85.00
2014-05-19,115.00
2014-05-20,115.00
2014-05-21,125.00
2014-05-22,125.00
2014-05-23,115.00
2014-05-25,115.00
2014-05-26,107.00
2014-05-27,95.00
2014-05-28,95.00
2014-05-30,95.00
2014-06-01,95.00
2014-06-02,85.00
2014-06-03,83.00
2014-06-04,85.00
2014-06-05,80.00
2014-06-06,90.00
2014-06-08,85.00
2014-06-09,90.00
2014-06-10,85.00
2014-06-11,85.00
2014-06-12,85.00
2014-06-13,85.00
2014-06-15,85.00
2014-06-16,85.00
2014-06-17,75.00
2014-06-18,75.00
2014-06-19,75.00
2014-06-20,75.00
2014-06-23,85.00
2014-06-24,85.00
2014-06-25,85.00
2014-06-26,85.00
2014-06-27,85.00
2014-06-29,85.00
