date,avg
2013-04-15,38.00
2013-04-16,42.00
2013-04-17,44.00
2013-04-18,42.00
2013-04-21,43.00
2013-04-22,33.00
2013-04-23,38.00
2013-04-25,38.00
2013-04-26,38.00
2013-04-28,43.00
2013-04-29,43.00
2013-04-30,38.00
2013-05-02,53.00
2013-05-03,53.00
2013-05-05,48.00
2013-05-06,53.00
2013-05-07,53.00
2013-05-08,48.00
2013-05-09,43.00
2013-05-10,43.00
2013-05-12,43.00
2013-05-13,43.00
2013-05-14,43.00
2013-05-15,43.00
2013-05-16,43.00
2013-05-17,43.00
2013-05-19,48.00
2013-05-20,38.00
2013-05-21,39.00
2013-05-22,39.00
2013-05-23,43.00
2013-05-24,39.00
2013-05-26,39.00
2013-05-27,38.00
2013-05-28,38.00
2013-05-30,39.00
2013-08-12,33.00
2013-09-02,78.00
2013-09-04,95.00
2013-09-05,78.00
2013-09-06,75.00
2013-09-08,85.00
2013-09-09,85.00
2013-09-10,85.00
2013-09-11,85.00
2013-09-12,85.00
2013-09-13,85.00
2013-09-15,85.00
2013-09-16,75.00
2013-09-17,95.00
2013-09-19,85.00
2013-09-20,75.00
2013-09-22,75.00
2013-09-23,73.00
2013-09-24,65.00
2013-09-25,68.00
2013-09-26,68.00
2013-09-27,63.00
2013-09-29,43.00
2013-09-30,38.00
2013-10-01,33.00
2013-10-02,33.00
2013-10-03,33.00
2013-10-04,33.00
2013-10-06,43.00
2013-10-07,33.00
2013-10-08,33.00
2013-10-09,23.00
2013-10-10,28.00
2013-10-11,23.00
2013-10-12,43.00
2013-10-13,58.00
2013-10-16,67.00
2013-10-17,43.00
2013-10-20,14.00
2013-10-21,14.00
2013-10-22,18.00
2013-10-23,23.00
2013-10-24,33.00
2013-10-25,28.00
2013-10-27,28.00
2013-10-28,23.00
2013-10-29,23.00
2013-10-30,23.00
2013-10-31,23.00
2013-11-01,23.00
2013-11-03,23.00
2013-11-04,33.00
2013-11-05,38.00
2013-11-06,48.00
2013-11-07,45.00
2013-11-10,31.00
2013-11-11,34.00
2013-11-12,34.00
2013-11-13,32.00
2013-11-14,33.00
2013-11-15,38.00
2013-11-16,33.00
2013-11-17,34.00
2013-11-18,36.00
2013-11-21,33.00
2013-11-22,38.00
2013-11-24,33.00
2013-11-25,33.00
2013-11-26,28.00
2013-11-27,28.00
2013-11-28,33.00
2013-11-29,38.00
2013-12-01,38.00
2013-12-02,33.00
2013-12-03,38.00
2013-12-04,41.00
2013-12-05,48.00
2013-12-06,43.00
2013-12-08,43.00
2013-12-09,45.00
2013-12-10,45.00
2013-12-11,43.00
2013-12-12,48.00
2013-12-13,48.00
2013-12-15,48.00
2013-12-16,45.00
2013-12-18,48.00
2013-12-19,48.00
2013-12-20,43.00
2013-12-22,43.00
2013-12-23,48.00
2013-12-24,48.00
2013-12-26,48.00
2013-12-27,47.00
2013-12-29,39.00
2013-12-31,43.00
2014-01-01,43.00
2014-01-02,48.00
2014-01-03,48.00
2014-01-05,48.00
2014-01-06,43.00
2014-01-07,43.00
2014-01-08,43.00
2014-01-09,38.00
2014-01-10,43.00
2014-01-12,39.00
2014-01-13,43.00
2014-01-14,43.00
2014-01-19,38.00
2014-01-20,33.00
2014-01-21,43.00
2014-01-22,38.00
2014-01-23,38.00
2014-01-24,33.00
2014-01-26,32.00
2014-01-27,36.00
2014-01-28,33.00
2014-01-29,33.00
2014-02-02,33.00
2014-02-03,38.00
2014-02-04,33.00
2014-02-05,33.00
2014-02-06,33.00
2014-02-07,33.00
2014-02-09,33.00
2014-02-10,33.00
2014-02-12,38.00
2014-02-13,38.00
2014-02-14,38.00
2014-02-17,58.00
2014-02-18,58.00
2014-02-20,59.00
2014-02-21,58.00
2014-02-23,53.00
2014-02-24,48.00
2014-02-25,48.00
2014-02-26,43.00
2014-02-28,43.00
2014-03-03,45.00
2014-03-05,40.00
2014-03-06,38.00
2014-03-07,38.00
2014-03-09,48.00
2014-03-10,43.00
2014-03-11,43.00
2014-03-12,43.00
2014-03-13,48.00
2014-03-14,45.00
2014-03-17,47.00
2014-03-18,42.00
2014-03-19,43.00
2014-03-20,38.00
2014-03-21,42.00
2014-03-23,38.00
2014-03-24,38.00
2014-03-25,38.00
2014-03-26,38.00
2014-03-27,33.00
2014-03-28,38.00
2014-03-31,38.00
2014-04-01,32.00
2014-04-02,33.00
2014-04-03,32.00
2014-04-04,32.00
2014-04-06,32.00
2014-04-07,30.00
2014-04-09,33.00
2014-04-10,33.00
2014-04-11,30.00
2014-04-13,33.00
2014-04-15,38.00
2014-04-16,38.00
2014-04-17,38.00
2014-04-18,38.00
2014-04-20,38.00
2014-04-21,33.00
2014-04-22,38.00
2014-04-23,33.00
2014-04-25,33.00
2014-04-27,33.00
2014-04-28,38.00
2014-04-29,38.00
2014-04-30,33.00
2014-05-02,43.00
2014-05-04,42.00
2014-05-05,38.00
2014-05-06,38.00
2014-05-07,43.00
2014-05-08,42.00
2014-05-09,43.00
2014-05-11,48.00
2014-05-12,48.00
2014-05-13,47.00
2014-05-18,39.00
2014-05-19,43.00
2014-05-20,58.00
2014-05-21,58.00
2014-05-22,48.00
2014-06-01,39.00
2014-06-02,39.00
2014-06-03,39.00
2014-06-04,43.00
2014-06-05,39.00
2014-06-06,39.00
2014-06-08,39.00
2014-06-09,39.00
2014-06-10,39.00
2014-06-11,39.00
2014-06-12,39.00
2014-09-07,88.00
2014-09-14,93.00
2014-09-22,95.00
2014-09-23,87.00
2014-09-24,87.00
2014-09-26,77.00
2014-09-28,41.00
2014-09-29,77.00
2014-09-30,87.00
2014-10-08,77.00
2014-10-09,67.00
2014-10-10,57.00
2014-10-12,67.00
2014-10-13,58.00
2014-10-14,67.00
2014-10-16,53.00
2014-10-17,43.00
2014-10-19,31.00
2014-10-20,28.00
2014-10-21,33.00
2014-10-22,33.00
2014-10-23,35.00
2014-10-24,32.00
2014-10-25,43.00
2014-10-26,42.00
2014-10-27,38.00
2014-10-28,38.00
2014-10-29,33.00
2014-10-30,23.00
2014-10-31,22.00
2014-11-01,18.00
2014-11-02,18.00
2014-11-03,25.00
2014-11-04,23.00
2014-11-05,23.00
2014-11-06,18.00
2014-11-07,28.00
2014-11-08,28.00
2014-11-09,21.00
2014-11-10,20.00
2014-11-11,16.00
2014-11-12,18.00
2014-11-13,21.00
2014-11-14,20.00
2014-11-16,18.00
2014-11-17,21.00
2014-11-18,22.00
2014-11-19,20.00
2014-11-20,21.00
2014-11-21,22.00
2014-11-22,23.00
2014-11-23,26.00
2014-11-24,24.00
2014-11-25,23.00
2014-11-26,24.00
2014-11-27,24.00
2014-11-28,28.00
2014-11-29,28.00
2014-11-30,24.00
2014-12-01,28.00
2014-12-02,29.00
2014-12-03,30.00
2014-12-04,29.00
2014-12-05,31.00
2014-12-06,33.00
2014-12-07,29.00
2014-12-11,33.00
2014-12-12,33.00
2014-12-13,33.00
2014-12-14,33.00
2014-12-16,33.00
2014-12-18,38.00
2014-12-19,40.00
2014-12-21,44.00
2014-12-22,33.00
2014-12-23,38.00
2014-12-24,38.00
2014-12-26,38.00
2014-12-27,38.00
2014-12-28,38.00
2014-12-29,38.00
2014-12-30,38.00
2014-12-31,38.00
2015-01-01,38.00
2015-01-02,38.00
2015-01-03,38.00
2015-01-04,38.00
2015-01-05,38.00
2015-01-06,35.00
2015-01-07,38.00
2015-01-08,38.00
2015-01-09,38.00
2015-01-11,33.00
2015-01-12,38.00
2015-01-13,38.00
2015-01-14,38.00
2015-01-15,38.00
2015-01-17,38.00
2015-01-18,78.00
2015-01-19,35.00
2015-01-20,38.00
2015-01-21,38.00
2015-01-22,38.00
2015-01-23,38.00
2015-01-25,34.00
2015-01-26,33.00
2015-01-27,33.00
2015-01-28,35.00
2015-01-29,32.00
2015-01-31,33.00
2015-02-01,38.00
2015-02-02,33.00
2015-02-03,38.00
2015-02-04,33.00
2015-02-05,33.00
2015-02-06,33.00
2015-02-07,33.00
2015-02-08,33.00
2015-02-09,33.00
2015-02-10,33.00
2015-02-11,38.00
2015-02-13,37.00
2015-02-14,38.00
2015-02-15,38.00
2015-02-16,38.00
2015-02-18,38.00
2015-02-19,38.00
2015-02-20,38.00
2015-02-22,38.00
2015-02-23,38.00
2015-02-24,38.00
2015-02-25,33.00
2015-02-26,33.00
2015-02-27,38.00
2015-03-01,33.00
2015-03-02,24.00
2015-03-03,42.00
2015-03-06,43.00
2015-03-09,33.00
2015-03-10,33.00
2015-03-11,33.00
2015-03-12,23.00
2015-03-13,23.00
2015-03-14,43.00
2015-03-15,43.00
2015-03-16,43.00
2015-03-17,43.00
2015-03-18,38.00
2015-03-19,38.00
2015-03-20,38.00
2015-03-21,38.00
2015-03-22,38.00
2015-03-23,33.00
2015-03-24,33.00
2015-03-25,33.00
2015-03-26,33.00
2015-03-27,36.00
2015-03-28,31.00
2015-03-29,29.00
2015-03-30,29.00
2015-03-31,21.00
2015-04-01,28.00
2015-04-02,24.00
2015-04-03,28.00
2015-04-04,33.00
2015-04-05,33.00
2015-04-06,32.00
2015-04-07,33.00
2015-04-08,33.00
2015-04-10,31.00
2015-04-12,31.00
2015-04-13,31.00
2015-04-14,33.00
2015-04-15,33.00
2015-04-16,33.00
2015-04-17,33.00
2015-04-18,28.00
2015-04-19,23.00
2015-04-20,31.00
2015-04-21,43.00
2015-04-22,48.00
2015-04-23,38.00
2015-04-24,33.00
2015-04-25,38.00
2015-04-26,38.00
2015-04-27,28.00
2015-04-28,37.00
2015-04-29,43.00
2015-04-30,33.00
2015-05-01,33.00
2015-05-02,38.00
2015-05-03,28.00
2015-05-04,18.00
2015-05-05,28.00
2015-05-06,33.00
2015-05-07,38.00
2015-05-08,31.00
2015-05-10,38.00
2015-05-11,23.00
2015-05-12,32.00
2015-05-13,29.00
2015-05-14,28.00
2015-05-15,33.00
2015-05-16,34.00
2015-05-17,33.00
2015-05-18,28.00
2015-05-19,33.00
2015-05-20,33.00
2015-05-21,33.00
2015-05-22,33.00
2015-05-23,32.00
2015-05-24,37.00
2015-05-25,33.00
2015-05-26,37.00
2015-05-27,38.00
2015-05-28,38.00
2015-09-19,97.00
2015-09-24,78.00
2015-09-25,65.00
2015-09-26,66.00
2015-09-27,58.00
2015-09-28,65.00
2015-09-29,65.00
2015-10-02,75.00
2015-10-03,81.00
2015-10-04,75.00
2015-10-05,75.00
2015-10-06,78.00
2015-10-07,75.00
2015-10-08,75.00
2015-10-09,75.00
2015-10-10,77.00
2015-10-11,65.00
2015-10-12,65.00
2015-10-13,58.00
2015-10-14,55.00
2015-10-15,45.00
2015-10-16,35.00
2015-10-17,40.00
2015-10-18,28.00
2015-10-19,28.00
2015-10-20,28.00
2015-10-21,28.00
2015-10-22,35.00
2015-10-23,55.00
2015-10-24,35.00
2015-10-25,35.00
2015-10-26,33.00
2015-10-27,28.00
2015-10-28,18.00
2015-10-29,25.00
2015-10-30,25.00
2015-10-31,25.00
2015-11-01,25.00
2015-11-02,25.00
2015-11-03,25.00
2015-11-04,18.00
2015-11-05,18.00
2015-11-06,25.00
2015-11-07,21.00
2015-11-08,25.00
2015-11-09,25.00
2015-11-10,25.00
2015-11-11,22.00
