date,avg
2013-04-15,75.00
2013-04-16,85.00
2013-04-17,90.00
2013-04-18,87.00
2013-04-21,87.00
2013-04-22,85.00
2013-04-23,85.00
2013-04-25,95.00
2013-04-26,95.00
2013-04-28,85.00
2013-04-29,95.00
2013-04-30,95.00
2013-05-02,95.00
2014-02-28,195.00
2014-03-05,133.00
2014-03-06,145.00
2014-03-07,155.00
2014-03-09,155.00
2014-03-10,155.00
2014-03-11,110.00
2014-03-12,117.00
2014-03-13,115.00
2014-03-14,110.00
2014-03-17,95.00
2014-03-18,95.00
2014-03-19,90.00
2014-03-20,87.00
2014-03-21,57.00
2014-03-23,58.00
2014-03-24,55.00
2014-03-25,58.00
2014-03-26,58.00
2014-03-27,57.00
2014-03-28,55.00
2014-03-31,85.00
2014-04-01,48.00
2014-04-02,48.00
2014-04-03,47.00
2014-04-04,53.00
2014-04-06,55.00
2014-04-07,55.00
2014-04-09,65.00
2014-04-10,77.00
2014-04-11,65.00
2014-04-13,65.00
2014-04-15,65.00
2014-04-16,65.00
2014-04-17,75.00
2014-04-18,75.00
2014-04-20,58.00
2014-04-21,75.00
2014-04-22,75.00
2014-04-23,65.00
2014-04-25,67.00
2014-04-27,65.00
2014-04-28,97.00
2014-04-29,95.00
2014-04-30,97.00
2014-05-02,95.00
2014-05-04,103.00
2015-03-09,233.00
2015-03-10,225.00
2015-03-11,225.00
2015-03-13,225.00
2015-03-14,137.00
2015-03-16,117.00
2015-03-17,110.00
2015-03-20,97.00
2015-03-21,95.00
2015-03-22,97.00
2015-03-23,100.00
2015-03-24,57.00
2015-03-25,48.00
2015-03-26,46.00
2015-03-27,43.00
2015-03-28,160.00
2015-03-29,43.00
2015-03-30,55.00
2015-03-31,68.00
2015-04-01,58.00
2015-04-02,55.00
2015-04-03,55.00
2015-04-04,55.00
2015-04-05,55.00
2015-04-06,58.00
2015-04-08,95.00
2015-04-10,73.00
2015-04-12,105.00
2015-04-13,83.00
2015-04-14,105.00
2015-04-15,97.00
2015-04-16,77.00
2015-04-17,90.00
2015-04-18,92.00
2015-04-19,95.00
