date,avg
2015-01-01,38.00
2015-01-02,33.00
2015-01-03,38.00
2015-01-04,33.00
2015-01-05,33.00
2015-01-06,43.00
2015-01-07,38.00
2015-01-08,38.00
2015-01-09,33.00
2015-01-11,28.00
2015-01-12,41.00
2015-01-13,41.00
2015-01-14,38.00
2015-01-15,38.00
2015-01-16,41.00
2015-01-17,43.00
2015-01-18,50.00
2015-01-19,41.00
2015-01-20,38.00
2015-01-21,38.00
2015-01-22,38.00
2015-01-23,38.00
2015-01-25,33.00
2015-01-26,43.00
2015-01-27,39.00
2015-01-28,43.00
2015-01-29,43.00
2015-01-31,43.00
2015-02-01,48.00
2015-02-02,48.00
2015-02-03,45.00
2015-02-04,38.00
2015-02-05,38.00
2015-02-06,48.00
2015-02-07,48.00
2015-02-08,48.00
2015-02-09,43.00
2015-02-10,48.00
2015-02-11,38.00
2015-02-12,38.00
2015-02-13,38.00
2015-02-14,33.00
2015-02-15,33.00
2015-02-16,38.00
2015-02-18,33.00
2015-02-19,33.00
2015-02-20,33.00
2015-02-22,33.00
2015-02-23,34.00
2015-02-24,33.00
2015-02-25,38.00
2015-02-26,33.00
2015-02-27,37.00
2015-03-01,33.00
2015-03-02,50.00
2015-03-03,38.00
2015-03-06,38.00
2015-03-09,32.00
2015-03-10,31.00
2015-03-11,33.00
2015-03-12,38.00
2015-03-13,38.00
2015-03-14,53.00
2015-03-15,53.00
2015-03-16,28.00
2015-03-17,29.00
2015-03-18,28.00
2015-03-19,28.00
2015-03-20,27.00
2015-03-21,28.00
2015-03-22,28.00
2015-03-23,33.00
2015-03-24,28.00
2015-03-25,28.00
2015-03-26,28.00
2015-03-27,30.00
2015-03-28,23.00
2015-03-29,24.00
2015-03-30,19.00
2015-03-31,31.00
2015-04-01,21.00
2015-04-02,24.00
2015-04-03,33.00
2015-04-04,22.00
2015-04-05,22.00
2015-04-06,28.00
2015-04-07,38.00
2015-04-08,38.00
2015-04-10,31.00
2015-04-12,25.00
2015-04-13,28.00
2015-04-14,26.00
2015-04-15,22.00
2015-04-16,28.00
2015-04-17,26.00
2015-04-18,24.00
2015-04-19,23.00
2015-04-20,23.00
2015-04-21,23.00
2015-04-22,28.00
2015-04-23,23.00
2015-04-24,22.00
2015-04-25,18.00
2015-04-26,28.00
2015-04-27,28.00
2015-04-28,23.00
2015-04-29,28.00
2015-04-30,27.00
2015-05-01,21.00
2015-05-02,23.00
2015-05-03,21.00
2015-05-04,19.00
2015-05-05,23.00
2015-05-06,23.00
2015-05-07,26.00
2015-05-08,23.00
2015-05-10,19.00
2015-05-11,21.00
2015-05-12,23.00
2015-05-13,20.00
2015-05-14,23.00
2015-05-15,22.00
2015-05-16,21.00
2015-05-17,19.00
2015-05-18,20.00
2015-05-19,21.00
2015-05-20,20.00
