date,avg
2015-01-01,38.00
2015-01-02,38.00
2015-01-03,38.00
2015-01-04,38.00
2015-01-05,38.00
2015-01-06,38.00
2015-01-07,38.00
2015-01-08,33.00
2015-01-09,33.00
2015-01-11,28.00
2015-01-12,38.00
2015-01-13,38.00
2015-01-14,38.00
2015-01-15,38.00
2015-01-16,38.00
2015-01-17,43.00
2015-01-18,43.00
2015-01-19,41.00
2015-01-20,38.00
2015-01-25,31.00
2015-01-27,38.00
2015-01-28,43.00
2015-01-29,43.00
2015-01-31,43.00
2015-02-01,48.00
2015-02-02,43.00
2015-02-03,48.00
2015-02-04,38.00
2015-02-05,38.00
2015-02-06,43.00
2015-02-07,48.00
2015-02-08,48.00
2015-02-09,43.00
2015-02-10,48.00
2015-02-11,48.00
2015-02-12,38.00
2015-02-13,38.00
2015-02-14,38.00
2015-02-15,38.00
2015-02-16,38.00
2015-02-18,38.00
2015-02-19,38.00
2015-02-20,38.00
2015-02-22,38.00
2015-02-23,38.00
2015-02-24,38.00
2015-02-25,38.00
2015-02-26,33.00
2015-02-27,38.00
2015-03-01,48.00
2015-03-03,48.00
2015-03-06,48.00
2015-03-09,35.00
2015-03-10,35.00
2015-03-11,35.00
2015-03-12,43.00
2015-03-13,43.00
2015-03-14,50.00
2015-03-15,53.00
2015-03-16,38.00
2015-03-17,38.00
2015-03-18,48.00
2015-03-19,48.00
2015-03-20,48.00
2015-03-21,48.00
2015-03-22,48.00
2015-03-23,43.00
2015-03-24,48.00
2015-03-25,48.00
2015-03-26,42.00
2015-03-27,41.00
2015-03-28,41.00
2015-03-29,31.00
2015-03-30,43.00
2015-03-31,43.00
2015-04-01,43.00
2015-04-02,38.00
2015-04-03,43.00
2015-04-10,37.00
2015-04-18,27.00
2015-05-06,38.00
2015-05-07,38.00
2015-05-08,43.00
2015-05-10,33.00
2015-05-11,31.00
2015-05-12,30.00
2015-05-13,30.00
2015-05-14,33.00
2015-05-15,32.00
2015-05-16,32.00
2015-05-17,29.00
2015-05-18,28.00
2015-05-19,28.00
2015-05-20,28.00
2015-05-21,22.00
2015-05-22,28.00
2015-05-23,26.00
2015-05-24,28.00
2015-05-25,28.00
2015-05-26,28.00
2015-05-27,27.00
2015-05-28,28.00
2015-05-29,27.00
2015-05-30,28.00
2015-05-31,27.00
2015-06-01,26.00
2015-06-02,28.00
2015-06-03,28.00
2015-06-04,28.00
2015-06-05,27.00
2015-06-06,28.00
2015-06-07,28.00
2015-06-08,28.00
2015-06-09,28.00
2015-06-10,28.00
2015-06-11,28.00
2015-06-12,28.00
2015-06-13,32.00
2015-06-14,28.00
2015-06-15,28.00
2015-06-16,28.00
2015-06-17,27.00
2015-06-18,28.00
2015-06-19,29.00
2015-06-20,33.00
2015-06-21,28.00
2015-06-22,33.00
2015-06-23,33.00
2015-06-24,33.00
2015-06-25,33.00
2015-06-26,38.00
2015-06-27,33.00
2015-06-28,33.00
2015-06-29,35.00
2015-06-30,38.00
2015-07-01,38.00
2015-07-02,40.00
2015-07-03,38.00
2015-07-04,40.00
2015-07-05,35.00
2015-07-06,38.00
2015-07-11,39.00
2015-07-16,45.00
2015-07-17,45.00
2015-07-18,41.00
2015-07-19,45.00
2015-07-20,45.00
2015-07-21,55.00
2015-07-22,45.00
2015-07-23,45.00
2015-07-24,45.00
2015-07-25,41.00
2015-07-26,45.00
2015-07-27,35.00
2015-07-28,38.00
2015-07-29,35.00
2015-07-30,35.00
2015-07-31,35.00
2015-08-01,40.00
2015-08-02,35.00
2015-08-03,35.00
2015-08-04,35.00
2015-08-05,35.00
2015-08-08,30.00
2015-08-09,35.00
2015-08-10,35.00
2015-08-11,35.00
2015-08-12,35.00
2015-08-13,28.00
2015-08-14,28.00
2015-08-15,26.00
2015-08-16,28.00
2015-08-17,28.00
2015-08-18,29.00
2015-08-19,30.00
2015-08-20,28.00
2015-08-21,28.00
2015-08-22,27.00
2015-08-23,28.00
2015-08-24,32.00
2015-08-25,25.00
2015-08-26,25.00
2015-08-27,25.00
2015-08-28,26.00
2015-08-29,28.00
2015-08-30,28.00
2015-08-31,25.00
2015-09-01,25.00
2015-09-02,25.00
2015-09-03,23.00
2015-09-04,22.00
2015-09-05,22.00
2015-09-06,22.00
2015-09-07,28.00
2015-09-08,28.00
2015-09-09,28.00
2015-09-10,28.00
2015-09-11,22.00
2015-09-12,27.00
2015-09-13,22.00
2015-09-14,25.00
2015-09-15,22.00
2015-09-16,23.00
2015-09-17,22.00
2015-09-18,22.00
2015-09-19,31.00
2015-09-20,22.00
2015-09-21,22.00
2015-09-22,22.00
2015-09-23,23.00
2015-09-24,28.00
2015-09-25,28.00
2015-09-26,34.00
2015-09-27,33.00
2015-09-28,33.00
2015-10-03,37.00
2015-10-17,34.00
2015-10-27,35.00
2015-10-28,28.00
2015-10-29,25.00
2015-10-31,37.00
2015-11-02,35.00
2015-11-03,25.00
2015-11-04,35.00
2015-11-05,28.00
2015-11-06,28.00
2015-11-07,33.00
2015-11-09,35.00
2015-11-10,35.00
2015-11-11,28.00
2015-11-12,32.00
2015-11-14,38.00
2015-11-16,35.00
2015-11-17,35.00
2015-11-18,35.00
2015-11-19,35.00
2015-11-20,35.00
2015-11-21,28.00
2015-11-22,35.00
2015-11-23,35.00
2015-11-24,35.00
