date,avg
2013-04-15,43.00
2013-04-16,38.00
2013-04-17,38.00
2013-04-18,38.00
2013-04-21,38.00
2013-04-22,45.00
2013-04-23,38.00
2013-04-25,47.00
2013-04-26,38.00
2013-04-28,43.00
2013-04-29,48.00
2013-04-30,38.00
2013-05-02,38.00
2013-05-03,38.00
2013-05-05,38.00
2013-05-06,48.00
2013-05-07,33.00
2013-05-08,55.00
2013-05-09,48.00
2013-05-10,38.00
2013-05-12,38.00
2013-05-13,48.00
2013-05-14,38.00
2013-05-15,38.00
2013-05-16,43.00
2013-05-17,48.00
2013-05-19,38.00
2013-05-20,38.00
2013-05-21,38.00
2013-05-22,38.00
2013-05-23,38.00
2013-05-24,38.00
2013-05-26,38.00
2013-05-27,43.00
2013-05-28,38.00
2013-05-30,43.00
2013-05-31,38.00
2013-06-02,43.00
2013-06-03,48.00
2013-06-04,48.00
2013-06-05,85.00
2013-06-06,85.00
2013-06-09,85.00
2013-06-10,75.00
2013-06-11,75.00
2013-06-12,78.00
2013-06-13,75.00
2013-06-14,75.00
2013-06-16,75.00
2013-06-17,75.00
2013-06-18,75.00
2013-06-19,75.00
2013-06-20,75.00
2013-06-21,75.00
2013-06-25,75.00
2013-06-26,75.00
2013-08-16,145.00
2013-08-18,148.00
2013-08-19,145.00
2013-08-20,145.00
2013-08-23,95.00
2013-08-25,95.00
2013-08-26,95.00
2013-08-27,95.00
2013-08-29,105.00
2013-08-30,95.00
2013-09-01,95.00
2013-09-02,95.00
2013-09-03,95.00
2013-09-04,155.00
2013-09-05,155.00
2013-09-06,145.00
2013-09-08,145.00
2013-09-09,145.00
2013-09-10,145.00
2013-09-11,145.00
2013-09-12,145.00
2013-09-13,145.00
2013-09-15,145.00
2013-09-16,145.00
2013-09-17,145.00
2013-09-19,145.00
2013-09-20,145.00
2013-09-22,145.00
2013-09-23,145.00
2013-09-24,145.00
2013-09-25,145.00
2013-09-26,145.00
2013-09-27,145.00
2013-09-29,145.00
2013-09-30,145.00
2013-10-01,145.00
2013-10-02,145.00
2013-10-03,145.00
2013-10-04,145.00
2013-10-06,145.00
2013-10-07,145.00
2013-10-08,155.00
2013-10-09,145.00
2013-10-10,145.00
2013-10-11,145.00
2013-10-16,190.00
2013-10-17,145.00
2013-10-20,135.00
2013-10-21,75.00
2013-10-22,85.00
2013-10-23,85.00
2013-10-24,85.00
2013-10-25,75.00
2013-10-27,85.00
2013-10-28,85.00
2013-10-29,95.00
2013-10-30,85.00
2013-10-31,85.00
2013-11-01,95.00
2013-11-03,85.00
2013-11-04,77.00
2013-11-05,85.00
2013-11-06,85.00
2013-11-07,75.00
2013-11-10,85.00
2013-11-11,75.00
2013-11-12,75.00
2013-11-13,85.00
2013-11-14,75.00
2013-11-15,75.00
2013-11-16,75.00
2013-11-17,75.00
2013-11-18,73.00
2013-11-20,85.00
2013-11-21,55.00
2013-11-22,48.00
2013-11-24,55.00
2013-11-25,48.00
2013-11-26,43.00
2013-11-27,45.00
2013-11-28,45.00
2013-11-29,43.00
2013-12-01,35.00
2013-12-02,39.00
2013-12-03,33.00
2013-12-04,35.00
2013-12-05,32.00
2013-12-06,38.00
2013-12-08,38.00
2013-12-09,43.00
2013-12-10,34.00
2013-12-11,35.00
2013-12-12,38.00
2013-12-13,37.00
2013-12-16,38.00
2013-12-18,38.00
2013-12-19,38.00
2013-12-20,33.00
2013-12-22,33.00
2013-12-23,38.00
2013-12-24,33.00
2013-12-26,33.00
2013-12-27,33.00
2013-12-29,43.00
2013-12-31,43.00
2014-01-01,43.00
2014-01-02,43.00
2014-01-03,43.00
2014-01-05,43.00
2014-01-06,43.00
2014-01-07,43.00
2014-01-08,43.00
2014-01-09,48.00
2014-01-10,48.00
2014-01-12,43.00
2014-01-13,43.00
2014-01-14,43.00
2014-01-16,43.00
2014-01-17,38.00
2014-01-19,43.00
2014-01-20,43.00
2014-01-21,43.00
2014-01-22,43.00
2014-01-23,43.00
2014-01-24,28.00
2014-01-26,32.00
2014-01-27,32.00
2014-01-28,32.00
2014-01-29,28.00
2014-02-02,28.00
2014-02-03,28.00
2014-02-04,28.00
2014-02-05,28.00
2014-02-06,28.00
2014-02-07,28.00
2014-02-08,35.00
2014-02-09,33.00
2014-02-10,28.00
2014-02-11,28.00
2014-02-12,28.00
2014-02-13,28.00
2014-02-14,28.00
2014-02-16,28.00
2014-02-17,58.00
2014-02-18,53.00
2014-02-20,53.00
2014-02-21,53.00
2014-02-23,48.00
2014-02-24,43.00
2014-02-25,33.00
2014-02-26,38.00
2014-02-28,38.00
2014-03-03,48.00
2014-03-05,48.00
2014-03-06,48.00
2014-03-07,48.00
2014-03-09,53.00
2014-03-10,48.00
2014-03-11,53.00
2014-03-12,48.00
2014-03-13,48.00
2014-03-14,53.00
2014-03-17,48.00
2014-03-18,48.00
2014-03-19,48.00
2014-03-20,48.00
2014-03-21,48.00
2014-03-23,48.00
2014-03-24,28.00
2014-03-25,33.00
2014-03-26,43.00
2014-03-27,38.00
2014-03-28,43.00
2014-03-31,33.00
2014-04-01,42.00
2014-04-02,48.00
2014-04-03,42.00
2014-04-04,38.00
2014-04-06,40.00
2014-04-07,35.00
2014-04-09,33.00
2014-04-10,33.00
2014-04-11,38.00
2014-04-13,33.00
2014-04-15,33.00
2014-04-16,45.00
2014-04-17,58.00
2014-04-18,58.00
2014-04-20,68.00
2014-04-21,67.00
2014-04-22,63.00
2014-04-23,53.00
2014-04-25,65.00
2014-04-27,53.00
2014-04-28,58.00
2014-04-29,58.00
2014-04-30,58.00
2014-05-02,97.00
2014-05-04,87.00
2014-05-06,77.00
2014-05-07,67.00
2014-05-08,58.00
2014-05-09,93.00
2014-05-11,97.00
2014-05-12,97.00
2014-05-13,87.00
2014-05-15,87.00
2014-05-16,83.00
2014-05-18,85.00
2014-05-19,77.00
2014-05-20,95.00
2014-05-21,87.00
2014-05-22,67.00
2014-05-23,67.00
2014-05-25,67.00
2014-05-26,67.00
2014-05-27,67.00
2014-05-28,75.00
2014-05-30,67.00
2014-06-01,67.00
2014-06-02,77.00
2014-06-03,133.00
2014-06-04,137.00
2014-06-05,137.00
2014-06-06,137.00
2014-06-08,137.00
2014-06-09,125.00
2014-06-10,135.00
2014-06-11,135.00
2014-06-12,137.00
2014-06-13,137.00
2014-06-15,127.00
2014-06-16,125.00
2014-06-17,147.00
2014-06-18,123.00
2014-06-19,127.00
2014-06-20,127.00
2014-06-23,117.00
2014-06-24,117.00
2014-06-25,115.00
2014-06-26,160.00
2014-06-30,130.00
2014-07-01,130.00
2014-07-11,190.00
2014-07-15,145.00
2014-07-16,190.00
2014-07-17,190.00
2014-07-18,190.00
2014-07-19,190.00
2014-07-20,190.00
2014-07-21,190.00
2014-07-22,175.00
2014-07-23,190.00
2014-07-24,190.00
2014-07-25,190.00
2014-07-26,190.00
2014-07-27,190.00
2014-07-28,190.00
2014-07-29,190.00
2014-07-30,190.00
2014-07-31,190.00
2014-08-01,190.00
2014-08-02,190.00
2014-08-03,190.00
2014-08-04,130.00
