date,avg
2019-12-09,42.00
2019-12-10,45.00
2019-12-11,42.00
2019-12-12,42.00
2019-12-13,45.00
2019-12-14,45.00
2019-12-15,42.00
2019-12-16,48.00
2019-12-17,42.00
2019-12-18,38.00
2019-12-19,38.00
2019-12-20,33.00
2019-12-21,35.00
2019-12-22,38.00
2019-12-23,35.00
2019-12-24,38.00
2019-12-25,38.00
2019-12-26,38.00
2019-12-27,38.00
2019-12-28,38.00
2019-12-29,38.00
2019-12-30,38.00
2019-12-31,38.00
2020-01-01,38.00
2020-01-02,38.00
2020-01-03,42.00
2020-01-04,42.00
2020-01-05,42.00
2020-01-06,45.00
2020-01-07,48.00
2020-01-08,38.00
2020-01-09,33.00
2020-01-10,42.00
2020-01-11,45.00
2020-01-12,42.00
2020-01-13,42.00
2020-01-14,42.00
2020-01-15,42.00
2020-01-16,42.00
2020-01-17,48.00
2020-01-18,48.00
2020-01-19,52.00
2020-01-20,48.00
2020-01-21,38.00
2020-01-22,38.00
2020-01-23,38.00
2020-01-24,38.00
2020-01-25,28.00
2020-01-26,33.00
2020-01-27,33.00
2020-01-28,33.00
2020-01-29,33.00
2020-01-30,35.00
2020-01-31,33.00
2020-02-01,33.00
2020-02-02,33.00
2020-02-03,33.00
2020-02-04,33.00
2020-02-05,33.00
2020-02-06,33.00
2020-02-07,33.00
2020-02-08,28.00
2020-02-09,28.00
2020-02-10,28.00
2020-02-11,28.00
2020-02-12,28.00
2020-02-13,33.00
2020-02-14,28.00
2020-02-15,28.00
2020-02-16,26.00
2020-02-17,28.00
2020-02-18,26.00
2020-02-19,22.00
2020-02-20,24.00
2020-02-21,22.00
2020-02-22,22.00
2020-02-23,22.00
2020-02-24,22.00
2020-02-25,22.00
2020-02-26,22.00
2020-02-27,22.00
2020-02-28,28.00
2020-02-29,22.00
2020-03-01,35.00
2020-03-02,22.00
2020-03-04,22.00
2020-03-05,22.00
2020-03-06,22.00
2020-03-07,22.00
2020-03-08,19.00
2020-03-09,19.00
2020-03-10,19.00
2020-03-11,19.00
2020-03-12,19.00
2020-03-13,19.00
2020-03-14,19.00
2020-03-15,19.00
2020-03-16,19.00
2020-03-17,19.00
2020-03-27,28.00
2020-03-28,28.00
2020-04-05,22.00
2020-11-26,43.00
2020-11-27,48.00
2020-11-28,43.00
2020-11-29,38.00
2020-11-30,38.00
2020-12-01,30.00
2020-12-02,33.00
2020-12-03,33.00
2020-12-04,28.00
2020-12-05,29.00
2020-12-06,28.00
2020-12-07,30.00
2020-12-08,30.00
2020-12-09,23.00
2020-12-10,23.00
2020-12-11,22.00
2020-12-12,25.00
2020-12-13,28.00
2020-12-14,18.00
2020-12-15,28.00
2020-12-16,20.00
2020-12-17,23.00
2020-12-18,23.00
2020-12-19,23.00
2020-12-20,23.00
2020-12-21,28.00
2020-12-22,25.00
2020-12-23,26.00
2020-12-24,26.33
2020-12-25,30.00
2020-12-26,21.00
2020-12-27,22.33
2020-12-28,28.33
2020-12-29,30.00
2020-12-30,28.33
2020-12-31,30.00
2021-01-01,30.00
2021-01-02,30.00
2021-01-03,17.67
2021-01-04,25.00
2021-01-05,21.00
2021-01-06,23.00
2021-01-07,23.00
2021-01-08,21.00
2021-01-09,21.00
2021-01-10,19.00
2021-01-11,17.67
2021-01-12,17.50
2021-01-13,21.00
2021-01-14,22.50
2021-01-15,22.50
2021-01-16,20.00
2021-01-17,17.67
2021-01-18,18.33
2021-01-19,17.50
2021-01-20,17.50
2021-01-21,17.50
2021-01-22,13.50
2021-01-23,12.33
2021-01-24,17.67
2021-01-25,13.67
2021-01-26,13.50
2021-01-27,13.67
2021-01-28,14.00
2021-01-29,13.67
2021-01-30,13.50
2021-01-31,13.33
2021-02-01,13.50
2021-02-02,12.50
2021-02-03,11.67
2021-02-04,14.33
2021-02-05,13.50
2021-02-06,12.33
2021-02-07,13.33
2021-02-08,14.00
2021-02-09,13.50
2021-02-10,14.33
2021-02-11,12.33
2021-02-12,12.33
2021-02-13,14.00
2021-02-14,13.33
2021-02-15,13.67
2021-02-16,12.33
2021-02-17,11.75
2021-02-18,12.33
2021-02-19,12.33
2021-02-20,12.50
2021-02-21,12.33
2021-02-22,12.33
2021-02-23,11.00
2021-02-24,10.33
2021-02-25,11.00
2021-02-26,11.00
2021-02-27,12.00
2021-02-28,12.33
2021-03-01,11.00
2021-03-02,12.33
2021-03-03,12.33
2021-03-05,12.33
2021-03-06,12.50
2021-03-07,11.00
2021-03-08,12.33
2021-03-09,12.33
2021-03-10,12.33
2021-03-11,13.50
2021-03-12,12.33
2021-03-13,13.50
2021-03-14,12.33
2021-03-15,11.00
2021-03-16,11.00
2021-03-17,12.33
2021-03-18,10.00
2021-03-19,12.33
2021-03-20,12.33
2021-03-21,9.00
2021-03-22,12.50
2021-03-23,12.50
2021-03-24,12.50
2021-03-25,12.50
2021-03-26,12.50
2021-03-27,12.40
2021-03-28,11.00
2021-03-29,11.00
2021-03-30,17.67
2021-03-31,12.40
2021-04-01,14.00
2021-04-02,14.00
2021-04-03,15.80
2021-04-04,17.67
2021-04-05,19.20
2021-04-06,25.33
2021-04-07,25.00
2021-04-08,25.00
2021-04-09,23.33
2021-04-10,24.00
2021-04-11,27.60
2021-04-12,25.00
