date,avg
2019-06-05,22.00
2019-06-06,22.00
2019-06-07,22.00
2019-11-14,78.00
2019-11-15,85.00
2019-11-16,86.00
2019-11-18,78.00
2019-11-19,82.00
2019-11-20,82.00
2019-11-21,68.00
2019-11-22,68.00
2019-11-23,55.00
2019-11-24,55.00
2019-11-25,78.00
2019-11-26,52.00
2019-11-27,55.00
2019-11-28,55.00
2019-11-29,55.00
2019-11-30,55.00
2019-12-01,55.00
2019-12-02,48.00
2019-12-03,48.00
2019-12-04,48.00
2019-12-05,55.00
2019-12-06,48.00
2019-12-07,48.00
2019-12-08,48.00
2019-12-09,48.00
2019-12-10,45.00
2019-12-11,48.00
2019-12-12,48.00
2019-12-13,48.00
2019-12-14,45.00
2019-12-15,45.00
2019-12-16,48.00
2019-12-17,42.00
2019-12-18,38.00
2019-12-19,38.00
2019-12-20,33.00
2019-12-21,35.00
2019-12-22,38.00
2019-12-23,38.00
2019-12-24,38.00
2019-12-25,39.00
2019-12-26,38.00
2019-12-27,38.00
2019-12-28,38.00
2019-12-29,38.00
2019-12-30,38.00
2019-12-31,38.00
2020-01-01,38.00
2020-01-02,38.00
2020-01-03,42.00
2020-01-04,42.00
2020-01-05,42.00
2020-01-06,45.00
2020-01-07,42.00
2020-01-08,38.00
2020-01-09,33.00
2020-01-10,42.00
2020-01-11,45.00
2020-01-12,42.00
2020-01-13,42.00
2020-01-14,42.00
2020-01-15,42.00
2020-01-16,42.00
2020-01-17,48.00
2020-01-18,48.00
2020-01-19,52.00
2020-01-20,48.00
2020-01-21,33.00
2020-01-22,33.00
2020-01-23,33.00
2020-01-24,33.00
2020-01-25,22.00
2020-01-26,28.00
2020-01-27,28.00
2020-01-28,28.00
2020-01-29,28.00
2020-01-30,28.00
2020-01-31,28.00
2020-02-01,28.00
2020-02-02,28.00
2020-02-03,28.00
2020-02-04,28.00
2020-02-05,28.00
2020-02-06,29.00
2020-02-07,28.00
2020-02-08,22.00
2020-02-09,28.00
2020-02-10,28.00
2020-02-11,28.00
2020-02-12,28.00
2020-02-13,28.00
2020-02-14,28.00
2020-02-15,28.00
2020-02-16,26.00
2020-02-17,28.00
2020-02-18,26.00
2020-02-19,28.00
2020-02-20,25.00
2020-02-21,22.00
2020-02-22,28.00
2020-02-23,22.00
2020-02-24,22.00
2020-02-25,22.00
2020-02-26,22.00
2020-02-27,22.00
2020-02-28,22.00
2020-02-29,22.00
2020-03-01,35.00
2020-03-02,22.00
2020-03-04,22.00
2020-03-05,22.00
2020-03-06,22.00
2020-03-07,22.00
2020-03-08,19.00
2020-03-09,18.00
2020-03-10,19.00
2020-03-11,19.00
2020-03-12,19.00
2020-03-13,19.00
2020-03-14,19.00
2020-03-15,19.00
2020-03-16,19.00
2020-03-17,19.00
2020-03-18,22.00
2020-03-19,19.00
2020-03-20,19.00
2020-03-21,19.00
2020-03-22,19.00
2020-03-23,19.00
2020-03-25,19.00
2020-03-26,28.00
2020-03-27,28.00
2020-03-29,28.00
2020-03-30,22.00
2020-03-31,22.00
2020-04-01,22.00
2020-04-02,22.00
2020-04-03,22.00
2020-04-04,22.00
2020-04-06,22.00
2020-04-07,22.00
2020-04-08,22.00
2020-11-28,58.00
2020-11-29,48.00
2020-11-30,58.00
2020-12-01,58.00
2020-12-02,53.00
2020-12-03,48.00
2020-12-04,43.00
2020-12-05,35.00
2020-12-06,42.00
2020-12-07,38.00
2020-12-08,40.00
2020-12-09,38.00
2020-12-11,30.00
2020-12-12,35.00
2020-12-13,35.00
2020-12-14,28.00
2020-12-15,33.00
2020-12-16,30.00
2020-12-17,28.00
2020-12-18,28.00
2020-12-19,33.00
2020-12-20,38.00
2020-12-21,38.00
2020-12-22,33.33
2020-12-23,35.00
2020-12-24,35.00
2020-12-25,37.50
2020-12-26,27.50
2020-12-27,27.67
2020-12-28,32.50
2020-12-29,37.50
2020-12-30,40.00
2020-12-31,42.50
2021-01-01,37.50
2021-01-02,42.50
2021-01-03,17.67
2021-01-04,35.00
2021-01-05,28.00
2021-01-06,33.00
2021-01-07,33.00
2021-01-08,28.33
2021-01-10,17.67
2021-01-11,22.33
2021-01-12,28.33
2021-01-13,28.00
2021-01-14,32.50
2021-01-15,32.50
2021-01-16,28.33
2021-01-17,17.67
2021-01-18,27.50
2021-01-19,28.33
2021-01-20,28.33
2021-01-21,22.50
