date,avg
2015-01-01,49.00
2015-01-02,43.00
2015-01-03,48.00
2015-01-04,43.00
2015-01-05,56.00
2015-01-06,53.00
2015-01-07,43.00
2015-01-08,53.00
2015-01-09,48.00
2015-01-11,53.00
2015-01-12,37.00
2015-01-13,48.00
2015-01-14,48.00
2015-01-15,48.00
2015-01-16,45.00
2015-01-17,53.00
2015-01-18,23.00
2015-01-19,47.00
2015-01-20,48.00
2015-01-21,53.00
2015-01-22,53.00
2015-01-23,53.00
2015-01-25,25.00
2015-01-26,38.00
2015-01-27,33.00
2015-01-28,33.00
2015-01-29,23.00
2015-01-31,28.00
2015-02-01,28.00
2015-02-02,33.00
2015-02-03,28.00
2015-02-04,28.00
2015-02-05,27.00
2015-02-06,28.00
2015-02-07,28.00
2015-02-08,28.00
2015-02-09,27.00
2015-02-10,28.00
2015-02-11,23.00
2015-02-12,26.00
2015-02-13,23.00
2015-02-14,22.00
2015-02-15,23.00
2015-02-16,23.00
2015-02-18,23.00
2015-02-19,23.00
2015-02-20,26.00
2015-02-22,23.00
2015-02-23,23.00
2015-02-24,23.00
2015-02-25,28.00
2015-02-26,28.00
2015-02-27,28.00
2015-03-01,28.00
2015-03-02,23.00
2015-03-03,23.00
2015-03-06,23.00
2015-03-09,23.00
2015-03-10,23.00
2015-03-11,23.00
2015-03-12,22.00
2015-03-13,23.00
2015-03-14,21.00
2015-03-15,22.00
2015-03-16,28.00
2015-03-17,28.00
2015-03-18,23.00
2015-03-19,23.00
2015-03-20,22.00
2015-03-21,22.00
2015-03-22,36.00
2015-03-23,19.00
2015-03-24,19.00
2015-03-25,19.00
2015-03-26,19.00
2015-03-27,18.00
2015-03-28,29.00
2015-03-29,14.00
2015-03-30,28.00
2015-03-31,29.00
2015-04-01,24.00
2015-04-02,21.00
2015-04-03,28.00
2015-04-04,22.00
2015-04-05,22.00
2015-04-06,23.00
2015-04-07,20.00
2015-04-08,18.00
2015-04-10,22.00
2015-04-12,29.00
2015-04-13,28.00
2015-04-14,38.00
2015-04-15,38.00
2015-04-16,43.00
2015-04-17,42.00
2015-04-18,41.00
2015-04-19,45.00
2015-04-20,31.00
2015-04-21,32.00
2015-04-22,43.00
2015-04-23,33.00
2015-04-24,32.00
2015-04-25,33.00
2015-04-26,32.00
2015-04-27,32.00
2015-04-28,43.00
2015-04-29,43.00
2015-04-30,38.00
2015-05-01,33.00
2015-05-02,33.00
2015-05-03,19.00
2015-05-04,33.00
2015-05-05,38.00
2015-05-06,36.00
2015-05-07,33.00
2015-05-08,33.00
2015-05-10,28.00
2015-05-11,23.00
2015-05-12,22.00
2015-05-13,23.00
2015-05-14,21.00
2015-05-15,23.00
2015-05-16,20.00
2015-05-17,21.00
2015-05-18,20.00
2015-05-19,20.00
2015-05-20,20.00
2015-05-21,19.00
2015-05-22,19.00
2015-05-23,19.00
2015-05-24,19.00
2015-05-25,19.00
2015-05-26,19.00
2015-05-27,19.00
2015-05-28,19.00
2015-05-29,19.00
2015-05-30,19.00
2015-05-31,19.00
2015-06-01,19.00
2015-06-02,19.00
2015-06-03,19.00
2015-06-04,23.00
2015-06-05,22.00
2015-06-06,26.00
2015-06-07,24.00
2015-06-08,28.00
2015-06-09,33.00
2015-06-10,33.00
2015-06-11,35.00
2015-06-12,36.00
2015-06-13,36.00
2015-06-14,37.00
2015-06-15,38.00
2015-06-16,33.00
2015-06-17,38.00
2015-06-18,38.00
2015-06-19,37.00
2015-06-20,34.00
2015-06-21,39.00
2015-06-22,39.00
2015-06-23,39.00
2015-06-24,38.00
2015-06-25,42.00
2015-06-26,38.00
2015-06-27,30.00
2015-06-28,58.00
2015-06-29,55.00
2015-06-30,55.00
2015-07-01,48.00
2015-07-02,55.00
2015-07-03,55.00
2015-07-04,47.00
2015-07-05,55.00
2015-07-06,55.00
2015-07-07,55.00
2015-07-08,55.00
2015-07-09,45.00
2015-07-10,65.00
2015-07-11,65.00
2015-07-12,65.00
2015-07-13,65.00
2015-07-14,65.00
2015-07-15,55.00
2015-07-16,55.00
2015-07-17,65.00
2015-07-18,56.00
2015-07-19,55.00
2015-07-20,63.00
2015-07-21,75.00
2015-07-22,65.00
2015-07-23,65.00
2015-07-24,65.00
2015-07-25,55.00
2015-07-26,64.00
2015-07-27,65.00
2015-07-28,65.00
2015-07-29,63.00
2015-07-30,65.00
2015-07-31,66.00
