date,avg
2015-01-01,33.00
2015-01-02,33.00
2015-01-03,33.00
2015-01-04,28.00
2015-01-05,20.00
2015-01-06,20.00
2015-01-07,21.00
2015-01-08,18.00
2015-01-09,17.00
2015-01-11,12.00
2015-01-12,16.00
2015-01-13,18.00
2015-01-14,19.00
2015-01-15,21.00
2015-01-16,19.00
2015-01-17,20.00
2015-01-18,20.00
2015-01-19,17.00
2015-01-20,18.00
2015-01-21,20.00
2015-01-22,20.00
2015-01-23,20.00
2015-01-25,17.00
2015-01-26,18.00
2015-01-27,16.00
2015-01-28,14.00
2015-01-29,16.00
2015-01-31,15.00
2015-02-01,21.00
2015-02-02,18.00
2015-02-03,19.00
2015-02-04,18.00
2015-02-05,18.00
2015-02-06,17.00
2015-02-07,17.00
2015-02-08,18.00
2015-02-09,18.00
2015-02-10,17.00
2015-02-11,19.00
2015-02-12,18.00
2015-02-13,18.00
2015-02-14,15.00
2015-02-15,15.00
2015-02-16,14.00
2015-02-18,14.00
2015-02-19,13.00
2015-02-20,13.00
2015-02-22,15.00
2015-02-23,15.00
2015-02-24,8.00
2015-02-25,10.00
2015-02-26,6.00
2015-02-27,6.00
2015-03-01,7.00
2015-03-02,9.00
2015-03-09,7.00
2015-03-10,8.00
2015-03-11,8.00
2015-03-12,9.00
2015-03-13,11.00
2015-03-14,13.00
2015-03-15,14.00
2015-03-16,14.00
2015-03-17,14.00
2015-03-18,14.00
2015-03-19,14.00
2015-03-20,14.00
2015-03-21,14.00
2015-03-22,14.00
2015-03-23,14.00
2015-03-24,14.00
2015-03-25,14.00
2015-03-26,14.00
2015-03-27,11.00
2015-04-03,16.00
2015-04-04,19.00
2015-04-05,19.00
2015-04-06,18.00
2015-04-07,19.00
2015-04-08,28.00
2015-04-10,23.00
2016-01-04,28.00
2016-01-05,22.00
2016-01-06,22.00
2016-01-07,22.00
2016-01-08,22.00
2016-01-09,22.00
2016-01-10,22.00
2016-01-11,18.00
2016-01-12,18.00
2016-01-13,22.00
2016-01-14,18.00
2016-01-15,18.00
2016-01-16,22.00
2016-01-17,18.00
2016-01-18,18.00
2016-01-19,19.00
2016-01-20,18.00
2016-01-21,18.00
2016-01-22,22.00
2016-01-23,18.00
2016-01-24,18.00
2016-01-25,22.00
2016-01-26,22.00
2016-01-27,25.00
2016-01-28,19.00
2016-01-29,22.00
2016-01-30,22.00
2016-01-31,22.00
2016-02-01,22.00
2016-02-02,22.00
2016-02-03,22.00
2016-02-04,22.00
2016-02-05,22.00
2016-02-06,23.00
2016-02-07,19.00
2016-02-08,19.00
2016-02-09,19.00
2016-02-10,19.00
2016-02-11,19.00
2016-02-12,18.00
2016-02-13,18.00
2016-02-14,19.00
2016-02-15,19.00
2016-02-16,19.00
2016-02-17,22.00
2016-02-18,28.00
2016-02-19,22.00
2016-02-20,19.00
2016-02-21,28.00
2016-02-22,22.00
2016-02-23,22.00
2016-02-24,22.00
2016-02-25,22.00
2016-02-26,22.00
2016-02-27,21.00
2016-02-28,28.00
2016-02-29,28.00
2016-03-01,22.00
2016-03-02,22.00
2016-03-04,28.00
2016-03-05,27.00
2016-03-06,25.00
2016-03-07,28.00
2016-03-08,28.00
2016-03-09,25.00
2016-03-10,28.00
2016-03-11,35.00
2016-03-12,25.00
2016-03-13,21.00
2016-03-15,22.00
2016-03-16,22.00
2016-03-17,23.00
2016-03-18,22.00
2016-03-19,22.00
2016-03-20,35.00
2016-03-21,42.00
2016-03-22,42.00
2016-03-23,38.00
2016-03-24,45.00
2016-11-19,45.00
2016-11-21,38.00
2016-11-22,42.00
2016-11-23,42.00
2016-11-24,33.00
2016-11-25,42.00
2016-11-26,33.00
2016-11-27,22.00
2016-11-28,25.00
2016-11-29,25.00
2016-11-30,25.00
2016-12-01,22.00
2016-12-02,25.00
2016-12-03,23.00
2016-12-04,25.00
2016-12-05,25.00
2016-12-06,22.00
2016-12-07,22.00
2016-12-08,22.00
2016-12-09,28.00
2016-12-10,30.00
2016-12-11,33.00
2016-12-12,33.00
2016-12-13,33.00
2016-12-14,33.00
2016-12-15,28.00
2016-12-16,34.00
2016-12-17,28.00
2016-12-18,33.00
2016-12-19,28.00
2016-12-20,28.00
2016-12-21,28.00
