date,avg
2013-04-15,165.00
2013-04-16,165.00
2013-04-17,166.00
2013-04-18,165.00
2013-04-21,175.00
2013-04-22,178.00
2013-04-23,175.00
2013-04-25,175.00
2013-04-26,177.00
2013-04-28,175.00
2013-04-29,175.00
2013-04-30,175.00
2013-05-02,175.00
2013-05-03,175.00
2013-05-05,175.00
2013-05-06,175.00
2013-05-07,175.00
2013-05-08,175.00
2013-05-09,175.00
2013-05-10,175.00
2013-05-12,175.00
2013-05-13,175.00
2013-05-14,175.00
2013-05-15,175.00
2013-05-16,175.00
2013-05-17,175.00
2013-05-19,175.00
2013-05-20,175.00
2013-05-21,155.00
2013-05-22,155.00
2013-05-23,155.00
2013-05-24,155.00
2013-05-26,155.00
2013-05-27,155.00
2013-05-28,155.00
2013-05-30,155.00
2013-05-31,155.00
2013-06-02,145.00
2013-06-03,145.00
2013-06-04,155.00
2013-06-05,155.00
2013-06-06,155.00
2013-06-09,155.00
2013-06-10,165.00
2013-06-11,177.00
2013-06-12,175.00
2013-06-13,175.00
2013-06-14,175.00
2013-06-16,175.00
2013-06-17,175.00
2013-06-18,175.00
2013-06-19,175.00
2013-06-20,175.00
2013-06-21,175.00
2013-06-25,175.00
2013-06-26,175.00
2013-06-27,175.00
2013-06-28,175.00
2013-06-30,175.00
2013-07-01,175.00
2013-07-02,175.00
2013-07-03,175.00
2013-07-04,175.00
2013-07-05,175.00
2013-07-09,175.00
2013-07-10,175.00
2013-07-11,175.00
2013-07-12,175.00
2013-07-14,175.00
2013-07-15,175.00
2013-07-16,175.00
2013-07-17,175.00
2013-07-18,175.00
2013-07-19,175.00
2013-07-21,175.00
2013-07-22,175.00
2013-07-23,175.00
2013-07-24,175.00
2013-07-25,175.00
2013-07-26,175.00
2013-07-28,175.00
2013-07-29,175.00
2013-07-30,175.00
2013-07-31,175.00
2013-08-01,175.00
2013-08-02,175.00
2013-08-04,175.00
2013-08-05,175.00
2013-08-06,175.00
2013-08-07,175.00
2013-08-08,175.00
2013-08-13,175.00
2013-08-14,175.00
2013-08-15,175.00
2013-08-16,175.00
2013-08-18,175.00
2013-08-19,175.00
2013-08-20,175.00
2013-08-23,175.00
2013-08-25,175.00
2013-08-26,175.00
2013-08-27,175.00
2013-08-29,175.00
2013-08-30,175.00
2013-09-01,175.00
2013-09-02,185.00
2013-09-03,185.00
2013-09-04,173.00
2013-09-05,173.00
2013-09-06,173.00
2013-09-08,173.00
2013-09-09,173.00
2013-09-10,173.00
2013-09-11,173.00
2013-09-12,173.00
2013-09-13,168.00
2013-09-15,173.00
2013-09-16,173.00
2013-09-17,173.00
2013-09-19,173.00
2013-09-20,173.00
2013-09-22,173.00
2013-09-23,173.00
2013-09-24,173.00
2013-09-25,175.00
2013-09-26,173.00
2013-09-27,165.00
2013-09-29,165.00
2013-09-30,165.00
2013-10-01,165.00
2013-10-02,165.00
2013-10-03,165.00
2013-10-04,165.00
2013-10-06,165.00
2013-10-07,165.00
2013-10-08,165.00
2013-10-09,165.00
2013-10-10,165.00
2013-10-11,165.00
2013-10-12,163.00
2013-10-13,115.00
2013-10-14,165.00
2013-10-15,165.00
2013-10-16,167.00
2013-10-17,165.00
2013-10-20,165.00
2013-10-21,165.00
2013-10-22,165.00
2013-10-23,165.00
2013-10-24,165.00
2013-10-25,165.00
2013-10-27,165.00
2013-10-28,165.00
2013-10-29,165.00
2013-10-30,165.00
2013-10-31,165.00
2013-11-01,165.00
2013-11-03,165.00
2013-11-04,165.00
2013-11-05,165.00
2013-11-06,165.00
2013-11-07,175.00
2013-11-10,193.00
2013-11-11,190.00
2013-11-12,190.00
2013-11-13,190.00
2013-11-14,190.00
2013-11-15,190.00
2013-11-16,190.00
2013-11-17,190.00
2013-11-18,190.00
2013-11-20,190.00
2013-11-21,190.00
2013-11-22,195.00
2013-11-24,195.00
2013-11-25,205.00
2013-11-26,205.00
2013-11-27,205.00
2013-11-28,205.00
2013-11-29,205.00
2013-12-01,220.00
2013-12-02,205.00
2013-12-03,205.00
2013-12-04,205.00
2013-12-05,205.00
2013-12-06,215.00
2013-12-08,225.00
2013-12-09,226.00
2013-12-10,225.00
2013-12-11,225.00
2013-12-12,225.00
2013-12-13,227.00
2013-12-15,223.00
2013-12-16,225.00
2013-12-18,225.00
2013-12-19,225.00
2013-12-20,225.00
2013-12-22,225.00
2013-12-23,225.00
2013-12-24,235.00
2013-12-26,225.00
2013-12-27,225.00
2013-12-29,235.00
2013-12-31,225.00
2014-01-01,235.00
2014-01-02,235.00
2014-01-03,235.00
2014-01-05,235.00
2014-01-06,237.00
2014-01-07,237.00
2014-01-08,237.00
2014-01-09,237.00
2014-01-10,237.00
2014-01-12,237.00
2014-01-13,237.00
2014-01-14,237.00
2014-01-16,237.00
2014-01-17,237.00
2014-01-19,237.00
2014-01-20,235.00
2014-01-21,237.00
2014-01-22,237.00
2014-01-23,237.00
2014-01-24,237.00
2014-01-26,235.00
2014-01-27,235.00
2014-01-28,237.00
2014-01-29,235.00
2014-02-02,230.00
2014-02-03,235.00
2014-02-04,237.00
2014-02-05,235.00
2014-02-06,236.00
2014-02-07,237.00
2014-02-08,215.00
2014-02-09,236.00
2014-02-10,236.00
2014-02-11,225.00
2014-02-12,226.00
2014-02-13,237.00
2014-02-14,237.00
2014-02-16,237.00
2014-02-17,237.00
2014-02-18,237.00
2014-02-20,237.00
2014-02-21,237.00
2014-02-23,237.00
2014-02-24,237.00
2014-02-25,237.00
2014-02-26,235.00
2014-02-28,237.00
2014-03-03,237.00
2014-03-05,237.00
2014-03-06,235.00
2014-03-07,235.00
2014-03-09,233.00
2014-03-10,237.00
2014-03-11,237.00
2014-03-12,235.00
2014-03-13,237.00
2014-03-14,237.00
2014-03-17,237.00
2014-03-18,210.00
2014-03-19,207.00
2014-03-20,207.00
2014-03-21,203.00
2014-03-23,147.00
2014-03-24,196.00
2014-03-25,197.00
2014-03-26,197.00
2014-03-27,197.00
2014-03-28,197.00
2014-03-31,195.00
2014-04-01,197.00
2014-04-02,195.00
2014-04-03,210.00
2014-04-04,210.00
2014-04-06,210.00
2014-04-07,210.00
2014-04-09,195.00
2014-04-10,197.00
2014-04-11,187.00
2014-04-13,185.00
2014-04-15,195.00
2014-04-16,177.00
2014-04-17,185.00
2014-04-18,185.00
2014-04-20,187.00
2014-04-21,185.00
2014-04-22,175.00
2014-04-23,175.00
2014-04-25,175.00
2014-04-27,185.00
2014-04-28,195.00
2014-04-29,207.00
2014-04-30,207.00
2014-05-02,207.00
2014-05-04,217.00
2014-05-05,203.00
2014-05-06,207.00
2014-05-07,217.00
2014-05-08,203.00
2014-05-09,207.00
2014-05-11,217.00
2014-05-12,213.00
2014-05-13,217.00
2014-05-15,175.00
2014-05-16,177.00
2014-05-18,183.00
2014-05-19,173.00
2014-05-20,177.00
2014-05-21,177.00
2014-05-22,177.00
2014-05-23,173.00
2014-05-25,177.00
2014-05-26,177.00
2014-05-27,177.00
2014-05-28,175.00
2014-05-30,177.00
2014-06-01,177.00
2014-06-02,177.00
2014-06-03,173.00
2014-06-04,177.00
2014-06-05,177.00
2014-06-06,173.00
2014-06-08,175.00
2014-06-09,177.00
2014-06-10,175.00
2014-06-11,175.00
2014-06-12,185.00
2014-06-13,177.00
2014-06-15,187.00
2014-06-16,175.00
2014-06-17,177.00
2014-06-18,177.00
2014-06-19,175.00
2014-06-20,177.00
2014-06-23,177.00
2014-06-24,177.00
2014-06-25,197.00
2014-06-26,193.00
2014-06-27,197.00
2014-06-29,195.00
2014-06-30,197.00
2014-07-01,197.00
2014-07-02,197.00
2014-07-03,197.00
2014-07-04,195.00
2014-07-05,195.00
2014-07-06,197.00
2014-07-07,197.00
2014-07-08,197.00
2014-07-09,197.00
2014-07-10,197.00
2014-07-11,197.00
2014-07-12,196.00
2014-07-13,197.00
2014-07-14,197.00
2014-07-15,197.00
2014-07-16,190.00
2014-07-17,196.00
2014-07-18,197.00
2014-07-19,196.00
2014-07-20,197.00
2014-07-21,197.00
2014-07-22,190.00
2014-07-23,190.00
2014-07-24,197.00
2014-07-25,197.00
2014-07-26,188.00
2014-07-27,183.00
2014-07-28,207.00
2014-07-29,207.00
2014-07-30,207.00
2014-07-31,207.00
2014-08-01,217.00
2014-08-03,217.00
2014-08-04,217.00
2014-08-05,217.00
2014-08-06,217.00
2014-08-07,217.00
2014-08-08,217.00
2014-08-09,216.00
2014-08-10,216.00
2014-08-11,216.00
2014-08-12,216.00
2014-08-13,217.00
2014-08-14,217.00
2014-08-15,217.00
2014-08-16,214.00
2014-08-17,216.00
2014-08-18,217.00
2014-08-19,217.00
2014-08-20,217.00
2014-08-21,227.00
2014-08-22,227.00
2014-08-23,226.00
2014-08-24,223.00
2014-08-25,227.00
2014-08-26,227.00
2014-08-27,227.00
2014-08-28,227.00
2014-08-29,227.00
2014-08-31,215.00
2014-09-01,217.00
2014-09-02,216.00
2014-09-03,217.00
2014-09-04,217.00
2014-09-05,217.00
2014-09-06,216.00
2014-09-07,213.00
2014-09-08,216.00
2014-09-09,217.00
2014-09-10,213.00
2014-09-11,207.00
2014-09-12,210.00
2014-09-13,216.00
2014-09-14,217.00
2014-09-15,207.00
2014-09-16,207.00
2014-09-17,206.00
2014-09-18,197.00
2014-09-19,198.00
2014-09-20,196.00
2014-09-21,193.00
2014-09-22,193.00
2014-09-23,193.00
2014-09-24,197.00
2014-09-26,197.00
2014-09-28,197.00
2014-09-29,197.00
2014-09-30,197.00
2014-10-08,197.00
2014-10-09,187.00
2014-10-10,183.00
2014-10-12,187.00
2014-10-13,187.00
2014-10-14,187.00
2014-10-15,185.00
2014-10-16,187.00
2014-10-17,183.00
2014-10-19,187.00
2014-10-20,187.00
2014-10-21,187.00
2014-10-22,187.00
2014-10-23,183.00
2014-10-24,178.00
2014-10-25,178.00
2014-10-26,177.00
2014-10-27,185.00
2014-10-28,187.00
2014-10-29,185.00
2014-10-30,187.00
2014-10-31,187.00
2014-11-01,186.00
2014-11-02,187.00
2014-11-03,187.00
2014-11-04,187.00
2014-11-05,187.00
2014-11-06,217.00
2014-11-07,217.00
2014-11-08,212.00
2014-11-09,217.00
2014-11-10,217.00
2014-11-11,217.00
2014-11-12,216.00
2014-11-13,217.00
2014-11-14,217.00
2014-11-15,216.00
2014-11-16,217.00
2014-11-17,217.00
2014-11-18,217.00
2014-11-19,217.00
2014-11-20,217.00
2014-11-21,217.00
2014-11-22,216.00
2014-11-23,217.00
2014-11-24,217.00
2014-11-25,217.00
2014-11-26,216.00
2014-11-27,217.00
2014-11-28,217.00
2014-11-29,216.00
2014-11-30,217.00
2014-12-01,217.00
2014-12-02,217.00
2014-12-03,217.00
2014-12-04,217.00
2014-12-05,217.00
2014-12-06,216.00
2014-12-07,217.00
2014-12-08,225.00
2014-12-09,213.00
2014-12-10,217.00
2014-12-11,217.00
2014-12-12,217.00
2014-12-13,216.00
2014-12-14,217.00
2014-12-15,217.00
2014-12-16,203.00
2014-12-17,210.00
2014-12-18,207.00
2014-12-19,206.00
2014-12-21,207.00
2014-12-22,207.00
2014-12-23,207.00
2014-12-24,203.00
2014-12-25,204.00
2014-12-26,207.00
2014-12-27,204.00
2014-12-28,205.00
2014-12-29,207.00
2014-12-30,204.00
2014-12-31,217.00
2015-01-01,208.00
2015-01-02,207.00
2015-01-03,204.00
2015-01-04,207.00
2015-01-05,207.00
2015-01-06,206.00
2015-01-07,207.00
2015-01-08,207.00
2015-01-09,207.00
2015-01-11,190.00
2015-01-12,190.00
2015-01-13,193.00
2015-01-14,197.00
2015-01-15,197.00
2015-01-16,196.00
2015-01-17,196.00
2015-01-18,53.00
2015-01-19,197.00
2015-01-20,195.00
2015-01-21,196.00
2015-01-22,193.00
2015-01-23,193.00
2015-01-25,193.00
2015-01-26,188.00
2015-01-27,193.00
2015-01-28,190.00
2015-01-29,193.00
2015-01-31,188.00
2015-02-01,190.00
2015-02-02,193.00
2015-02-03,197.00
2015-02-04,197.00
2015-02-05,190.00
2015-02-06,188.00
2015-02-07,196.00
2015-02-08,197.00
2015-02-09,190.00
2015-02-10,197.00
2015-02-11,188.00
2015-02-12,196.00
2015-02-13,188.00
2015-02-14,188.00
2015-02-15,188.00
2015-02-16,193.00
2015-02-18,197.00
2015-02-19,190.00
2015-02-20,187.00
2015-02-22,197.00
2015-02-23,197.00
2015-02-24,190.00
2015-02-25,193.00
2015-02-26,197.00
2015-02-27,196.00
2015-03-01,197.00
2015-03-02,197.00
2015-03-03,197.00
2015-03-06,197.00
2015-03-09,197.00
2015-03-10,197.00
2015-03-11,197.00
2015-03-12,197.00
2015-03-13,197.00
2015-03-14,196.00
2015-03-16,197.00
2015-03-17,197.00
2015-03-18,197.00
2015-03-19,197.00
2015-03-20,196.00
2015-03-21,196.00
2015-03-22,197.00
2015-03-23,197.00
2015-03-24,197.00
2015-03-25,197.00
2015-03-26,197.00
2015-03-27,194.00
2015-03-28,205.00
2015-03-29,205.00
2015-03-30,205.00
2015-03-31,205.00
2015-04-01,205.00
2015-04-02,200.00
2015-04-03,196.00
2015-04-04,196.00
2015-04-05,196.00
2015-04-06,43.00
2015-04-07,197.00
2015-04-08,197.00
2015-04-10,197.00
2015-04-12,195.00
2015-04-13,197.00
2015-04-14,195.00
2015-04-15,197.00
2015-04-16,197.00
2015-04-17,196.00
2015-04-18,195.00
2015-04-19,195.00
2015-04-20,197.00
2015-04-21,197.00
2015-04-22,197.00
2015-04-23,195.00
2015-04-24,196.00
2015-04-25,196.00
2015-04-26,195.00
2015-04-27,195.00
2015-04-28,195.00
2015-04-29,197.00
2015-04-30,197.00
2015-05-01,196.00
2015-05-02,197.00
2015-05-03,197.00
2015-05-04,195.00
2015-05-05,195.00
2015-05-06,197.00
2015-05-07,195.00
2015-05-08,197.00
2015-05-10,197.00
2015-05-11,197.00
2015-05-12,194.00
2015-05-13,195.00
2015-05-14,195.00
2015-05-15,195.00
2015-05-16,200.00
2015-05-17,197.00
2015-05-18,195.00
2015-05-19,195.00
2015-05-20,195.00
2015-05-21,195.00
2015-05-22,195.00
2015-05-23,190.00
2015-05-24,195.00
2015-05-25,195.00
2015-05-26,195.00
2015-05-27,195.00
2015-05-28,195.00
2015-05-29,195.00
2015-05-30,195.00
2015-05-31,195.00
2015-06-01,205.00
2015-06-02,213.00
2015-06-03,205.00
2015-06-04,217.00
2015-06-05,225.00
2015-06-06,200.00
2015-06-07,205.00
2015-06-08,205.00
2015-06-09,205.00
2015-06-10,215.00
2015-06-11,215.00
2015-06-12,215.00
2015-06-13,205.00
2015-06-14,225.00
2015-06-15,205.00
2015-06-16,225.00
2015-06-17,195.00
2015-06-18,205.00
2015-06-19,205.00
2015-06-20,215.00
2015-06-21,205.00
2015-06-22,205.00
2015-06-23,205.00
2015-06-24,205.00
2015-06-25,205.00
2015-06-26,205.00
2015-06-27,210.00
2015-06-28,205.00
2015-06-29,205.00
2015-06-30,205.00
2015-07-01,205.00
2015-07-02,205.00
2015-07-03,205.00
2015-07-04,205.00
2015-07-05,205.00
2015-07-06,205.00
2015-07-07,205.00
2015-07-08,205.00
2015-07-09,205.00
2015-07-10,205.00
2015-07-11,207.00
2015-07-12,205.00
2015-07-13,205.00
2015-07-14,205.00
2015-07-15,205.00
2015-07-16,205.00
2015-07-17,205.00
2015-07-18,205.00
2015-07-19,205.00
2015-07-20,205.00
2015-07-21,215.00
2015-07-22,205.00
2015-07-23,205.00
2015-07-24,205.00
2015-07-25,205.00
2015-07-26,205.00
2015-07-27,205.00
2015-07-28,205.00
2015-07-29,205.00
2015-07-30,205.00
2015-07-31,205.00
2015-08-01,205.00
2015-08-02,205.00
2015-08-03,205.00
2015-08-04,205.00
2015-08-05,205.00
2015-08-06,205.00
2015-08-07,205.00
2015-08-08,205.00
2015-08-09,205.00
2015-08-10,205.00
2015-08-11,205.00
2015-08-12,205.00
2015-08-13,205.00
2015-08-14,205.00
2015-08-15,205.00
2015-08-16,205.00
2015-08-17,205.00
2015-08-18,205.00
2015-08-19,205.00
2015-08-20,205.00
2015-08-21,205.00
2015-08-22,205.00
2015-08-23,205.00
2015-08-24,205.00
2015-08-25,205.00
2015-08-26,205.00
2015-08-27,215.00
2015-08-28,205.00
2015-08-29,205.00
2015-08-30,207.00
2015-08-31,205.00
2015-09-01,205.00
2015-09-02,205.00
2015-09-03,220.00
2015-09-04,215.00
2015-09-05,215.00
2015-09-06,215.00
2015-09-07,215.00
2015-09-08,215.00
2015-09-09,215.00
2015-09-10,215.00
2015-09-11,215.00
2015-09-12,215.00
2015-09-13,215.00
2015-09-14,215.00
2015-09-15,215.00
2015-09-16,225.00
2015-09-17,225.00
2015-09-18,225.00
2015-09-19,225.00
2015-09-20,235.00
2015-09-21,235.00
2015-09-22,235.00
2015-09-23,235.00
2015-09-24,235.00
2015-09-25,235.00
2015-09-26,235.00
2015-09-27,237.00
2015-09-28,235.00
2015-09-29,235.00
2015-09-30,235.00
2015-10-01,235.00
2015-10-02,235.00
2015-10-03,235.00
2015-10-04,235.00
2015-10-05,235.00
2015-10-06,235.00
2015-10-07,235.00
2015-10-08,235.00
2015-10-09,255.00
2015-10-10,255.00
2015-10-11,245.00
2015-10-12,245.00
2015-10-13,177.00
2015-10-14,275.00
2015-10-15,275.00
2015-10-16,275.00
2015-10-17,275.00
2015-10-18,275.00
2015-10-19,275.00
2015-10-20,275.00
2015-10-21,275.00
2015-10-22,275.00
2015-10-23,275.00
2015-10-24,275.00
2015-10-25,275.00
2015-10-26,275.00
2015-10-27,275.00
2015-10-28,275.00
2015-10-29,275.00
2015-10-30,275.00
2015-10-31,275.00
2015-11-01,275.00
2015-11-02,275.00
2015-11-03,275.00
2015-11-04,275.00
2015-11-05,275.00
2015-11-06,275.00
2015-11-07,275.00
2015-11-08,275.00
2015-11-09,275.00
2015-11-10,275.00
2015-11-11,275.00
2015-11-12,275.00
2015-11-13,275.00
2015-11-14,275.00
2015-11-15,275.00
2015-11-16,275.00
2015-11-17,275.00
2015-11-18,275.00
2015-11-19,275.00
2015-11-20,275.00
2015-11-21,275.00
2015-11-22,275.00
2015-11-23,275.00
2015-11-24,275.00
2015-11-25,275.00
2015-11-26,275.00
2015-11-27,275.00
2015-11-28,275.00
2015-11-29,275.00
2015-11-30,275.00
2015-12-01,275.00
2015-12-02,275.00
2015-12-03,275.00
2015-12-04,275.00
2015-12-05,275.00
2015-12-06,275.00
2015-12-07,275.00
2015-12-08,275.00
2015-12-09,275.00
