date,avg
2019-05-31,45.00
2019-06-02,48.00
2019-06-03,48.00
2019-06-04,48.00
2019-06-05,48.00
2019-06-06,38.00
2019-06-07,33.00
2019-06-08,33.00
2019-06-09,38.00
2019-06-10,38.00
2019-06-11,33.00
2019-06-12,38.00
2019-06-13,48.00
2019-06-14,48.00
2019-06-15,48.00
2019-06-16,42.00
2019-06-17,42.00
2019-06-18,42.00
2019-06-19,48.00
2019-06-20,48.00
2019-06-21,38.00
2019-06-22,38.00
2019-06-23,38.00
2019-06-24,33.00
2019-06-25,38.00
2019-06-26,38.00
2019-06-27,38.00
2019-06-28,38.00
2019-06-29,38.00
2019-06-30,38.00
2019-07-01,38.00
2019-07-02,38.00
2019-07-03,38.00
2019-07-04,38.00
2019-07-05,38.00
2019-07-06,38.00
2019-07-07,38.00
2019-07-08,38.00
2019-07-09,38.00
2019-07-10,68.00
2019-07-11,38.00
2019-07-12,52.00
2019-07-13,58.00
2019-07-14,58.00
2019-07-15,58.00
2019-07-16,52.00
2019-07-17,58.00
2019-07-18,58.00
2019-07-19,52.00
2019-07-20,58.00
2019-07-21,58.00
2019-07-22,58.00
2019-07-23,62.00
2019-07-24,58.00
2019-07-25,58.00
2019-07-26,48.00
2019-07-27,48.00
2019-07-28,52.00
2019-07-29,55.00
2019-07-30,52.00
2019-07-31,58.00
2019-08-01,58.00
2019-08-02,58.00
2019-08-03,58.00
2019-08-04,68.00
2019-08-05,65.00
2019-08-06,70.00
2019-08-07,68.00
2019-08-08,58.00
2019-08-09,52.00
2019-08-10,38.00
2019-08-11,38.00
2019-08-12,43.00
2019-08-13,48.00
2019-08-14,42.00
2019-08-15,53.00
2019-08-16,55.00
2019-08-17,48.00
2019-08-18,48.00
2019-08-19,53.00
2019-08-20,55.00
2019-08-21,55.00
2019-08-22,55.00
2019-08-23,48.00
2019-08-24,55.00
2019-08-25,58.00
2019-08-26,55.00
2019-08-27,55.00
2019-08-28,48.00
2019-08-29,55.00
2019-08-30,52.00
2019-08-31,48.00
2019-09-01,43.00
2019-09-03,48.00
2019-09-04,58.00
2019-09-05,43.00
2019-09-06,48.00
2019-09-07,45.00
2019-09-08,48.00
2019-09-09,48.00
2019-09-10,48.00
2019-09-11,48.00
2019-09-12,48.00
2019-09-13,48.00
2019-09-14,58.00
2019-09-15,58.00
2019-09-16,62.00
2019-09-22,65.00
2019-09-24,98.00
2019-09-25,98.00
2019-09-26,98.00
2020-04-13,78.00
2020-04-14,78.00
2020-04-15,78.00
2020-04-16,65.00
2020-04-17,65.00
2020-04-25,38.00
2020-06-01,22.00
2020-06-04,22.00
2020-06-05,28.00
2020-06-06,22.00
2020-06-07,22.00
2020-06-08,22.00
2020-06-09,22.00
2020-06-10,22.00
2020-06-11,22.00
2020-06-12,22.00
2020-06-13,18.00
2020-06-14,18.00
2020-06-15,22.00
2020-06-16,12.00
2020-06-17,12.00
2020-06-18,18.00
2020-06-19,18.00
2020-06-20,18.00
2020-06-21,18.00
2020-06-22,18.00
2020-06-23,18.00
2020-06-24,18.00
2020-06-25,18.00
2020-06-26,18.00
2020-06-27,22.00
2020-06-28,28.00
2020-06-29,22.00
2020-06-30,28.00
2020-07-01,28.00
2020-07-02,28.00
2020-07-03,28.00
2020-07-06,78.00
2020-07-07,78.00
2020-07-08,95.00
2020-07-09,85.00
2020-07-10,78.00
2020-07-11,85.00
2020-07-13,85.00
2020-07-14,85.00
2020-07-15,85.00
2020-07-16,85.00
2020-07-17,85.00
2020-07-18,85.00
2020-07-19,85.00
2020-07-20,95.00
2020-07-21,95.00
2020-07-22,95.00
2020-07-23,95.00
2020-07-24,95.00
2020-07-25,95.00
2020-07-26,95.00
2020-07-27,95.00
2020-07-28,95.00
2020-07-29,95.00
2020-07-30,95.00
2020-07-31,95.00
2020-08-01,95.00
2020-08-02,95.00
2020-08-03,85.00
2020-08-04,85.00
2020-08-05,85.00
2020-08-06,75.00
2020-08-07,85.00
2020-08-08,75.00
2020-08-09,75.00
2020-08-10,75.00
2020-08-11,85.00
2020-08-12,85.00
2020-08-13,85.00
2020-08-14,85.00
2020-08-15,65.00
2020-08-16,75.00
2020-08-17,75.00
2020-08-18,75.00
2020-08-19,75.00
2020-08-20,75.00
2020-08-21,65.00
2020-08-22,65.00
2020-08-23,55.00
2020-08-24,55.00
2020-08-25,55.00
2020-08-26,53.00
2020-08-27,53.00
2020-08-30,48.00
2020-08-31,48.00
2020-09-01,48.00
2020-09-02,45.00
2020-09-03,48.00
2020-09-04,48.00
2020-09-05,48.00
2020-09-06,55.00
2020-09-07,65.00
2020-09-08,65.00
2020-09-09,55.00
2020-09-10,62.00
2020-09-11,78.00
2020-09-12,75.00
2020-09-13,78.00
2020-09-14,82.00
2020-09-15,85.00
2020-09-16,88.00
2020-09-17,78.00
2020-09-18,78.00
2020-09-19,75.00
2020-09-20,95.00
2020-09-21,95.00
2020-09-22,78.00
2020-09-23,85.00
2020-09-24,85.00
2020-09-25,98.00
2020-09-26,115.00
2020-09-27,95.00
2020-09-28,98.00
2020-09-29,95.00
2020-09-30,95.00
2020-10-01,95.00
2020-10-02,95.00
2020-10-03,105.00
2020-10-04,95.00
2020-10-05,95.00
2020-10-06,115.00
2020-10-07,105.00
2020-10-08,95.00
2020-10-09,115.00
2020-10-10,115.00
2020-10-11,115.00
2020-10-12,115.00
2020-10-13,115.00
2020-10-14,115.00
2020-10-15,115.00
2020-10-16,115.00
2020-10-17,115.00
2020-10-18,105.00
2020-10-19,110.00
2020-11-02,58.00
2020-11-04,75.00
2020-11-05,75.00
2020-11-06,75.00
2020-11-07,75.00
2020-11-08,75.00
2020-11-12,57.00
2020-11-13,75.00
2020-11-14,75.00
2020-11-15,75.00
2020-11-23,77.00
2020-11-24,75.00
2020-11-25,85.00
2020-11-26,75.00
2020-11-27,75.00
2020-11-28,75.00
2020-11-30,75.00
2020-12-01,75.00
2020-12-07,87.00
2020-12-08,113.00
2020-12-09,110.00
2020-12-10,110.00
2020-12-11,85.00
2020-12-12,95.00
2020-12-13,85.00
2020-12-14,85.00
2020-12-15,77.00
2020-12-16,77.00
2020-12-17,85.00
2020-12-18,85.00
2020-12-19,95.00
2020-12-20,95.00
2020-12-21,117.00
2020-12-22,115.00
2020-12-23,95.00
2020-12-24,96.67
2020-12-25,96.67
2020-12-26,96.67
2020-12-27,95.00
2020-12-28,86.67
2020-12-29,85.00
2020-12-30,75.00
2020-12-31,76.67
2021-01-01,76.67
2021-01-02,75.00
2021-01-03,75.00
2021-01-04,77.00
2021-01-05,97.00
2021-01-06,77.00
2021-01-07,75.00
2021-01-08,75.00
2021-01-09,75.00
2021-01-10,95.00
2021-01-11,105.00
2021-01-12,76.67
2021-01-13,76.67
2021-01-14,75.00
2021-01-15,76.67
2021-01-16,75.00
2021-01-17,75.00
2021-01-18,75.00
2021-01-19,75.00
2021-01-20,75.00
2021-01-21,86.67
2021-01-22,96.67
2021-01-23,95.00
2021-01-24,95.00
2021-01-25,95.00
2021-01-26,96.67
2021-01-27,86.67
2021-01-28,86.67
2021-01-29,75.00
2021-01-30,76.67
2021-01-31,75.00
2021-02-01,85.00
2021-02-02,76.67
2021-02-03,75.00
2021-02-06,76.67
2021-02-07,75.00
2021-02-08,86.67
2021-02-09,95.00
2021-02-10,95.00
2021-02-11,95.00
2021-02-12,95.00
2021-02-13,95.00
2021-02-14,95.00
2021-02-15,95.00
2021-02-16,105.00
2021-02-17,105.00
2021-02-18,75.00
2021-02-19,75.00
2021-02-20,95.00
2021-02-21,85.00
2021-02-22,95.00
2021-02-23,110.00
2021-02-24,110.00
2021-02-25,76.67
2021-02-26,76.67
2021-02-27,76.67
2021-02-28,75.00
2021-03-01,75.00
2021-03-02,75.00
2021-03-03,75.00
2021-03-05,95.00
2021-03-06,95.00
2021-03-07,85.00
2021-03-08,95.00
2021-03-09,95.00
2021-03-10,95.00
2021-03-11,95.00
2021-03-12,95.00
2021-03-13,95.00
2021-03-14,77.67
2021-03-15,75.00
2021-03-16,75.00
2021-03-17,95.00
2021-03-18,95.00
2021-03-19,95.00
2021-03-20,95.00
2021-03-21,95.00
2021-03-22,95.00
2021-03-23,95.00
2021-03-24,85.00
2021-03-25,110.00
2021-03-26,110.00
2021-03-27,110.00
2021-03-28,110.00
2021-03-29,75.00
2021-03-30,95.00
2021-03-31,95.00
2021-04-01,110.00
2021-04-02,105.00
2021-04-03,90.00
2021-04-04,85.00
2021-04-05,95.00
2021-04-06,105.00
2021-04-07,86.67
2021-04-08,96.67
2021-04-09,95.00
2021-04-10,90.00
2021-04-11,95.00
2021-04-12,110.00
2021-04-13,96.67
2021-04-14,95.00
2021-04-15,95.00
2021-04-16,95.00
2021-04-17,76.67
2021-04-18,75.00
2021-04-19,95.00
2021-04-20,95.00
2021-04-21,96.67
2021-04-22,95.00
2021-04-23,95.00
2021-04-24,105.00
2021-04-25,105.00
2021-04-26,78.00
2021-04-27,95.00
2021-04-28,76.67
2021-04-29,75.00
2021-04-30,76.67
2021-05-01,75.00
2021-05-02,65.00
2021-05-04,75.00
2021-05-05,75.00
2021-05-06,75.00
2021-05-07,75.00
2021-05-08,76.67
2021-05-09,75.00
2021-05-10,75.00
2021-05-11,75.00
2021-05-12,65.00
2021-05-13,75.00
2021-05-14,65.00
2021-05-15,65.00
2021-05-16,65.00
2021-05-17,75.00
2021-05-18,75.00
2021-05-19,75.00
2021-05-20,65.00
2021-05-21,65.00
2021-05-22,45.00
2021-05-23,45.00
2021-05-24,75.00
2021-05-25,45.00
2021-05-26,45.00
2021-05-27,45.00
2021-05-28,42.33
2021-05-29,45.00
2021-05-30,35.00
2021-05-31,30.00
2021-06-01,35.00
2021-06-02,47.67
2021-06-03,45.00
2021-06-04,37.67
2021-06-05,66.67
2021-06-06,76.67
2021-06-07,76.67
2021-06-08,75.00
2021-06-09,75.00
2021-06-10,45.00
2021-06-11,37.67
2021-06-12,35.00
2021-06-13,45.00
2021-06-14,45.00
2021-06-15,36.67
2021-06-16,35.00
2021-06-17,56.67
2021-06-18,45.00
2021-06-19,35.00
2021-06-20,35.00
2021-06-21,55.00
2021-06-22,40.00
2021-06-23,45.00
2021-06-24,36.67
2021-06-25,35.00
2021-06-26,56.67
2021-06-27,55.00
2021-06-28,56.67
2021-06-29,46.67
2021-06-30,56.67
2021-07-01,45.00
2021-07-02,56.67
2021-07-03,46.67
2021-07-04,45.00
2021-07-05,56.67
2021-07-06,66.67
2021-07-07,76.67
2021-07-08,75.00
2021-07-09,85.00
2021-07-10,75.00
2021-07-11,65.00
2021-07-12,75.00
2021-07-13,95.00
2021-07-14,95.00
2021-07-15,95.00
2021-07-16,95.00
2021-07-17,95.00
2021-07-18,95.00
2021-07-19,95.00
2021-07-20,95.00
2021-07-21,95.00
2021-07-22,95.00
2021-07-23,95.00
2021-07-24,86.67
2021-07-25,85.00
2021-07-26,76.67
2021-07-27,75.00
2021-07-28,75.00
2021-07-29,75.00
2021-07-30,75.00
2021-07-31,75.00
2021-08-01,65.00
2021-08-02,73.33
2021-08-03,75.00
2021-08-04,65.00
2021-08-05,66.67
2021-08-06,65.00
2021-08-07,65.00
2021-08-08,65.00
2021-08-09,56.67
2021-08-10,56.67
2021-08-11,56.67
2021-08-12,56.67
2021-08-13,66.67
2021-08-14,66.67
2021-08-15,65.00
2021-08-16,56.67
2021-08-17,56.67
2021-08-18,56.67
2021-08-19,56.67
2021-08-20,56.67
2021-08-21,56.67
2021-08-22,56.67
2021-08-23,56.67
2021-08-24,56.67
2021-08-25,56.67
2021-08-26,56.67
2021-08-27,56.67
2021-08-28,56.67
2021-08-29,55.00
2021-08-30,76.67
2021-08-31,76.67
2021-09-01,56.67
2021-09-02,56.67
2021-09-03,56.67
2021-09-04,56.67
2021-09-05,55.00
2021-09-06,66.67
2021-09-07,66.67
2021-09-08,76.67
2021-09-09,66.67
2021-09-10,70.00
2021-09-11,66.67
2021-09-12,55.00
2021-09-13,66.67
2021-09-14,56.67
2021-09-15,56.67
2021-09-16,56.67
2021-09-17,56.67
2021-09-18,56.67
2021-09-19,56.67
2021-09-21,56.67
2021-09-22,56.67
2021-09-23,56.67
2021-09-24,56.67
2021-09-25,76.67
2021-09-26,75.00
2021-09-27,66.67
2021-09-28,66.67
2021-09-29,96.67
2021-09-30,96.67
2021-10-01,96.67
2021-10-02,96.67
2021-10-03,95.00
2021-10-04,86.67
2021-10-05,85.00
2021-10-06,96.67
2021-10-07,86.67
2021-10-08,76.67
2021-10-09,76.67
2021-10-10,75.00
2021-10-11,66.67
2021-10-12,76.67
2021-10-13,76.67
2021-10-15,65.00
2021-10-16,76.67
2021-10-17,75.00
2021-10-18,76.67
2021-10-19,76.67
2021-10-20,76.67
2021-10-21,86.67
2021-10-22,76.67
2021-10-23,76.67
2021-10-24,65.00
2021-10-25,66.67
2021-10-26,76.67
2021-10-27,86.67
2021-10-28,86.67
2021-10-29,86.67
2021-10-30,86.67
2021-10-31,85.00
2021-11-01,85.00
2021-11-02,86.67
2021-11-03,96.67
2021-11-04,86.67
2021-11-05,85.00
2021-11-09,86.67
2021-11-10,86.67
2021-11-11,86.67
2021-11-13,86.67
2021-11-14,85.00
2021-11-15,86.67
2021-11-16,95.00
2021-11-17,96.67
2021-11-18,96.67
2021-11-19,96.67
2021-11-20,86.67
2021-11-21,85.00
2021-11-22,96.67
2021-11-23,96.67
2021-11-24,86.67
2021-11-25,86.67
2021-11-26,86.67
2021-11-27,75.00
2021-11-28,75.00
2021-11-29,96.67
2021-11-30,86.67
2021-12-01,76.67
2021-12-02,76.67
2021-12-03,76.67
2021-12-04,75.00
2021-12-05,65.00
2021-12-06,96.67
2021-12-07,116.67
2021-12-08,116.00
2021-12-09,96.67
2021-12-10,86.67
2021-12-11,96.67
2021-12-12,95.00
2021-12-13,110.00
2021-12-14,96.67
2021-12-16,113.33
2021-12-17,86.67
2021-12-18,86.67
2021-12-19,65.00
2021-12-20,96.67
2021-12-21,96.67
2021-12-22,96.67
2021-12-23,75.00
2021-12-24,85.00
2021-12-25,96.67
2021-12-26,85.00
2021-12-27,96.67
2021-12-28,96.67
2021-12-29,106.67
2021-12-30,86.67
2021-12-31,96.67
2022-01-01,86.67
2022-01-02,95.00
2022-01-03,86.67
2022-01-04,76.67
2022-01-05,110.00
2022-01-06,110.00
2022-01-07,106.67
2022-01-08,110.00
2022-01-09,95.00
2022-01-10,96.67
2022-01-11,113.33
2022-01-12,96.67
2022-01-13,86.67
2022-01-14,86.67
2022-01-15,76.67
2022-01-16,76.67
2022-01-17,76.67
2022-01-18,76.67
2022-01-19,85.00
2022-01-20,85.00
2022-01-21,76.67
2022-01-22,76.67
2022-01-23,76.67
2022-01-24,76.67
2022-01-25,76.67
2022-01-26,76.00
2022-01-27,75.00
2022-01-28,76.67
2022-01-29,76.67
2022-01-30,75.00
2022-01-31,76.67
2022-02-01,86.67
2022-02-02,76.67
2022-02-03,76.67
2022-02-04,76.67
2022-02-07,96.67
2022-02-08,95.00
2022-02-09,86.67
2022-02-10,76.67
2022-02-11,76.67
2022-02-12,76.67
2022-02-13,75.00
2022-02-14,76.67
2022-02-15,75.00
2022-02-16,96.67
2022-02-17,76.67
2022-02-18,76.67
2022-02-19,95.00
2022-02-20,85.00
2022-02-21,95.00
2022-02-22,85.00
2022-02-23,85.00
2022-02-24,85.00
2022-02-25,85.00
2022-02-27,85.00
2022-02-28,86.67
2022-03-01,96.67
2022-03-02,95.00
2022-03-03,96.67
2022-03-05,95.00
2022-03-06,95.00
2022-03-07,95.00
2022-03-08,95.00
2022-03-09,86.67
2022-03-10,90.00
2022-03-11,95.00
2022-03-12,96.67
2022-03-13,85.00
2022-03-14,86.67
2022-03-15,86.67
2022-03-16,85.00
2022-03-17,76.67
2022-03-18,76.67
2022-03-19,70.00
2022-03-20,70.00
2022-03-21,75.00
2022-03-22,76.67
2022-03-23,65.00
2022-03-24,70.00
2022-03-25,75.00
2022-03-26,75.00
2022-03-27,85.00
2022-03-28,80.00
2022-03-29,96.67
2022-03-30,86.67
2022-03-31,76.67
2022-04-01,75.00
2022-04-02,76.67
2022-04-03,75.00
2022-04-04,75.00
2022-04-05,70.00
2022-04-06,75.00
2022-04-07,75.00
2022-04-08,65.00
2022-04-09,95.00
2022-04-10,95.00
2022-04-11,75.00
2022-04-12,75.00
2022-04-13,90.00
2022-04-14,86.67
2022-04-15,85.00
2022-04-16,66.67
2022-04-17,75.00
2022-04-18,56.67
2022-04-19,56.67
2022-04-20,56.67
2022-04-21,56.67
2022-04-22,55.00
2022-04-23,56.67
2022-04-24,55.00
2022-04-25,56.67
2022-04-26,56.67
2022-04-27,56.67
2022-04-28,56.67
2022-04-29,56.67
2022-04-30,55.00
2022-05-01,55.00
2022-05-02,66.67
2022-05-03,56.67
2022-05-04,66.67
2022-05-05,66.67
2022-05-06,66.67
2022-05-07,56.67
2022-05-08,45.00
2022-05-09,56.67
2022-05-10,56.67
2022-05-11,46.67
2022-05-12,56.67
2022-05-14,95.00
2022-05-15,76.67
2022-05-16,45.00
2022-05-17,46.67
2022-05-18,46.67
2022-05-19,35.00
2022-05-20,35.00
2022-05-21,56.67
2022-05-22,56.67
2022-05-23,56.67
2022-05-24,56.67
2022-05-25,56.67
2022-05-26,45.00
2022-05-27,35.00
2022-05-28,45.00
2022-05-29,56.67
2022-05-30,53.33
2022-05-31,56.67
2022-06-01,56.67
2022-06-02,45.00
2022-06-03,35.00
2022-06-04,45.00
2022-06-05,46.67
2022-06-06,46.67
2022-06-07,46.67
2022-06-08,46.67
2022-06-09,55.00
2022-06-10,45.00
2022-06-11,46.67
2022-06-12,46.67
2022-06-13,46.67
2022-06-14,45.00
2022-06-15,56.67
2022-06-16,56.67
2022-06-17,56.67
2022-06-18,56.67
2022-06-19,45.00
2022-06-20,56.67
2022-06-21,46.67
2022-06-22,56.67
2022-06-23,56.67
2022-06-24,76.67
2022-06-25,86.67
2022-06-26,85.00
2022-06-27,76.67
2022-06-28,76.67
2022-06-29,75.00
2022-06-30,86.67
2022-07-01,76.67
2022-07-02,76.67
2022-07-03,75.00
2022-07-04,76.67
2022-07-05,76.67
2022-07-06,75.00
2022-07-07,76.67
2022-07-08,76.67
2022-07-09,85.00
2022-07-10,85.00
2022-07-11,76.67
2022-07-12,76.67
2022-07-13,56.67
2022-07-14,66.67
2022-07-15,76.67
2022-07-16,76.67
2022-07-17,65.00
2022-07-18,56.67
2022-07-19,56.67
2022-07-20,56.67
2022-07-21,55.00
2022-07-22,56.67
2022-07-23,56.67
2022-07-24,55.00
2022-07-25,56.67
2022-07-26,56.67
2022-07-27,56.67
2022-07-28,56.67
2022-07-29,55.00
2022-07-30,56.67
2022-07-31,65.00
2022-08-01,56.67
2022-08-02,65.00
2022-08-03,56.67
2022-08-04,56.67
2022-08-05,56.67
2022-08-06,56.67
2022-08-07,55.00
2022-08-08,55.00
2022-08-09,56.67
2022-08-10,56.67
2022-08-11,56.67
2022-08-12,76.67
2022-08-13,76.67
2022-08-14,75.00
2022-08-15,66.67
2022-08-16,76.67
2022-08-17,66.67
2022-08-18,76.67
2022-08-19,63.33
2022-08-20,76.67
2022-08-21,55.00
2022-08-22,56.67
2022-08-23,76.67
2022-08-24,66.67
