date,avg
2013-04-15,43.00
2013-04-16,43.00
2013-04-17,47.00
2013-04-18,48.00
2013-04-21,45.00
2013-04-22,57.00
2013-04-23,48.00
2013-04-25,53.00
2013-04-26,48.00
2013-04-28,38.00
2013-04-29,55.00
2013-04-30,57.00
2013-05-02,38.00
2013-05-03,55.00
2013-05-05,45.00
2013-05-06,45.00
2013-05-07,55.00
2013-05-08,65.00
2013-05-09,55.00
2013-05-10,65.00
2013-05-12,53.00
2013-05-13,55.00
2013-05-14,55.00
2013-05-15,45.00
2013-05-16,55.00
2013-05-17,55.00
2013-05-19,58.00
2013-05-20,58.00
2013-05-21,55.00
2013-05-22,55.00
2013-05-23,53.00
2013-05-24,55.00
2013-05-26,55.00
2013-05-27,55.00
2013-05-28,48.00
2013-05-30,48.00
2013-05-31,60.00
2013-06-02,53.00
2013-06-03,55.00
2013-06-04,55.00
2013-06-05,55.00
2013-06-06,55.00
2013-06-09,55.00
2013-06-10,40.00
2013-06-11,48.00
2013-06-12,45.00
2013-06-13,45.00
2013-06-14,43.00
2013-06-16,35.00
2013-06-17,35.00
2013-06-18,38.00
2013-06-19,38.00
2013-06-20,45.00
2013-06-21,55.00
2013-06-25,34.00
2013-06-26,28.00
2013-06-27,28.00
2013-06-28,35.00
2013-06-30,45.00
2013-07-01,45.00
2013-07-02,29.00
2013-07-03,28.00
2013-07-04,33.00
2013-07-05,33.00
2013-07-09,45.00
2013-07-10,33.00
2013-07-11,35.00
2013-07-12,33.00
2013-07-14,38.00
2013-07-15,35.00
2013-07-16,33.00
2013-07-17,35.00
2013-07-18,38.00
2013-07-19,38.00
2013-07-21,38.00
2013-07-22,38.00
2013-07-23,43.00
2013-07-24,43.00
2013-07-25,33.00
2013-07-26,33.00
2013-07-28,38.00
2013-07-29,38.00
2013-07-30,38.00
2013-07-31,38.00
2013-08-01,38.00
2013-08-02,38.00
2013-08-04,38.00
2013-08-05,38.00
2013-08-06,43.00
2013-08-07,43.00
2013-08-08,38.00
2013-08-13,43.00
2013-08-14,43.00
2013-08-15,43.00
2013-08-16,58.00
2013-08-18,58.00
2013-08-19,53.00
2013-08-20,48.00
2013-08-23,68.00
2013-08-25,73.00
2013-08-26,73.00
2013-08-27,78.00
2013-08-29,78.00
2013-08-30,75.00
2013-09-01,68.00
2013-09-02,73.00
2013-09-03,110.00
2013-09-04,95.00
2013-09-05,95.00
2013-09-06,85.00
2013-09-08,85.00
2013-09-09,78.00
2013-09-10,78.00
2013-09-11,85.00
2013-09-12,85.00
2013-09-13,85.00
2013-09-15,78.00
2013-09-16,58.00
2013-09-17,58.00
2013-09-19,65.00
2013-09-20,75.00
2013-09-22,65.00
2013-09-23,78.00
2013-09-24,63.00
2013-09-25,58.00
2013-09-26,65.00
2013-09-27,63.00
2013-09-29,58.00
2013-09-30,53.00
2013-10-01,58.00
2013-10-02,53.00
2013-10-03,58.00
2013-10-04,58.00
2013-10-06,75.00
2013-10-07,58.00
2013-10-08,55.00
2013-10-09,53.00
2013-10-10,53.00
2013-10-11,76.00
2013-10-12,85.00
2013-10-13,105.00
2013-10-14,110.00
2013-10-15,105.00
2013-10-16,115.00
2013-10-17,110.00
2013-10-20,65.00
2013-10-21,58.00
2013-10-22,58.00
2013-10-23,85.00
2013-10-24,85.00
2013-10-25,75.00
2013-10-27,75.00
2013-10-28,65.00
2013-10-29,65.00
2013-10-30,55.00
