date,avg
2013-04-15,28.00
2013-04-16,23.00
2013-04-17,20.00
2013-04-18,23.00
2013-04-21,23.00
2013-04-22,23.00
2013-04-23,22.00
2013-04-25,23.00
2013-04-26,23.00
2013-04-28,23.00
2013-04-29,21.00
2013-04-30,23.00
2013-05-15,48.00
2013-05-16,45.00
2013-05-17,48.00
2013-05-19,48.00
2013-05-21,39.00
2013-05-22,38.00
2013-05-23,43.00
2013-05-24,38.00
2013-05-26,38.00
2013-05-28,38.00
2013-06-03,43.00
2013-06-04,43.00
2013-06-05,39.00
2013-06-06,43.00
2013-06-09,43.00
2013-06-10,43.00
2013-06-11,43.00
2013-06-12,43.00
2013-06-13,38.00
2013-06-14,39.00
2013-06-16,39.00
2013-06-17,38.00
2013-06-18,43.00
2013-06-19,38.00
2013-06-20,38.00
2013-06-21,38.00
2013-06-25,38.00
2013-06-26,38.00
2013-06-27,39.00
2013-06-28,38.00
2013-06-30,39.00
2013-07-01,41.00
2013-07-02,43.00
2013-07-03,40.00
2013-07-04,43.00
2013-07-05,43.00
2013-07-09,38.00
2013-07-10,38.00
2013-07-11,43.00
2013-07-12,39.00
2013-07-14,43.00
2013-07-15,43.00
2013-07-16,43.00
2013-07-17,43.00
2013-07-18,43.00
2013-07-19,38.00
2013-07-21,43.00
2013-07-22,38.00
2013-07-23,33.00
2013-07-24,33.00
2013-07-25,33.00
2013-07-26,33.00
2013-07-28,31.00
2013-07-29,30.00
2013-07-30,31.00
2013-07-31,33.00
2013-08-01,28.00
2013-08-02,28.00
2013-08-04,28.00
2013-08-05,28.00
2013-08-06,28.00
2013-08-07,30.00
2013-08-08,33.00
2013-08-12,21.00
2013-08-13,28.00
2013-08-14,28.00
2013-08-15,31.00
2013-08-16,28.00
2013-08-18,28.00
2013-08-19,28.00
2013-08-20,23.00
2013-08-23,19.00
2013-08-25,16.00
2013-08-26,16.00
2013-08-27,16.00
2013-08-29,16.00
2013-08-30,15.00
2013-09-01,15.00
2013-09-02,14.00
2013-09-03,15.00
2013-09-04,15.00
2013-09-05,16.00
2013-09-06,15.00
2013-09-08,16.00
2013-09-09,15.00
2013-09-10,15.00
2013-09-11,13.00
2013-09-12,13.00
2013-09-13,13.00
2013-09-15,13.00
2013-09-16,13.00
2013-09-17,13.00
2013-09-19,13.00
2013-09-20,13.00
2013-09-22,13.00
2013-09-23,13.00
2013-09-24,11.00
2013-09-25,11.00
2013-09-26,11.00
2013-09-27,11.00
2013-09-29,11.00
2013-09-30,11.00
2013-10-01,11.00
2013-10-02,11.00
2013-10-03,9.00
2013-10-04,9.00
2013-10-06,12.00
2013-10-07,11.00
2013-10-08,11.00
2013-10-09,11.00
2013-10-10,9.00
2013-10-11,11.00
2013-10-12,13.00
2013-10-13,19.00
2013-10-14,19.00
2013-10-16,18.00
2013-10-17,19.00
2013-10-20,15.00
2013-10-21,14.00
2013-10-22,9.00
2013-10-23,9.00
2013-10-24,11.00
2013-10-25,11.00
2013-10-27,13.00
2013-10-28,11.00
2013-10-29,11.00
2013-10-30,11.00
2013-10-31,12.00
2013-11-01,14.00
2013-11-03,14.00
2013-11-04,23.00
2013-11-07,19.00
2013-11-10,18.00
2013-11-11,18.00
2013-11-12,17.00
2013-11-13,18.00
2013-11-14,16.00
2013-11-15,16.00
2013-11-16,15.00
2013-11-17,15.00
2013-11-18,14.00
2013-11-20,14.00
2013-11-21,19.00
2013-11-22,17.00
2013-11-24,17.00
2013-11-25,17.00
2013-11-26,17.00
2013-11-27,17.00
2013-11-28,17.00
2013-11-29,17.00
2013-12-01,17.00
2013-12-02,17.00
2013-12-03,17.00
2013-12-04,17.00
2013-12-05,17.00
2013-12-06,17.00
2013-12-08,17.00
2013-12-09,19.00
2013-12-10,17.00
2013-12-11,17.00
2013-12-12,17.00
2013-12-13,19.00
2013-12-15,19.00
2013-12-16,19.00
2013-12-18,19.00
2013-12-19,19.00
2013-12-20,18.00
2013-12-22,17.00
2013-12-23,17.00
2013-12-24,23.00
2013-12-26,21.00
2013-12-27,21.00
2013-12-29,43.00
2013-12-31,18.00
2014-01-01,28.00
2014-01-02,28.00
2014-01-03,28.00
2014-01-05,28.00
2014-01-06,28.00
2014-01-07,28.00
2014-01-09,38.00
2014-01-10,38.00
2014-01-12,33.00
2014-01-13,33.00
2014-01-14,38.00
2014-01-16,33.00
2014-01-17,33.00
2014-01-19,33.00
2014-01-20,28.00
2014-01-21,28.00
2014-01-22,28.00
2014-01-23,23.00
2014-01-24,23.00
2014-01-26,34.00
2014-01-27,31.00
2014-01-28,28.00
2014-01-29,28.00
2014-02-02,28.00
2014-02-03,38.00
2014-02-04,28.00
2014-02-05,27.00
2014-02-06,23.00
2014-02-07,28.00
2014-02-09,38.00
2014-02-10,28.00
2014-02-11,28.00
2014-02-12,19.00
2014-02-13,28.00
2014-02-14,28.00
2014-02-16,29.00
2014-02-17,29.00
2014-02-18,29.00
2014-02-20,28.00
2014-02-21,29.00
2014-02-23,28.00
2014-02-24,28.00
2014-02-25,28.00
2014-02-26,28.00
2014-02-28,28.00
2014-03-03,28.00
2014-03-05,28.00
2014-03-06,28.00
2014-03-07,28.00
2014-03-09,28.00
2014-03-10,28.00
2014-03-11,28.00
2014-03-12,28.00
2014-03-13,28.00
2014-03-14,28.00
2014-03-17,28.00
2014-03-18,28.00
2014-03-19,28.00
2014-03-20,28.00
2014-03-21,28.00
2014-03-23,28.00
2014-03-24,28.00
2014-03-25,28.00
2014-03-26,28.00
2014-03-27,28.00
2014-03-28,28.00
2014-03-31,30.00
2014-04-02,33.00
2014-04-04,35.00
2014-04-06,31.00
2014-04-07,29.00
2014-04-09,28.00
2014-04-10,28.00
2014-04-11,28.00
2014-04-13,23.00
2014-04-15,22.00
2014-04-16,23.00
2014-04-17,23.00
2014-04-18,28.00
2014-05-15,35.00
2014-05-16,37.00
2014-05-18,53.00
2014-05-19,58.00
2014-05-20,38.00
2014-05-21,38.00
2014-05-22,38.00
2014-05-23,43.00
2014-05-25,38.00
2014-05-28,58.00
2014-05-30,53.00
2014-06-01,47.00
2014-06-03,57.00
2014-06-04,58.00
2014-06-05,58.00
2014-06-06,53.00
2014-06-08,57.00
2014-06-09,47.00
2014-06-10,48.00
2014-06-11,48.00
2014-06-12,45.00
2014-06-13,43.00
2014-06-15,48.00
2014-06-16,48.00
2014-06-17,48.00
2014-06-18,48.00
2014-06-19,43.00
2014-06-20,43.00
2014-06-23,27.00
2014-06-24,30.00
2014-06-25,38.00
2014-06-26,37.00
2014-06-27,38.00
2014-06-29,38.00
2014-06-30,33.00
2014-07-01,33.00
2014-07-02,33.00
2014-07-03,33.00
2014-07-04,38.00
2014-07-05,38.00
2014-07-06,38.00
2014-07-07,38.00
2014-07-08,33.00
2014-07-09,33.00
2014-07-10,33.00
2014-07-11,33.00
2014-07-12,33.00
2014-07-13,31.00
2014-07-14,38.00
2014-07-15,37.00
2014-07-16,38.00
2014-07-17,38.00
2014-07-18,38.00
2014-07-19,38.00
2014-07-20,39.00
2014-07-21,38.00
2014-07-22,38.00
2014-07-23,37.00
2014-07-24,33.00
2014-07-25,38.00
2014-07-26,38.00
2014-07-27,38.00
2014-07-28,38.00
2014-07-29,33.00
2014-07-30,38.00
2014-07-31,38.00
2014-08-01,38.00
2014-08-02,33.00
2014-08-03,38.00
2014-08-04,33.00
2014-08-05,38.00
2014-08-06,38.00
2014-08-07,38.00
2014-08-08,33.00
2014-08-09,33.00
2014-08-10,23.00
2014-08-11,19.00
2014-08-12,22.00
2014-08-13,20.00
2014-08-14,19.00
2014-08-15,23.00
2014-08-16,23.00
2014-08-17,23.00
2014-08-18,16.00
2014-08-19,16.00
2014-08-20,17.00
2014-08-21,17.00
2014-08-22,29.00
2014-08-23,27.00
2014-08-24,27.00
2014-08-25,27.00
2014-08-26,29.00
2014-08-27,28.00
2014-08-28,22.00
2014-08-29,25.00
2014-08-31,18.00
2014-09-01,22.00
2014-09-02,23.00
2014-09-03,22.00
2014-09-04,14.00
2014-09-05,16.00
2014-09-06,16.00
2014-09-07,17.00
2014-09-08,13.00
2014-09-09,16.00
2014-09-10,13.00
2014-09-11,14.00
2014-09-12,13.00
2014-09-13,15.00
2014-09-14,16.00
2014-09-15,17.00
2014-09-16,15.00
2014-09-17,15.00
2014-09-18,11.00
2014-09-19,9.00
2014-09-20,10.00
2014-09-21,11.00
2014-09-22,12.00
2014-09-23,13.00
2014-09-24,12.00
2014-09-26,11.00
2014-09-28,11.00
2014-09-29,14.00
2014-09-30,17.00
2014-10-08,9.00
2014-10-09,9.00
2014-10-10,5.00
2014-10-12,6.00
2014-10-13,9.00
2014-10-14,8.00
2014-10-15,12.00
2014-10-16,11.00
2014-10-17,9.00
2014-10-19,7.00
2014-10-20,8.00
2014-10-21,11.00
2014-10-22,18.00
2014-10-23,15.00
2014-10-24,13.00
2014-10-25,17.00
2014-10-26,9.00
2014-10-27,11.00
2014-10-28,19.00
2014-10-29,13.00
2014-10-30,13.00
2014-10-31,13.00
2014-11-01,13.00
2014-11-02,9.00
2014-11-03,14.00
2014-11-04,12.00
2014-11-05,15.00
2014-11-06,10.00
2014-11-07,5.00
2014-11-08,7.00
2014-11-09,9.00
2014-11-10,8.00
2014-11-11,8.00
2014-11-12,9.00
2014-11-13,11.00
2014-11-14,11.00
2014-11-15,13.00
2014-11-16,14.00
2014-11-17,15.00
2014-11-18,12.00
2014-11-19,14.00
2014-11-20,15.00
2014-11-21,11.00
2014-11-22,13.00
2014-11-23,12.00
2014-11-24,12.00
2014-11-25,11.00
2014-11-26,11.00
2014-11-27,13.00
2014-11-28,11.00
2014-11-29,11.00
2014-11-30,48.00
2014-12-01,11.00
2014-12-02,11.00
2014-12-03,11.00
2014-12-04,7.00
2014-12-05,9.00
2014-12-06,9.00
2014-12-07,7.00
2014-12-08,12.00
2014-12-09,9.00
2014-12-10,9.00
2014-12-11,9.00
2014-12-12,9.00
2014-12-13,9.00
2014-12-14,10.00
2014-12-15,16.00
2014-12-16,17.00
2014-12-17,14.00
2014-12-18,18.00
2014-12-21,18.00
2014-12-22,16.00
2014-12-23,39.00
2014-12-24,38.00
2014-12-25,13.00
2014-12-26,19.00
2014-12-27,19.00
2014-12-28,19.00
2014-12-29,13.00
2014-12-30,19.00
2014-12-31,16.00
2015-01-01,16.00
2015-01-03,19.00
2015-01-05,38.00
2015-01-06,38.00
2015-01-07,38.00
2015-01-08,38.00
2015-01-09,38.00
2015-01-11,38.00
2015-01-12,32.00
2015-01-13,38.00
2015-01-14,32.00
2015-01-15,33.00
2015-01-16,33.00
2015-01-17,33.00
2015-01-18,35.00
2015-01-19,33.00
2015-01-20,33.00
2015-01-21,33.00
2015-01-22,33.00
2015-01-23,33.00
2015-01-25,27.00
2015-01-26,28.00
2015-01-27,28.00
2015-01-28,20.00
2015-01-29,22.00
2015-01-31,22.00
2015-02-01,24.00
2015-02-02,24.00
2015-02-03,28.00
2015-02-04,28.00
2015-02-05,28.00
2015-02-06,28.00
2015-02-07,28.00
2015-02-08,28.00
2015-02-09,26.00
2015-02-10,28.00
2015-02-11,23.00
2015-02-12,22.00
2015-02-13,23.00
2015-02-14,23.00
2015-02-15,23.00
2015-02-16,23.00
2015-02-18,23.00
2015-02-19,23.00
2015-02-20,23.00
2015-02-22,23.00
2015-02-23,23.00
2015-02-26,22.00
2015-02-27,22.00
2015-03-01,22.00
2015-03-02,23.00
2015-03-03,23.00
2015-03-06,23.00
2015-03-09,25.00
2015-03-10,25.00
2015-03-11,25.00
2015-03-12,29.00
2015-03-13,29.00
2015-03-14,29.00
2015-03-15,29.00
2015-03-16,28.00
2015-03-17,43.00
2015-03-18,28.00
