date,avg
2013-04-18,115.00
2013-04-21,115.00
2013-04-22,78.00
2013-04-23,115.00
2013-04-25,110.00
2013-04-26,115.00
2013-04-28,95.00
2013-04-29,115.00
2013-04-30,115.00
2013-05-02,105.00
2013-05-03,115.00
2013-05-05,115.00
2013-05-06,105.00
2013-05-07,105.00
2013-05-08,115.00
2013-05-09,115.00
2013-05-10,105.00
2013-05-12,115.00
2013-05-13,105.00
2013-05-14,105.00
2013-05-15,105.00
2013-05-16,115.00
2013-05-17,105.00
2013-05-19,115.00
2013-05-20,115.00
2013-05-21,105.00
2013-05-22,105.00
2013-05-23,75.00
2013-05-24,115.00
2013-05-26,75.00
2013-05-27,95.00
2013-05-28,85.00
2013-05-30,75.00
2013-05-31,85.00
2013-06-02,85.00
2013-06-03,85.00
2013-06-04,85.00
2013-06-05,85.00
2013-06-06,85.00
2013-06-09,75.00
2013-06-10,75.00
2013-06-11,65.00
2013-06-12,75.00
2013-06-13,75.00
2013-06-14,65.00
2013-06-16,75.00
2013-06-17,55.00
2013-06-18,55.00
2013-06-19,55.00
2013-06-20,75.00
2013-06-21,55.00
2013-06-25,57.00
2013-06-26,55.00
2013-06-27,55.00
2013-06-28,75.00
2013-06-30,75.00
2013-07-01,55.00
2013-07-02,48.00
2013-07-03,55.00
2013-07-04,55.00
2013-07-05,55.00
2013-07-09,55.00
2013-07-11,65.00
2013-07-12,55.00
2013-07-14,55.00
2013-07-15,55.00
2013-07-16,55.00
2013-07-17,55.00
2013-07-18,55.00
2013-07-19,55.00
2013-07-21,55.00
2013-07-22,55.00
2013-07-23,55.00
2013-07-24,55.00
2013-07-25,55.00
2013-07-28,55.00
2013-07-29,55.00
2013-07-30,53.00
2013-07-31,55.00
2013-08-01,53.00
2013-08-02,55.00
2013-08-04,55.00
2013-08-05,55.00
2013-08-06,55.00
2013-08-07,55.00
2013-08-08,55.00
2013-08-13,55.00
2013-08-14,55.00
2013-08-15,55.00
2013-08-16,55.00
2013-08-18,55.00
2013-08-19,55.00
2013-08-20,55.00
2013-08-23,55.00
2013-08-25,55.00
2013-08-26,55.00
2013-08-27,55.00
2013-08-29,55.00
2013-08-30,55.00
2013-09-01,55.00
2013-09-02,65.00
2013-09-03,55.00
2013-09-04,55.00
2013-09-05,55.00
2013-09-06,55.00
2013-09-08,58.00
2013-09-09,55.00
2013-09-10,55.00
2013-09-11,55.00
2013-09-12,55.00
2013-09-13,55.00
2013-09-15,55.00
2013-09-16,55.00
2013-09-17,55.00
2013-09-19,55.00
2013-09-22,65.00
2013-09-23,55.00
2013-09-24,55.00
2013-09-25,55.00
2013-09-26,45.00
2013-09-27,55.00
2013-09-29,55.00
2013-09-30,55.00
2013-10-01,65.00
2013-10-02,55.00
2013-10-03,65.00
2013-10-04,65.00
2013-10-06,75.00
2013-10-07,65.00
2013-10-08,55.00
2013-10-09,55.00
2013-10-10,55.00
2013-10-11,55.00
2013-10-20,65.00
2013-12-23,125.00
2013-12-24,125.00
2013-12-26,125.00
2013-12-27,125.00
2013-12-29,115.00
2013-12-31,115.00
2014-01-01,125.00
2014-01-02,115.00
2014-01-03,115.00
2014-01-05,125.00
2014-01-06,105.00
2014-01-07,115.00
2014-01-08,105.00
2014-01-09,95.00
2014-01-10,105.00
2014-01-12,95.00
2014-01-13,95.00
2014-01-14,95.00
