date,avg
2013-04-15,111.00
2013-04-16,138.00
2013-04-17,125.00
2013-04-18,95.00
2013-04-21,65.00
2013-04-22,73.00
2013-04-23,57.00
2013-04-25,57.00
2013-04-26,57.00
2013-04-28,47.00
2013-04-29,55.00
2013-04-30,55.00
2013-05-02,47.00
2013-05-03,45.00
2013-05-05,38.00
2013-05-06,45.00
2013-05-07,47.00
2013-05-08,47.00
2013-05-09,45.00
2013-05-10,45.00
2013-05-12,47.00
2013-05-13,97.00
2013-05-14,77.00
2013-05-15,65.00
2013-05-16,65.00
2013-05-17,55.00
2013-05-19,57.00
2013-05-20,55.00
2013-05-21,55.00
2013-05-22,55.00
2013-05-23,48.00
2013-05-24,55.00
2013-05-26,55.00
2013-05-27,55.00
2013-05-28,57.00
2013-05-30,85.00
2013-05-31,125.00
2013-06-02,115.00
2013-06-03,120.00
2013-06-04,125.00
2013-06-05,125.00
2013-06-06,135.00
2013-06-09,145.00
2013-06-10,95.00
2013-06-11,85.00
2013-06-12,85.00
2013-06-13,85.00
2013-06-14,85.00
2013-06-16,100.00
2013-06-17,95.00
2013-06-18,95.00
2013-06-19,95.00
2013-06-20,55.00
2013-06-21,60.00
2013-06-25,48.00
2013-06-26,45.00
2013-06-27,35.00
2013-06-28,60.00
2013-07-01,65.00
2013-07-02,65.00
2013-07-03,65.00
2013-07-04,55.00
2013-07-05,55.00
2013-07-09,85.00
2013-07-10,95.00
2013-07-11,70.00
2013-07-12,65.00
2013-07-14,75.00
2013-07-15,75.00
2013-07-16,85.00
2013-07-17,95.00
2013-07-18,75.00
2013-07-19,75.00
2013-07-21,65.00
2013-07-22,75.00
2013-07-23,75.00
2013-07-24,70.00
2013-07-25,70.00
2013-07-26,75.00
2013-07-28,75.00
2013-07-29,145.00
2013-07-30,95.00
2013-07-31,135.00
2013-08-01,95.00
2013-08-02,125.00
2013-08-04,125.00
2013-08-05,95.00
2013-08-06,125.00
2013-08-07,125.00
2013-08-08,125.00
2013-08-13,130.00
2013-08-14,135.00
2013-08-15,190.00
2013-08-16,145.00
2013-08-18,155.00
2013-08-19,110.00
2013-08-20,130.00
2013-08-23,155.00
2013-08-25,125.00
2013-08-26,125.00
2013-08-27,135.00
2013-08-29,130.00
2013-08-30,135.00
2013-09-01,125.00
2013-09-02,125.00
2013-09-03,125.00
2013-09-04,135.00
2013-09-05,125.00
2013-09-06,125.00
2013-09-08,125.00
2013-09-09,125.00
2013-09-10,123.00
2013-09-11,95.00
2013-09-12,85.00
2013-09-13,95.00
2013-09-15,85.00
2013-09-16,85.00
2013-09-17,85.00
2013-09-19,85.00
2013-09-20,90.00
2013-09-22,85.00
2013-09-23,70.00
2013-09-24,85.00
2013-09-25,70.00
2013-09-26,75.00
2013-09-27,75.00
2013-09-29,65.00
2013-09-30,55.00
2013-10-01,55.00
2013-10-02,55.00
2013-10-03,65.00
2013-10-04,65.00
2013-10-06,85.00
2013-10-07,75.00
2013-10-08,75.00
2013-10-09,55.00
2013-10-10,65.00
2013-10-11,57.00
2013-10-12,97.00
2013-10-13,95.00
2013-10-14,110.00
2013-10-15,145.00
2013-10-16,138.00
2013-10-17,85.00
2013-10-20,55.00
2013-10-21,55.00
2013-10-22,65.00
2013-10-23,55.00
2013-10-24,75.00
2013-10-25,75.00
2013-10-27,135.00
2013-10-28,110.00
2013-10-29,95.00
2013-10-30,85.00
2013-10-31,65.00
2013-11-01,75.00
2013-11-03,85.00
2013-11-04,97.00
2013-11-05,95.00
2013-11-06,145.00
2013-11-07,135.00
2013-11-10,65.00
2013-11-11,65.00
2013-11-12,75.00
2013-11-13,65.00
2013-11-14,65.00
2013-11-15,65.00
2013-11-16,65.00
2013-11-17,65.00
2013-11-18,65.00
2013-11-20,145.00
2013-11-21,125.00
2013-11-22,105.00
2013-11-24,55.00
2013-11-25,65.00
2013-11-26,85.00
2013-11-27,65.00
2013-11-28,85.00
2013-11-29,83.00
2013-12-01,95.00
2013-12-02,95.00
2013-12-03,90.00
2013-12-04,85.00
2013-12-05,73.00
2013-12-06,85.00
2013-12-08,67.00
2013-12-09,65.00
2013-12-10,65.00
2013-12-11,75.00
2013-12-12,75.00
2013-12-13,65.00
2013-12-15,75.00
2013-12-16,67.00
2013-12-18,65.00
2013-12-19,75.00
2013-12-20,77.00
2013-12-22,65.00
2013-12-23,65.00
2013-12-24,65.00
2013-12-26,65.00
2013-12-27,65.00
2013-12-29,67.00
2013-12-31,65.00
2014-01-01,65.00
2014-01-02,65.00
2014-01-03,65.00
2014-01-05,65.00
2014-01-06,67.00
2014-01-07,97.00
2014-01-08,97.00
2014-01-09,67.00
2014-01-10,67.00
2014-01-12,58.00
2014-01-13,57.00
2014-01-14,57.00
2014-01-16,67.00
2014-01-17,73.00
2014-01-19,75.00
2014-01-20,77.00
2014-01-21,57.00
2014-01-22,37.00
2014-01-23,37.00
2014-01-24,29.00
2014-01-26,55.00
2014-01-27,55.00
2014-01-28,38.00
2014-01-29,28.00
2014-02-02,38.00
2014-02-03,38.00
2014-02-04,45.00
2014-02-05,47.00
2014-02-06,46.00
2014-02-07,47.00
2014-02-09,45.00
2014-02-10,46.00
2014-02-11,48.00
2014-02-12,46.00
2014-02-13,43.00
2014-02-14,47.00
2014-02-16,43.00
2014-02-17,47.00
2014-02-18,65.00
2014-02-20,65.00
2014-02-21,65.00
2014-02-23,65.00
2014-02-24,67.00
2014-02-25,67.00
2014-02-26,47.00
2014-02-28,48.00
2014-03-03,67.00
2014-03-05,47.00
2014-03-06,35.00
2014-03-07,35.00
2014-03-09,37.00
2014-03-10,37.00
2014-03-11,38.00
2014-03-12,45.00
2014-03-13,47.00
2014-03-14,37.00
2014-03-17,35.00
2014-03-18,47.00
2014-03-19,45.00
2014-03-20,45.00
2014-03-21,33.00
2014-03-23,22.00
2014-03-24,26.00
2014-03-25,35.00
2014-03-26,28.00
2014-03-27,37.00
2014-03-28,38.00
2014-03-31,35.00
2014-04-01,33.00
2014-04-02,35.00
2014-04-03,33.00
2014-04-04,43.00
2014-04-06,38.00
2014-04-07,45.00
2014-04-09,38.00
2014-04-10,35.00
2014-04-11,45.00
2014-04-13,33.00
2014-04-15,37.00
2014-04-16,35.00
2014-04-17,45.00
2014-04-18,77.00
2014-04-20,55.00
2014-04-21,57.00
2014-04-22,55.00
2014-04-23,45.00
2014-04-25,47.00
2014-04-27,48.00
2014-04-28,47.00
2014-04-29,47.00
2014-04-30,47.00
2014-05-02,43.00
2014-05-04,47.00
2014-05-05,47.00
2014-05-06,73.00
2014-05-07,77.00
2014-05-08,77.00
2014-05-09,103.00
2014-05-11,67.00
2014-05-12,77.00
2014-05-13,67.00
2014-05-15,77.00
2014-05-16,113.00
2014-05-18,157.00
2014-05-19,150.00
2014-05-20,143.00
2014-05-21,133.00
2014-05-22,123.00
2014-05-23,157.00
2014-05-25,137.00
2014-05-26,137.00
2014-05-27,247.00
2014-05-28,157.00
2014-05-30,147.00
2014-06-01,163.00
2014-06-02,177.00
2014-06-03,180.00
2014-06-04,193.00
2014-06-05,197.00
2014-06-06,213.00
2014-06-08,197.00
2014-06-09,233.00
2014-06-10,187.00
2014-06-11,227.00
2014-06-12,213.00
2014-06-13,233.00
2014-06-15,213.00
2014-06-16,197.00
2014-06-17,207.00
2014-06-18,177.00
2014-06-19,213.00
2014-06-20,213.00
2014-06-23,193.00
2014-06-24,113.00
2014-06-25,90.00
2014-06-26,107.00
2014-06-27,110.00
2014-06-29,110.00
2014-06-30,113.00
2014-07-01,110.00
2014-07-02,117.00
2014-07-03,88.00
2014-07-04,73.00
2014-07-05,87.00
2014-07-06,87.00
2014-07-07,77.00
2014-07-08,93.00
2014-07-09,73.00
2014-07-10,70.00
2014-07-11,67.00
2014-07-12,66.00
2014-07-13,63.00
2014-07-14,53.00
2014-07-15,57.00
2014-07-16,57.00
2014-07-17,66.00
2014-07-18,77.00
2014-07-19,66.00
2014-07-20,67.00
2014-07-21,57.00
2014-07-22,57.00
2014-07-23,67.00
2014-07-24,73.00
2014-07-25,67.00
2014-07-26,76.00
2014-07-27,77.00
2014-07-28,57.00
2014-07-29,66.00
2014-07-30,70.00
2014-07-31,70.00
2014-08-01,57.00
2014-08-02,56.00
2014-08-03,67.00
2014-08-04,140.00
2014-08-05,87.00
2014-08-06,97.00
2014-08-07,85.00
2014-08-08,77.00
2014-08-09,108.00
2014-08-10,105.00
2014-08-11,177.00
2014-08-12,93.00
2014-08-13,97.00
2014-08-14,110.00
2014-08-15,210.00
2014-08-16,110.00
2014-08-17,96.00
2014-08-18,97.00
2014-08-19,108.00
2014-08-20,143.00
2014-08-21,167.00
2014-08-22,150.00
2014-08-23,212.00
2014-08-24,213.00
2014-08-25,257.00
2014-08-26,293.00
2014-08-27,263.00
2014-08-28,157.00
2014-08-29,193.00
2014-08-31,253.00
2014-09-01,293.00
2014-09-02,240.00
2014-09-03,270.00
2014-09-04,213.00
2014-09-05,233.00
2014-09-06,246.00
2014-09-07,247.00
2014-09-08,67.00
2014-09-09,230.00
2014-09-10,267.00
2014-09-11,213.00
2014-09-12,150.00
2014-09-13,157.00
2014-09-14,157.00
2014-09-15,233.00
2014-09-16,183.00
2014-09-17,137.00
2014-09-18,135.00
2014-09-19,93.00
2014-09-20,175.00
2014-09-21,167.00
2014-09-22,140.00
2014-09-23,97.00
2014-09-24,113.00
2014-09-26,267.00
2014-09-28,283.00
2014-09-29,90.00
2014-09-30,113.00
2014-10-08,117.00
2014-10-09,133.00
2014-10-10,83.00
2014-10-12,97.00
2014-10-13,73.00
2014-10-14,193.00
2014-10-15,197.00
2014-10-16,53.00
2014-10-17,33.00
2014-10-19,43.00
2014-10-20,48.00
2014-10-21,52.00
