date,avg
2015-01-01,43.00
2015-01-02,38.00
2015-01-03,53.00
2015-01-04,45.00
2015-01-05,53.00
2015-01-06,53.00
2015-01-07,48.00
2015-01-08,48.00
2015-01-09,48.00
2015-01-11,47.00
2015-01-12,45.00
2015-01-13,48.00
2015-01-14,48.00
2015-01-15,48.00
2015-01-25,63.00
2015-03-14,105.00
2015-03-15,105.00
2015-03-16,98.00
2015-03-17,87.00
2015-03-18,90.00
2015-03-19,87.00
2015-03-20,87.00
2015-03-21,117.00
2015-03-22,117.00
2015-03-23,117.00
2015-03-24,97.00
2015-03-25,77.00
2015-03-26,77.00
2015-03-27,84.00
2015-03-28,75.00
2015-03-29,63.00
2015-03-30,65.00
2015-03-31,77.00
2015-04-01,68.00
2015-04-02,68.00
2015-04-03,86.00
2015-04-04,86.00
2015-04-05,86.00
2015-04-06,50.00
2015-04-07,67.00
2015-04-08,67.00
2015-04-10,68.00
2015-04-12,68.00
2015-04-13,63.00
2015-04-14,58.00
2015-04-15,68.00
2015-04-16,63.00
2015-04-17,64.00
2015-04-18,65.00
2015-04-19,53.00
2015-04-20,53.00
2015-04-21,43.00
2015-04-22,43.00
2015-04-23,41.00
2015-04-24,41.00
2015-04-25,38.00
2015-04-26,53.00
2015-04-27,53.00
2015-04-28,43.00
2015-04-29,48.00
2015-04-30,38.00
2015-05-01,38.00
2015-05-02,31.00
2015-05-03,16.00
2015-05-04,14.00
2015-05-05,21.00
2015-05-06,23.00
2015-05-07,19.00
2015-05-08,19.00
2015-05-10,16.00
2015-05-11,13.00
2015-05-12,21.00
2015-05-13,20.00
2015-05-14,20.00
2015-05-15,33.00
2015-05-16,35.00
2015-05-17,30.00
2015-05-18,28.00
2015-05-19,33.00
2015-05-20,43.00
2015-05-21,33.00
2015-05-22,33.00
2015-05-23,29.00
2015-05-24,38.00
2015-05-25,33.00
2015-05-26,32.00
2015-05-27,33.00
2015-05-28,33.00
2015-05-29,33.00
2015-05-30,31.00
2015-05-31,38.00
2015-06-01,34.00
2015-06-02,33.00
2015-06-03,33.00
2015-06-04,33.00
2015-06-05,33.00
2015-06-06,32.00
2015-06-07,33.00
2015-06-08,33.00
2015-06-09,33.00
2015-06-10,33.00
2015-06-11,37.00
2015-06-12,37.00
2015-06-13,36.00
2015-06-14,37.00
2015-06-15,38.00
2015-06-16,38.00
2015-06-17,37.00
2015-06-18,38.00
2015-06-19,38.00
2015-06-20,42.00
2015-06-21,40.00
2015-06-22,41.00
2015-06-23,43.00
2015-06-24,44.00
2015-06-25,41.00
2015-06-26,44.00
2015-06-27,40.00
2015-06-28,38.00
2015-06-29,43.00
2015-06-30,45.00
2015-07-01,45.00
2015-07-02,55.00
2015-07-03,45.00
2015-07-04,48.00
2015-07-05,55.00
2015-07-06,45.00
2015-07-07,55.00
2015-07-08,55.00
2015-07-09,45.00
2015-07-10,55.00
2015-07-11,60.00
2015-07-12,55.00
2015-07-13,55.00
2015-07-14,55.00
2015-07-15,55.00
2015-07-16,55.00
2015-07-17,55.00
2015-07-18,59.00
2015-07-19,55.00
2015-07-20,55.00
2015-07-21,215.00
2015-07-22,55.00
2015-07-23,55.00
2015-07-24,55.00
2015-07-25,57.00
2015-07-26,65.00
2015-07-27,55.00
2015-07-28,55.00
2015-07-29,65.00
2015-07-30,55.00
2015-07-31,55.00
2015-08-01,56.00
2015-08-02,55.00
2015-08-03,65.00
2015-08-04,55.00
2015-08-05,55.00
2015-08-06,55.00
2015-08-07,55.00
2015-08-08,66.00
2015-08-09,55.00
2015-08-10,55.00
2015-08-11,55.00
2015-08-12,55.00
2015-08-13,55.00
2015-08-14,55.00
2015-08-15,58.00
2015-08-16,55.00
2015-08-17,45.00
2015-08-18,55.00
2015-08-19,55.00
2015-08-20,45.00
2015-08-21,55.00
2015-08-22,54.00
2015-08-23,45.00
2015-08-24,45.00
2015-08-25,55.00
2015-08-26,55.00
2015-08-27,55.00
2015-08-28,57.00
2015-08-29,54.00
2015-08-30,42.00
2015-08-31,45.00
2015-09-01,45.00
2015-09-02,45.00
2015-09-03,45.00
2015-09-04,45.00
2015-09-05,45.00
2015-09-06,45.00
2015-09-07,45.00
2015-09-08,45.00
2015-09-09,45.00
2015-09-10,45.00
2015-09-11,45.00
2015-09-12,40.00
2015-09-13,45.00
2015-09-14,45.00
2015-09-15,45.00
2015-09-16,45.00
2015-09-17,38.00
2015-09-18,35.00
2015-09-19,44.00
2015-09-20,35.00
2015-09-21,35.00
2015-09-22,35.00
2015-09-23,35.00
2015-09-24,35.00
2015-09-25,35.00
2015-09-26,64.00
2015-09-27,58.00
2015-09-28,55.00
2015-09-29,65.00
2015-09-30,75.00
