date,avg
2013-04-15,20.00
2013-04-16,20.00
2013-04-17,20.00
2013-04-18,23.00
2013-04-21,43.00
2013-04-22,38.00
2013-04-23,38.00
2013-04-25,33.00
2013-04-26,38.00
2013-04-28,40.00
2013-04-29,43.00
2013-04-30,38.00
2013-05-02,38.00
2013-05-03,33.00
2013-05-05,38.00
2013-05-06,36.00
2013-05-07,43.00
2013-05-08,36.00
2013-05-09,38.00
2013-05-10,33.00
2013-05-12,38.00
2013-05-13,38.00
2013-05-14,33.00
2013-05-15,33.00
2013-05-16,33.00
2013-05-17,33.00
2013-05-19,33.00
2013-05-20,33.00
2013-05-21,33.00
2013-05-22,33.00
2013-05-23,33.00
2013-05-24,33.00
2013-05-26,38.00
2013-05-27,38.00
2013-05-28,38.00
2013-05-30,38.00
2013-05-31,43.00
2013-06-02,38.00
2013-06-03,43.00
2013-06-04,43.00
2013-06-05,48.00
2013-06-06,43.00
2013-06-09,43.00
2013-06-10,43.00
2013-06-11,33.00
2013-06-12,33.00
2013-06-13,33.00
2013-06-14,32.00
2013-06-16,28.00
2013-06-17,28.00
2013-06-18,28.00
2013-06-19,33.00
2013-06-20,33.00
2013-06-21,28.00
2013-06-25,28.00
2013-06-26,33.00
2013-06-27,33.00
2013-06-28,33.00
2013-06-30,31.00
2013-07-01,28.00
2013-07-02,33.00
2013-07-03,33.00
2013-07-04,33.00
2013-07-05,33.00
2013-07-09,33.00
2013-07-10,33.00
2013-07-11,33.00
2013-07-12,33.00
2013-07-14,33.00
2013-07-15,33.00
2013-07-16,33.00
2013-07-17,33.00
2013-07-18,38.00
2013-07-19,28.00
2013-07-21,28.00
2013-07-22,28.00
2013-07-23,28.00
2013-07-24,28.00
2013-07-25,28.00
2013-07-26,28.00
2013-07-28,30.00
2013-07-29,28.00
2013-07-30,28.00
2013-07-31,26.00
2013-08-01,28.00
2013-08-02,28.00
2013-08-04,23.00
2013-08-05,28.00
2013-08-06,28.00
2013-08-07,28.00
2013-08-08,28.00
2013-08-12,27.00
2013-08-13,28.00
2013-08-14,28.00
2013-08-15,28.00
2013-08-16,23.00
2013-08-18,23.00
2013-08-19,23.00
2013-08-20,23.00
2013-08-23,28.00
2013-08-25,23.00
2013-08-26,28.00
2013-08-27,28.00
2013-08-29,28.00
2013-08-30,28.00
2013-09-01,28.00
2013-09-02,33.00
2013-09-03,48.00
2013-09-04,38.00
2013-09-05,28.00
2013-09-06,28.00
2013-09-08,48.00
2013-09-09,38.00
2013-09-10,58.00
2013-09-11,48.00
2013-09-12,38.00
2013-09-13,43.00
2013-09-15,38.00
2013-09-16,38.00
2013-09-17,38.00
2013-09-19,38.00
2013-09-20,38.00
2013-09-22,33.00
2013-09-23,28.00
2013-09-24,33.00
2013-09-25,28.00
2013-09-26,35.00
2013-09-27,33.00
2013-09-29,33.00
2013-09-30,28.00
2013-10-01,28.00
2013-10-02,28.00
2013-10-03,33.00
2013-10-04,33.00
2013-10-06,28.00
2013-10-07,33.00
2013-10-08,33.00
2013-10-09,28.00
2013-10-10,33.00
2013-10-11,58.00
2013-10-12,65.00
2013-10-13,65.00
2013-10-14,65.00
2013-10-15,65.00
2013-10-16,63.00
2013-10-17,55.00
2013-10-20,45.00
2013-10-21,38.00
2013-10-22,43.00
2013-10-23,38.00
2013-10-24,65.00
2013-10-25,65.00
2013-10-27,75.00
2013-10-28,75.00
2013-10-29,65.00
2013-10-30,65.00
2013-10-31,75.00
2013-11-01,33.00
2013-11-03,45.00
2013-11-04,45.00
2013-11-05,35.00
2013-11-06,45.00
2013-11-07,38.00
2013-11-10,38.00
2013-11-11,37.00
2013-11-12,37.00
2013-11-13,33.00
2013-11-14,32.00
2013-11-15,28.00
2013-11-16,26.00
2013-11-17,23.00
2013-11-18,22.00
2013-11-20,22.00
2013-11-21,28.00
2013-11-22,23.00
2013-11-24,23.00
2013-11-25,23.00
2013-11-26,28.00
2013-11-27,18.00
2013-11-28,18.00
2013-11-29,18.00
2013-12-01,28.00
2013-12-02,27.00
2013-12-03,29.00
2013-12-04,28.00
2013-12-05,29.00
2013-12-06,38.00
2013-12-08,39.00
2013-12-09,38.00
2013-12-10,39.00
2013-12-11,39.00
2013-12-12,39.00
2013-12-13,43.00
2013-12-15,43.00
2013-12-16,39.00
2013-12-18,39.00
2013-12-19,39.00
2013-12-20,43.00
2013-12-22,55.00
2013-12-23,57.00
2013-12-24,43.00
2013-12-26,38.00
2013-12-27,38.00
2013-12-29,38.00
2013-12-31,38.00
2014-01-01,38.00
2014-01-02,33.00
2014-01-03,68.00
2014-01-05,58.00
2014-01-06,53.00
2014-01-07,47.00
2014-01-08,53.00
2014-01-09,47.00
2014-01-10,46.00
2014-01-12,48.00
2014-01-13,43.00
2014-01-14,48.00
2014-01-16,43.00
2014-01-17,43.00
2014-01-19,42.00
2014-01-20,38.00
2014-01-21,43.00
2014-01-22,38.00
2014-01-23,33.00
2014-01-24,33.00
2014-01-26,38.00
2014-01-27,31.00
2014-01-28,32.00
2014-01-29,28.00
2014-02-02,33.00
2014-02-03,23.00
2014-02-04,23.00
2014-02-05,22.00
2014-02-06,22.00
2014-02-07,25.00
2014-02-08,23.00
2014-02-09,26.00
2014-02-10,28.00
2014-02-11,33.00
2014-02-12,28.00
2014-02-13,28.00
2014-02-14,27.00
2014-02-16,28.00
2014-02-17,23.00
2014-02-18,23.00
2014-02-20,23.00
2014-02-21,28.00
2014-02-23,28.00
2014-02-24,28.00
2014-02-25,28.00
2014-02-26,28.00
2014-02-28,28.00
2014-03-03,75.00
2014-03-05,75.00
2014-03-06,65.00
2014-03-07,77.00
2014-03-09,65.00
2014-03-10,28.00
2014-03-11,28.00
2014-03-12,65.00
2014-03-13,58.00
2014-03-14,48.00
2014-03-17,75.00
2014-03-18,67.00
2014-03-19,65.00
2014-03-20,60.00
2014-03-21,57.00
2014-03-23,54.00
