date,avg
2019-05-31,215.00
2019-06-01,215.00
2019-06-02,215.00
2019-06-03,215.00
2019-06-04,215.00
2019-06-05,215.00
2019-06-06,215.00
2019-06-07,218.00
2019-06-08,215.00
2019-06-09,215.00
2019-06-10,215.00
2019-06-11,215.00
2019-06-12,215.00
2019-06-13,215.00
2019-06-14,215.00
2019-06-15,215.00
2019-06-16,228.00
2019-06-17,215.00
2019-06-18,225.00
2019-06-19,225.00
2019-06-20,235.00
2019-06-21,225.00
2019-06-22,225.00
2019-06-23,225.00
2019-06-24,225.00
2019-06-25,225.00
2019-06-26,225.00
2019-06-27,225.00
2019-06-28,235.00
2019-06-29,225.00
2019-06-30,225.00
2019-07-01,225.00
2019-07-02,225.00
2019-07-03,225.00
2019-07-04,225.00
2019-07-05,225.00
2019-07-06,225.00
2019-07-07,225.00
2019-07-08,225.00
2019-07-09,225.00
2019-07-10,225.00
2019-07-11,225.00
2019-07-12,225.00
2019-07-13,225.00
2019-07-14,225.00
2019-07-15,225.00
2019-07-16,225.00
2019-07-17,225.00
2019-07-18,225.00
2019-07-19,215.00
2019-07-20,215.00
2019-07-21,215.00
2019-07-22,215.00
2019-07-23,215.00
2019-07-24,215.00
2019-07-25,205.00
2019-07-26,205.00
2019-07-27,205.00
2019-07-28,205.00
2019-07-29,205.00
2019-07-30,205.00
2019-07-31,205.00
2019-08-01,205.00
2019-08-02,205.00
2019-08-03,205.00
2019-08-04,205.00
2019-08-05,205.00
2019-08-06,205.00
2019-08-07,205.00
2019-08-08,205.00
2019-08-09,205.00
2019-08-10,205.00
2019-08-11,205.00
2019-08-12,205.00
2019-08-13,205.00
2019-08-14,205.00
2019-08-15,205.00
2019-08-16,205.00
2019-08-17,205.00
2019-08-18,205.00
2019-08-19,205.00
2019-08-20,205.00
2019-08-21,205.00
2019-08-22,205.00
2019-08-23,205.00
2019-08-24,213.00
2019-08-25,213.00
2019-08-26,213.00
2019-08-27,213.00
2019-08-28,213.00
2019-08-29,223.00
2019-08-30,235.00
2019-08-31,223.00
2019-09-01,223.00
2019-09-02,223.00
2019-09-03,223.00
2019-09-04,223.00
2019-09-05,223.00
2019-09-06,235.00
2019-09-07,223.00
2019-09-08,223.00
2019-09-09,223.00
2019-09-10,223.00
2019-09-11,223.00
2019-09-12,223.00
2019-09-13,223.00
2019-09-14,223.00
2019-09-15,223.00
2019-09-16,223.00
2019-09-17,223.00
2019-09-18,223.00
2019-09-19,223.00
2019-09-20,223.00
2019-09-21,223.00
2019-09-22,223.00
2019-09-23,223.00
2019-09-24,223.00
2019-09-25,223.00
2019-09-26,223.00
2019-09-27,223.00
2019-09-28,223.00
2019-09-29,223.00
2019-09-30,223.00
2019-10-01,223.00
2019-10-02,223.00
2019-10-03,223.00
2019-10-04,223.00
2019-10-05,223.00
2019-10-06,223.00
2019-10-07,223.00
2019-10-08,223.00
2019-10-09,223.00
2019-10-10,223.00
2019-10-11,223.00
2019-10-12,223.00
2019-10-13,223.00
2019-10-14,223.00
2019-10-15,223.00
2019-10-16,223.00
2019-10-17,223.00
2019-10-18,223.00
2019-10-19,215.00
2019-10-20,223.00
2019-10-21,218.00
2019-10-22,220.00
2019-10-23,218.00
2019-10-24,218.00
2019-10-25,218.00
2019-10-26,223.00
2019-10-27,218.00
2019-10-28,223.00
2019-10-29,223.00
2019-10-30,223.00
2019-10-31,223.00
2019-11-01,223.00
2019-11-02,235.00
2019-11-03,223.00
2019-11-04,223.00
2019-11-05,223.00
2019-11-06,223.00
2019-11-07,223.00
2019-11-08,223.00
2019-11-09,223.00
2019-11-10,223.00
2019-11-11,223.00
2019-11-12,223.00
2019-11-13,223.00
2019-11-14,223.00
2019-11-15,223.00
2019-11-16,223.00
2019-11-17,223.00
2019-11-18,223.00
2019-11-19,218.00
2019-11-20,218.00
2019-11-21,218.00
2019-11-22,218.00
2019-11-23,218.00
2019-11-24,218.00
2019-11-25,218.00
2019-11-26,218.00
2019-11-27,218.00
2019-11-28,218.00
2019-11-29,218.00
2019-11-30,218.00
2019-12-01,218.00
2019-12-02,218.00
2019-12-03,218.00
2019-12-04,218.00
2019-12-05,218.00
2019-12-06,218.00
2019-12-07,218.00
2019-12-08,218.00
2019-12-09,218.00
2019-12-10,218.00
2019-12-11,218.00
2019-12-12,218.00
2019-12-13,218.00
2019-12-14,218.00
2019-12-15,218.00
2019-12-16,218.00
2019-12-17,218.00
2019-12-18,218.00
2019-12-19,218.00
2019-12-20,218.00
2019-12-21,218.00
2019-12-22,218.00
2019-12-23,218.00
2019-12-24,218.00
2019-12-25,218.00
2019-12-26,218.00
2019-12-27,223.00
2019-12-28,223.00
2019-12-29,223.00
2019-12-30,223.00
2019-12-31,223.00
2020-01-01,223.00
2020-01-02,223.00
2020-01-03,223.00
2020-01-04,223.00
2020-01-05,223.00
2020-01-06,223.00
2020-01-07,223.00
2020-01-08,223.00
2020-01-09,223.00
2020-01-10,223.00
2020-01-11,223.00
2020-01-12,223.00
2020-01-13,223.00
2020-01-14,223.00
2020-01-15,223.00
2020-01-16,223.00
2020-01-17,223.00
2020-01-18,223.00
2020-01-19,223.00
2020-01-20,223.00
2020-01-21,223.00
2020-01-22,223.00
2020-01-23,223.00
2020-01-24,223.00
2020-01-25,223.00
2020-01-26,223.00
2020-01-27,223.00
2020-01-28,223.00
2020-01-29,223.00
2020-01-30,223.00
2020-01-31,223.00
2020-02-01,223.00
2020-02-02,223.00
2020-02-03,223.00
2020-02-04,223.00
2020-02-05,223.00
2020-02-06,223.00
2020-02-07,223.00
2020-02-08,223.00
2020-02-09,223.00
2020-02-10,223.00
