date,avg
2019-05-31,205.00
2019-06-01,205.00
2019-06-02,205.00
2019-06-03,205.00
2019-06-04,205.00
2019-06-05,205.00
2019-06-06,205.00
2019-06-07,205.00
2019-06-08,205.00
2019-06-09,205.00
2019-06-10,205.00
2019-06-11,205.00
2019-06-12,205.00
2019-06-13,205.00
2019-06-14,205.00
2019-06-15,205.00
2019-06-16,205.00
2019-06-17,205.00
2019-06-18,205.00
2019-06-19,205.00
2019-06-20,205.00
2019-06-21,205.00
2019-06-22,205.00
2019-06-23,205.00
2019-06-24,205.00
2019-06-25,205.00
2019-06-26,205.00
2019-06-27,205.00
2019-06-28,205.00
2019-06-29,205.00
2019-06-30,205.00
2019-07-01,205.00
2019-07-02,205.00
2019-07-03,205.00
2019-07-04,205.00
2019-07-05,205.00
2019-07-06,205.00
2019-07-07,205.00
2019-07-08,205.00
2019-07-09,205.00
2019-07-10,205.00
2019-07-11,205.00
2019-07-12,208.00
2019-07-13,205.00
2019-07-14,205.00
2019-07-15,205.00
2019-07-16,205.00
2019-07-17,205.00
2019-07-18,205.00
2019-07-19,205.00
2019-07-20,205.00
2019-07-21,205.00
2019-07-22,205.00
2019-07-23,205.00
2019-07-24,205.00
2019-07-25,205.00
2019-07-26,205.00
2019-07-27,205.00
2019-07-28,205.00
2019-07-29,205.00
2019-07-30,205.00
2019-07-31,205.00
2019-08-01,205.00
2019-08-02,205.00
2019-08-03,205.00
2019-08-04,205.00
2019-08-05,205.00
2019-08-06,205.00
2019-08-07,205.00
2019-08-08,205.00
2019-08-09,205.00
2019-08-10,205.00
2019-08-11,205.00
2019-08-12,205.00
2019-08-13,205.00
2019-08-14,205.00
2019-08-15,205.00
2019-08-16,205.00
2019-08-17,205.00
2019-08-18,205.00
2019-08-19,205.00
2019-08-20,205.00
2019-08-21,205.00
2019-08-22,205.00
2019-08-23,205.00
2019-08-24,213.00
2019-08-25,213.00
2019-08-26,213.00
2019-08-27,213.00
2019-08-28,213.00
2019-08-29,205.00
2019-08-30,205.00
2019-08-31,213.00
2019-09-01,213.00
2019-09-02,213.00
2019-09-03,213.00
2019-09-04,213.00
2019-09-05,213.00
2019-09-06,213.00
2019-09-07,218.00
2019-09-08,213.00
2019-09-09,213.00
2019-09-10,213.00
2019-09-11,213.00
2019-09-12,213.00
2019-09-13,213.00
2019-09-14,213.00
2019-09-15,213.00
2019-09-16,213.00
2019-09-17,213.00
2019-09-18,213.00
2019-09-19,213.00
2019-09-20,213.00
2019-09-21,213.00
2019-09-22,205.00
2019-09-23,205.00
2019-09-24,213.00
2019-09-25,205.00
2019-09-26,205.00
2019-09-27,205.00
2019-09-28,205.00
2019-09-29,205.00
2019-09-30,205.00
2019-10-01,205.00
2019-10-02,205.00
2019-10-03,205.00
2019-10-04,205.00
2019-10-05,205.00
2019-10-06,205.00
2019-10-07,205.00
2019-10-08,205.00
2019-10-09,205.00
2019-10-10,205.00
2019-10-11,205.00
2019-10-12,205.00
2019-10-13,205.00
2019-10-14,205.00
2019-10-15,205.00
2019-10-16,205.00
2019-10-17,205.00
2019-10-18,205.00
2019-10-19,205.00
2019-10-20,205.00
2019-10-21,205.00
2019-10-22,205.00
2019-10-23,205.00
2019-10-24,205.00
2019-10-25,205.00
2019-10-26,205.00
2019-10-27,205.00
2019-10-28,205.00
2019-10-29,205.00
2019-10-30,205.00
2019-10-31,205.00
2019-11-01,205.00
2019-11-02,205.00
2019-11-03,205.00
2019-11-04,205.00
2019-11-05,205.00
2019-11-06,205.00
2019-11-07,205.00
2019-11-08,205.00
2019-11-09,205.00
2019-11-10,205.00
2019-11-11,205.00
2019-11-12,205.00
2019-11-13,205.00
2019-11-14,205.00
2019-11-15,205.00
2019-11-16,205.00
2019-11-17,205.00
2019-11-18,205.00
2019-11-19,205.00
2019-11-20,205.00
2019-11-21,205.00
2019-11-22,205.00
2019-11-23,205.00
2019-11-24,205.00
2019-11-25,205.00
2019-11-26,205.00
2019-11-27,205.00
2019-11-28,205.00
2019-11-29,205.00
2019-11-30,205.00
2019-12-01,205.00
2019-12-02,205.00
2019-12-03,205.00
2019-12-04,205.00
2019-12-05,205.00
2019-12-06,205.00
2019-12-07,205.00
2019-12-08,205.00
2019-12-09,205.00
2019-12-10,205.00
2019-12-11,205.00
2019-12-12,205.00
2019-12-13,205.00
2019-12-14,205.00
2019-12-15,205.00
2019-12-16,205.00
2019-12-17,205.00
2019-12-18,205.00
2019-12-19,205.00
2019-12-20,205.00
2019-12-21,205.00
2019-12-22,205.00
2019-12-23,205.00
2019-12-24,205.00
2019-12-25,205.00
2019-12-26,205.00
2019-12-27,215.00
2019-12-28,215.00
2019-12-29,213.00
2019-12-30,213.00
2019-12-31,213.00
2020-01-01,213.00
2020-01-02,213.00
2020-01-03,213.00
2020-01-04,213.00
2020-01-05,213.00
2020-01-06,213.00
2020-01-07,213.00
2020-01-08,213.00
2020-01-09,213.00
2020-01-10,213.00
2020-01-11,213.00
2020-01-12,213.00
2020-01-13,213.00
2020-01-14,213.00
