date,avg
2019-05-31,235.00
2019-06-01,235.00
2019-06-02,238.00
2019-06-03,235.00
2019-06-04,235.00
2019-06-05,238.00
2019-06-06,235.00
2019-06-07,235.00
2019-06-08,235.00
2019-06-09,235.00
2019-06-10,235.00
2019-06-11,235.00
2019-06-12,235.00
2019-06-13,235.00
2019-06-14,235.00
2019-06-16,253.00
2019-06-17,253.00
2019-06-18,253.00
2019-06-19,253.00
2019-06-20,253.00
2019-06-21,253.00
2019-06-22,253.00
2019-06-23,253.00
2019-06-24,245.00
2019-06-25,245.00
2019-06-26,245.00
2019-06-27,248.00
2019-06-28,245.00
2019-06-29,238.00
2019-06-30,248.00
2019-07-01,248.00
2019-07-02,255.00
2019-07-03,255.00
2019-07-04,235.00
2019-07-05,235.00
2019-07-06,243.00
2019-07-07,245.00
2019-07-08,243.00
2019-07-09,245.00
2019-07-10,235.00
2019-07-11,235.00
2019-07-12,235.00
2019-07-13,235.00
2019-07-14,238.00
2019-07-15,255.00
2019-07-16,258.00
2019-07-17,255.00
2019-07-18,255.00
2019-07-19,258.00
2019-07-20,258.00
2019-07-21,258.00
2019-07-22,258.00
2019-07-23,258.00
2019-07-24,258.00
2019-07-25,258.00
2019-07-26,258.00
2019-07-27,258.00
2019-07-28,258.00
2019-07-29,258.00
2019-07-30,258.00
2019-07-31,258.00
2019-08-01,258.00
2019-08-02,258.00
2019-08-03,258.00
2019-08-04,258.00
2019-08-05,258.00
2019-08-06,258.00
2019-08-07,258.00
2019-08-08,258.00
2019-08-09,258.00
2019-08-10,258.00
2019-08-11,258.00
2019-08-12,258.00
2019-08-13,258.00
2019-08-14,258.00
2019-08-15,258.00
2019-08-16,258.00
2019-08-17,258.00
2019-08-18,258.00
2019-08-19,258.00
2019-08-20,258.00
2019-08-21,258.00
2019-08-22,258.00
2019-08-23,258.00
2019-08-24,258.00
2019-08-25,258.00
2019-08-26,258.00
2019-08-27,258.00
2019-08-28,258.00
2019-08-29,238.00
2019-08-30,243.00
2019-08-31,243.00
2019-09-01,238.00
2019-09-02,243.00
2019-09-03,243.00
2019-09-04,243.00
2019-09-05,238.00
2019-09-06,238.00
2019-09-07,238.00
2019-09-08,243.00
2019-09-09,243.00
2019-09-10,243.00
2019-09-11,238.00
2019-09-12,238.00
2019-09-13,238.00
2019-09-14,238.00
2019-09-15,238.00
2019-09-16,238.00
2019-09-17,238.00
2019-09-18,238.00
2019-09-19,238.00
2019-09-20,238.00
2019-09-21,238.00
2019-09-22,238.00
2019-09-23,238.00
2019-09-24,238.00
2019-09-25,238.00
2019-09-26,238.00
2019-09-27,238.00
2019-09-28,238.00
2019-09-29,238.00
2019-09-30,238.00
2019-10-01,238.00
2019-10-02,238.00
2019-10-03,238.00
2019-10-04,238.00
2019-10-05,238.00
2019-10-06,238.00
2019-10-07,238.00
2019-10-08,238.00
2019-10-09,238.00
2019-10-10,238.00
2019-10-11,238.00
2019-10-12,238.00
2019-10-13,238.00
2019-10-14,238.00
2019-10-15,238.00
2019-10-16,238.00
2019-10-17,238.00
2019-10-18,238.00
2019-10-19,238.00
2019-10-20,238.00
2019-10-21,238.00
2019-10-22,238.00
2019-10-23,238.00
2019-10-24,238.00
2019-10-25,238.00
2019-10-26,238.00
2019-10-27,238.00
2019-10-28,238.00
2019-10-29,238.00
2019-10-30,238.00
2019-10-31,238.00
2019-11-01,238.00
2019-11-02,238.00
2019-11-03,238.00
2019-11-04,238.00
2019-11-05,238.00
2019-11-06,238.00
2019-11-07,238.00
2019-11-08,238.00
2019-11-09,238.00
2019-11-10,238.00
2019-11-11,238.00
2019-11-12,238.00
2019-11-13,238.00
2019-11-14,238.00
2019-11-15,238.00
2019-11-16,238.00
2019-11-17,238.00
2019-11-18,238.00
2019-11-19,238.00
2019-11-20,238.00
2019-11-21,238.00
2019-11-22,238.00
2019-11-23,238.00
2019-11-24,238.00
2019-11-25,238.00
2019-11-26,238.00
2019-11-27,238.00
2019-11-28,238.00
2019-11-29,238.00
2019-11-30,238.00
2019-12-01,238.00
2019-12-02,238.00
2019-12-03,238.00
2019-12-04,238.00
2019-12-05,238.00
2019-12-06,238.00
2019-12-07,238.00
2019-12-08,238.00
2019-12-09,238.00
2019-12-10,238.00
2019-12-11,238.00
2019-12-12,238.00
2019-12-13,238.00
2019-12-14,238.00
2019-12-15,238.00
2019-12-16,238.00
2019-12-17,238.00
2019-12-18,238.00
2019-12-19,238.00
2019-12-20,238.00
2019-12-21,238.00
2019-12-22,238.00
2019-12-23,238.00
2019-12-24,238.00
2019-12-25,238.00
2019-12-26,238.00
2019-12-27,243.00
2019-12-28,245.00
2019-12-29,243.00
2019-12-30,243.00
2019-12-31,243.00
2020-01-01,243.00
2020-01-02,243.00
2020-01-03,243.00
2020-01-04,243.00
2020-01-05,245.00
2020-01-06,243.00
2020-01-07,243.00
2020-01-08,243.00
2020-01-09,243.00
2020-01-10,243.00
2020-01-11,243.00
2020-01-12,243.00
2020-01-13,243.00
2020-01-14,243.00
2020-01-15,243.00
2020-01-16,243.00
2020-01-17,243.00
2020-01-18,243.00
2020-01-19,253.00
2020-01-20,253.00
2020-01-21,253.00
2020-01-22,253.00
2020-01-23,253.00
2020-01-24,253.00
2020-01-25,253.00
2020-01-26,253.00
2020-01-27,253.00
2020-01-28,253.00
2020-01-29,253.00
2020-01-30,253.00
2020-01-31,253.00
2020-02-01,253.00
2020-02-02,253.00
2020-02-03,253.00
2020-02-04,253.00
2020-02-05,248.00
