date,avg
2019-05-31,248.00
2019-06-01,248.00
2019-06-02,248.00
2019-06-03,248.00
2019-06-04,248.00
2019-06-05,248.00
2019-06-06,248.00
2019-06-07,248.00
2019-06-08,248.00
2019-06-09,248.00
2019-06-10,248.00
2019-06-11,248.00
2019-06-12,248.00
2019-06-13,248.00
2019-06-14,248.00
2019-06-15,248.00
2019-06-16,253.00
2019-06-17,253.00
2019-06-18,253.00
2019-06-19,253.00
2019-06-20,253.00
2019-06-21,253.00
2019-06-22,253.00
2019-06-23,253.00
2019-06-24,253.00
2019-06-25,253.00
2019-06-26,253.00
2019-06-27,253.00
2019-06-28,253.00
2019-06-29,253.00
2019-06-30,253.00
2019-07-01,253.00
2019-07-02,253.00
2019-07-03,253.00
2019-07-04,253.00
2019-07-05,253.00
2019-07-06,253.00
2019-07-07,253.00
2019-07-08,253.00
2019-07-09,253.00
2019-07-10,253.00
2019-07-11,253.00
2019-07-12,253.00
2019-07-13,253.00
2019-07-14,253.00
2019-07-15,253.00
2019-07-16,253.00
2019-07-17,253.00
2019-07-18,253.00
2019-07-19,253.00
2019-07-20,253.00
2019-07-21,253.00
2019-07-22,248.00
2019-07-23,248.00
2019-07-24,248.00
2019-07-25,248.00
2019-07-26,248.00
2019-07-27,248.00
2019-07-28,248.00
2019-07-29,248.00
2019-07-30,248.00
2019-07-31,248.00
2019-08-01,248.00
2019-08-02,248.00
2019-08-03,248.00
2019-08-04,248.00
2019-08-05,248.00
2019-08-06,248.00
2019-08-07,248.00
2019-08-08,248.00
2019-08-09,248.00
2019-08-10,248.00
2019-08-11,248.00
2019-08-12,248.00
2019-08-13,248.00
2019-08-14,248.00
2019-08-15,248.00
2019-08-16,248.00
2019-08-17,248.00
2019-08-18,248.00
2019-08-19,248.00
2019-08-20,248.00
2019-08-21,248.00
2019-08-22,248.00
2019-08-23,248.00
2019-08-24,248.00
2019-08-25,253.00
2019-08-26,253.00
2019-08-27,253.00
2019-08-28,253.00
2019-08-29,263.00
2019-08-30,268.00
2019-08-31,268.00
2019-09-01,268.00
2019-09-02,268.00
2019-09-03,263.00
2019-09-04,268.00
2019-09-05,263.00
2019-09-06,263.00
2019-09-07,263.00
2019-09-08,263.00
2019-09-09,263.00
2019-09-10,263.00
2019-09-11,263.00
