date,avg
2013-04-15,215.00
2013-04-16,213.00
2013-04-17,214.00
2013-04-18,215.00
2013-04-21,215.00
2013-04-22,215.00
2013-04-23,215.00
2013-04-25,215.00
2013-04-26,215.00
2013-04-28,215.00
2013-04-29,215.00
2013-04-30,215.00
2013-05-02,215.00
2013-05-03,215.00
2013-05-05,215.00
2013-05-06,215.00
2013-05-07,215.00
2013-05-08,215.00
2013-05-09,205.00
2013-05-10,205.00
2013-05-12,205.00
2013-05-13,205.00
2013-05-14,205.00
2013-05-15,205.00
2013-05-16,205.00
2013-05-17,205.00
2013-05-19,215.00
2013-05-20,215.00
2013-05-21,205.00
2013-05-22,205.00
2013-05-23,205.00
2013-05-24,205.00
2013-05-26,203.00
2013-05-27,205.00
2013-05-28,205.00
2013-05-30,205.00
2013-05-31,205.00
2013-06-02,205.00
2013-06-03,205.00
2013-06-04,205.00
2013-06-05,205.00
2013-06-06,205.00
2013-06-09,205.00
2013-06-10,205.00
2013-06-11,215.00
2013-06-12,215.00
2013-06-13,215.00
2013-06-14,215.00
2013-06-16,215.00
2013-06-17,215.00
2013-06-18,215.00
2013-06-19,215.00
2013-06-20,215.00
2013-06-21,215.00
2013-06-25,215.00
2013-06-26,215.00
2013-06-27,215.00
2013-06-28,215.00
2013-06-30,215.00
2013-07-01,218.00
2013-07-02,218.00
2013-07-03,218.00
2013-07-04,215.00
2013-07-05,228.00
2013-07-09,215.00
2013-07-10,215.00
2013-07-11,215.00
2013-07-12,215.00
2013-07-14,215.00
2013-07-15,215.00
2013-07-16,215.00
2013-07-17,215.00
2013-07-18,215.00
2013-07-19,215.00
2013-07-21,215.00
2013-07-22,215.00
2013-07-23,215.00
2013-07-24,205.00
2013-07-25,205.00
2013-07-26,205.00
2013-07-28,205.00
2013-07-29,205.00
2013-07-30,205.00
2013-07-31,205.00
2013-08-01,205.00
2013-08-02,205.00
2013-08-04,205.00
2013-08-05,230.00
2013-08-06,230.00
2013-08-07,230.00
2013-08-08,230.00
2013-08-13,230.00
2013-08-14,220.00
2013-08-15,230.00
2013-08-16,230.00
2013-08-18,230.00
2013-08-19,230.00
2013-08-20,220.00
2013-08-23,220.00
2013-08-25,230.00
2013-08-26,230.00
2013-08-27,230.00
2013-08-29,220.00
2013-08-30,215.00
2013-09-01,220.00
2013-09-02,220.00
2013-09-03,220.00
2013-09-04,220.00
2013-09-05,230.00
2013-09-06,225.00
2013-09-08,230.00
2013-09-09,230.00
2013-09-10,230.00
2013-09-11,230.00
2013-09-12,230.00
2013-09-13,230.00
2013-09-15,230.00
2013-09-16,230.00
2013-09-17,230.00
2013-09-19,230.00
2013-09-20,230.00
2013-09-22,230.00
2013-09-23,230.00
2013-09-24,230.00
2013-09-25,230.00
2013-09-26,230.00
2013-09-27,230.00
2013-09-29,230.00
2013-09-30,230.00
2013-10-01,230.00
2013-10-02,230.00
2013-10-03,230.00
2013-10-04,230.00
2013-10-06,230.00
2013-10-07,230.00
2013-10-08,230.00
2013-10-09,230.00
2013-10-10,230.00
2013-10-11,230.00
2013-10-12,230.00
2013-10-13,230.00
2013-10-14,230.00
2013-10-15,230.00
2013-10-16,232.00
2013-10-17,230.00
2013-10-20,230.00
2013-10-21,230.00
2013-10-22,230.00
2013-10-23,230.00
2013-10-24,230.00
2013-10-25,230.00
2013-10-27,230.00
2013-10-28,230.00
2013-10-29,230.00
2013-10-30,230.00
2013-10-31,230.00
2013-11-01,230.00
2013-11-03,230.00
2013-11-04,230.00
