date,avg
2019-06-04,65.00
2019-06-05,68.00
2019-06-06,68.00
2019-06-07,78.00
2019-06-08,58.00
2019-06-09,78.00
2019-06-10,78.00
2019-06-11,78.00
2019-06-12,98.00
2019-06-13,98.00
2019-06-14,98.00
2019-06-15,98.00
2019-06-16,98.00
2019-06-17,98.00
2019-06-18,135.00
2019-06-20,98.00
2019-06-21,98.00
2019-06-22,98.00
2019-06-23,98.00
2019-06-24,98.00
2019-06-25,98.00
2019-06-26,98.00
2019-06-27,98.00
2019-06-28,98.00
2019-06-29,98.00
2019-06-30,98.00
2019-07-01,98.00
2019-07-02,93.00
2019-07-03,92.00
2019-11-05,155.00
2019-11-06,125.00
2019-11-07,135.00
2019-11-08,125.00
2019-11-09,105.00
2019-11-10,95.00
2019-11-11,98.00
2019-11-12,98.00
2019-11-13,98.00
2019-11-14,98.00
2019-11-15,98.00
2019-11-16,98.00
2019-11-17,98.00
2019-11-18,88.00
2019-11-19,88.00
2019-11-20,85.00
2019-11-21,82.00
2019-11-22,88.00
2019-11-23,88.00
2019-11-24,88.00
2019-11-25,95.00
2019-11-26,98.00
2019-11-27,98.00
2019-11-28,98.00
2019-11-29,98.00
2019-11-30,98.00
2019-12-01,98.00
2019-12-02,98.00
2019-12-03,98.00
2019-12-17,81.00
2019-12-18,78.00
2019-12-19,78.00
2019-12-20,68.00
2019-12-27,58.00
2019-12-28,62.00
2019-12-29,68.00
2019-12-30,65.00
2019-12-31,68.00
2020-01-01,68.00
2020-01-02,78.00
2020-01-04,98.00
2020-01-05,98.00
2020-01-06,78.00
2020-01-07,68.00
2020-01-08,55.00
2020-01-09,55.00
2020-01-10,55.00
2020-01-11,48.00
2020-01-12,48.00
2020-01-13,48.00
2020-01-14,48.00
2020-01-15,48.00
2020-01-16,48.00
2020-01-17,58.00
2020-01-18,55.00
2020-01-19,55.00
2020-01-24,62.00
2020-01-25,65.00
2020-01-27,62.00
2020-01-29,98.00
2020-01-30,98.00
2020-03-02,98.00
2020-03-04,98.00
2020-03-06,98.00
2020-03-07,98.00
2020-03-08,98.00
2020-03-18,78.00
2020-03-23,98.00
2020-11-29,145.00
2021-01-02,135.00
2021-02-14,85.00
2021-02-19,85.00
2021-02-21,87.67
2021-02-28,87.67
2021-03-14,85.00
2021-03-16,95.00
2021-03-17,95.00
2021-03-18,95.00
2021-03-19,75.00
2021-03-20,66.67
2021-03-21,65.00
2021-03-22,65.00
2021-03-23,65.00
2021-03-25,86.67
2021-03-26,85.00
2021-03-27,85.00
2021-03-28,85.00
2021-03-29,85.00
2021-03-30,95.00
2021-04-01,86.67
2021-04-03,115.00
2021-04-04,105.00
2021-04-05,116.67
2021-04-06,115.00
2021-04-07,115.00
2021-04-08,115.00
2021-04-09,115.00
2021-04-10,115.00
2021-04-11,115.00
2021-04-12,115.00
2021-04-13,105.00
2021-04-14,115.00
2021-04-15,115.00
2021-04-16,115.00
2021-04-17,115.00
2021-04-18,115.00
2021-04-19,115.00
2021-04-20,105.00
2021-04-21,110.00
2021-04-22,95.00
2021-04-23,95.00
2021-04-24,96.67
2021-04-26,95.00
2021-04-27,86.67
2021-04-28,76.67
2021-04-29,76.67
2021-04-30,75.00
2021-05-01,65.00
2021-05-02,82.33
2021-05-03,45.00
2021-05-04,45.00
2021-05-05,75.00
2021-05-06,67.67
2021-05-07,55.00
2021-05-08,76.67
2021-05-09,75.00
2021-05-10,65.00
2021-05-11,75.00
2021-05-12,75.00
2021-05-13,65.00
2021-05-14,65.00
2021-05-15,65.00
2021-05-16,65.00
2021-05-17,65.00
2021-05-19,55.00
2021-05-20,47.67
2021-05-21,55.00
2021-05-22,55.00
2021-05-23,65.00
2021-05-24,65.00
2021-05-25,56.67
2021-05-26,45.00
2021-05-28,42.33
2021-05-29,55.00
2021-05-30,56.67
2021-06-01,76.67
2021-06-02,55.00
2021-06-03,55.00
2021-06-04,55.00
2021-06-05,75.00
2021-06-06,105.00
2021-06-07,86.67
2021-06-08,95.00
2021-06-09,95.00
2021-06-10,95.00
2021-06-11,95.00
2021-06-12,95.00
2021-06-13,75.00
2021-06-14,95.00
2021-06-16,85.00
2021-06-17,95.00
2021-06-18,95.00
2021-06-22,95.00
2021-06-23,75.00
2021-06-24,95.00
2021-06-25,95.00
2021-06-26,95.00
2021-06-27,95.00
2021-06-28,113.33
2021-06-29,115.00
2021-06-30,115.00
2021-07-02,115.00
2021-07-03,105.00
2021-07-04,105.00
2021-07-05,115.00
2021-07-06,125.00
2021-07-07,115.00
2021-07-08,115.00
2021-07-09,130.00
2021-07-10,115.00
2021-07-12,115.00
2021-07-13,130.00
2021-07-14,115.00
2021-07-15,125.00
2021-07-16,115.00
2021-07-17,115.00
2021-07-18,115.00
2021-07-19,115.00
2021-07-20,110.00
2021-07-21,95.00
2021-07-22,130.00
2021-07-23,145.00
2021-07-25,110.00
2021-07-26,95.00
2021-07-27,115.00
2021-07-28,75.00
2021-07-29,85.00
2021-07-30,95.00
2021-08-02,95.00
2021-08-03,95.00
2021-08-04,85.00
2021-08-05,86.67
2021-08-06,85.00
2021-08-07,85.00
2021-08-08,85.00
2021-08-09,86.67
2021-10-05,193.33
2021-10-06,165.00
2021-10-07,165.00
2021-10-08,190.00
2021-10-09,165.00
2021-10-10,165.00
2021-10-11,145.00
2021-10-12,165.00
2021-10-13,170.00
2021-10-18,146.67
2021-10-19,146.67
2021-10-20,146.67
2021-10-22,146.67
2021-10-23,76.67
2021-10-24,75.00
2021-10-25,140.00
2021-10-26,150.00
2021-10-27,190.00
2021-10-28,170.00
2021-10-29,190.00
2021-10-30,193.33
2021-10-31,190.00
2021-11-01,190.00
2021-11-02,153.33
2021-11-03,165.00
2021-11-04,156.67
2021-11-05,136.67
2021-11-09,120.00
2021-11-10,170.00
2021-11-11,130.00
2021-11-12,146.67
2021-11-13,133.33
2021-11-14,135.00
2021-11-15,86.67
2021-11-16,70.00
2021-11-19,110.00
2021-11-20,116.67
2021-11-21,115.00
2021-11-22,76.67
2021-11-24,76.67
2021-11-25,106.67
2021-11-26,106.67
2021-11-27,86.67
2021-11-28,85.00
2021-11-29,85.00
2021-12-01,105.00
2021-12-03,90.00
2021-12-04,85.00
2021-12-05,95.00
2021-12-06,115.00
2021-12-08,96.67
2021-12-09,110.00
2021-12-10,105.00
2021-12-11,106.67
2021-12-12,95.00
2021-12-13,86.67
2021-12-14,96.67
2021-12-15,96.67
2021-12-16,96.67
2021-12-17,96.67
2021-12-18,86.67
2021-12-19,115.00
2021-12-20,95.00
2021-12-21,96.67
2021-12-22,96.67
2021-12-23,96.67
2021-12-24,105.00
2021-12-25,105.00
2021-12-26,110.00
2021-12-27,140.00
2021-12-28,136.67
2021-12-29,136.67
2021-12-30,145.00
2021-12-31,146.67
2022-01-01,136.67
2022-01-02,135.00
2022-01-03,115.00
2022-01-04,125.00
2022-01-05,125.00
2022-01-06,115.00
2022-01-07,110.00
2022-01-08,116.67
2022-01-09,115.00
2022-01-11,125.00
2022-01-12,115.00
2022-01-13,136.67
2022-01-14,116.67
2022-01-15,126.67
2022-01-17,116.67
2022-01-18,115.00
2022-01-19,116.67
2022-01-20,96.67
2022-01-21,125.00
2022-01-22,116.67
2022-01-23,126.67
2022-01-24,110.00
2022-01-25,115.00
2022-01-26,130.00
2022-01-27,110.00
2022-01-28,110.00
2022-01-29,110.00
2022-01-30,110.00
2022-01-31,90.00
2022-02-01,76.67
2022-02-02,76.67
2022-02-03,76.67
2022-02-04,96.67
2022-02-05,86.67
2022-02-06,95.00
2022-02-07,75.00
2022-02-08,76.67
2022-02-09,76.67
2022-02-10,76.67
2022-02-11,76.67
2022-02-12,76.67
2022-02-13,75.00
2022-02-14,76.67
2022-02-15,76.67
2022-02-16,86.67
2022-02-17,95.00
2022-02-18,96.67
2022-02-19,76.67
2022-02-20,75.00
2022-02-21,85.00
2022-02-22,85.00
2022-02-23,75.00
2022-02-24,85.00
2022-02-25,85.00
2022-02-27,75.00
2022-02-28,76.67
2022-03-01,76.67
2022-03-02,76.67
2022-03-03,65.00
2022-03-05,55.00
2022-03-06,75.00
2022-03-07,75.00
2022-03-08,76.67
2022-03-09,66.67
2022-03-10,86.67
2022-03-11,75.00
2022-03-12,86.67
2022-03-13,85.00
2022-03-14,76.67
2022-03-15,95.00
2022-03-16,95.00
2022-03-17,96.67
2022-03-18,75.00
2022-03-19,85.00
2022-03-20,85.00
2022-03-21,76.67
2022-03-22,65.00
2022-03-23,95.00
2022-03-24,96.67
2022-03-25,86.67
2022-03-26,95.00
2022-03-27,85.00
2022-03-28,86.67
2022-03-29,83.33
2022-03-30,76.67
2022-03-31,76.67
2022-04-01,96.67
2022-04-02,95.00
2022-04-03,85.00
2022-04-04,86.67
2022-04-05,85.00
2022-04-06,110.00
2022-04-07,115.00
2022-04-08,110.00
2022-04-09,105.00
2022-04-10,105.00
2022-04-11,95.00
2022-04-12,95.00
2022-04-13,96.67
2022-04-14,96.67
2022-04-15,95.00
2022-04-16,96.67
2022-04-17,95.00
2022-04-18,95.00
2022-04-19,86.67
2022-04-20,96.67
2022-04-21,86.67
2022-04-22,85.00
2022-04-23,86.67
2022-04-24,75.00
2022-04-25,70.00
2022-04-26,76.67
2022-04-27,76.67
