date,avg
2013-04-15,142.00
2013-04-16,142.00
2013-04-17,143.00
2013-04-18,145.00
2013-04-21,143.00
2013-04-22,145.00
2013-04-23,145.00
2013-04-25,145.00
2013-04-26,145.00
2013-04-28,145.00
2013-04-29,143.00
2013-04-30,138.00
2013-05-02,143.00
2013-05-03,139.00
2013-05-05,143.00
2013-05-06,143.00
2013-05-07,145.00
2013-05-08,143.00
2013-05-09,143.00
2013-05-10,143.00
2013-05-12,143.00
2013-05-13,143.00
2013-05-14,143.00
2013-05-15,143.00
2013-05-16,138.00
2013-05-17,143.00
2013-05-19,143.00
2013-05-20,143.00
2013-05-21,133.00
2013-05-22,133.00
2013-05-23,133.00
2013-05-24,133.00
2013-05-26,133.00
2013-05-27,133.00
2013-05-28,133.00
2013-05-30,128.00
2013-05-31,115.00
2013-06-02,115.00
2013-06-03,115.00
2013-06-04,110.00
2013-06-05,110.00
2013-06-06,110.00
2013-06-09,110.00
2013-06-10,108.00
2013-06-11,105.00
2013-06-12,105.00
2013-06-13,105.00
2013-06-14,105.00
2013-06-16,105.00
2013-06-17,105.00
2013-06-18,105.00
2013-06-19,105.00
2013-06-20,105.00
2013-06-21,105.00
2013-06-25,105.00
2013-06-26,98.00
2013-06-27,95.00
2013-06-28,95.00
2013-06-30,95.00
2013-07-01,95.00
2013-07-02,95.00
2013-07-03,95.00
2013-07-04,95.00
2013-07-05,95.00
2013-07-09,95.00
2013-07-10,95.00
2013-07-11,95.00
2013-07-12,90.00
2013-07-14,90.00
2013-07-15,88.00
2013-07-16,88.00
2013-07-17,88.00
2013-07-18,88.00
2013-07-19,88.00
2013-07-21,88.00
2013-07-22,88.00
2013-07-23,88.00
2013-07-24,88.00
2013-07-25,85.00
2013-07-26,88.00
2013-07-28,88.00
2013-07-29,85.00
2013-07-30,85.00
2013-07-31,85.00
2013-08-01,85.00
2013-08-02,85.00
2013-08-04,85.00
2013-08-05,83.00
2013-08-06,83.00
2013-08-07,83.00
2013-08-08,80.00
2013-08-13,78.00
2013-08-14,78.00
2013-08-15,78.00
2013-08-16,78.00
2013-08-18,78.00
2013-08-19,78.00
2013-08-20,78.00
2013-08-23,83.00
2013-08-25,83.00
2013-08-26,83.00
2013-08-27,78.00
2013-08-29,78.00
2013-08-30,78.00
2013-09-01,78.00
2013-09-02,78.00
2013-09-03,78.00
2013-09-04,78.00
2013-09-05,78.00
2013-09-06,88.00
2013-09-08,98.00
2013-09-09,118.00
2013-09-10,118.00
2013-09-11,118.00
2013-09-12,118.00
2013-09-13,118.00
2013-09-15,118.00
2013-09-16,118.00
2013-09-17,118.00
2013-09-19,118.00
2013-09-20,118.00
2013-09-22,113.00
2013-09-23,113.00
2013-09-24,113.00
2013-09-25,113.00
2013-09-26,113.00
2013-09-27,113.00
2013-09-29,113.00
2013-09-30,112.00
2013-10-01,113.00
2013-10-02,108.00
2013-10-03,108.00
2013-10-04,108.00
2013-10-06,108.00
2013-10-07,108.00
2013-10-08,108.00
2013-10-09,108.00
2013-10-10,108.00
2013-10-11,108.00
2013-10-12,108.00
2013-10-13,108.00
2013-10-14,108.00
2013-10-15,108.00
2013-10-16,108.00
2013-10-17,103.00
2013-10-20,103.00
2013-10-21,103.00
2013-10-22,103.00
2013-10-23,103.00
2013-10-24,103.00
2013-10-25,103.00
2013-10-27,98.00
2013-10-28,95.00
2013-10-29,95.00
2013-10-30,95.00
