date,avg
2013-04-15,74.00
2013-04-16,76.00
2013-04-17,76.00
2013-04-18,65.00
2013-04-21,58.00
2013-04-22,65.00
2013-04-23,67.00
2013-04-25,65.00
2013-04-26,65.00
2013-04-28,67.00
2013-04-29,87.00
2013-04-30,85.00
2013-05-02,87.00
2013-05-03,75.00
2013-05-05,75.00
2013-05-06,75.00
2013-05-07,77.00
2013-05-08,75.00
2013-05-09,75.00
2013-05-10,77.00
2013-05-12,75.00
2013-05-13,75.00
2013-05-14,75.00
2013-05-15,75.00
2013-05-16,75.00
2013-05-17,75.00
2013-05-19,75.00
2013-05-20,75.00
2013-05-21,75.00
2013-05-22,75.00
2013-05-23,75.00
2013-05-24,75.00
2013-05-26,75.00
2013-05-27,75.00
2013-05-28,75.00
2013-05-30,75.00
2013-05-31,65.00
2013-06-02,65.00
2013-06-03,65.00
2013-06-04,65.00
2013-06-05,65.00
2013-06-06,55.00
2013-06-09,55.00
2013-06-10,60.00
2013-06-11,55.00
2013-06-12,55.00
2013-06-13,55.00
2013-06-14,55.00
2013-06-16,55.00
2013-06-17,55.00
2013-06-18,55.00
2013-06-19,55.00
2013-06-20,55.00
2013-06-21,55.00
2013-06-25,55.00
2013-06-26,55.00
2013-06-27,55.00
2013-06-28,55.00
2013-06-30,55.00
2013-07-02,55.00
2013-07-03,55.00
2013-07-04,55.00
2013-07-05,55.00
2013-07-09,75.00
2013-07-10,75.00
2013-07-11,75.00
2013-07-12,55.00
2013-07-14,65.00
2013-07-15,65.00
2013-07-16,65.00
2013-07-17,55.00
2013-07-18,65.00
2013-07-19,55.00
2013-07-21,65.00
2013-07-22,65.00
2013-07-23,55.00
2013-07-24,65.00
2013-07-25,55.00
2013-07-26,55.00
2013-07-28,55.00
2013-07-29,65.00
2013-07-30,65.00
2013-07-31,65.00
2013-08-01,65.00
2013-08-02,65.00
2013-08-04,55.00
2013-08-05,55.00
2013-08-06,55.00
2013-08-07,55.00
2013-08-08,55.00
2013-08-13,58.00
2013-08-14,55.00
2013-08-15,58.00
2013-08-16,58.00
2013-08-18,53.00
2013-08-19,53.00
2013-08-20,53.00
2013-08-23,58.00
2013-08-25,58.00
2013-08-26,58.00
2013-08-27,58.00
2013-08-29,58.00
2013-08-30,68.00
2013-09-01,53.00
2013-09-02,58.00
2013-09-03,58.00
2013-09-04,58.00
2013-09-05,58.00
2013-09-06,65.00
2013-09-08,73.00
2013-09-09,75.00
2013-09-10,78.00
2013-09-11,78.00
2013-09-12,78.00
2013-09-13,78.00
2013-09-15,78.00
2013-09-16,85.00
2013-09-17,83.00
2013-09-19,85.00
2013-09-20,83.00
2013-09-22,83.00
2013-09-23,83.00
2013-09-24,83.00
2013-09-25,83.00
2013-09-26,83.00
2013-09-27,83.00
