date,avg
2013-04-15,122.00
2013-04-16,121.00
2013-04-17,127.00
2013-04-18,125.00
2013-04-21,125.00
2013-04-22,130.00
2013-04-23,125.00
2013-04-25,125.00
2013-04-26,125.00
2013-04-28,125.00
2013-04-29,125.00
2013-04-30,125.00
2013-05-02,135.00
2013-05-03,135.00
2013-05-05,125.00
2013-05-06,125.00
2013-05-07,125.00
2013-05-08,125.00
2013-05-09,135.00
2013-05-10,135.00
2013-05-12,135.00
2013-05-13,135.00
2013-05-14,135.00
2013-05-15,135.00
2013-05-16,135.00
2013-05-17,170.00
2013-05-19,175.00
2013-05-20,170.00
2013-05-21,175.00
2013-05-22,175.00
2013-05-23,175.00
2013-05-24,175.00
2013-05-26,175.00
2013-05-27,170.00
2013-05-28,175.00
2013-05-30,150.00
2013-05-31,145.00
2013-06-02,145.00
2013-06-03,130.00
2013-06-04,145.00
2013-06-05,145.00
2013-06-06,145.00
2013-06-09,145.00
2013-06-10,145.00
2013-06-11,145.00
2013-06-12,145.00
2013-06-13,145.00
2013-06-14,145.00
2013-06-16,145.00
2013-06-17,145.00
2013-06-18,145.00
2013-06-19,147.00
2013-06-20,145.00
2013-06-21,135.00
2013-06-25,145.00
2013-06-26,135.00
2013-06-27,135.00
2013-06-28,135.00
2013-06-30,135.00
2013-07-01,145.00
2013-07-02,153.00
2013-07-03,155.00
2013-07-04,155.00
2013-07-05,155.00
2013-07-09,155.00
2013-07-10,155.00
2013-07-11,155.00
2013-07-12,165.00
2013-07-14,165.00
2013-07-15,165.00
2013-07-16,155.00
2013-07-17,175.00
2013-07-18,165.00
2013-07-19,165.00
2013-07-21,175.00
2013-07-22,175.00
2013-07-23,175.00
2013-07-24,175.00
2013-07-25,175.00
2013-07-26,175.00
2013-07-28,175.00
2013-07-29,175.00
2013-07-30,175.00
2013-07-31,175.00
2013-08-01,175.00
2013-08-02,175.00
2013-08-04,175.00
2013-08-05,165.00
2013-08-06,165.00
2013-08-07,155.00
2013-08-08,145.00
2013-08-13,152.00
2013-08-14,155.00
2013-08-15,155.00
2013-08-16,155.00
2013-08-18,155.00
2013-08-19,155.00
2013-08-20,185.00
2013-08-23,185.00
2013-08-25,175.00
2013-08-26,175.00
2013-08-27,155.00
2013-08-29,155.00
2013-08-30,155.00
2013-09-01,145.00
2013-09-02,145.00
2013-09-03,145.00
2013-09-04,125.00
2013-09-05,125.00
2013-09-06,125.00
2013-09-08,125.00
2013-09-09,145.00
2013-09-10,145.00
2013-09-11,145.00
2013-09-12,145.00
2013-09-13,145.00
2013-09-15,110.00
2013-09-16,115.00
2013-09-17,115.00
2013-09-19,115.00
2013-09-20,115.00
2013-09-22,105.00
2013-09-23,95.00
2013-09-24,96.00
2013-09-25,95.00
2013-09-26,95.00
2013-09-27,95.00
2013-09-29,95.00
2013-09-30,95.00
2013-10-01,95.00
2013-10-02,95.00
2013-10-03,105.00
2013-10-04,95.00
2013-10-06,110.00
2013-10-07,115.00
2013-10-08,115.00
2013-10-09,115.00
2013-10-10,95.00
2013-10-11,115.00
2013-10-12,145.00
2013-10-13,145.00
2013-10-14,147.00
2013-10-15,145.00
2013-10-16,135.00
2013-10-17,155.00
2013-10-20,145.00
2013-10-21,145.00
2013-10-22,145.00
2013-10-23,145.00
2013-10-24,145.00
2013-10-25,115.00
2013-10-27,115.00
2013-10-28,110.00
2013-10-29,115.00
2013-10-30,115.00
2013-10-31,105.00
2013-11-01,105.00
2013-11-03,105.00
2013-11-04,95.00
2013-11-05,105.00
2013-11-06,105.00
2013-11-07,105.00
2013-11-10,110.00
2013-11-11,110.00
2013-11-12,110.00
2013-11-13,110.00
2013-11-14,110.00
2013-11-15,120.00
2013-11-16,120.00
2013-11-17,120.00
2013-11-18,127.00
2013-11-20,125.00
2013-11-21,125.00
2013-11-22,115.00
2013-11-24,115.00
2013-11-25,115.00
2013-11-26,105.00
2013-11-27,103.00
2013-11-28,105.00
2013-11-29,106.00
2013-12-01,105.00
2013-12-02,105.00
2013-12-03,105.00
2013-12-04,97.00
2013-12-05,107.00
2013-12-06,105.00
2013-12-08,105.00
2013-12-09,95.00
2013-12-10,73.00
2013-12-11,84.00
2013-12-12,87.00
2013-12-13,85.00
2013-12-15,85.00
2013-12-16,85.00
2013-12-18,96.00
2013-12-19,105.00
2013-12-20,105.00
2013-12-22,105.00
2013-12-23,95.00
2013-12-24,95.00
2013-12-26,107.00
2013-12-27,105.00
2013-12-29,105.00
2013-12-31,97.00
2014-01-01,95.00
2014-01-02,107.00
2014-01-03,105.00
2014-01-05,105.00
2014-01-06,103.00
2014-01-07,107.00
2014-01-08,105.00
2014-01-09,107.00
2014-01-10,105.00
2014-01-12,107.00
2014-01-13,103.00
2014-01-14,107.00
2014-01-16,105.00
2014-01-17,107.00
2014-01-19,107.00
2014-01-20,103.00
2014-01-21,127.00
2014-01-22,127.00
2014-01-23,127.00
2014-01-24,127.00
2014-01-26,125.00
2014-01-27,125.00
2014-01-28,127.00
2014-01-29,128.00
2014-02-02,127.00
2014-02-03,127.00
2014-02-04,123.00
2014-02-05,120.00
2014-02-06,116.00
2014-02-07,117.00
2014-02-08,115.00
2014-02-09,116.00
2014-02-10,116.00
2014-02-11,116.00
2014-02-12,115.00
2014-02-13,117.00
2014-02-14,117.00
2014-02-16,120.00
2014-02-17,117.00
2014-02-18,117.00
2014-02-20,117.00
2014-02-21,117.00
2014-02-23,117.00
2014-02-24,117.00
2014-02-25,115.00
2014-02-26,117.00
2014-02-28,117.00
2014-03-03,127.00
2014-03-05,120.00
2014-03-06,117.00
2014-03-07,117.00
2014-03-09,127.00
2014-03-10,127.00
2014-03-11,127.00
2014-03-12,127.00
2014-03-13,127.00
2014-03-14,127.00
2014-03-17,130.00
2014-03-18,130.00
2014-03-19,130.00
2014-03-20,127.00
2014-03-21,137.00
2014-03-23,147.00
2014-03-24,146.00
2014-03-25,147.00
2014-03-26,157.00
2014-03-27,157.00
2014-03-28,147.00
2014-03-31,177.00
2014-04-01,197.00
2014-04-02,195.00
2014-04-03,195.00
2014-04-04,190.00
2014-04-06,175.00
2014-04-07,175.00
2014-04-09,183.00
2014-04-10,187.00
2014-04-11,177.00
2014-04-13,197.00
2014-04-15,185.00
2014-04-16,175.00
2014-04-17,185.00
2014-04-18,185.00
2014-04-20,177.00
2014-04-21,177.00
2014-04-22,175.00
2014-04-23,175.00
2014-04-25,175.00
2014-04-27,187.00
2014-04-28,177.00
2014-04-29,177.00
2014-04-30,177.00
2014-05-02,197.00
2014-05-04,197.00
2014-05-05,197.00
2014-05-06,197.00
2014-05-07,197.00
2014-05-08,197.00
2014-05-09,197.00
2014-05-11,197.00
2014-05-12,193.00
2014-05-13,197.00
2014-05-15,187.00
2014-05-16,187.00
2014-05-18,187.00
2014-05-19,183.00
2014-05-20,197.00
2014-05-21,195.00
2014-05-22,197.00
2014-05-23,190.00
2014-05-25,187.00
2014-05-26,197.00
2014-05-27,193.00
2014-05-28,195.00
2014-05-30,193.00
2014-06-01,187.00
2014-06-02,183.00
2014-06-03,187.00
2014-06-04,197.00
2014-06-05,207.00
2014-06-06,207.00
2014-06-08,215.00
2014-06-09,203.00
2014-06-10,207.00
2014-06-11,207.00
2014-06-12,207.00
2014-06-13,207.00
2014-06-15,207.00
2014-06-16,207.00
2014-06-17,207.00
2014-06-18,207.00
2014-06-19,210.00
2014-06-20,217.00
2014-06-23,187.00
2014-06-24,177.00
