date,avg
2020-01-31,245.00
2020-02-01,245.00
2020-02-02,245.00
2020-02-03,245.00
2020-02-04,245.00
2020-02-05,245.00
2020-02-06,245.00
2020-02-07,245.00
2020-02-08,245.00
2020-02-09,225.00
2020-02-10,225.00
2020-02-11,225.00
2020-02-12,235.00
2020-02-13,225.00
2020-02-14,225.00
2020-02-15,225.00
2020-02-16,205.00
2020-02-17,215.00
2020-02-18,205.00
2020-02-19,215.00
2020-02-20,215.00
2020-02-21,230.00
2020-02-23,145.00
2020-02-24,145.00
2020-02-25,135.00
2020-02-26,135.00
2020-02-27,135.00
2020-02-28,135.00
2020-02-29,135.00
2020-03-01,190.00
2020-03-02,145.00
2020-03-04,135.00
2020-03-05,145.00
2020-03-06,145.00
2020-03-07,145.00
2020-03-08,145.00
2020-03-09,145.00
2020-03-10,145.00
2020-03-11,145.00
2020-03-12,145.00
2020-03-13,145.00
2020-03-14,145.00
2020-03-15,145.00
2020-03-16,155.00
2020-03-17,185.00
2020-03-18,175.00
2020-03-19,175.00
2020-03-20,185.00
2020-03-21,190.00
2020-03-22,190.00
2020-03-23,145.00
2020-10-21,390.00
2020-11-26,355.00
2020-11-27,365.00
2020-11-28,410.00
2020-11-29,410.00
2020-11-30,390.00
2020-12-01,390.00
2020-12-02,390.00
2020-12-03,390.00
2020-12-04,390.00
2020-12-05,390.00
2020-12-06,390.00
2020-12-07,390.00
2020-12-08,375.00
2020-12-09,375.00
2020-12-10,375.00
2020-12-11,390.00
2020-12-12,375.00
2020-12-13,390.00
2020-12-14,290.00
2020-12-15,390.00
2020-12-16,390.00
2020-12-17,375.00
2020-12-18,375.00
2020-12-19,355.00
2020-12-20,355.00
2020-12-21,355.00
2020-12-22,355.00
2020-12-23,355.00
2020-12-24,355.00
2020-12-25,355.00
2020-12-26,355.00
2020-12-27,355.00
2020-12-28,355.00
2020-12-29,355.00
2020-12-30,355.00
2020-12-31,355.00
2021-01-01,355.00
2021-01-02,355.00
2021-01-03,355.00
2021-01-04,355.00
2021-01-05,345.00
2021-01-06,355.00
2021-01-07,355.00
2021-01-08,335.00
2021-01-09,355.00
2021-01-10,355.00
2021-01-11,325.00
2021-01-12,335.00
2021-01-13,325.00
2021-01-14,310.00
2021-01-15,325.00
2021-01-16,290.00
2021-01-17,275.00
2021-01-18,310.00
2021-01-19,310.00
2021-01-20,335.00
2021-01-21,310.00
2021-01-22,310.00
2021-01-23,310.00
2021-01-24,310.00
2021-01-25,310.00
2021-01-26,310.00
2021-01-27,310.00
2021-01-28,310.00
2021-01-29,310.00
2021-01-30,310.00
2021-01-31,310.00
2021-02-01,310.00
2021-02-02,255.00
2021-02-03,255.00
2021-02-04,260.00
2021-02-05,256.67
2021-02-06,255.00
2021-02-07,255.00
2021-02-08,237.50
2021-02-09,212.50
2021-02-10,237.50
2021-02-11,195.00
2021-02-12,212.50
2021-02-13,212.50
2021-02-14,235.00
2021-02-15,210.00
2021-02-16,210.00
2021-02-17,212.50
2021-02-18,217.50
2021-02-19,212.50
2021-02-20,212.50
2021-02-21,215.00
2021-02-22,210.00
2021-02-23,212.50
2021-02-24,210.00
2021-02-25,210.00
2021-02-26,215.00
2021-02-27,210.00
2021-02-28,215.00
2021-03-01,215.00
2021-03-02,210.00
2021-03-03,210.00
2021-03-05,210.00
2021-03-06,225.00
2021-03-07,240.00
2021-03-08,210.00
2021-03-09,210.00
2021-03-10,210.00
2021-03-11,210.00
2021-03-12,210.00
2021-03-13,210.00
2021-03-14,210.00
2021-03-15,210.00
2021-03-16,210.00
2021-03-17,210.00
2021-03-18,210.00
2021-03-19,210.00
2021-03-20,210.00
2021-03-21,205.00
2021-03-22,210.00
2021-03-23,190.00
2021-03-24,195.00
2021-03-25,190.00
2021-03-26,195.00
2021-03-27,190.00
2021-03-28,190.00
2021-03-29,190.00
2021-03-30,190.00
2021-03-31,190.00
2021-04-01,190.00
2021-04-02,190.00
2021-04-03,190.00
2021-04-04,190.00
2021-04-05,190.00
2021-04-06,190.00
2021-04-07,190.00
2021-04-08,190.00
2021-04-09,210.00
