date,avg
2015-01-01,55.00
2015-01-02,53.00
2015-01-03,55.00
2015-01-04,56.00
2015-01-05,56.00
2015-01-06,73.00
2015-01-07,77.00
2015-01-08,67.00
2015-01-09,67.00
2015-01-11,58.00
2015-01-12,67.00
2015-01-13,67.00
2015-01-14,58.00
2015-01-15,67.00
2015-01-16,55.00
2015-01-17,58.00
2015-01-18,63.00
2015-01-19,71.00
2015-01-20,57.00
2015-01-21,56.00
2015-01-22,57.00
2015-01-23,57.00
2015-01-25,53.00
2015-01-26,55.00
2015-01-27,58.00
2015-01-28,53.00
2015-01-29,53.00
2015-01-31,53.00
2015-02-01,52.00
2015-02-02,50.00
2015-02-03,53.00
2015-02-04,53.00
2015-02-05,48.00
2015-02-06,53.00
2015-02-07,53.00
2015-02-08,53.00
2015-02-09,53.00
2015-02-10,53.00
2015-02-11,53.00
2015-02-12,53.00
2015-02-13,52.00
2015-02-14,53.00
2015-02-15,53.00
2015-02-16,53.00
2015-02-18,52.00
2015-02-19,58.00
2015-02-20,58.00
2015-02-22,58.00
2015-02-23,58.00
2015-02-24,53.00
2015-02-25,53.00
2015-02-26,52.00
2015-02-27,50.00
2015-03-01,48.00
2015-03-02,56.00
2015-03-03,57.00
2015-03-06,57.00
2015-03-09,59.00
2015-03-10,59.00
2015-03-11,59.00
2015-03-12,59.00
2015-03-13,59.00
2015-03-14,52.00
2015-03-15,52.00
2015-03-16,53.00
2015-03-17,53.00
2015-03-18,48.00
2015-03-19,49.00
2015-03-20,43.00
2015-03-21,43.00
2015-03-22,43.00
2015-03-23,43.00
2015-03-24,43.00
2015-03-25,38.00
2015-03-26,43.00
2015-03-27,46.00
2015-03-28,46.00
2015-03-29,38.00
2015-03-30,43.00
2015-03-31,29.00
2015-04-01,38.00
2015-04-02,37.00
2015-04-03,28.00
2015-04-04,35.00
2015-04-05,38.00
2015-04-06,37.00
2015-04-07,33.00
2015-04-08,33.00
2015-04-10,40.00
2015-04-12,31.00
2015-04-13,43.00
2015-04-14,43.00
2015-04-15,58.00
2015-04-16,38.00
2015-04-17,33.00
2015-04-18,33.00
2015-04-19,33.00
2015-04-20,41.00
2015-04-21,38.00
2015-04-22,33.00
2015-04-23,33.00
2015-04-24,32.00
2015-04-25,33.00
2015-04-26,38.00
2015-04-27,38.00
2015-04-28,43.00
2015-04-29,38.00
2015-04-30,33.00
2015-05-02,38.00
2015-05-03,33.00
2015-05-04,38.00
2015-05-05,39.00
2015-05-06,31.00
2015-05-07,36.00
2015-05-08,43.00
2015-05-10,39.00
2015-05-11,43.00
2015-05-12,38.00
2015-05-13,30.00
2015-05-14,32.00
2015-05-15,38.00
2015-05-16,39.00
2015-05-17,33.00
2015-05-18,48.00
2015-05-19,53.00
2015-05-20,63.00
2015-05-21,55.00
2015-05-22,63.00
2015-05-23,63.00
2015-05-24,63.00
2015-05-25,63.00
2015-05-26,62.00
2015-05-27,63.00
2015-05-28,63.00
2015-05-29,63.00
2015-05-30,63.00
2015-05-31,63.00
2015-06-01,58.00
2015-06-02,63.00
2015-06-03,58.00
2015-06-04,58.00
2015-06-05,57.00
2015-06-06,75.00
2015-06-07,58.00
2015-06-08,58.00
2015-06-21,38.00
2015-07-09,55.00
2015-10-11,135.00
2015-10-12,115.00
2015-10-13,115.00
2015-10-14,135.00
2015-10-15,95.00
2015-10-16,95.00
2015-10-17,103.00
2015-10-18,110.00
2015-10-19,95.00
2015-10-20,85.00
2015-10-24,75.00
2015-10-25,83.00
2015-10-26,87.00
2015-10-27,75.00
2015-10-28,65.00
2015-10-29,65.00
2015-10-30,55.00
2015-10-31,56.00
2015-11-01,65.00
2015-11-02,65.00
2015-11-03,79.00
2015-11-04,75.00
2015-11-05,75.00
2015-11-06,65.00
2015-11-07,70.00
2015-11-08,95.00
2015-11-09,85.00
2015-11-10,85.00
2015-11-11,75.00
2015-11-12,105.00
2015-11-15,75.00
2015-11-16,75.00
2015-11-17,95.00
2015-11-18,75.00
2015-11-19,75.00
2015-11-20,75.00
2015-11-21,68.00
2015-11-22,75.00
2015-11-23,75.00
2015-11-24,95.00
2015-11-25,95.00
2015-11-26,95.00
2015-11-27,85.00
2015-11-28,95.00
2015-11-29,75.00
2015-11-30,85.00
2015-12-01,85.00
2015-12-02,85.00
2015-12-03,85.00
2015-12-04,85.00
2015-12-05,90.00
2015-12-06,85.00
2015-12-07,85.00
2015-12-08,95.00
2015-12-09,95.00
2015-12-10,85.00
2015-12-11,94.00
2015-12-12,99.00
2015-12-13,95.00
2015-12-14,95.00
2015-12-15,95.00
2015-12-16,95.00
2015-12-17,85.00
2015-12-18,85.00
2015-12-19,90.00
2015-12-20,85.00
2015-12-21,95.00
2015-12-22,95.00
2015-12-23,85.00
2015-12-24,95.00
2015-12-25,105.00
2015-12-26,100.00
2015-12-27,95.00
2015-12-28,95.00
2015-12-29,85.00
2015-12-30,75.00
2015-12-31,75.00
2016-01-01,75.00
2016-01-02,82.00
2016-01-03,85.00
2016-01-04,95.00
2016-01-05,85.00
2016-01-06,77.00
2016-01-07,85.00
2016-01-08,75.00
2016-01-09,78.00
2016-01-10,75.00
2016-01-11,75.00
2016-01-12,75.00
2016-01-13,65.00
2016-01-14,75.00
2016-01-15,75.00
2016-01-16,82.00
2016-01-17,75.00
2016-01-18,75.00
2016-01-19,65.00
2016-01-20,65.00
2016-01-21,65.00
2016-01-22,75.00
2016-01-23,64.00
2016-01-24,65.00
2016-01-25,65.00
2016-01-26,55.00
2016-01-27,55.00
2016-01-28,55.00
2016-01-29,55.00
2016-01-30,54.00
2016-01-31,55.00
2016-02-01,55.00
2016-02-02,55.00
2016-02-03,45.00
2016-02-04,45.00
2016-02-05,45.00
2016-02-06,42.00
2016-02-07,38.00
2016-02-08,38.00
2016-02-09,38.00
2016-02-10,35.00
2016-02-11,38.00
2016-02-12,38.00
2016-02-13,38.00
2016-02-14,35.00
2016-02-15,33.00
2016-02-16,35.00
2016-02-17,28.00
2016-02-18,35.00
2016-02-19,28.00
2016-02-20,28.00
2016-02-21,35.00
2016-02-22,35.00
2016-02-23,45.00
2016-02-24,44.00
2016-02-25,45.00
2016-02-26,45.00
2016-02-27,57.00
2016-02-28,45.00
2016-02-29,45.00
2016-03-01,55.00
2016-03-02,54.00
2016-03-04,45.00
2016-03-05,52.00
2016-03-06,55.00
2016-03-07,50.00
2016-03-08,53.00
2016-03-09,55.00
2016-03-10,45.00
2016-03-11,45.00
2016-03-12,55.00
2016-03-13,58.00
2016-03-15,45.00
2016-03-16,45.00
2016-03-17,45.00
2016-03-18,45.00
2016-03-19,42.00
2016-03-20,55.00
2016-03-21,55.00
2016-03-22,60.00
2016-03-23,65.00
2016-03-24,55.00
2016-03-25,55.00
2016-03-26,62.00
2016-03-27,65.00
2016-03-28,65.00
2016-03-29,65.00
2016-03-30,65.00
2016-03-31,65.00
2016-04-01,65.00
2016-04-02,62.00
2016-04-03,65.00
2016-04-04,65.00
2016-04-05,65.00
2016-04-06,65.00
2016-04-07,63.00
2016-04-08,62.00
2016-04-09,68.00
2016-04-10,65.00
2016-04-11,65.00
2016-04-12,85.00
2016-04-13,96.00
2016-04-14,75.00
2016-04-15,75.00
2016-04-16,110.00
2016-04-17,95.00
2016-04-18,95.00
2016-04-19,95.00
2016-04-20,95.00
2016-04-21,95.00
2016-04-22,95.00
2016-04-24,95.00
2016-04-25,95.00
2016-04-26,105.00
2016-04-27,105.00
2016-06-05,95.00
2016-06-06,95.00
2016-06-07,95.00
2016-06-08,95.00
2016-06-09,94.00
2016-10-16,155.00
2016-10-17,155.00
2016-10-18,155.00
2016-10-19,105.00
2016-10-20,105.00
2016-10-21,155.00
2016-10-22,153.00
2016-10-23,155.00
2016-10-24,155.00
2016-10-25,155.00
2016-10-26,155.00
2016-10-27,155.00
2016-10-28,155.00
2016-10-29,125.00
2016-10-30,125.00
2016-10-31,125.00
2016-11-01,155.00
2016-11-02,145.00
2016-11-03,205.00
2016-11-04,195.00
2016-11-05,135.00
2016-11-06,127.00
2016-11-07,92.00
2016-11-08,95.00
2016-11-09,97.00
2016-11-10,105.00
2016-11-11,105.00
2016-11-12,146.00
2016-11-13,105.00
2016-11-14,98.00
2016-11-15,98.00
2016-11-16,98.00
2016-11-17,98.00
2016-11-18,98.00
2016-11-19,98.00
2016-11-20,85.00
2016-11-21,96.00
2016-11-22,96.00
2016-11-23,105.00
2016-11-24,105.00
2016-11-25,105.00
2016-11-26,85.00
2016-11-27,105.00
2016-11-28,105.00
2016-11-29,85.00
2016-11-30,85.00
2016-12-01,85.00
2016-12-02,95.00
2016-12-03,95.00
2016-12-04,105.00
2016-12-05,105.00
2016-12-06,96.00
2016-12-07,85.00
2016-12-08,95.00
2016-12-09,85.00
2016-12-10,94.00
2016-12-11,78.00
2016-12-12,96.00
2016-12-13,85.00
2016-12-14,78.00
2016-12-15,78.00
2016-12-16,80.00
2016-12-17,78.00
2016-12-18,88.00
2016-12-19,65.00
2016-12-20,48.00
2016-12-21,48.00
2016-12-22,48.00
2016-12-23,48.00
2016-12-24,48.00
2016-12-25,38.00
2016-12-26,38.00
2016-12-27,38.00
2016-12-28,38.00
2016-12-29,33.00
2016-12-30,32.00
2016-12-31,29.00
