date,avg
2013-07-25,63.00
2013-08-14,38.00
2013-08-15,38.00
2013-08-16,38.00
2013-08-18,38.00
2013-08-19,38.00
2013-08-20,38.00
2013-08-23,38.00
2013-08-25,33.00
2013-08-26,38.00
2013-08-27,33.00
2013-08-29,28.00
2013-08-30,28.00
2013-09-01,28.00
2013-09-02,28.00
2013-09-03,28.00
2013-09-04,28.00
2013-09-05,28.00
2013-09-06,28.00
2013-09-08,28.00
2013-09-09,28.00
2013-09-10,28.00
2013-09-11,28.00
2013-09-12,28.00
2013-09-13,28.00
2013-09-15,28.00
2013-09-16,28.00
2013-09-17,28.00
2013-09-19,28.00
2013-09-20,28.00
2013-09-22,28.00
2013-09-23,28.00
2013-09-24,28.00
2013-09-25,28.00
2013-09-26,28.00
2013-09-27,33.00
2013-09-29,38.00
2013-09-30,38.00
2013-10-01,38.00
2013-10-02,38.00
2013-10-03,38.00
2013-10-04,38.00
2013-10-06,38.00
2013-10-07,38.00
2013-10-08,33.00
2013-10-09,33.00
2013-10-10,28.00
2013-10-11,33.00
2013-10-12,33.00
2013-10-16,38.00
2013-10-17,38.00
2013-10-20,38.00
2013-10-21,38.00
2013-10-22,38.00
2013-10-23,38.00
2013-10-24,38.00
2013-10-25,38.00
2013-10-27,38.00
2013-10-28,38.00
2013-10-29,38.00
2013-10-30,38.00
2013-10-31,38.00
2013-11-01,38.00
2013-11-03,58.00
2013-11-04,45.00
2013-11-29,55.00
2013-12-09,55.00
2013-12-10,58.00
2014-02-14,58.00
2014-08-08,33.00
2014-08-09,33.00
2014-08-10,33.00
2014-08-12,45.00
2014-08-13,48.00
2014-08-14,48.00
2014-08-17,48.00
2014-08-18,48.00
2014-08-19,45.00
2014-08-20,48.00
2014-08-21,48.00
2014-08-22,48.00
2014-08-23,35.00
2014-08-24,35.00
2014-08-25,45.00
2014-08-26,28.00
2014-08-27,28.00
2014-08-28,35.00
2014-08-29,35.00
2014-08-31,28.00
2014-09-01,37.00
2014-09-02,35.00
2014-09-03,35.00
2014-09-04,30.00
2014-09-05,35.00
2014-09-06,35.00
2014-09-07,35.00
2014-09-08,37.00
2014-09-09,37.00
2014-09-10,37.00
2014-09-11,35.00
2014-09-12,35.00
2014-09-13,37.00
2014-09-14,37.00
2014-09-15,45.00
2014-09-16,37.00
2014-09-17,37.00
2014-09-19,37.00
2014-09-20,35.00
2014-09-21,35.00
2014-09-22,37.00
2014-09-23,37.00
2014-09-24,35.00
2014-09-26,35.00
2014-09-28,35.00
2014-09-29,37.00
2014-09-30,35.00
2014-10-08,37.00
2014-10-09,35.00
2014-10-10,35.00
2014-10-12,28.00
2014-10-13,37.00
2014-10-14,37.00
2014-10-16,35.00
2014-10-17,28.00
2014-10-19,28.00
2014-10-20,28.00
2014-10-21,33.00
2014-10-22,38.00
2014-10-24,31.00
2014-10-25,33.00
2014-11-01,38.00
2014-11-02,38.00
2014-11-03,28.00
2014-11-04,28.00
2014-11-05,28.00
2014-11-07,43.00
2014-11-08,43.00
2014-11-09,43.00
2014-11-10,43.00
2015-03-03,117.00
2015-08-29,38.00
2015-08-30,38.00
2015-09-09,28.00
2015-09-10,28.00
2015-09-11,28.00
2015-09-12,28.00
2015-09-13,28.00
2015-09-14,31.00
2015-09-15,31.00
2015-09-16,28.00
2015-09-17,28.00
2015-09-18,23.00
2015-09-19,23.00
2015-09-20,23.00
2015-09-21,28.00
2015-09-22,28.00
2015-09-23,28.00
2015-09-24,31.00
2015-09-25,38.00
2015-09-26,38.00
2015-09-27,38.00
2015-09-28,43.00
2015-09-29,43.00
2015-09-30,43.00
2015-10-01,43.00
2015-10-02,41.00
2015-10-03,38.00
2015-10-04,43.00
2015-10-05,43.00
2015-10-06,43.00
2015-10-07,43.00
2015-10-08,53.00
2015-10-09,43.00
2015-10-10,43.00
2015-10-11,48.00
2015-10-12,43.00
2015-10-13,43.00
2015-10-14,48.00
2015-10-15,48.00
2015-10-16,48.00
2015-10-17,43.00
2015-10-18,43.00
2015-10-19,43.00
2015-10-20,45.00
2015-10-23,55.00
2015-10-24,53.00
2016-09-02,45.00
2016-09-03,45.00
2016-09-04,53.00
2016-09-05,55.00
2016-09-06,53.00
2016-09-07,55.00
2016-09-08,53.00
2016-09-09,55.00
2016-09-10,68.00
2016-09-11,43.00
2016-09-12,43.00
2016-09-13,43.00
2016-09-14,43.00
2016-09-15,43.00
2016-09-16,33.00
2016-09-17,33.00
2016-09-18,43.00
2016-09-19,43.00
2016-09-20,43.00
2016-09-21,43.00
2016-09-22,38.00
2016-09-23,38.00
2016-09-24,38.00
2016-09-25,33.00
2016-09-26,35.00
2016-09-27,33.00
2016-09-28,33.00
2016-09-29,35.00
2016-09-30,33.00
2016-10-01,33.00
2016-10-02,33.00
2016-10-03,33.00
2016-10-04,33.00
2016-10-05,33.00
2016-10-06,33.00
2016-10-07,33.00
2016-10-08,33.00
2016-10-09,33.00
2016-10-10,33.00
2016-10-11,33.00
2016-10-12,33.00
2016-10-13,33.00
2016-10-14,33.00
2016-10-15,33.00
2016-10-16,33.00
2016-10-17,33.00
2016-10-18,33.00
2016-10-19,33.00
2016-10-20,33.00
2016-10-21,33.00
2016-10-22,33.00
2016-10-23,33.00
2016-10-24,33.00
2017-09-15,38.00
2017-09-16,75.00
2017-09-17,38.00
2017-09-18,48.00
2017-09-20,45.00
2017-09-21,45.00
2017-09-22,45.00
2017-09-23,45.00
2017-09-24,33.00
2017-09-25,33.00
2017-09-26,33.00
2017-09-27,38.00
2017-09-28,48.00
2017-09-29,48.00
2017-09-30,43.00
2017-10-02,48.00
2017-10-03,48.00
2017-10-04,65.00
2017-10-05,48.00
2017-10-06,48.00
2017-10-07,65.00
2017-10-08,48.00
2017-10-09,48.00
2017-10-10,48.00
2017-10-11,48.00
2018-08-26,33.00
2018-08-27,33.00
2018-10-07,48.00
2018-10-08,48.00
2018-10-09,55.00
2018-10-10,55.00
2018-10-11,48.00
2018-10-12,38.00
2018-10-13,38.00
2018-10-14,38.00
2018-10-15,45.00
2018-10-16,43.00
2018-10-17,45.00
2018-10-18,43.00
2018-10-19,48.00
2018-10-20,48.00
2018-10-21,48.00
2018-10-22,45.00
2019-09-21,48.00
2019-09-22,65.00
2019-09-23,55.00
2019-09-24,65.00
2020-10-05,33.00
2020-10-06,33.00
2020-10-07,33.00
2020-10-08,33.00
2020-10-09,33.00
2020-10-10,32.00
2020-10-11,33.00
2020-10-12,33.00
2020-10-13,38.00
2020-10-14,45.00
2020-10-15,55.00
2020-10-17,48.00
2020-10-20,67.00
2020-10-21,55.00
2020-10-22,65.00
2020-10-23,65.00
2020-10-24,75.00
2020-10-25,75.00
2020-10-26,75.00
2020-10-27,75.00
2020-10-28,73.00
2020-10-29,75.00
2020-10-30,85.00
2020-10-31,75.00
2020-11-01,65.00
2020-11-02,43.00
2020-11-03,75.00
2020-11-04,65.00
2020-11-05,75.00
2020-11-06,75.00
2020-11-07,65.00
2020-11-08,65.00
2020-11-09,75.00
2020-11-10,65.00
2020-11-11,75.00
2020-11-12,75.00
2020-11-13,75.00
2020-11-14,75.00
2020-11-15,75.00
2020-11-27,75.00
2020-11-28,75.00
2020-11-29,75.00
2020-11-30,75.00
2020-12-01,77.00
2020-12-02,75.00
2020-12-03,75.00
2020-12-04,75.00
2020-12-05,75.00
2020-12-06,75.00
2020-12-07,75.00
2020-12-08,75.00
2020-12-09,75.00
2020-12-10,75.00
2020-12-11,75.00
2020-12-12,77.00
2020-12-13,75.00
2020-12-14,75.00
2020-12-15,75.00
2020-12-16,75.00
2020-12-17,75.00
2020-12-18,75.00
2020-12-19,75.00
2020-12-20,75.00
2020-12-21,77.00
2020-12-22,105.00
2020-12-23,110.00
2020-12-24,86.67
2020-12-25,95.00
2020-12-26,85.00
2020-12-27,85.00
2020-12-28,105.00
2020-12-29,95.00
2020-12-30,95.00
2020-12-31,95.00
2021-01-01,96.67
2021-01-02,95.00
2021-01-03,95.00
2021-01-04,95.00
2021-01-05,95.00
2021-01-06,105.00
2021-01-07,95.00
2021-01-08,105.00
2021-01-09,105.00
2021-01-10,105.00
2021-01-11,105.00
2021-01-12,115.00
2021-01-13,135.00
2021-01-14,130.00
2021-01-15,105.00
2021-01-16,105.00
2021-01-17,105.00
2021-01-18,105.00
2021-01-19,105.00
2021-01-21,106.67
2021-01-22,110.00
2021-01-23,105.00
2021-01-24,105.00
2021-01-25,105.00
2021-01-26,105.00
2021-01-27,96.67
2021-01-28,95.00
2021-01-29,96.67
2021-01-30,85.00
2021-01-31,85.00
2021-02-01,95.00
2021-02-02,85.00
2021-02-03,86.67
2021-02-04,85.00
2021-02-05,95.00
2021-02-06,96.67
2021-02-07,95.00
2021-02-08,96.67
2021-02-09,95.00
2021-02-10,95.00
2021-02-11,95.00
2021-02-12,95.00
2021-02-13,95.00
2021-02-14,95.00
2021-02-15,95.00
2021-02-16,95.00
2021-02-17,95.00
2021-02-18,95.00
2021-02-19,95.00
2021-02-20,95.00
2021-02-21,95.00
2021-02-22,110.00
2021-02-23,110.00
2021-02-24,125.00
2021-02-25,125.00
2021-02-26,130.00
2021-02-27,125.00
2021-02-28,125.00
2021-03-01,155.00
2021-03-02,165.00
2021-03-05,290.00
2021-03-06,275.00
2021-03-07,255.00
2021-03-14,115.00
2021-05-03,195.00
2021-05-04,195.00
2021-05-05,195.00
2021-05-06,195.00
2021-05-07,195.00
2021-05-08,195.00
2021-05-09,195.00
2021-05-10,195.00
2021-05-11,195.00
2021-05-12,195.00
2021-05-13,195.00
2021-05-14,195.00
2021-05-15,195.00
2021-08-20,125.00
2021-08-21,125.00
2021-08-22,125.00
2021-08-24,275.00
2021-08-25,96.67
2021-08-26,105.00
2021-08-27,110.00
2021-08-28,110.00
2021-08-29,110.00
2021-08-30,110.00
2021-08-31,110.00
2021-09-01,110.00
2021-09-02,86.67
2021-09-03,105.00
2021-09-04,110.00
2021-09-05,110.00
2021-09-06,110.00
2021-09-07,110.00
