date,avg
2013-04-15,43.00
2013-04-16,43.00
2013-04-17,41.00
2013-04-18,45.00
2013-04-21,33.00
2013-04-22,38.00
2013-04-23,40.00
2013-04-25,43.00
2013-04-26,43.00
2013-04-28,43.00
2013-04-29,38.00
2013-04-30,38.00
2013-05-02,28.00
2013-05-03,28.00
2013-05-05,35.00
2013-05-06,33.00
2013-05-07,35.00
2013-05-08,32.00
2013-05-09,33.00
2013-05-10,32.00
2013-05-12,38.00
2013-05-13,28.00
2013-05-14,28.00
2013-05-16,28.00
2013-05-17,23.00
2013-05-19,28.00
2013-05-20,23.00
2013-05-21,23.00
2013-05-22,23.00
2013-05-23,23.00
2013-05-24,23.00
2013-05-26,23.00
2013-05-27,23.00
2013-05-28,23.00
2013-05-30,28.00
2013-05-31,23.00
2013-06-02,23.00
2013-06-03,23.00
2013-06-04,28.00
2013-06-05,28.00
2013-06-06,23.00
2013-06-09,28.00
2013-06-10,28.00
2013-06-11,23.00
2013-06-12,23.00
2013-06-13,23.00
2013-06-14,23.00
2013-06-16,23.00
2013-06-17,23.00
2013-06-18,23.00
2013-06-19,23.00
2013-06-20,23.00
2013-06-21,18.00
2013-06-25,23.00
2013-06-26,23.00
2013-06-27,19.00
2013-06-28,19.00
2013-06-30,18.00
2013-07-01,18.00
2013-07-02,85.00
2013-07-03,18.00
2013-07-04,18.00
2013-07-05,18.00
2013-07-09,18.00
2013-07-10,18.00
2013-07-11,17.00
2013-07-12,18.00
2013-07-14,15.00
2013-07-15,16.00
2013-07-16,18.00
2013-07-17,19.00
2013-07-18,18.00
2013-07-19,16.00
2013-07-21,17.00
2013-07-22,17.00
2013-07-23,17.00
2013-07-24,17.00
2013-07-25,17.00
2013-07-26,17.00
2013-07-28,54.00
2013-07-30,17.00
2013-07-31,17.00
2013-08-01,17.00
2013-08-02,17.00
2013-08-04,17.00
2013-08-05,17.00
2013-08-07,18.00
2013-08-08,17.00
2013-08-13,17.00
2013-08-14,17.00
2013-08-15,17.00
2013-08-16,17.00
2013-08-18,17.00
2013-08-19,19.00
2013-08-20,18.00
2013-08-23,19.00
2013-08-25,23.00
2013-08-26,23.00
2013-08-27,23.00
2013-08-29,23.00
2013-08-30,23.00
2013-09-08,28.00
2013-11-29,95.00
2013-12-09,135.00
2013-12-10,135.00
2013-12-20,95.00
2013-12-22,95.00
2013-12-23,95.00
2013-12-24,95.00
2013-12-26,67.00
2013-12-27,75.00
2013-12-29,75.00
2013-12-31,105.00
2014-01-01,112.00
2014-01-02,95.00
2014-01-03,75.00
2014-01-05,95.00
2014-01-06,75.00
2014-01-07,75.00
2014-01-08,75.00
2014-01-09,75.00
2014-01-10,75.00
2014-01-12,65.00
2014-01-13,95.00
2014-01-14,85.00
2014-01-16,95.00
2014-01-17,65.00
2014-01-19,65.00
2014-01-20,65.00
2014-01-21,60.00
2014-01-22,65.00
2014-01-23,65.00
2014-01-24,77.00
2014-01-26,85.00
2014-01-27,85.00
2014-01-28,65.00
2014-01-29,55.00
2014-02-02,55.00
2014-02-03,55.00
2014-02-04,55.00
2014-02-05,67.00
2014-02-06,55.00
2014-02-07,55.00
2014-02-09,65.00
2014-02-10,60.00
2014-02-11,57.00
2014-02-12,56.00
2014-02-13,65.00
2014-02-14,57.00
2014-02-16,65.00
2014-02-17,55.00
2014-02-18,77.00
2014-02-20,57.00
2014-02-21,65.00
2014-02-23,55.00
