date,avg
2024-05-14,290.00
2024-05-15,290.00
2024-05-16,290.00
2024-05-17,290.00
2024-05-18,290.00
2024-05-19,290.00
2024-05-20,290.00
2024-05-21,290.00
2024-05-23,290.00
2024-05-24,290.00
2024-05-25,290.00
2024-05-26,373.33
2024-05-27,290.00
2024-05-28,290.00
2024-05-29,290.00
2024-05-30,290.00
2024-05-31,290.00
2024-06-01,290.00
2024-06-02,290.00
2024-06-03,290.00
2024-06-04,290.00
2024-06-05,290.00
2024-06-06,290.00
2024-06-07,290.00
2024-06-08,290.00
2024-06-09,290.00
2024-06-10,290.00
2024-06-11,290.00
2024-06-12,290.00
2024-06-13,290.00
2024-06-14,290.00
2024-06-15,290.00
2024-06-16,290.00
2024-06-17,293.33
2024-06-18,276.67
2024-06-19,290.00
2024-06-20,290.00
2024-06-21,293.33
2024-06-22,293.33
2024-06-23,290.00
2024-06-24,290.00
2024-06-25,290.00
2024-06-26,290.00
2024-06-28,290.00
2024-06-29,290.00
2024-06-30,290.00
2024-07-01,290.00
2024-07-02,290.00
2024-07-03,290.00
2024-07-04,290.00
2024-07-05,290.00
2024-07-06,290.00
2024-07-07,290.00
2024-07-08,290.00
2024-07-09,290.00
2024-07-10,290.00
2024-07-11,290.00
2024-07-12,290.00
2024-07-13,290.00
2024-07-14,290.00
2024-07-15,290.00
2024-07-16,290.00
2024-07-17,290.00
2024-07-18,290.00
2024-07-19,290.00
2024-07-20,293.33
2024-07-21,290.00
2024-07-22,290.00
2024-07-23,290.00
2024-07-24,290.00
2024-07-25,290.00
2024-07-26,290.00
2024-07-27,290.00
2024-07-28,290.00
2024-07-29,290.00
2024-07-30,290.00
2024-07-31,290.00
2024-08-01,290.00
2024-08-02,290.00
2024-08-03,290.00
2024-08-04,290.00
2024-08-05,290.00
2024-08-06,290.00
2024-08-07,290.00
2024-08-08,290.00
2024-08-09,290.00
2024-08-10,290.00
2024-08-11,290.00
2024-08-12,290.00
2024-08-13,290.00
2024-08-14,290.00
2024-08-15,290.00
2024-08-16,290.00
2024-08-17,290.00
2024-08-18,290.00
2024-08-20,290.00
2024-08-21,290.00
2024-08-22,290.00
2024-08-23,293.33
2024-08-24,290.00
2024-08-25,290.00
2024-08-26,290.00
2024-08-27,290.00
2024-08-28,290.00
2024-08-29,290.00
2024-08-30,293.33
2024-08-31,293.33
2024-09-01,290.00
2024-09-02,290.00
2024-09-03,290.00
2024-09-04,290.00
2024-09-05,290.00
2024-09-06,290.00
2024-09-07,290.00
2024-09-08,290.00
2024-09-09,290.00
2024-09-10,290.00
2024-09-11,290.00
2024-09-12,290.00
2024-09-13,290.00
2024-09-14,290.00
2024-09-15,290.00
2024-09-16,290.00
2024-09-17,290.00
2024-09-18,286.67
2024-09-19,290.00
2024-09-20,290.00
2024-09-21,290.00
2024-09-22,290.00
2024-09-23,290.00
2024-09-24,290.00
2024-09-25,290.00
2024-09-26,290.00
2024-09-27,290.00
2024-09-28,290.00
2024-09-29,290.00
2024-09-30,290.00
2024-10-01,290.00
2024-10-02,290.00
2024-10-03,290.00
2024-10-04,290.00
2024-10-06,290.00
2024-10-07,290.00
2024-10-08,290.00
2024-10-09,290.00
2024-10-10,290.00
2024-10-11,290.00
2024-10-12,290.00
2024-10-13,290.00
2024-10-14,290.00
2024-10-15,290.00
2024-10-16,290.00
2024-10-17,290.00
2024-10-18,290.00
2024-10-19,290.00
2024-10-20,290.00
2024-10-21,290.00
2024-10-22,290.00
2024-10-23,290.00
2024-10-24,290.00
2024-10-25,290.00
2024-10-26,290.00
2024-10-27,290.00
2024-10-28,290.00
2024-10-29,290.00
2024-10-30,290.00
2024-10-31,290.00
2024-11-01,290.00
2024-11-02,290.00
2024-11-03,290.00
2024-11-04,290.00
2024-11-05,290.00
2024-11-06,290.00
2024-11-07,290.00
2024-11-08,290.00
2024-11-10,290.00
2024-11-12,290.00
2024-11-13,290.00
2024-11-14,290.00
2024-11-15,290.00
2024-11-16,290.00
2024-11-17,290.00
2024-11-18,290.00
2024-11-19,290.00
2024-11-20,290.00
2024-11-21,290.00
2024-11-22,290.00
2024-11-23,290.00
2024-11-24,290.00
2024-11-25,290.00
2024-11-26,290.00
2024-11-27,290.00
2024-11-28,290.00
2024-11-29,290.00
2024-11-30,290.00
2024-12-01,290.00
2024-12-02,290.00
2024-12-03,290.00
2024-12-04,290.00
2024-12-05,290.00
2024-12-06,290.00
2024-12-07,290.00
2024-12-08,290.00
2024-12-09,290.00
2024-12-10,290.00
2024-12-11,290.00
2024-12-12,290.00
2024-12-13,290.00
2024-12-14,290.00
2024-12-15,290.00
2024-12-16,290.00
2024-12-17,290.00
2024-12-18,290.00
2024-12-19,290.00
2024-12-20,290.00
2024-12-21,290.00
2024-12-22,290.00
2024-12-23,290.00
2024-12-24,290.00
2024-12-25,290.00
