date,avg
2013-05-02,45.00
2014-01-07,53.00
2014-01-08,48.00
2014-01-09,48.00
2014-01-10,48.00
2014-01-12,48.00
2014-01-13,48.00
2014-01-14,48.00
2014-01-16,48.00
2014-01-17,48.00
2014-01-19,48.00
2014-01-20,48.00
2014-01-21,48.00
2014-01-22,48.00
2014-01-23,48.00
2014-01-24,48.00
2014-01-26,53.00
2014-01-27,58.00
2014-01-28,48.00
2014-01-29,48.00
2014-02-02,48.00
2014-02-03,48.00
2014-02-04,48.00
2014-02-05,48.00
2014-02-06,48.00
2014-02-07,48.00
2014-02-09,48.00
2014-02-10,48.00
2014-02-11,48.00
2014-02-12,48.00
2014-02-13,48.00
2014-02-14,48.00
2014-02-16,55.00
2014-02-17,53.00
2014-02-18,53.00
2014-02-20,48.00
2014-02-21,58.00
2014-02-23,58.00
2014-02-24,58.00
2014-02-25,53.00
2014-02-26,58.00
2014-02-28,58.00
2014-03-03,58.00
2014-03-05,58.00
2014-03-06,58.00
2014-03-07,58.00
2014-03-09,58.00
2014-03-10,58.00
2014-03-11,58.00
2014-03-12,58.00
2014-03-13,58.00
2014-03-14,58.00
2014-03-17,65.00
2014-03-18,58.00
2014-03-19,58.00
2014-03-20,58.00
2014-03-21,58.00
2014-03-23,58.00
2014-03-24,58.00
2014-03-25,65.00
2014-03-26,58.00
2014-03-27,58.00
2014-03-28,58.00
2014-03-31,63.00
2014-04-01,63.00
2014-04-02,63.00
2014-04-03,63.00
2014-04-04,68.00
2014-04-06,68.00
2014-04-07,68.00
2014-04-09,65.00
2014-04-10,65.00
2014-04-11,65.00
2014-04-13,65.00
2014-04-15,65.00
2014-04-16,65.00
2014-04-17,65.00
2014-04-18,65.00
2014-04-25,85.00
2014-12-26,58.00
2014-12-27,57.00
2014-12-28,55.00
2014-12-29,65.00
2014-12-30,57.00
2014-12-31,67.00
2015-01-01,65.00
2015-01-02,57.00
2015-01-03,57.00
2015-01-04,57.00
2015-01-05,55.00
2015-01-06,55.00
2015-01-07,57.00
2015-01-08,57.00
2015-01-09,57.00
2015-01-11,55.00
2015-01-12,57.00
2015-01-13,57.00
2015-01-14,67.00
2015-01-15,65.00
2015-01-16,67.00
2015-01-17,67.00
2015-01-18,63.00
2015-01-19,57.00
2015-01-20,57.00
2015-01-21,57.00
2015-01-22,57.00
2015-01-23,57.00
2015-01-25,57.00
2015-01-26,57.00
2015-01-27,57.00
2015-01-28,57.00
2015-01-29,57.00
2015-01-31,57.00
2015-02-01,57.00
2015-02-02,57.00
2015-02-03,57.00
2015-02-04,57.00
2015-02-06,57.00
2015-02-07,57.00
2015-02-08,67.00
2015-02-09,57.00
2015-02-10,67.00
2015-02-11,57.00
2015-02-12,57.00
2015-02-13,57.00
2015-02-14,67.00
2015-02-15,67.00
2015-02-16,57.00
2015-02-18,57.00
2015-02-19,57.00
2015-02-20,57.00
2015-02-22,57.00
2015-02-23,57.00
2015-02-24,58.00
2015-02-25,57.00
2015-02-26,57.00
2015-02-27,57.00
2015-03-01,57.00
2015-03-02,57.00
2015-03-03,57.00
2015-03-06,55.00
2015-03-09,57.00
2015-03-10,57.00
2015-03-11,57.00
2015-03-12,57.00
2015-03-13,55.00
2015-03-14,55.00
2015-03-16,55.00
2015-03-17,53.00
2015-03-18,67.00
2015-03-19,58.00
2015-03-20,67.00
2015-03-21,67.00
2015-03-22,67.00
2015-03-23,63.00
2015-03-24,67.00
2015-03-25,65.00
2015-03-26,65.00
2015-03-27,65.00
2015-03-28,63.00
2015-03-29,63.00
2015-03-30,63.00
2015-03-31,65.00
2015-04-01,63.00
2015-04-02,43.00
2015-04-03,75.00
2015-04-04,67.00
2015-04-05,67.00
2015-04-06,75.00
2015-04-07,47.00
2015-04-08,75.00
2015-04-10,77.00
2015-04-12,73.00
2015-04-13,73.00
2015-04-14,75.00
2015-04-15,77.00
2015-04-16,75.00
2015-04-17,77.00
2015-04-18,78.00
2015-04-19,43.00
2015-04-20,43.00
2015-04-21,45.00
2015-04-22,43.00
2015-04-23,43.00
2015-04-26,45.00
2015-04-27,45.00
2015-04-28,55.00
2015-04-29,43.00
2015-04-30,43.00
2015-05-03,43.00
2015-05-04,43.00
2015-05-05,55.00
2015-05-06,55.00
2015-05-07,55.00
2015-05-08,43.00
2015-05-10,53.00
2015-05-11,55.00
2015-05-12,43.00
2015-05-13,55.00
2015-05-14,55.00
2015-05-15,55.00
2016-02-09,55.00
2016-03-07,65.00
2016-03-08,58.00
2020-11-08,275.00
2020-11-21,185.00
2020-12-03,85.00
2020-12-04,87.00
2020-12-05,85.00
2020-12-07,87.00
2020-12-08,87.00
2020-12-09,87.00
2020-12-10,85.00
2020-12-11,87.00
2020-12-12,87.00
2020-12-13,87.00
2020-12-14,87.00
2020-12-15,87.00
2020-12-16,87.00
2020-12-17,85.00
2020-12-18,85.00
2020-12-19,87.00
2020-12-20,83.00
2020-12-21,87.00
2020-12-22,76.67
2020-12-23,76.67
2020-12-24,86.67
2020-12-25,76.67
2020-12-26,76.67
2020-12-27,75.00
2020-12-28,76.67
2020-12-29,75.00
2020-12-30,75.00
2020-12-31,75.00
2021-01-01,75.00
2021-01-02,75.00
2021-01-03,75.00
2021-01-04,77.00
2021-01-05,75.00
2021-01-06,75.00
2021-01-07,75.00
2021-01-08,75.00
2021-01-09,76.67
2021-01-10,75.00
2021-01-11,75.00
