date,avg
2013-04-15,43.00
2013-04-17,48.00
2013-04-18,45.00
2013-04-21,38.00
2013-04-22,45.00
2013-04-23,38.00
2013-04-25,38.00
2013-04-26,33.00
2013-04-28,38.00
2013-04-29,45.00
2013-04-30,33.00
2013-05-02,33.00
2013-05-03,33.00
2013-05-05,50.00
2013-05-06,38.00
2013-05-07,55.00
2013-05-08,45.00
2013-05-09,45.00
2013-05-10,45.00
2013-05-12,33.00
2013-05-13,45.00
2013-05-14,38.00
2013-05-15,45.00
2013-05-16,33.00
2013-05-17,38.00
2013-05-19,38.00
2013-05-20,33.00
2013-05-21,38.00
2013-05-22,33.00
2013-05-23,33.00
2013-05-24,38.00
2013-05-26,38.00
2013-05-27,45.00
2013-05-28,38.00
2013-05-30,38.00
2013-05-31,38.00
2013-06-02,48.00
2013-06-03,48.00
2013-06-04,48.00
2013-06-05,48.00
2013-06-06,43.00
2013-12-16,43.00
2013-12-18,38.00
2013-12-19,48.00
2013-12-20,39.00
2013-12-22,38.00
2013-12-23,38.00
2013-12-24,39.00
2013-12-26,48.00
2013-12-27,43.00
2013-12-29,38.00
2013-12-31,43.00
2014-01-01,38.00
2014-01-02,39.00
2014-01-03,39.00
2014-01-05,38.00
2014-01-06,39.00
2014-01-07,39.00
2014-01-08,38.00
2014-01-09,39.00
2014-01-10,39.00
2014-01-12,39.00
2014-01-13,39.00
2014-01-14,39.00
2014-01-16,38.00
2014-01-17,38.00
2014-01-19,39.00
2014-01-20,39.00
2014-01-21,38.00
2014-01-22,38.00
2014-01-23,39.00
2014-01-24,33.00
2014-01-26,39.00
2014-01-27,38.00
2014-01-28,33.00
2014-01-29,33.00
2014-02-02,38.00
2014-02-03,33.00
2014-02-04,33.00
2014-02-05,33.00
2014-02-06,33.00
2014-02-07,33.00
2014-02-09,33.00
2014-02-10,33.00
2014-02-11,33.00
2014-02-12,29.00
2014-02-13,33.00
2014-02-14,33.00
2014-02-16,33.00
2014-02-17,38.00
2014-02-18,33.00
2014-02-20,33.00
2014-02-21,33.00
2014-02-23,33.00
2014-02-24,33.00
2014-02-25,33.00
2014-02-26,33.00
2014-02-28,33.00
2014-03-03,33.00
2014-03-05,33.00
2014-03-06,33.00
2014-03-07,33.00
2014-03-09,33.00
2014-03-10,33.00
2014-03-11,33.00
2014-03-12,33.00
2014-03-13,33.00
2014-03-14,33.00
2014-03-17,33.00
2014-03-18,33.00
2014-03-19,33.00
2014-03-20,28.00
2014-03-21,29.00
2014-03-23,29.00
2014-03-24,29.00
2014-03-25,29.00
2014-03-26,38.00
2014-03-27,43.00
2014-03-28,43.00
2014-03-31,43.00
2014-04-01,43.00
2014-04-02,38.00
2014-04-03,38.00
2014-04-04,38.00
2014-04-06,43.00
2014-04-07,43.00
2014-04-09,28.00
2014-04-10,58.00
2014-04-11,48.00
2014-04-13,43.00
2014-04-15,48.00
2014-04-16,48.00
2014-04-17,58.00
2014-04-18,65.00
2014-04-20,78.00
2014-04-21,68.00
2014-04-22,65.00
2014-04-23,58.00
2014-04-25,58.00
2014-04-27,73.00
2014-04-28,58.00
2014-04-29,48.00
2014-04-30,53.00
2014-05-02,48.00
2014-05-04,47.00
2014-05-05,47.00
2014-05-06,58.00
2014-05-07,48.00
2014-05-08,47.00
2014-05-09,48.00
2014-05-11,58.00
2014-05-12,48.00
2014-05-13,48.00
2014-05-15,57.00
2014-05-16,58.00
2014-05-18,58.00
2014-05-19,58.00
2014-05-20,57.00
2014-05-21,58.00
2014-05-22,58.00
2014-05-23,58.00
2014-05-25,58.00
2014-05-26,57.00
2014-05-27,57.00
2014-05-28,58.00
2014-05-30,58.00
2014-06-01,58.00
2014-06-02,58.00
2014-06-03,58.00
2014-06-04,58.00
2014-06-05,58.00
2014-06-06,58.00
2014-06-08,57.00
2014-06-09,58.00
2014-06-10,58.00
2014-06-11,48.00
2014-06-12,53.00
2014-06-13,48.00
2014-06-15,48.00
2014-06-16,48.00
2014-06-17,58.00
2014-06-18,48.00
2014-06-20,48.00
2014-06-23,48.00
2014-06-25,48.00
2014-06-26,48.00
2014-06-27,48.00
2014-07-01,48.00
2014-07-03,48.00
2014-11-05,87.00
2014-12-16,39.00
2014-12-17,38.00
2014-12-18,41.00
2014-12-19,39.00
2014-12-21,39.00
2014-12-22,39.00
2014-12-23,39.00
2014-12-24,39.00
2014-12-25,39.00
2014-12-26,39.00
2014-12-27,39.00
2014-12-28,39.00
2014-12-29,39.00
2014-12-30,39.00
2014-12-31,38.00
2015-01-01,38.00
2015-01-02,38.00
2015-01-03,39.00
2015-01-04,33.00
2015-01-05,33.00
2015-01-06,33.00
2015-01-07,33.00
2015-01-08,33.00
2015-01-09,33.00
2015-01-12,33.00
2015-01-13,33.00
2015-01-14,33.00
2015-01-15,33.00
2015-01-16,33.00
2015-01-17,33.00
2015-01-18,33.00
2015-01-19,33.00
2015-01-20,33.00
2015-01-21,33.00
2015-01-22,33.00
2015-01-23,33.00
2015-01-25,38.00
2015-01-26,38.00
2015-01-27,38.00
2015-01-28,33.00
2015-01-29,38.00
2015-01-31,38.00
2015-02-01,38.00
2015-02-02,33.00
2015-02-03,38.00
2015-02-04,28.00
2015-02-05,33.00
2015-02-06,33.00
2015-02-07,33.00
2015-02-08,33.00
2015-02-09,33.00
2015-02-10,33.00
2015-02-11,33.00
2015-02-12,36.00
2015-02-13,38.00
2015-02-14,38.00
2015-02-15,38.00
2015-02-16,33.00
2015-02-18,33.00
2015-02-19,33.00
2015-02-20,33.00
2015-02-22,33.00
2015-02-23,33.00
2015-02-24,33.00
2015-02-25,33.00
2015-02-26,38.00
2015-02-27,33.00
2015-03-01,38.00
2015-03-02,33.00
2015-03-03,23.00
2015-03-06,23.00
2015-03-09,23.00
2015-03-10,23.00
2015-03-11,32.00
2015-03-12,32.00
2015-03-13,32.00
2015-03-14,38.00
2015-04-08,38.00
2015-04-10,43.00
2015-04-12,38.00
2015-04-13,38.00
2015-04-14,38.00
2015-04-15,43.00
2015-04-16,38.00
2015-04-17,38.00
2015-04-18,38.00
2015-04-19,38.00
2015-04-20,43.00
2015-04-21,43.00
2015-04-22,45.00
2015-04-23,43.00
2015-04-24,45.00
2015-04-26,45.00
2015-04-27,45.00
2015-04-28,45.00
2015-04-29,45.00
2015-04-30,45.00
2015-05-03,43.00
2015-05-04,43.00
2015-05-05,43.00
2015-05-06,43.00
2015-05-07,43.00
2015-05-08,43.00
2015-05-10,38.00
2015-05-11,43.00
2015-05-12,43.00
2015-05-13,43.00
2015-05-14,45.00
2015-05-15,43.00
2015-05-16,43.00
2015-05-17,43.00
2015-05-18,43.00
2015-05-19,42.00
2015-05-20,43.00
2015-05-21,43.00
2015-05-22,43.00
2015-05-23,43.00
2015-05-24,43.00
2015-05-25,43.00
2015-05-26,43.00
2015-05-27,43.00
2015-05-28,43.00
2015-05-29,43.00
2015-05-30,43.00
2015-05-31,43.00
2015-06-01,43.00
2015-06-02,43.00
2015-06-03,42.00
2015-06-04,43.00
2015-06-05,43.00
2015-06-06,43.00
2015-06-07,43.00
2015-06-08,43.00
2015-06-09,43.00
2015-06-10,43.00
2015-06-11,43.00
2015-06-12,43.00
2015-06-13,48.00
2015-06-14,43.00
2015-06-15,43.00
2015-06-16,43.00
2015-06-17,43.00
2015-06-18,43.00
2015-06-19,43.00
2015-06-20,48.00
2015-06-21,43.00
2015-06-22,43.00
2015-06-23,43.00
2015-06-24,43.00
2015-06-25,43.00
2015-06-26,43.00
2015-06-27,43.00
2015-06-28,43.00
2015-06-29,43.00
2015-06-30,43.00
2015-07-01,43.00
2015-07-02,43.00
2015-07-03,43.00
2015-07-04,43.00
2015-07-05,43.00
2015-07-06,53.00
2015-07-07,53.00
2015-07-08,53.00
2015-07-09,53.00
2015-07-10,53.00
2015-07-11,58.00
2015-07-12,53.00
2015-07-13,55.00
2015-07-14,55.00
2015-07-15,55.00
2015-07-16,55.00
2015-07-17,55.00
2015-07-18,58.00
2015-07-19,55.00
2015-07-20,55.00
2015-07-21,65.00
2015-07-22,55.00
2015-07-23,55.00
2015-07-24,55.00
2015-07-25,55.00
2015-07-26,55.00
2015-07-27,55.00
2015-07-28,55.00
2015-07-29,55.00
2015-07-30,55.00
2015-07-31,55.00
2015-08-01,55.00
2015-08-02,55.00
2015-08-03,55.00
2015-08-04,55.00
2015-08-05,55.00
2015-08-06,53.00
2015-08-07,55.00
