date,avg
2013-09-09,45.00
2013-09-10,35.00
2013-09-11,33.00
2013-09-19,33.00
2013-09-20,23.00
2013-09-22,28.00
2013-09-23,28.00
2013-09-25,28.00
2013-09-26,28.00
2013-09-27,28.00
2013-09-29,28.00
2013-09-30,28.00
2013-10-01,28.00
2013-10-02,28.00
2013-10-03,28.00
2013-10-04,28.00
2013-10-06,28.00
2013-10-07,28.00
2013-10-08,28.00
2013-10-09,28.00
2013-10-10,28.00
2013-10-11,28.00
2013-10-12,33.00
2013-10-16,33.00
2013-10-17,33.00
2013-10-20,33.00
2013-10-21,38.00
2013-10-22,33.00
2013-10-25,33.00
2013-10-27,33.00
2013-10-28,38.00
2013-10-29,33.00
2013-10-30,33.00
2013-10-31,33.00
2013-11-01,28.00
2013-11-03,33.00
2013-11-04,33.00
2013-11-05,35.00
2013-11-07,33.00
2013-11-29,33.00
2013-12-01,38.00
2013-12-02,38.00
2013-12-03,38.00
2013-12-04,55.00
2013-12-05,43.00
2013-12-06,43.00
2013-12-08,43.00
2013-12-09,43.00
2013-12-10,43.00
2013-12-11,43.00
2013-12-12,38.00
2013-12-13,33.00
2013-12-15,33.00
2013-12-16,38.00
2013-12-18,33.00
2013-12-19,33.00
2013-12-20,33.00
2013-12-23,33.00
2013-12-24,33.00
2013-12-26,33.00
2013-12-29,33.00
2013-12-31,33.00
2014-01-01,33.00
2014-01-02,33.00
2014-01-03,33.00
2014-01-05,33.00
2014-01-06,33.00
2014-01-07,33.00
2014-01-08,33.00
2014-01-09,33.00
2014-01-10,33.00
2014-01-12,33.00
2014-01-13,33.00
2014-01-14,33.00
2014-01-16,33.00
2014-01-17,33.00
2014-01-19,38.00
2014-01-20,33.00
2014-01-21,38.00
2014-01-22,33.00
2014-01-23,33.00
2014-01-24,33.00
2014-01-26,38.00
2014-01-27,35.00
2014-01-28,33.00
2014-01-29,28.00
2014-02-02,33.00
2014-02-03,33.00
2014-02-04,33.00
2014-02-05,33.00
2014-02-06,33.00
2014-02-09,33.00
2014-02-10,33.00
2014-02-11,33.00
2014-02-12,28.00
2014-02-13,28.00
2014-02-14,33.00
2014-02-16,33.00
2014-02-17,33.00
2014-02-18,33.00
2014-02-20,33.00
2014-02-21,28.00
2014-02-23,38.00
2014-02-24,33.00
2014-02-25,28.00
2014-02-26,33.00
2014-02-28,33.00
2014-03-03,38.00
2014-03-05,38.00
2014-03-06,38.00
2014-03-07,38.00
2014-03-09,35.00
2014-03-10,38.00
2014-03-11,38.00
2014-03-12,38.00
2014-03-13,38.00
2014-03-14,38.00
2014-03-17,43.00
2014-03-19,38.00
2014-09-10,45.00
2014-09-11,39.00
2014-09-12,38.00
2014-09-13,35.00
2014-09-14,38.00
2014-09-17,38.00
2014-09-18,38.00
2014-09-19,33.00
2014-09-20,38.00
2014-09-21,38.00
2014-09-22,38.00
2014-09-23,38.00
2014-09-24,38.00
2014-09-26,38.00
2014-09-28,38.00
2014-09-29,38.00
