date,avg
2024-05-14,775.00
2024-05-15,975.00
2024-05-17,950.00
2024-05-18,950.00
2024-05-19,950.00
2024-05-21,1000.00
2024-05-23,1000.00
2024-05-24,1000.00
2024-07-27,1050.00
2024-07-29,1050.00
2024-07-30,1016.67
2024-07-31,1050.00
2024-08-01,1050.00
2024-08-02,975.00
2024-08-03,975.00
2024-08-04,976.67
2024-08-05,975.00
2024-08-06,950.00
2024-08-07,975.00
2024-08-08,950.00
2024-08-09,975.00
2024-08-10,975.00
2024-08-11,976.67
2024-08-12,975.00
2024-08-13,976.67
2024-08-14,975.00
2024-08-15,976.67
2024-08-16,975.00
2024-08-17,975.00
2024-08-18,976.67
2024-08-20,976.67
2024-08-21,975.00
2024-08-22,976.67
2024-08-25,976.67
2024-08-26,975.00
2024-08-27,976.67
2024-08-28,975.00
2024-08-29,976.67
2024-08-30,975.00
2024-08-31,975.00
2024-09-01,976.67
2024-09-02,975.00
2024-09-03,976.67
2024-09-04,976.67
2024-09-05,976.67
2024-09-06,976.67
2024-09-07,976.67
2024-09-08,976.67
2024-09-09,976.67
2024-12-06,750.00
2024-12-07,750.00
2024-12-08,750.00
2024-12-09,750.00
2024-12-10,750.00
2024-12-11,750.00
2024-12-12,750.00
2024-12-13,750.00
2024-12-14,750.00
2024-12-15,750.00
2024-12-16,750.00
2024-12-17,750.00
2024-12-18,750.00
2024-12-19,750.00
2024-12-20,750.00
2024-12-21,750.00
2024-12-22,750.00
2024-12-23,750.00
2024-12-24,750.00
2024-12-25,750.00
