date,avg
2019-06-04,125.00
2019-06-05,135.00
2019-06-06,140.00
2019-06-07,140.00
2019-06-08,135.00
2019-06-09,190.00
2019-06-10,190.00
2019-06-11,135.00
2019-06-12,135.00
2019-06-13,190.00
2019-06-14,125.00
2019-06-15,145.00
2019-06-16,155.00
2019-06-17,190.00
2020-06-01,155.00
2020-06-02,145.00
2020-06-03,155.00
2020-06-04,155.00
2020-06-05,145.00
2020-06-06,145.00
2020-06-07,145.00
2020-06-08,145.00
2020-06-09,135.00
2020-06-10,145.00
2020-06-11,135.00
2020-06-12,135.00
2020-06-13,135.00
2020-06-14,125.00
2020-06-15,135.00
2020-06-16,135.00
2020-06-17,125.00
2020-06-18,135.00
2020-06-19,125.00
2020-06-20,128.00
2020-06-21,125.00
2020-06-22,125.00
2020-06-23,135.00
2020-06-24,145.00
2020-06-25,135.00
2020-06-26,125.00
2020-06-27,145.00
2021-05-24,210.00
2021-05-25,190.00
2021-05-26,190.00
2021-05-27,195.00
2021-05-28,190.00
2021-05-29,190.00
2021-05-30,190.00
2021-05-31,235.00
2021-06-01,235.00
2021-06-02,210.00
2021-06-03,236.67
2021-06-04,280.00
2021-06-05,310.00
2021-06-06,235.00
2021-06-07,310.00
2021-06-08,275.00
2021-06-09,275.00
2021-06-10,275.00
2021-06-11,240.00
2021-06-12,265.00
2021-06-13,263.33
2021-06-14,225.00
2021-06-15,235.00
2021-06-16,195.00
2021-06-18,210.00
2021-06-19,225.00
2021-06-20,225.00
2021-06-21,190.00
2021-06-22,235.00
2021-06-23,225.00
2021-06-24,225.00
2021-06-25,190.00
2021-06-26,190.00
2021-06-27,190.00
2021-06-28,190.00
2021-06-29,190.00
2021-06-30,235.00
2021-07-01,275.00
2021-07-02,290.00
2021-07-03,290.00
2021-07-04,290.00
2021-07-05,290.00
2021-07-06,275.00
2021-07-07,275.00
2021-07-08,275.00
2021-07-09,275.00
2022-05-21,275.00
2022-05-24,210.00
2022-05-25,225.00
2022-05-26,225.00
2022-05-27,225.00
2022-05-28,225.00
2022-05-29,225.00
2022-05-30,225.00
2022-05-31,225.00
2022-06-01,275.00
2022-06-02,275.00
2022-06-03,275.00
2022-06-04,235.00
2022-06-05,275.00
2022-06-06,275.00
2022-06-07,275.00
2022-06-08,275.00
2022-06-09,275.00
2022-06-10,275.00
2022-06-11,275.00
2022-06-12,275.00
2022-06-13,275.00
2022-06-14,235.00
2022-06-15,235.00
2022-06-17,235.00
2022-06-18,225.00
2022-06-19,225.00
2023-05-26,275.00
2023-05-27,265.00
2023-05-28,265.00
2023-05-29,213.33
2023-05-30,210.00
2023-05-31,225.00
2023-06-02,293.33
2023-06-03,283.33
2023-06-04,275.00
2023-06-05,223.33
2023-06-06,235.00
2023-06-07,275.00
2023-06-08,235.00
2023-06-09,235.00
2023-06-10,265.00
2023-06-11,265.00
2023-06-12,275.00
2023-06-13,275.00
2023-06-14,275.00
2023-06-15,275.00
2023-06-16,275.00
2023-06-17,275.00
2023-06-18,275.00
2023-06-22,235.00
2023-06-23,235.00
2023-07-07,246.67
2023-07-10,265.00
2024-06-05,225.00
2024-06-06,226.67
2024-06-07,245.00
2024-06-08,275.00
2024-06-09,226.67
2024-06-10,265.00
2024-06-11,263.33
2024-06-12,265.00
2024-06-13,263.33
2024-06-14,240.00
2024-06-15,235.00
2024-06-16,233.33
2024-06-17,210.00
2024-06-18,233.33
2024-06-19,235.00
2024-06-20,233.33
2024-06-21,210.00
2024-06-22,210.00
2024-06-23,210.00
2024-06-24,235.00
2024-06-25,233.33
2024-06-26,210.00
2024-06-27,210.00
2024-06-28,210.00
2024-06-29,210.00
2024-07-01,225.00
2024-07-02,226.67
2019-06-04,125.00
2019-06-05,135.00
2019-06-06,140.00
2019-06-07,140.00
2019-06-08,135.00
2019-06-09,190.00
2019-06-10,190.00
2019-06-11,135.00
2019-06-12,135.00
2019-06-13,190.00
2019-06-14,125.00
2019-06-15,145.00
2019-06-16,155.00
2019-06-17,190.00
2020-06-01,155.00
2020-06-02,145.00
2020-06-03,155.00
2020-06-04,155.00
2020-06-05,145.00
2020-06-06,145.00
2020-06-07,145.00
2020-06-08,145.00
2020-06-09,135.00
2020-06-10,145.00
2020-06-11,135.00
2020-06-12,135.00
2020-06-13,135.00
2020-06-14,125.00
2020-06-15,135.00
2020-06-16,135.00
2020-06-17,125.00
2020-06-18,135.00
2020-06-19,125.00
2020-06-20,128.00
2020-06-21,125.00
2020-06-22,125.00
2020-06-23,135.00
2020-06-24,145.00
2020-06-25,135.00
2020-06-26,125.00
2020-06-27,145.00
2021-05-24,210.00
2021-05-25,190.00
2021-05-26,190.00
2021-05-27,195.00
2021-05-28,190.00
2021-05-29,190.00
2021-05-30,190.00
2021-05-31,235.00
2021-06-01,235.00
2021-06-02,210.00
2021-06-03,236.67
2021-06-04,280.00
2021-06-05,310.00
2021-06-06,235.00
2021-06-07,310.00
2021-06-08,275.00
2021-06-09,275.00
2021-06-10,275.00
2021-06-11,240.00
2021-06-12,265.00
2021-06-13,263.33
2021-06-14,225.00
2021-06-15,235.00
2021-06-16,195.00
2021-06-18,210.00
2021-06-19,225.00
2021-06-20,225.00
2021-06-21,190.00
2021-06-22,235.00
2021-06-23,225.00
2021-06-24,225.00
2021-06-25,190.00
