date,avg
2013-05-30,155.00
2014-05-26,195.00
2014-05-27,175.00
2014-05-28,105.00
2014-06-10,97.00
2014-06-11,77.00
2014-06-12,90.00
2014-06-13,87.00
2014-06-15,105.00
2014-06-16,87.00
2014-06-17,97.00
2014-06-18,97.00
2014-06-19,97.00
2014-06-20,97.00
2014-06-23,87.00
2014-06-24,95.00
2014-06-25,87.00
2014-06-26,95.00
2014-06-27,95.00
2014-06-29,95.00
2014-06-30,95.00
2014-07-01,95.00
2014-07-02,85.00
2014-07-03,95.00
2014-07-04,95.00
2014-07-05,95.00
2014-07-06,95.00
2014-07-07,95.00
2014-07-08,155.00
2014-07-09,145.00
2015-02-23,45.00
2015-05-30,175.00
2015-06-06,160.00
2015-06-07,175.00
2015-06-08,165.00
2015-06-09,155.00
2015-06-10,75.00
2015-06-11,75.00
2015-06-12,85.00
2015-06-13,96.00
2015-06-14,65.00
2015-06-15,75.00
2015-06-17,85.00
2015-06-18,75.00
2015-06-19,75.00
2015-06-20,78.00
2015-06-21,75.00
2015-06-22,75.00
2015-06-23,75.00
2015-06-24,75.00
2015-06-25,75.00
2015-06-26,75.00
2015-06-27,75.00
2015-06-28,73.00
2015-06-29,73.00
2015-06-30,73.00
2015-07-01,75.00
2015-07-02,85.00
2015-07-03,85.00
2015-07-04,85.00
2015-07-05,95.00
2015-07-06,95.00
2015-07-07,95.00
2015-07-08,95.00
2015-07-09,95.00
2015-07-10,95.00
2015-07-11,92.00
2015-07-12,95.00
2015-07-18,85.00
2015-08-23,63.00
2016-03-05,48.00
2016-03-12,58.00
2016-05-22,195.00
2016-05-26,185.00
2016-05-27,185.00
2016-05-28,185.00
2016-05-29,110.00
2016-05-30,155.00
2016-05-31,155.00
2016-06-01,185.00
2016-06-02,185.00
2016-06-03,185.00
2016-06-04,185.00
2016-06-05,105.00
2016-06-06,115.00
2016-06-07,105.00
2016-06-08,115.00
2016-06-09,115.00
2016-06-10,105.00
2016-06-11,105.00
2016-06-12,105.00
2016-06-13,105.00
2016-06-14,95.00
2016-06-15,95.00
2016-06-16,95.00
2016-06-17,105.00
2016-06-18,105.00
2016-06-19,105.00
2016-06-20,95.00
2016-06-21,95.00
2016-06-22,95.00
2016-06-23,95.00
2016-06-24,95.00
2016-06-25,95.00
2016-06-26,105.00
2016-06-27,95.00
2016-06-28,95.00
2016-06-29,95.00
2016-06-30,95.00
2016-07-01,95.00
2016-07-02,95.00
2016-07-03,105.00
2017-05-28,195.00
2017-05-29,195.00
2017-05-30,195.00
2017-05-31,195.00
2017-06-01,155.00
2017-06-02,155.00
2017-06-03,155.00
2017-06-04,155.00
2017-06-05,145.00
