date,avg
2013-06-30,6.00
2013-07-01,6.00
2013-07-09,7.00
2013-07-10,7.00
2013-07-11,6.00
2013-07-12,7.00
2013-07-14,7.00
2013-07-15,8.00
2013-07-16,7.00
2013-07-17,7.00
2013-07-18,7.00
2013-07-19,7.00
2013-07-21,7.00
2013-07-22,7.00
2013-07-23,8.00
2013-07-24,7.00
2013-07-25,8.00
2013-07-26,7.00
2013-07-28,10.00
2013-07-29,10.00
2013-08-08,9.00
2013-08-19,9.00
2013-08-30,10.00
2015-01-25,72.00
2013-06-30,6.00
2013-07-01,6.00
2013-07-09,7.00
2013-07-10,7.00
2013-07-11,6.00
2013-07-12,7.00
2013-07-14,7.00
2013-07-15,8.00
2013-07-16,7.00
2013-07-17,7.00
2013-07-18,7.00
2013-07-19,7.00
2013-07-21,7.00
2013-07-22,7.00
2013-07-23,8.00
2013-07-24,7.00
2013-07-25,8.00
2013-07-26,7.00
2013-07-28,10.00
2013-07-29,10.00
2013-08-08,9.00
2013-08-19,9.00
2013-08-30,10.00
2015-01-25,72.00
