date,avg
2013-11-04,65.00
2013-12-29,45.00
2014-01-01,48.00
2014-01-02,43.00
2014-01-03,45.00
2014-01-06,48.00
2014-10-21,75.00
2014-10-22,75.00
2014-10-23,75.00
2014-10-24,75.00
2014-10-25,68.00
2014-11-18,48.00
2014-11-19,48.00
2014-11-21,48.00
2014-11-25,38.00
2014-12-04,48.00
2014-12-07,48.00
2015-10-17,38.00
2015-11-12,45.00
2015-11-13,45.00
2015-11-14,45.00
2015-11-21,55.00
2016-02-22,65.00
2016-02-23,75.00
2016-02-24,65.00
2016-02-25,65.00
2016-02-26,55.00
2016-02-27,58.00
2016-02-28,55.00
2016-02-29,55.00
2016-03-01,55.00
2016-03-02,55.00
2016-03-04,55.00
2016-03-05,55.00
2016-03-06,65.00
2016-03-07,65.00
2016-03-09,75.00
2016-03-10,75.00
2016-03-11,75.00
2016-03-12,75.00
2016-03-13,75.00
2016-03-15,75.00
2016-03-16,65.00
2016-03-17,65.00
2016-03-18,65.00
2016-03-19,65.00
2016-03-20,65.00
2016-03-21,65.00
2016-03-22,65.00
2016-03-23,65.00
2016-03-24,65.00
2016-03-25,65.00
2016-03-26,65.00
2016-03-27,65.00
2016-03-28,65.00
2016-03-29,65.00
2016-03-30,65.00
2016-03-31,65.00
2016-04-01,65.00
2016-04-02,65.00
2016-04-03,65.00
2016-04-04,65.00
2016-04-05,75.00
2016-04-06,75.00
2016-04-07,75.00
2016-04-08,75.00
2016-04-09,75.00
2020-11-14,85.00
2021-11-03,276.67
2021-11-04,325.00
2021-11-05,325.00
2021-11-06,325.00
2021-11-07,325.00
2021-11-08,325.00
2021-11-09,333.33
2021-11-10,310.00
2021-11-11,325.00
2021-11-12,325.00
2021-11-13,310.00
2021-11-14,325.00
2021-11-15,325.00
2021-11-16,325.00
2021-11-17,325.00
2021-11-18,325.00
2021-11-19,335.00
2021-11-20,335.00
2021-11-21,335.00
2021-11-22,340.00
2021-11-23,335.00
2021-11-24,335.00
2021-11-25,335.00
2021-11-26,335.00
2021-11-27,335.00
2021-11-28,335.00
2021-11-29,335.00
2021-11-30,340.00
2021-12-01,335.00
2021-12-02,335.00
2021-12-03,340.00
2021-12-04,335.00
2021-12-05,330.00
2021-12-06,265.00
