date,avg
2021-04-19,136.67
2021-04-21,130.00
2021-04-22,130.00
2021-04-24,130.00
2021-04-25,135.00
2021-04-26,133.33
2021-04-27,140.00
2021-04-28,140.00
2021-04-29,135.00
2021-04-30,140.00
2021-05-01,130.00
2021-05-02,135.00
2021-05-03,130.00
2021-05-04,125.00
2021-05-05,125.00
2021-05-06,125.00
2021-05-07,125.00
2021-05-08,130.00
2021-05-09,125.00
2021-05-10,145.00
2021-05-11,145.00
2021-05-12,145.00
2021-05-13,145.00
2021-05-14,145.00
2021-05-15,145.00
2021-05-16,145.00
2021-05-17,140.00
2021-05-18,145.00
2021-05-19,145.00
2021-05-20,145.00
2021-05-21,145.00
2021-05-22,145.00
2021-05-23,145.00
2021-05-24,130.00
2021-05-25,145.00
2021-05-26,145.00
2021-05-27,145.00
2021-05-28,135.00
2021-05-29,135.00
2021-05-30,135.00
2021-05-31,130.00
2021-06-01,125.00
2021-06-02,125.00
2021-06-03,125.00
2021-06-04,110.00
2021-06-05,125.00
2021-06-06,125.00
2021-06-07,115.00
2021-06-08,110.00
2021-06-09,105.00
2021-06-10,125.00
2021-06-11,105.00
2021-06-12,105.00
2021-06-13,85.00
2021-06-14,65.00
2021-06-15,85.00
2021-06-16,85.00
2021-06-17,85.00
2021-06-18,95.00
2021-06-19,95.00
2021-06-20,95.00
2021-06-21,85.00
2021-06-22,85.00
2021-06-23,85.00
2021-06-24,85.00
2021-06-25,95.00
2021-06-26,85.00
2021-06-27,85.00
2021-06-28,85.00
2021-06-29,95.00
2021-06-30,95.00
2021-07-01,95.00
2021-07-02,95.00
2021-07-03,95.00
2021-07-04,95.00
2021-07-05,95.00
2021-07-06,85.00
2021-07-07,85.00
2021-07-08,85.00
2021-07-09,95.00
2021-07-10,85.00
2021-07-11,85.00
2021-07-12,95.00
2021-07-13,85.00
2021-07-14,75.00
2021-07-15,75.00
2021-07-16,75.00
2021-07-17,75.00
2021-07-18,75.00
2021-07-19,75.00
2021-07-20,75.00
2021-07-21,105.00
2021-07-22,105.00
2022-03-22,425.00
2022-03-23,425.00
2022-03-24,375.00
2022-04-23,225.00
2022-04-24,225.00
2022-04-25,225.00
2022-04-26,225.00
2022-04-28,235.00
2022-04-29,235.00
2022-04-30,245.00
2022-05-01,210.00
2022-05-02,225.00
2022-05-03,235.00
2022-05-04,210.00
2022-05-05,210.00
2022-05-07,210.00
2022-05-08,210.00
2022-05-09,210.00
2022-05-10,210.00
2022-05-11,235.00
2022-05-12,210.00
2022-05-15,190.00
2022-05-16,190.00
2022-05-17,190.00
2022-05-18,190.00
2022-05-19,190.00
2022-05-20,190.00
2022-05-21,225.00
2022-05-22,190.00
2022-05-23,190.00
2022-05-24,190.00
2022-05-25,190.00
2022-05-26,190.00
2022-05-27,190.00
2022-05-28,190.00
2022-05-29,135.00
2022-05-30,170.00
2022-05-31,175.00
2022-06-01,165.00
2022-06-02,165.00
2022-06-03,165.00
2022-06-04,175.00
2022-06-05,165.00
2022-06-08,145.00
2022-06-09,145.00
2022-06-10,145.00
2023-07-13,66.67
2023-07-14,66.67
2023-07-15,76.67
2023-07-16,75.00
2023-07-17,75.00
2023-07-18,75.00
2023-07-19,86.67
2023-07-20,96.67
2023-07-21,75.00
2023-07-22,85.00
2023-07-24,85.00
2024-05-07,190.00
2024-05-08,190.00
2024-05-09,175.00
2024-05-10,170.00
2024-05-11,155.00
2024-05-12,155.00
2024-05-13,155.00
2024-05-14,155.00
2024-05-15,150.00
2024-05-16,150.00
2024-05-17,150.00
2024-05-18,170.00
2024-05-19,170.00
2024-05-20,170.00
2024-05-21,170.00
2024-05-22,165.00
2024-05-23,170.00
2024-05-24,170.00
2024-05-25,170.00
2024-05-26,170.00
2024-05-27,170.00
2024-05-28,190.00
2024-05-30,190.00
2024-05-31,190.00
2024-06-01,110.00
2024-06-02,110.00
2024-06-03,190.00
2024-06-04,190.00
2024-07-29,85.00
