date,avg
2021-05-08,135.00
2021-05-10,135.00
2021-06-05,125.00
2021-06-06,135.00
2021-06-07,135.00
2021-06-08,115.00
2021-06-13,95.00
2021-06-14,75.00
2021-06-15,85.00
2021-06-16,85.00
2021-06-17,85.00
2021-06-18,95.00
2021-06-19,95.00
2021-06-21,85.00
2021-06-22,85.00
2021-06-23,85.00
2021-06-24,85.00
2021-06-25,95.00
2021-06-26,85.00
2021-06-27,85.00
2021-06-28,85.00
2021-06-29,95.00
2021-06-30,95.00
2021-07-01,95.00
2021-07-02,95.00
2021-07-03,95.00
2021-07-04,95.00
2021-07-05,95.00
2021-07-06,95.00
2021-07-07,85.00
2021-07-08,85.00
2021-07-09,95.00
2021-07-10,85.00
2021-07-11,85.00
2021-07-12,85.00
2021-07-13,85.00
2021-07-14,75.00
2021-07-15,75.00
2021-07-16,75.00
2021-07-17,75.00
2021-07-18,75.00
2021-07-19,75.00
2021-07-20,75.00
2021-07-21,115.00
2021-07-22,105.00
2021-07-23,125.00
2021-07-24,125.00
2021-07-25,125.00
2021-07-26,135.00
2021-07-27,135.00
2021-07-28,125.00
2021-07-29,135.00
2021-07-30,135.00
2021-07-31,125.00
2021-08-01,125.00
2021-08-02,130.00
2021-08-03,175.00
2021-08-04,155.00
2021-08-05,156.67
2021-08-06,175.00
2021-08-07,170.00
2021-08-08,170.00
2021-08-09,175.00
2021-08-10,155.00
2021-08-11,170.00
2021-08-12,170.00
2021-08-13,190.00
2021-08-14,195.00
2021-08-15,195.00
2022-07-25,235.00
2022-07-26,210.00
2022-07-27,210.00
2022-07-28,210.00
2022-07-29,235.00
2022-07-30,235.00
2022-07-31,235.00
2022-08-01,235.00
2022-08-02,235.00
2022-08-03,235.00
2022-08-04,210.00
2022-08-05,245.00
2022-08-06,245.00
2022-08-07,245.00
2022-08-08,265.00
2022-08-09,290.00
2022-08-10,265.00
2022-08-11,275.00
2022-08-12,275.00
2022-08-17,290.00
2022-08-18,290.00
2022-08-19,275.00
2022-08-20,290.00
2022-08-21,290.00
2023-04-15,170.00
2023-07-13,105.00
2023-07-14,135.00
2023-07-23,95.00
2023-07-24,155.00
2023-07-25,146.67
2023-07-26,146.67
2023-07-27,170.00
2023-07-28,170.00
2023-07-29,170.00
2023-07-30,170.00
2023-07-31,190.00
2023-08-01,190.00
2023-08-02,190.00
2023-08-03,190.00
2023-08-04,190.00
2023-08-05,190.00
2023-08-06,190.00
2023-08-07,165.00
2023-08-08,170.00
2023-08-09,170.00
2023-08-10,165.00
2023-08-11,170.00
2023-08-12,170.00
2023-08-24,225.00
2023-08-25,225.00
2023-08-28,235.00
2024-08-02,146.67
2024-08-03,170.00
2024-08-04,170.00
2024-08-05,175.00
2024-08-06,175.00
2024-08-07,190.00
2024-08-08,190.00
2024-08-09,190.00
2024-08-10,190.00
2024-08-11,190.00
2024-08-12,190.00
2024-08-13,190.00
2024-08-14,230.00
2024-08-15,230.00
2024-08-26,265.00
2024-08-27,266.67
2024-08-28,265.00
2024-08-29,266.67
2024-08-30,265.00
2024-08-31,275.00
2024-09-01,276.67
