date,avg
2019-06-04,75.00
2019-06-05,75.00
2019-06-06,75.00
2019-06-07,75.00
2019-06-08,75.00
2019-06-09,75.00
2019-06-10,75.00
2019-06-11,75.00
2019-06-12,75.00
2019-06-13,75.00
2019-06-14,125.00
2019-06-15,75.00
2019-06-16,75.00
2019-06-17,75.00
2019-06-18,75.00
2019-06-19,75.00
2019-06-20,75.00
2019-06-21,75.00
2019-06-22,75.00
2019-06-23,75.00
2019-06-24,85.00
2019-06-25,85.00
2019-06-26,85.00
2019-06-28,85.00
2019-06-29,85.00
2019-06-30,85.00
2019-07-01,85.00
2019-07-02,85.00
2019-07-03,85.00
2019-07-04,85.00
2019-07-05,85.00
2019-07-06,85.00
2019-07-07,85.00
2019-07-08,85.00
2019-07-09,85.00
2019-07-10,85.00
2019-07-11,85.00
2019-07-12,85.00
2019-07-13,125.00
2019-07-14,125.00
2019-07-17,145.00
2019-07-18,145.00
2019-07-19,145.00
2019-07-20,145.00
2019-07-21,145.00
2019-07-22,145.00
2019-07-23,145.00
2019-07-24,145.00
2019-07-25,145.00
2019-07-26,125.00
2019-07-27,135.00
2019-07-28,135.00
2019-07-30,135.00
2019-07-31,135.00
2019-08-01,145.00
2021-05-11,145.00
2021-05-12,145.00
2021-05-13,145.00
2021-05-14,145.00
2021-05-15,145.00
2021-05-16,145.00
2021-05-17,190.00
2021-05-18,175.00
2021-05-19,175.00
2021-05-20,175.00
2021-05-21,175.00
2021-05-22,165.00
2021-05-23,165.00
2021-05-24,155.00
2021-05-25,145.00
2021-05-26,145.00
2021-05-27,145.00
2021-05-28,135.00
2021-05-29,145.00
2021-05-30,145.00
2021-05-31,110.00
2021-06-01,145.00
2021-06-02,145.00
2021-06-03,135.00
2021-06-04,120.00
2021-06-05,120.00
2021-06-06,135.00
2021-06-07,125.00
2021-06-08,115.00
2021-06-09,115.00
2021-06-10,120.00
2021-06-11,75.00
2021-06-12,75.00
2021-06-13,86.67
2021-06-14,75.00
2021-06-15,85.00
2021-06-16,85.00
2021-06-17,85.00
2021-06-18,95.00
2021-06-19,95.00
2021-06-20,95.00
2021-06-21,85.00
2021-06-22,85.00
2021-06-23,85.00
2021-06-24,85.00
2021-06-25,95.00
2021-06-26,85.00
2021-06-27,85.00
2021-06-28,85.00
2021-06-29,95.00
2021-06-30,95.00
2021-07-01,95.00
2021-07-02,95.00
2021-07-03,95.00
2021-07-04,95.00
2021-07-05,95.00
2021-07-06,95.00
2021-07-07,85.00
2021-07-08,85.00
2021-07-09,85.00
2021-07-10,85.00
2021-07-11,85.00
2021-07-12,95.00
2021-07-13,75.00
2021-07-14,75.00
2021-07-15,75.00
2021-07-16,75.00
2021-07-17,75.00
2021-07-18,75.00
2021-07-19,75.00
2021-07-20,75.00
2021-07-21,115.00
2021-07-22,115.00
2021-07-23,145.00
2021-07-24,145.00
2021-07-25,145.00
2021-07-26,125.00
2021-07-27,125.00
2021-07-28,135.00
2021-07-29,125.00
2021-07-30,125.00
2021-07-31,125.00
2021-08-01,125.00
2022-04-23,275.00
2022-04-24,275.00
2022-04-25,225.00
2022-04-26,225.00
2022-04-28,290.00
2022-04-29,290.00
2022-04-30,290.00
2022-05-01,290.00
2022-05-02,290.00
2022-05-03,265.00
2022-05-04,235.00
2022-05-05,235.00
2022-05-07,235.00
2022-05-08,235.00
2022-05-09,235.00
2022-05-10,235.00
2022-05-11,235.00
2022-05-12,235.00
2022-05-15,265.00
2022-05-16,235.00
2022-05-17,235.00
2022-05-18,235.00
2022-05-19,235.00
2022-05-20,235.00
2022-05-21,275.00
2022-05-22,275.00
2022-05-23,210.00
2022-05-24,190.00
2022-05-25,225.00
2022-05-26,225.00
2022-05-27,225.00
2022-05-28,210.00
2022-05-29,225.00
2022-05-30,275.00
2022-05-31,275.00
2022-06-01,275.00
2022-06-02,275.00
2022-06-03,275.00
2022-06-04,175.00
2022-06-05,125.00
2022-06-06,110.00
2022-06-07,110.00
2022-06-08,110.00
2022-06-09,110.00
2022-06-10,110.00
2022-06-11,90.00
2022-06-12,90.00
2022-06-13,90.00
2022-06-14,90.00
2022-06-15,86.67
2022-06-16,86.67
2022-06-17,90.00
2022-06-18,90.00
2022-06-19,90.00
2022-06-20,86.67
2022-06-21,90.00
2022-06-22,90.00
2022-06-23,113.33
2022-06-24,110.00
2022-06-25,86.67
2022-06-26,105.00
2022-06-27,86.67
2022-06-28,106.67
2022-06-29,110.00
2022-06-30,125.00
2022-07-01,126.67
2022-07-02,126.67
2022-07-03,125.00
2022-07-04,140.00
2022-07-05,145.00
2022-07-06,156.67
2022-07-07,156.67
2022-07-08,156.67
2022-07-09,156.67
2022-07-10,155.00
2022-07-11,156.67
2022-07-12,156.67
2022-07-13,155.00
2022-07-14,156.67
2022-07-15,156.67
2022-07-16,170.00
2022-07-17,170.00
2022-07-18,175.00
2022-07-19,190.00
2022-07-20,190.00
2022-07-21,190.00
2022-07-22,190.00
2022-07-23,175.00
2022-07-24,175.00
2022-07-25,210.00
2022-07-26,210.00
2022-07-27,210.00
2022-07-28,210.00
2022-07-29,230.00
2023-04-17,237.50
2023-04-19,165.00
2023-04-20,165.00
2023-04-21,145.00
2023-04-22,155.00
2023-04-23,190.00
2023-04-24,135.00
2023-04-25,145.00
2023-04-26,190.00
2023-04-27,190.00
2023-04-28,190.00
2023-04-29,190.00
2023-04-30,190.00
2023-05-01,193.33
2023-05-02,193.33
2023-05-03,165.00
2023-05-04,235.00
2023-05-05,210.00
2023-05-06,225.00
2023-05-07,225.00
2023-05-08,265.00
2023-05-09,235.00
2023-05-10,235.00
2023-05-11,235.00
2023-05-12,225.00
2023-05-13,225.00
2023-05-14,225.00
2023-05-15,225.00
2023-05-16,235.00
2023-05-17,223.33
2023-05-18,210.00
2023-05-19,235.00
2023-05-20,240.00
2023-05-21,235.00
