date,avg
2013-04-15,135.00
2013-04-16,135.00
2013-04-17,135.00
2013-04-18,140.00
2013-04-21,145.00
2013-04-22,130.00
2013-04-23,105.00
2013-04-25,97.00
2013-04-26,90.00
2013-04-28,90.00
2013-04-29,75.00
2013-04-30,85.00
2013-05-02,85.00
2013-05-03,85.00
2013-05-05,85.00
2013-05-06,80.00
2013-05-07,77.00
2013-05-08,90.00
2013-05-09,95.00
2013-05-10,90.00
2013-05-12,75.00
2013-05-13,75.00
2013-05-14,77.00
2013-05-15,75.00
2013-05-16,75.00
2013-05-17,75.00
2013-05-19,65.00
2013-05-20,65.00
2013-05-21,65.00
2013-05-22,77.00
2013-05-23,65.00
2013-05-24,65.00
2013-05-26,65.00
2013-05-27,65.00
2013-05-28,65.00
2013-05-30,70.00
2013-05-31,70.00
2013-06-02,65.00
2013-06-03,75.00
2013-06-04,75.00
2013-06-05,75.00
2013-06-06,75.00
2013-06-09,65.00
2013-06-10,55.00
2013-06-11,65.00
2013-06-12,55.00
2013-06-13,55.00
2013-06-14,55.00
2013-06-16,55.00
2013-06-17,55.00
2013-06-18,55.00
2013-06-19,55.00
2013-06-20,55.00
2013-06-21,45.00
2013-06-25,55.00
2013-06-26,55.00
2013-06-27,55.00
2013-06-28,55.00
2013-06-30,55.00
2013-07-01,55.00
2013-07-02,55.00
2013-07-03,55.00
2013-07-04,55.00
2013-07-05,55.00
2013-07-09,60.00
2013-07-10,75.00
2013-07-11,65.00
2013-07-12,65.00
2013-07-14,65.00
2013-07-15,65.00
2013-07-16,365.00
2013-07-17,75.00
2013-07-18,75.00
2013-07-19,65.00
2013-07-21,55.00
2013-07-22,65.00
2013-07-23,65.00
2013-07-24,55.00
2013-07-25,55.00
2013-07-26,55.00
2013-07-28,55.00
2013-07-29,65.00
2013-07-30,65.00
2013-07-31,65.00
2013-08-01,75.00
2013-08-02,65.00
2013-08-04,75.00
2013-08-05,85.00
2013-08-06,75.00
2013-08-07,95.00
2013-08-08,95.00
2013-08-13,105.00
2013-08-14,115.00
2013-08-15,115.00
2013-08-16,125.00
2013-08-18,145.00
2013-08-20,145.00
2013-08-23,145.00
2013-08-25,145.00
2013-08-26,145.00
2014-04-09,105.00
2014-04-10,105.00
2014-04-11,105.00
2014-04-13,105.00
2014-04-15,105.00
2014-04-16,87.00
2014-04-17,85.00
2014-04-18,88.00
2014-04-20,92.00
2014-04-21,92.00
2014-04-22,85.00
2014-04-23,80.00
2014-04-25,80.00
2014-04-27,90.00
2014-04-28,85.00
2014-04-29,85.00
2014-04-30,75.00
2014-05-02,85.00
2014-05-04,67.00
2014-05-05,70.00
2014-05-06,77.00
2014-05-07,67.00
2014-05-08,67.00
2014-05-09,77.00
2014-05-11,73.00
2014-05-12,73.00
2014-05-13,77.00
2014-05-15,73.00
2014-05-16,67.00
2014-05-18,65.00
2014-05-19,77.00
2014-05-20,77.00
2014-05-21,77.00
