date,avg
2013-08-01,22.00
2013-08-02,23.00
2013-08-04,23.00
2013-08-05,23.00
2013-08-06,23.00
2013-08-07,23.00
2013-08-08,23.00
2013-08-13,19.00
2013-08-14,19.00
2013-08-15,19.00
2013-08-16,19.00
2013-08-18,19.00
2013-08-19,19.00
2013-08-20,19.00
2013-08-23,19.00
2013-08-25,19.00
2013-08-26,23.00
2013-08-27,23.00
2013-08-29,23.00
2013-08-30,23.00
2013-09-01,23.00
2013-09-02,23.00
2013-09-03,23.00
2013-09-04,23.00
2013-09-05,23.00
2013-09-06,23.00
2013-09-08,23.00
2013-09-09,28.00
2013-09-10,28.00
2013-09-11,28.00
2013-09-12,23.00
2013-09-13,23.00
2013-09-15,23.00
2013-09-16,23.00
2013-09-17,28.00
2013-09-19,23.00
2013-09-20,28.00
2013-09-22,23.00
2013-09-23,21.00
2013-09-24,23.00
2013-09-25,23.00
2013-09-26,23.00
2013-09-27,28.00
2013-09-29,23.00
2013-09-30,23.00
2013-10-01,23.00
2013-10-02,23.00
2013-10-03,23.00
2013-10-04,23.00
2013-10-06,28.00
2013-10-07,23.00
2013-10-08,23.00
2013-10-09,23.00
2013-10-10,28.00
2013-10-11,28.00
2013-10-12,28.00
2013-10-13,29.00
2013-10-15,28.00
2013-10-16,28.00
2013-10-17,28.00
2013-10-20,28.00
2013-10-21,31.00
2013-10-22,29.00
2013-10-23,28.00
2013-10-24,29.00
2013-10-25,29.00
2013-10-27,27.00
2013-10-28,28.00
2013-10-29,28.00
2013-10-30,28.00
2013-10-31,26.00
2013-11-01,26.00
2013-11-03,28.00
2013-11-04,28.00
2013-11-05,28.00
2013-11-10,30.00
2013-11-11,32.00
2013-11-12,30.00
2013-11-13,30.00
2013-11-14,26.00
2013-11-15,29.00
2013-11-16,28.00
2013-11-17,32.00
2013-11-18,30.00
2013-11-20,28.00
2013-11-21,28.00
2013-11-22,28.00
2013-11-24,29.00
2013-11-25,33.00
2013-11-26,33.00
2013-11-27,30.00
2013-11-28,29.00
2013-11-29,29.00
2013-12-01,29.00
2013-12-03,29.00
2013-12-04,29.00
2013-12-05,29.00
2013-12-06,29.00
2013-12-08,29.00
2013-12-09,29.00
2013-12-10,29.00
2013-12-11,29.00
2013-12-12,29.00
2013-12-13,27.00
2013-12-15,27.00
2013-12-16,28.00
2013-12-18,29.00
2013-12-19,29.00
2013-12-20,29.00
2013-12-22,29.00
2013-12-23,33.00
2013-12-24,33.00
2013-12-26,33.00
2013-12-27,33.00
2013-12-29,33.00
2013-12-31,33.00
2014-01-01,33.00
2014-01-02,33.00
2014-01-03,33.00
2014-01-05,38.00
2014-01-06,38.00
2014-01-07,35.00
2014-01-08,38.00
2014-01-09,38.00
2014-01-10,37.00
2014-01-12,38.00
2014-01-13,33.00
2014-01-14,33.00
2014-01-16,33.00
2014-01-17,43.00
2014-01-19,38.00
2014-01-20,38.00
2014-01-21,38.00
2014-01-22,38.00
2014-01-23,38.00
2014-01-24,38.00
2014-01-26,48.00
2014-01-27,48.00
2014-01-28,43.00
2014-01-29,43.00
2014-02-02,43.00
2014-02-03,48.00
2014-02-04,48.00
2014-02-05,43.00
2014-02-06,43.00
2014-02-07,48.00
2014-02-09,48.00
2014-02-10,58.00
2014-02-11,58.00
2014-02-12,58.00
2014-02-13,58.00
2014-02-16,58.00
2014-02-17,58.00
2014-02-18,58.00
2014-02-20,98.00
2014-02-21,97.00
2014-02-23,97.00
2014-02-24,98.00
2014-02-25,97.00
2014-02-26,97.00
2014-02-28,97.00
