date,avg
2019-05-31,325.00
2019-06-01,365.00
2019-06-02,385.00
2019-06-03,435.00
2019-06-04,315.00
2019-06-05,285.00
2019-06-06,285.00
2019-06-07,285.00
2019-06-08,310.00
2019-06-09,290.00
2019-06-10,325.00
2019-06-11,315.00
2019-06-12,215.00
2019-06-13,325.00
2019-06-14,375.00
2019-06-15,425.00
2019-06-16,405.00
2019-06-17,415.00
2019-06-18,485.00
2019-06-19,495.00
2019-06-20,485.00
2019-06-21,585.00
2019-06-22,405.00
2019-06-23,425.00
2019-06-24,415.00
2019-06-25,425.00
2019-06-26,425.00
2019-06-27,425.00
2019-06-28,425.00
2019-06-29,425.00
2019-06-30,455.00
2019-07-01,455.00
2019-07-02,455.00
2019-07-03,445.00
2019-07-04,425.00
2019-07-05,425.00
2019-07-06,425.00
2019-07-07,425.00
2019-07-08,425.00
2019-07-09,425.00
2019-07-10,425.00
2019-07-11,425.00
2019-07-12,425.00
2019-07-13,470.00
2019-07-14,470.00
2019-07-15,455.00
2019-07-16,450.00
2019-07-17,455.00
2019-07-18,455.00
2019-07-19,455.00
2019-07-20,455.00
2019-07-21,455.00
2019-07-22,455.00
2019-07-23,455.00
2019-07-24,455.00
2019-07-25,455.00
2019-07-26,455.00
2019-07-27,455.00
2019-07-28,455.00
2019-07-29,455.00
2019-07-30,453.00
2019-07-31,490.00
2019-08-01,475.00
2019-08-02,455.00
2019-08-03,415.00
2019-08-04,455.00
2019-08-05,465.00
2019-08-06,465.00
2019-08-07,465.00
2019-08-08,475.00
2019-08-09,475.00
2019-08-10,475.00
2019-08-11,490.00
2019-08-12,425.00
2019-08-13,390.00
2019-08-14,455.00
2019-08-15,470.00
2019-08-16,505.00
2019-08-20,475.00
2019-08-22,485.00
2019-08-23,485.00
2019-08-24,495.00
2019-08-25,685.00
2019-08-26,685.00
2019-08-27,485.00
2019-08-28,485.00
2019-08-29,485.00
2019-08-30,490.00
2019-08-31,485.00
2019-09-01,485.00
2019-09-02,485.00
2019-09-03,485.00
2019-09-04,485.00
2019-09-05,485.00
2019-09-06,490.00
2019-09-07,495.00
2019-09-08,490.00
2019-09-09,495.00
2019-09-10,495.00
2019-09-11,490.00
2019-09-12,495.00
2019-09-13,495.00
2019-09-14,495.00
2019-09-15,495.00
2019-09-16,490.00
2019-09-17,495.00
2019-09-18,495.00
2019-09-19,495.00
2019-09-20,495.00
2019-09-21,495.00
2019-09-22,495.00
2019-09-23,445.00
2019-09-24,455.00
2019-09-25,445.00
2019-09-26,445.00
2019-09-27,495.00
2019-09-28,495.00
2019-09-29,495.00
2019-09-30,495.00
2019-10-01,495.00
2019-10-02,495.00
2019-10-03,395.00
2019-10-04,495.00
2019-10-05,495.00
2019-10-06,845.00
2019-10-07,805.00
2019-10-08,595.00
2019-10-09,645.00
2019-10-10,645.00
2019-10-11,625.00
2019-10-12,595.00
2019-10-13,595.00
2019-10-14,495.00
2019-10-15,445.00
2019-10-16,395.00
2019-10-17,445.00
2019-10-18,445.00
2019-10-19,445.00
2019-10-20,445.00
2019-10-21,445.00
2019-10-22,395.00
2019-10-23,395.00
2019-10-24,405.00
2019-10-25,445.00
2019-10-26,405.00
2019-10-27,405.00
2019-10-28,405.00
2019-10-29,745.00
2019-10-30,495.00
2019-10-31,495.00
2019-11-01,495.00
2019-11-02,405.00
2019-11-03,395.00
2019-11-04,445.00
2019-11-05,445.00
2019-11-06,445.00
2019-11-07,445.00
2019-11-08,445.00
2019-11-09,395.00
2019-11-10,395.00
2019-11-11,405.00
2019-11-12,395.00
2019-11-13,395.00
2019-11-14,395.00
2019-11-15,395.00
2019-11-16,395.00
2019-11-17,395.00
2019-11-18,395.00
2019-11-19,395.00
2019-11-20,395.00
2019-11-21,395.00
2019-11-22,395.00
