date,avg
2013-04-15,43.00
2013-04-16,43.00
2013-04-17,38.00
2013-04-18,38.00
2013-04-21,38.00
2013-04-22,42.00
2013-04-23,38.00
2013-04-25,38.00
2013-04-26,38.00
2013-04-28,38.00
2013-04-29,43.00
2013-04-30,33.00
2013-05-02,33.00
2013-05-03,38.00
2013-05-05,33.00
2013-05-06,33.00
2013-05-07,33.00
2013-05-08,29.00
2013-05-09,29.00
2013-05-10,33.00
2013-05-12,33.00
2013-05-13,33.00
2013-05-14,33.00
2013-05-15,33.00
2013-05-16,33.00
2013-05-17,33.00
2013-05-19,33.00
2013-05-20,33.00
2013-05-21,23.00
2013-05-22,22.00
2013-05-23,21.00
2013-05-24,23.00
2013-05-26,29.00
2013-05-27,23.00
2013-05-28,28.00
2013-05-30,33.00
2013-05-31,48.00
2013-06-02,53.00
2013-06-03,48.00
2013-06-04,48.00
2013-06-05,53.00
2013-06-06,43.00
2013-06-09,38.00
2013-06-10,38.00
2013-06-11,43.00
2013-06-12,48.00
2013-06-13,38.00
2013-06-14,38.00
2013-06-16,43.00
2013-06-17,38.00
2013-06-18,38.00
2013-06-19,38.00
2013-06-20,38.00
2013-06-21,38.00
2013-06-25,38.00
2013-06-26,38.00
2013-06-27,38.00
2013-06-28,38.00
2013-06-30,38.00
2013-07-01,38.00
2013-07-02,38.00
2013-07-03,33.00
2013-07-04,38.00
2013-07-05,33.00
2013-07-09,38.00
2013-07-10,33.00
2013-07-11,33.00
2013-07-12,33.00
2013-07-14,33.00
2013-07-15,33.00
2013-07-16,28.00
2013-07-17,28.00
2013-07-18,28.00
2013-07-19,28.00
2013-07-21,33.00
2013-07-22,33.00
2013-07-23,33.00
2013-07-24,33.00
2013-07-25,28.00
2013-07-26,28.00
2013-07-28,28.00
2013-07-29,28.00
2013-07-30,28.00
2013-07-31,28.00
2013-08-01,33.00
2013-08-02,28.00
2013-08-04,28.00
2013-08-05,28.00
2013-08-06,33.00
2013-08-07,43.00
2013-08-08,43.00
2013-08-12,65.00
2013-08-13,38.00
2013-08-14,43.00
2013-08-15,48.00
2013-08-16,48.00
2013-08-18,48.00
2013-08-19,48.00
2013-08-20,48.00
2013-08-23,68.00
2013-08-25,53.00
2013-08-26,48.00
2013-08-27,48.00
2013-08-29,48.00
2013-08-30,48.00
2013-09-01,48.00
2013-09-02,48.00
2013-09-03,48.00
2013-09-04,48.00
2013-09-05,43.00
2013-09-06,53.00
2013-09-08,43.00
2013-09-09,48.00
2013-09-10,43.00
2013-09-11,48.00
2013-09-12,48.00
2013-09-13,43.00
2013-09-15,43.00
2013-09-16,43.00
2013-09-17,43.00
2013-09-19,43.00
2013-09-20,43.00
2013-09-22,43.00
2013-09-23,38.00
2013-09-24,43.00
2013-09-25,38.00
2013-09-26,38.00
2013-09-27,43.00
2013-09-29,43.00
2013-09-30,43.00
2013-10-01,43.00
2013-10-02,43.00
2013-10-03,43.00
2013-10-04,43.00
2013-10-06,43.00
2013-10-07,28.00
2013-10-08,23.00
2013-10-09,23.00
2013-10-10,23.00
2013-10-11,23.00
2013-10-12,28.00
2013-10-13,33.00
2013-10-15,28.00
2013-10-17,28.00
2013-10-20,28.00
2013-10-21,28.00
2013-10-22,23.00
2013-10-23,23.00
2013-10-24,28.00
2013-10-25,28.00
2013-10-27,28.00
2013-10-28,43.00
2013-10-29,43.00
2013-10-30,43.00
2013-10-31,43.00
