date,avg
2013-04-15,63.00
2013-04-18,45.00
2013-04-21,45.00
2013-04-22,45.00
2013-04-23,45.00
2013-04-25,55.00
2013-04-26,55.00
2013-04-28,55.00
2013-04-29,45.00
2013-04-30,45.00
2013-05-02,45.00
2013-05-03,45.00
2013-05-05,45.00
2013-05-06,55.00
2013-05-07,55.00
2013-05-08,55.00
2013-05-09,55.00
2013-05-10,45.00
2013-05-12,45.00
2013-05-13,55.00
2013-05-14,45.00
2013-05-15,45.00
2013-05-16,55.00
2013-05-17,45.00
2013-05-19,55.00
2013-05-20,55.00
2013-05-21,55.00
2013-05-22,55.00
2013-05-23,45.00
2013-05-24,55.00
2013-05-26,55.00
2013-05-27,55.00
2013-05-28,55.00
2013-05-30,55.00
2013-05-31,55.00
2013-06-02,45.00
2013-06-03,45.00
2013-06-04,55.00
2013-06-05,55.00
2013-06-06,55.00
2013-06-09,45.00
2013-06-10,45.00
2013-06-11,55.00
2013-06-12,55.00
2013-06-13,55.00
2013-06-14,55.00
2013-06-16,55.00
2013-06-17,55.00
2013-06-18,55.00
2013-06-19,45.00
2013-06-20,55.00
2013-06-21,55.00
2013-06-25,57.00
2013-06-26,45.00
2013-06-27,55.00
2013-06-28,55.00
2013-06-30,55.00
2013-07-01,55.00
2013-07-02,55.00
2013-07-03,55.00
2013-07-04,55.00
2013-07-05,55.00
2013-07-09,55.00
2013-07-10,55.00
2013-07-11,55.00
2013-07-12,55.00
2013-07-14,55.00
2013-07-15,55.00
2013-07-16,55.00
2013-07-17,55.00
2013-07-18,55.00
2013-07-19,55.00
2013-07-21,55.00
2013-07-22,55.00
2013-07-23,55.00
2013-07-24,55.00
2013-07-25,55.00
2013-07-26,55.00
2013-07-28,45.00
2013-07-29,55.00
2013-07-30,55.00
2013-07-31,55.00
2013-08-01,55.00
2013-08-02,55.00
2013-08-04,55.00
2013-08-05,55.00
2013-08-06,55.00
2013-08-07,55.00
2013-08-08,55.00
2013-08-12,63.00
2013-08-13,55.00
2013-08-14,55.00
2013-08-15,55.00
2013-08-16,55.00
2013-08-18,55.00
2013-08-19,55.00
2013-08-20,55.00
2013-08-23,55.00
2013-08-25,55.00
2013-08-26,55.00
2013-08-27,55.00
2013-08-29,55.00
2013-08-30,55.00
2013-09-01,55.00
2013-09-02,55.00
2013-09-03,55.00
2013-09-04,55.00
2013-09-05,55.00
2013-09-06,55.00
2013-09-08,55.00
2013-09-09,55.00
2013-09-10,55.00
2013-09-11,55.00
2013-09-12,55.00
2013-09-13,55.00
2013-09-15,55.00
2013-09-16,55.00
2013-09-17,55.00
2013-09-19,65.00
2013-09-22,55.00
2013-09-23,55.00
2013-09-24,55.00
2013-09-25,55.00
2013-09-26,55.00
2013-09-27,55.00
2013-09-29,65.00
2013-09-30,65.00
2013-10-01,65.00
2013-10-02,65.00
2013-10-03,45.00
2013-10-04,65.00
2013-10-06,65.00
2013-10-07,55.00
2013-10-08,75.00
2014-03-25,55.00
2014-03-26,55.00
2014-03-27,55.00
2014-03-28,55.00
2014-03-31,63.00
2014-04-01,65.00
2014-04-02,83.00
2014-04-03,75.00
2014-04-04,85.00
2014-04-06,75.00
2014-04-07,78.00
2014-04-09,55.00
2014-04-10,55.00
2014-04-11,55.00
2014-04-13,55.00
2014-04-15,55.00
2014-04-16,55.00
2014-04-17,55.00
2014-04-18,55.00
2014-04-20,55.00
2014-04-21,55.00
2014-04-22,55.00
2014-04-23,45.00
2014-04-25,55.00
2014-04-27,55.00
2014-04-28,55.00
2014-04-29,55.00
2014-04-30,65.00
2014-05-02,65.00
2014-05-04,57.00
2014-05-05,67.00
2014-05-06,57.00
2014-05-07,67.00
2014-05-08,57.00
2014-05-09,65.00
2014-05-11,65.00
2014-05-12,65.00
2014-05-13,55.00
2014-05-15,63.00
2014-05-16,67.00
2014-05-18,65.00
2014-05-19,55.00
2014-05-20,55.00
2014-05-21,55.00
2014-05-22,57.00
2014-05-23,55.00
2014-05-25,53.00
2014-05-26,53.00
2014-05-27,53.00
2014-05-28,55.00
2014-05-30,55.00
2014-06-01,55.00
2014-06-02,55.00
2014-06-03,55.00
2014-06-04,53.00
2014-06-05,55.00
2014-06-06,53.00
2014-06-08,67.00
2014-06-09,65.00
2014-06-10,65.00
2014-06-11,65.00
2014-06-12,65.00
2014-06-13,58.00
2014-06-15,65.00
2014-06-16,53.00
2014-06-17,55.00
2014-06-18,55.00
2014-06-19,48.00
2014-06-20,55.00
2014-06-23,55.00
2014-06-24,55.00
2014-06-25,55.00
2014-06-26,55.00
2014-06-27,55.00
2014-06-29,65.00
2014-06-30,65.00
2014-07-01,55.00
2014-07-02,55.00
2014-07-03,55.00
2014-07-04,55.00
2014-07-05,55.00
2014-07-06,55.00
2014-07-07,55.00
2014-07-09,55.00
2014-07-10,57.00
2014-07-11,55.00
2014-07-14,55.00
2014-07-15,55.00
2014-07-16,55.00
2014-07-17,55.00
2014-07-18,55.00
2014-07-19,55.00
2014-07-20,53.00
2014-07-21,55.00
2014-07-22,58.00
2014-07-23,55.00
2014-07-24,55.00
2014-07-25,55.00
2014-07-26,55.00
2014-07-27,55.00
2014-07-28,55.00
2014-07-29,55.00
2014-07-30,55.00
2014-07-31,55.00
2014-08-01,55.00
2014-08-02,55.00
2014-08-03,55.00
2014-08-04,53.00
2014-08-05,55.00
2014-08-06,55.00
2014-08-07,55.00
2014-08-08,55.00
2014-08-09,55.00
2014-08-10,55.00
2014-08-11,55.00
2014-08-12,55.00
2014-08-13,55.00
2014-08-14,55.00
2014-08-15,65.00
2014-08-16,65.00
2014-08-17,65.00
2014-08-18,55.00
2014-08-19,55.00
2014-08-20,48.00
2014-08-21,65.00
2014-08-22,55.00
2014-08-23,55.00
2014-08-24,55.00
2014-08-25,65.00
2014-08-26,65.00
2014-08-27,65.00
2014-08-28,85.00
2014-08-29,75.00
2014-08-31,28.00
2014-09-01,55.00
2014-09-02,65.00
2014-09-03,55.00
2014-09-04,55.00
2014-09-05,55.00
2014-09-06,55.00
2014-09-07,55.00
2014-09-08,55.00
2014-09-09,55.00
2014-09-10,55.00
2014-09-11,55.00
2014-09-12,55.00
2014-09-13,55.00
2014-09-14,35.00
2014-09-15,65.00
2014-09-16,55.00
2014-09-17,55.00
2014-09-18,55.00
2014-09-19,65.00
2014-09-20,55.00
2014-09-21,65.00
2014-09-22,55.00
2014-09-23,55.00
2014-09-24,55.00
2014-09-26,55.00
2014-09-28,55.00
2014-09-29,55.00
2014-09-30,55.00
2014-10-08,55.00
2014-10-09,55.00
2014-10-10,55.00
2014-10-12,55.00
2014-10-13,55.00
2014-10-14,55.00
2014-10-19,55.00
2014-10-20,35.00
2014-10-21,33.00
2014-10-22,33.00
2014-10-23,33.00
2014-10-24,31.00
2014-11-01,55.00
2014-11-02,65.00
2014-11-03,47.00
2014-11-05,55.00
2014-11-10,55.00
2014-11-11,57.00
2014-11-12,57.00
2014-11-13,55.00
2014-11-28,95.00
2015-04-04,48.00
2015-04-05,48.00
2015-04-06,48.00
2015-04-13,53.00
