date,avg
2019-12-09,139.00
2019-12-10,135.00
2019-12-11,140.00
2019-12-12,140.00
2019-12-13,140.00
2019-12-14,140.00
2019-12-16,133.00
2019-12-17,140.00
2019-12-18,158.00
2019-12-19,160.00
2019-12-20,162.00
2019-12-21,155.00
2019-12-22,160.00
2019-12-23,145.00
2019-12-24,145.00
2019-12-25,145.00
2019-12-26,125.00
2019-12-27,125.00
2019-12-28,122.00
2019-12-29,115.00
2019-12-30,115.00
2019-12-31,115.00
2020-01-01,112.00
2020-01-02,115.00
2020-01-03,115.00
2020-01-04,115.00
2020-01-05,105.00
2020-01-06,98.00
2020-01-07,98.00
2020-01-08,98.00
2020-01-09,85.00
2020-01-10,76.00
2020-01-11,72.00
2020-01-12,72.00
2020-01-13,72.00
2020-01-14,68.00
2020-01-15,62.00
2020-01-16,68.00
2020-01-17,58.00
2020-01-18,63.00
2020-01-19,62.00
2020-01-20,62.00
2020-01-21,62.00
2020-01-22,65.00
2020-01-23,65.00
2020-01-24,62.00
2020-01-25,62.00
2020-01-26,62.00
2020-10-28,129.00
2020-10-29,129.00
2020-10-30,119.00
2020-11-02,78.00
2020-11-03,73.00
2020-11-04,73.00
2020-11-05,68.00
2020-11-06,68.00
2020-11-07,68.00
2020-11-08,115.00
2020-11-09,104.00
2020-11-10,103.00
2020-11-11,102.00
2020-11-12,98.00
2020-11-13,95.00
2020-11-14,93.00
2020-11-15,93.00
2020-11-16,85.00
2020-11-17,63.00
2020-11-18,85.00
2020-11-19,78.00
2020-11-20,78.00
2020-11-21,78.00
2020-11-23,75.00
2020-11-24,72.00
2020-11-25,73.00
2020-11-26,73.00
2020-11-27,73.00
2020-11-28,73.00
2020-11-29,72.00
2020-11-30,73.00
2020-12-01,65.00
2020-12-08,63.00
2020-12-09,63.00
2020-12-10,63.00
2020-12-11,63.00
2020-12-12,63.00
2020-12-13,63.00
2020-12-14,63.00
2020-12-15,63.00
2020-12-16,63.00
2020-12-17,65.00
2020-12-18,65.00
2020-12-19,65.00
2020-12-20,65.00
2020-12-21,58.00
2020-12-22,60.00
2020-12-23,62.50
2020-12-24,57.50
2020-12-25,57.50
2020-12-26,57.50
2020-12-27,55.00
2020-12-28,52.50
2020-12-29,57.50
2020-12-30,47.50
2020-12-31,57.50
2021-01-01,47.50
2021-01-02,47.50
2021-01-03,47.67
2021-01-04,48.00
2022-07-24,37.67
2023-09-20,62.50
2023-09-21,60.00
2023-09-22,57.50
2023-12-23,95.00
2023-12-24,95.00
2023-12-25,85.00
2023-12-26,85.00
2023-12-27,85.00
2023-12-28,85.00
2023-12-29,82.50
2023-12-30,82.50
2023-12-31,82.33
2024-01-01,67.50
2024-01-02,62.50
2024-01-03,65.00
2024-01-04,62.50
2024-01-05,63.33
2024-01-06,62.50
2024-01-07,62.67
2024-01-08,62.50
2024-01-09,62.50
2024-01-10,62.50
2024-01-11,62.50
2024-01-12,62.33
2024-01-13,62.50
2024-01-14,62.33
2024-01-15,62.50
2024-01-16,62.50
2024-01-17,62.50
2024-01-18,62.50
2024-01-19,62.50
2024-01-20,62.50
2024-01-21,62.33
2024-08-28,117.50
2024-08-30,122.50
2019-12-09,139.00
2019-12-10,135.00
2019-12-11,140.00
2019-12-12,140.00
2019-12-13,140.00
2019-12-14,140.00
2019-12-16,133.00
2019-12-17,140.00
2019-12-18,158.00
2019-12-19,160.00
2019-12-20,162.00
2019-12-21,155.00
2019-12-22,160.00
2019-12-23,145.00
2019-12-24,145.00
2019-12-25,145.00
2019-12-26,125.00
2019-12-27,125.00
2019-12-28,122.00
2019-12-29,115.00
2019-12-30,115.00
2019-12-31,115.00
2020-01-01,112.00
2020-01-02,115.00
2020-01-03,115.00
2020-01-04,115.00
2020-01-05,105.00
2020-01-06,98.00
2020-01-07,98.00
2020-01-08,98.00
2020-01-09,85.00
2020-01-10,76.00
2020-01-11,72.00
2020-01-12,72.00
2020-01-13,72.00
2020-01-14,68.00
2020-01-15,62.00
2020-01-16,68.00
2020-01-17,58.00
2020-01-18,63.00
2020-01-19,62.00
2020-01-20,62.00
2020-01-21,62.00
2020-01-22,65.00
2020-01-23,65.00
2020-01-24,62.00
2020-01-25,62.00
2020-01-26,62.00
2020-10-28,129.00
2020-10-29,129.00
2020-10-30,119.00
2020-11-02,78.00
2020-11-03,73.00
2020-11-04,73.00
2020-11-05,68.00
2020-11-06,68.00
2020-11-07,68.00
2020-11-08,115.00
2020-11-09,104.00
2020-11-10,103.00
2020-11-11,102.00
2020-11-12,98.00
2020-11-13,95.00
2020-11-14,93.00
2020-11-15,93.00
2020-11-16,85.00
2020-11-17,63.00
2020-11-18,85.00
2020-11-19,78.00
2020-11-20,78.00
2020-11-21,78.00
2020-11-23,75.00
2020-11-24,72.00
2020-11-25,73.00
2020-11-26,73.00
2020-11-27,73.00
2020-11-28,73.00
2020-11-29,72.00
2020-11-30,73.00
2020-12-01,65.00
2020-12-08,63.00
2020-12-09,63.00
2020-12-10,63.00
2020-12-11,63.00
2020-12-12,63.00
2020-12-13,63.00
2020-12-14,63.00
2020-12-15,63.00
2020-12-16,63.00
2020-12-17,65.00
2020-12-18,65.00
2020-12-19,65.00
2020-12-20,65.00
2020-12-21,58.00
2020-12-22,60.00
2020-12-23,62.50
2020-12-24,57.50
2020-12-25,57.50
2020-12-26,57.50
2020-12-27,55.00
2020-12-28,52.50
2020-12-29,57.50
2020-12-30,47.50
2020-12-31,57.50
2021-01-01,47.50
2021-01-02,47.50
2021-01-03,47.67
2021-01-04,48.00
2022-07-24,37.67
2023-09-20,62.50
2023-09-21,60.00
2023-09-22,57.50
2023-12-23,95.00
2023-12-24,95.00
2023-12-25,85.00
2023-12-26,85.00
2023-12-27,85.00
2023-12-28,85.00
2023-12-29,82.50
2023-12-30,82.50
2023-12-31,82.33
2024-01-01,67.50
2024-01-02,62.50
2024-01-03,65.00
2024-01-04,62.50
2024-01-05,63.33
2024-01-06,62.50
2024-01-07,62.67
2024-01-08,62.50
2024-01-09,62.50
2024-01-10,62.50
2024-01-11,62.50
2024-01-12,62.33
2024-01-13,62.50
2024-01-14,62.33
2024-01-15,62.50
2024-01-16,62.50
2024-01-17,62.50
2024-01-18,62.50
2024-01-19,62.50
2024-01-20,62.50
2024-01-21,62.33
2024-08-28,117.50
2024-08-30,122.50
