date,avg
2013-04-15,28.00
2013-04-16,23.00
2013-04-17,20.00
2013-04-18,19.00
2013-04-21,19.00
2013-04-22,19.00
2013-04-23,38.00
2013-04-25,19.00
2013-04-26,19.00
2013-04-28,19.00
2013-04-29,19.00
2013-04-30,19.00
2013-05-02,19.00
2013-05-03,19.00
2013-05-05,18.00
2013-05-06,18.00
2013-05-07,19.00
2013-05-08,19.00
2013-05-09,17.00
2013-05-10,19.00
2013-05-12,28.00
2013-05-13,29.00
2013-05-14,28.00
2013-05-15,28.00
2013-05-16,28.00
2013-05-17,28.00
2013-05-19,23.00
2013-05-20,26.00
2013-05-21,23.00
2013-05-22,28.00
2013-05-23,27.00
2013-05-24,28.00
2013-05-26,28.00
2013-05-27,28.00
2013-05-28,23.00
2013-05-30,28.00
2013-05-31,38.00
2013-06-02,43.00
2013-06-03,38.00
2013-06-04,28.00
2013-06-05,38.00
2013-06-06,38.00
2013-06-09,48.00
2013-06-10,43.00
2013-06-11,38.00
2013-06-12,48.00
2013-06-13,38.00
2013-06-14,48.00
2013-06-16,43.00
2013-06-17,43.00
2013-06-18,38.00
2013-06-19,43.00
2013-06-20,38.00
2013-06-21,38.00
2013-06-25,43.00
2013-06-26,38.00
2013-06-27,43.00
2013-06-28,38.00
2013-06-30,38.00
2013-07-01,38.00
2013-07-02,38.00
2013-07-03,38.00
2013-07-04,38.00
2013-07-05,38.00
2013-07-09,38.00
2013-07-10,33.00
2013-07-11,38.00
2013-07-12,43.00
2013-07-14,43.00
2013-07-15,38.00
2013-07-16,38.00
2013-07-17,33.00
2013-07-18,33.00
2013-07-19,38.00
2013-07-21,38.00
2013-07-22,38.00
2013-07-23,38.00
2013-07-24,38.00
2013-07-25,38.00
2013-07-26,33.00
2013-07-28,33.00
2013-07-29,33.00
2013-07-30,33.00
2013-07-31,33.00
2013-08-01,33.00
2013-08-02,33.00
2013-08-04,33.00
2013-08-05,33.00
2013-08-06,43.00
2013-08-07,48.00
2013-08-08,48.00
2013-08-12,71.00
2013-08-13,48.00
2013-08-14,53.00
2013-08-15,58.00
2013-08-16,58.00
2013-08-18,58.00
2013-08-19,58.00
2013-08-20,58.00
2013-08-23,68.00
2013-08-25,63.00
2013-08-26,63.00
2013-08-27,58.00
2013-08-29,58.00
2013-08-30,63.00
2013-09-01,58.00
2013-09-02,58.00
2013-09-03,53.00
2013-09-04,53.00
2013-09-05,48.00
2013-09-06,53.00
2013-09-08,48.00
2013-09-09,53.00
2013-09-10,48.00
2013-09-11,53.00
2013-09-12,53.00
2013-09-13,43.00
2013-09-15,48.00
2013-09-16,48.00
2013-09-17,48.00
2013-09-19,48.00
2013-09-20,48.00
2013-09-22,48.00
2013-09-23,58.00
2013-09-24,53.00
2013-09-25,43.00
2013-09-26,63.00
2013-09-27,78.00
2013-09-29,48.00
2013-09-30,63.00
2013-10-01,78.00
2013-10-02,68.00
2013-10-03,65.00
2013-10-04,58.00
2013-10-06,68.00
2013-10-07,38.00
2013-10-08,58.00
2013-10-09,75.00
2013-10-10,78.00
2013-10-11,78.00
2013-10-12,78.00
2013-10-16,85.00
2013-10-17,38.00
2013-10-20,65.00
2013-10-21,78.00
2013-10-22,65.00
2013-10-23,75.00
2013-10-24,65.00
2013-10-25,73.00
2013-10-27,75.00
2013-10-28,95.00
2013-10-29,85.00
2013-10-30,75.00
2013-10-31,85.00
2013-11-01,85.00
2013-11-03,85.00
2013-11-04,87.00
2013-11-05,85.00
2013-11-07,85.00
2013-11-10,85.00
2013-11-11,75.00
2013-11-12,95.00
2013-11-13,115.00
2013-11-14,105.00
2013-11-15,110.00
2013-11-16,115.00
2013-11-17,115.00
2013-11-18,115.00
2013-11-20,125.00
2013-11-21,85.00
2013-11-22,85.00
2013-11-24,85.00
2013-11-25,78.00
2013-11-26,85.00
2013-11-27,85.00
2013-11-28,85.00
2013-11-29,87.00
2013-12-01,85.00
2013-12-02,85.00
2013-12-03,85.00
2013-12-04,78.00
2013-12-05,85.00
2013-12-06,85.00
2013-12-08,67.00
2013-12-09,58.00
2013-12-10,58.00
2013-12-11,58.00
2013-12-12,63.00
2013-12-13,58.00
2013-12-15,65.00
2013-12-16,65.00
2013-12-18,67.00
2013-12-19,58.00
2013-12-20,58.00
2013-12-22,55.00
2013-12-23,58.00
2013-12-24,53.00
2013-12-26,58.00
2013-12-27,58.00
2013-12-29,58.00
2013-12-31,58.00
2014-01-01,58.00
2014-01-02,58.00
2014-01-03,65.00
2014-01-05,58.00
2014-01-06,58.00
2014-01-07,58.00
2014-01-08,58.00
2014-01-09,58.00
2014-01-10,55.00
2014-01-12,65.00
2014-01-13,58.00
2014-01-14,58.00
2014-01-16,58.00
2014-01-17,58.00
2014-01-19,65.00
2014-01-20,65.00
2014-01-21,63.00
2014-01-22,58.00
2014-01-23,55.00
2014-01-24,53.00
2014-01-26,38.00
2014-01-27,73.00
2014-01-28,58.00
2014-01-29,58.00
2014-02-02,53.00
2014-02-03,53.00
2014-02-04,48.00
2014-02-05,53.00
2014-02-06,47.00
2014-02-07,48.00
2014-02-09,48.00
2014-02-10,48.00
2014-02-11,53.00
2014-02-12,63.00
2014-02-13,48.00
2014-02-14,53.00
2014-02-16,53.00
2014-02-17,53.00
2014-02-18,53.00
2014-02-20,53.00
2014-02-21,53.00
2014-02-23,58.00
2014-02-24,53.00
2014-02-25,48.00
2014-02-26,53.00
2014-02-28,48.00
2014-03-03,53.00
2014-03-05,53.00
2014-03-06,53.00
2014-03-07,52.00
2014-03-09,53.00
2014-03-10,53.00
2014-03-11,48.00
2014-03-12,48.00
2014-03-13,48.00
2014-03-14,53.00
2014-03-17,43.00
2014-03-18,43.00
2014-03-19,43.00
2014-03-20,38.00
2014-03-21,43.00
2014-03-23,38.00
2014-03-24,38.00
2014-03-25,42.00
2014-03-26,43.00
2014-03-27,45.00
2014-03-28,43.00
2014-03-31,52.00
2014-04-01,29.00
2014-04-02,38.00
2014-04-03,38.00
2014-04-04,48.00
2014-04-06,53.00
2014-04-07,53.00
2014-04-09,33.00
2014-04-10,21.00
2014-04-11,21.00
2014-04-13,23.00
2014-04-15,21.00
2014-04-16,22.00
2014-04-17,23.00
2014-04-18,29.00
2014-04-20,23.00
2014-04-21,23.00
2014-04-22,28.00
2014-04-23,28.00
2014-04-25,28.00
2014-04-27,23.00
2014-04-28,23.00
2014-04-29,28.00
2014-04-30,28.00
2014-05-02,28.00
2014-05-04,47.00
2014-05-05,43.00
2014-05-06,43.00
2014-05-07,43.00
2014-05-08,58.00
2014-05-09,33.00
2014-05-11,37.00
2014-05-12,37.00
2014-05-13,38.00
2014-05-15,38.00
2014-05-16,38.00
2014-05-18,45.00
2014-05-19,48.00
2014-05-20,47.00
2014-05-21,45.00
2014-05-22,43.00
2014-05-23,48.00
2014-05-25,43.00
2014-05-26,48.00
2014-05-27,43.00
2014-05-28,43.00
2014-05-30,48.00
2014-06-01,46.00
2014-06-02,38.00
2014-06-03,43.00
2014-06-04,48.00
2014-06-05,47.00
2014-06-06,48.00
2014-06-08,48.00
2014-06-09,48.00
2014-06-10,48.00
2014-06-11,35.00
2014-06-12,38.00
2014-06-13,43.00
2014-06-15,33.00
2014-06-16,33.00
2014-06-17,48.00
2014-06-18,48.00
2014-06-19,47.00
2014-06-20,58.00
2014-06-23,48.00
2014-06-24,47.00
2014-06-25,48.00
2014-06-26,48.00
2014-06-27,48.00
2014-06-29,48.00
2014-06-30,48.00
2014-07-01,48.00
2014-07-02,48.00
2014-07-03,48.00
2014-07-04,48.00
2014-07-05,48.00
2014-07-06,48.00
2014-07-07,48.00
2014-07-08,48.00
2014-07-09,45.00
2014-07-10,45.00
2014-07-11,45.00
2014-07-12,45.00
2014-07-13,45.00
2014-07-14,48.00
2014-07-15,38.00
2014-07-16,48.00
2014-07-17,48.00
2014-07-18,38.00
2014-07-19,43.00
2014-07-20,43.00
2014-07-21,48.00
2014-07-22,43.00
2014-07-23,48.00
2014-07-24,43.00
2014-07-25,43.00
2014-07-26,45.00
2014-07-27,45.00
2014-07-28,53.00
2014-07-29,53.00
2014-07-30,43.00
2014-07-31,58.00
2014-08-01,48.00
2014-08-02,48.00
2014-08-04,48.00
2014-08-05,48.00
2014-08-06,48.00
2014-08-07,48.00
2014-08-08,48.00
2014-08-09,48.00
2014-08-10,48.00
2014-08-11,58.00
2014-08-12,48.00
2014-08-13,48.00
2014-08-14,48.00
2014-08-15,58.00
2014-08-16,58.00
2014-08-17,58.00
2014-08-18,48.00
2014-08-19,58.00
2014-08-20,58.00
2014-08-21,58.00
2014-08-22,58.00
2014-08-23,58.00
2014-08-24,58.00
2014-08-25,58.00
2014-08-26,58.00
2014-08-27,53.00
2014-08-28,58.00
2014-08-29,58.00
2014-08-31,58.00
2014-09-01,58.00
2014-09-02,58.00
2014-09-03,58.00
2014-09-04,48.00
2014-09-05,58.00
2014-09-06,58.00
2014-09-07,65.00
2014-09-08,58.00
2014-09-09,58.00
2014-09-10,58.00
2014-09-11,58.00
2014-09-12,58.00
2014-09-13,58.00
2014-09-14,58.00
2014-09-15,58.00
2014-09-16,58.00
2014-09-17,58.00
2014-09-18,58.00
2014-09-19,58.00
2014-09-20,58.00
2014-09-21,58.00
2014-09-22,58.00
2014-09-23,58.00
2014-09-24,58.00
2014-09-26,87.00
2014-09-28,87.00
2014-09-29,67.00
2014-09-30,63.00
2014-10-08,63.00
2014-10-09,67.00
2014-10-10,63.00
2014-10-12,67.00
2014-10-13,67.00
2014-10-14,67.00
2014-10-16,67.00
2014-10-17,58.00
2014-10-19,65.00
2014-10-20,65.00
2014-10-21,63.00
2014-10-22,63.00
2014-10-23,63.00
2014-10-24,63.00
2014-10-25,63.00
2014-10-29,43.00
2014-10-30,58.00
2014-10-31,43.00
2014-11-01,43.00
2014-11-02,43.00
2014-11-03,58.00
2014-11-04,67.00
2014-11-05,63.00
2014-11-06,63.00
2014-11-07,58.00
2014-11-08,67.00
2014-11-09,67.00
2014-11-10,53.00
2014-11-11,48.00
2014-11-12,58.00
2014-11-13,48.00
2014-11-14,53.00
2014-11-15,53.00
2014-11-16,53.00
2014-11-17,48.00
2014-11-18,48.00
2014-11-19,53.00
2014-11-20,53.00
2014-11-21,58.00
2014-11-22,53.00
2014-11-23,39.00
2014-11-24,58.00
2014-11-25,42.00
2014-11-26,43.00
2014-11-27,43.00
2014-11-28,48.00
2014-11-29,58.00
2014-11-30,43.00
2014-12-01,45.00
2014-12-02,48.00
2014-12-03,43.00
2014-12-04,43.00
2014-12-05,43.00
2014-12-06,43.00
2014-12-07,43.00
2014-12-08,63.00
2014-12-09,75.00
2014-12-10,73.00
2014-12-11,48.00
2014-12-12,48.00
2014-12-13,48.00
2014-12-14,49.00
2014-12-15,47.00
2014-12-16,43.00
2014-12-17,48.00
2014-12-18,45.00
2014-12-19,48.00
2014-12-21,48.00
2014-12-22,53.00
2014-12-23,48.00
2014-12-24,53.00
2014-12-25,48.00
2014-12-26,48.00
2014-12-27,48.00
2014-12-28,48.00
2014-12-29,48.00
2014-12-30,48.00
2014-12-31,48.00
2015-01-01,53.00
2015-01-02,53.00
2015-01-03,48.00
2015-01-04,53.00
2015-01-05,48.00
2015-01-06,43.00
2015-01-07,43.00
2015-01-08,48.00
2015-01-09,48.00
2015-01-11,43.00
2015-01-12,67.00
2015-01-13,67.00
2015-01-14,67.00
2015-01-15,67.00
2015-01-16,77.00
2015-01-17,77.00
2015-01-18,77.00
2015-01-19,77.00
2015-01-20,58.00
2015-01-21,67.00
2015-01-22,58.00
2015-01-23,58.00
2015-01-25,48.00
2015-01-26,58.00
2015-01-27,59.00
2015-01-28,48.00
2015-01-29,48.00
