date,avg
2013-04-15,85.00
2013-04-16,75.00
2013-04-17,73.00
2013-04-18,85.00
2013-04-21,85.00
2013-04-22,85.00
2013-04-23,95.00
2013-04-25,95.00
2013-04-26,95.00
2013-04-28,95.00
2013-04-29,95.00
2013-04-30,93.00
2013-05-02,95.00
2013-05-03,93.00
2013-05-05,93.00
2013-05-06,93.00
2013-05-07,93.00
2013-05-08,95.00
2013-05-09,105.00
2013-05-10,105.00
2013-05-12,97.00
2013-05-13,97.00
2013-05-14,97.00
2013-05-15,95.00
2013-05-16,95.00
2013-05-17,95.00
2013-05-19,95.00
2013-05-20,95.00
2013-05-21,95.00
2013-05-22,95.00
2013-05-23,95.00
2013-05-24,95.00
2013-05-26,95.00
2013-06-12,15.00
2013-09-24,78.00
2013-09-26,75.00
2013-09-27,85.00
2013-09-29,85.00
2013-10-02,75.00
2013-10-03,75.00
2013-10-04,65.00
2013-10-06,75.00
2013-10-07,75.00
2013-10-08,75.00
2013-10-09,75.00
2013-10-10,85.00
2013-10-11,85.00
2013-10-12,87.00
2013-10-13,85.00
2013-10-14,85.00
2013-10-15,95.00
2013-10-16,95.00
2013-10-17,95.00
2013-10-20,95.00
2013-10-21,95.00
2013-10-22,95.00
2013-10-23,75.00
2013-10-24,85.00
2013-10-25,75.00
2013-10-27,75.00
2013-10-28,75.00
2013-10-29,75.00
2013-10-30,75.00
2013-10-31,75.00
2013-11-01,75.00
2013-11-03,73.00
2013-11-04,77.00
2013-11-05,75.00
2013-11-06,75.00
2013-11-07,75.00
2013-11-10,75.00
2013-11-11,75.00
2013-11-12,75.00
2013-11-13,75.00
2013-11-14,85.00
2013-11-15,75.00
2013-11-16,75.00
2013-11-17,65.00
2013-11-18,65.00
2013-11-20,65.00
2013-11-21,65.00
2013-11-22,65.00
2013-11-24,65.00
2013-11-25,65.00
2013-11-26,75.00
2013-11-27,75.00
2013-11-28,75.00
2013-11-29,60.00
2013-12-01,65.00
2013-12-02,58.00
2013-12-03,55.00
2013-12-04,57.00
2013-12-05,65.00
2013-12-06,57.00
2013-12-08,57.00
2013-12-09,55.00
2013-12-10,53.00
2013-12-11,55.00
2013-12-12,55.00
2013-12-13,53.00
2013-12-15,48.00
2013-12-16,53.00
2013-12-18,48.00
2013-12-19,48.00
2013-12-20,48.00
2013-12-22,48.00
2013-12-23,48.00
2013-12-24,48.00
2013-12-26,48.00
2013-12-27,48.00
2013-12-29,48.00
2013-12-31,48.00
2014-01-01,48.00
2014-01-02,48.00
2014-01-03,48.00
2014-01-05,55.00
2014-01-06,57.00
2014-01-07,67.00
2014-01-08,58.00
2014-01-09,58.00
2014-01-10,65.00
2014-01-12,58.00
2014-01-13,58.00
2014-01-14,58.00
2014-01-16,68.00
2014-01-17,68.00
2014-01-19,72.00
2014-01-20,75.00
2014-01-21,83.00
2014-01-22,85.00
2014-01-23,75.00
2014-01-24,75.00
2014-01-26,85.00
2014-01-27,82.00
2014-01-28,85.00
2014-01-29,57.00
2014-02-02,65.00
2014-02-03,67.00
2014-02-04,65.00
2014-02-05,65.00
2014-02-06,65.00
2014-02-07,65.00
2014-02-08,85.00
2014-02-09,55.00
2014-02-10,66.00
2014-02-11,55.00
2014-02-12,55.00
2014-02-13,55.00
2014-02-14,57.00
2014-02-16,65.00
2014-02-17,65.00
2014-02-18,75.00
2014-02-20,65.00
2014-02-21,57.00
2014-02-23,65.00
2014-02-24,67.00
2014-02-25,65.00
2014-02-26,65.00
2014-02-28,75.00
2014-03-03,68.00
2014-03-05,72.00
2014-03-06,65.00
2014-03-07,65.00
2014-03-09,65.00
2014-03-10,75.00
2014-03-11,75.00
2014-03-12,75.00
2014-03-13,65.00
2014-03-14,65.00
2014-03-17,65.00
2014-03-18,75.00
2014-03-19,78.00
2014-03-20,78.00
2014-03-21,70.00
2014-03-23,65.00
2014-03-24,90.00
2014-03-25,93.00
2014-03-26,93.00
2014-03-27,95.00
2014-03-28,93.00
2014-03-31,95.00
2014-04-01,95.00
2014-04-02,100.00
2014-04-03,95.00
2014-04-04,105.00
2014-04-06,98.00
2014-04-07,98.00
2014-04-09,105.00
2014-04-10,105.00
2014-04-11,105.00
2014-04-13,105.00
2014-04-15,105.00
2014-04-16,123.00
2014-04-17,125.00
2014-04-18,125.00
2014-04-20,125.00
2014-04-21,125.00
2014-04-23,145.00
2014-04-25,145.00
2014-04-27,135.00
2014-04-28,205.00
2014-04-29,195.00
2014-04-30,195.00
2014-05-02,195.00
2014-09-07,63.00
2014-09-29,68.00
2014-09-30,75.00
2014-10-08,70.00
2014-10-09,63.00
2014-10-10,68.00
2014-10-12,65.00
2014-10-13,68.00
2014-10-14,68.00
2014-10-16,68.00
2014-10-17,68.00
2014-10-19,68.00
2014-10-20,68.00
2014-10-21,68.00
2014-10-22,68.00
2014-10-23,70.00
2014-10-24,55.00
2014-10-25,58.00
2014-10-26,48.00
2014-10-28,58.00
2014-10-29,55.00
2014-10-30,51.00
2014-10-31,49.00
2014-11-01,53.00
2014-11-02,53.00
2014-11-03,53.00
2014-11-04,50.00
2014-11-05,48.00
2014-11-06,55.00
2014-11-07,57.00
2014-11-08,42.00
2014-11-09,42.00
2014-11-10,53.00
2014-11-11,48.00
2014-11-12,54.00
2014-11-13,53.00
2014-11-14,53.00
2014-11-15,55.00
2014-11-16,47.00
2014-11-17,55.00
2014-11-18,58.00
2014-11-19,58.00
2014-11-20,58.00
2014-11-21,58.00
2014-11-22,58.00
2014-11-23,55.00
2014-11-24,63.00
2014-11-25,58.00
2014-11-26,58.00
2014-11-27,63.00
2014-11-28,58.00
2014-11-29,63.00
2014-11-30,63.00
2014-12-01,58.00
2014-12-02,58.00
2014-12-03,63.00
2014-12-04,58.00
2014-12-05,58.00
2014-12-06,58.00
2014-12-07,58.00
2014-12-08,55.00
2014-12-09,60.00
2014-12-10,63.00
2014-12-11,63.00
2014-12-12,58.00
2014-12-13,58.00
2014-12-14,58.00
2014-12-15,55.00
2014-12-16,58.00
2014-12-17,58.00
2014-12-18,48.00
2014-12-19,47.00
2014-12-21,73.00
2014-12-22,48.00
2014-12-23,48.00
2014-12-24,48.00
2014-12-25,48.00
2014-12-26,55.00
2014-12-27,54.00
2014-12-28,53.00
2014-12-29,55.00
2014-12-30,54.00
2014-12-31,57.00
2015-01-01,55.00
2015-01-02,53.00
2015-01-03,54.00
2015-01-04,54.00
2015-01-05,54.00
2015-01-06,56.00
2015-01-07,58.00
2015-01-08,65.00
2015-01-09,67.00
2015-01-11,67.00
2015-01-12,67.00
2015-01-13,67.00
2015-01-14,67.00
2015-01-15,67.00
2015-01-16,66.00
2015-01-17,58.00
2015-01-18,58.00
2015-01-19,67.00
2015-01-20,67.00
2015-01-21,65.00
2015-01-22,63.00
2015-01-23,63.00
2015-01-25,66.00
2015-01-26,65.00
2015-01-27,77.00
2015-01-28,67.00
2015-01-29,67.00
2015-01-31,65.00
2015-02-01,67.00
2015-02-02,67.00
2015-02-03,77.00
2015-02-04,67.00
2015-02-05,67.00
2015-02-06,65.00
2015-02-07,65.00
2015-02-08,67.00
2015-02-09,67.00
2015-02-10,67.00
2015-02-11,67.00
2015-02-12,65.00
2015-02-13,77.00
2015-02-14,55.00
2015-02-15,57.00
2015-02-16,57.00
2015-02-18,53.00
2015-02-19,55.00
2015-02-20,57.00
2015-02-22,65.00
2015-02-23,65.00
2015-02-24,77.00
2015-02-25,67.00
2015-02-26,60.00
2015-03-01,67.00
2015-03-02,65.00
2015-03-03,77.00
2015-03-06,77.00
2015-03-10,75.00
2015-03-11,77.00
2015-03-12,77.00
2015-03-13,75.00
2015-03-14,77.00
2015-03-16,67.00
2015-03-17,68.00
2015-03-18,68.00
2015-03-19,68.00
2015-03-20,67.00
2015-03-21,68.00
2015-03-22,68.00
2015-03-23,68.00
2015-03-24,68.00
2015-03-25,75.00
2015-03-27,63.00
2015-03-28,73.00
2015-03-29,73.00
2015-03-30,73.00
2015-03-31,63.00
2015-04-01,63.00
2015-04-02,63.00
2015-04-03,75.00
2015-04-04,75.00
2015-04-05,75.00
2015-04-06,75.00
2015-04-07,78.00
2015-04-08,78.00
2015-04-10,78.00
2015-04-12,63.00
2015-04-13,68.00
2015-04-14,83.00
2015-04-15,63.00
2015-04-16,68.00
2015-04-17,68.00
2015-04-18,67.00
2015-04-19,85.00
2015-04-20,85.00
2015-04-21,83.00
2015-04-22,73.00
2015-04-23,75.00
2015-04-24,75.00
2015-04-25,75.00
2015-04-26,85.00
2015-04-27,85.00
2015-04-28,95.00
2015-04-29,95.00
2015-04-30,77.00
2015-05-01,77.00
2015-05-02,85.00
2015-05-03,87.00
2015-05-04,95.00
2015-05-05,105.00
2015-05-06,107.00
2015-05-07,113.00
2015-05-08,107.00
2015-05-10,97.00
2015-05-11,107.00
2015-05-12,116.00
2015-05-13,105.00
2015-05-14,115.00
2015-05-15,115.00
2015-05-16,95.00
2015-05-17,105.00
2015-05-18,115.00
2015-05-19,105.00
2015-05-20,115.00
2015-05-21,115.00
2015-05-22,115.00
2015-05-23,115.00
2015-05-24,115.00
2015-09-11,85.00
2015-09-13,85.00
2015-09-14,85.00
2015-09-15,85.00
2015-09-16,85.00
2015-09-17,85.00
2015-09-18,85.00
2015-09-19,85.00
2015-09-20,85.00
2015-09-21,85.00
2015-09-22,75.00
2015-09-23,83.00
2015-09-24,83.00
2015-09-25,85.00
2015-09-26,85.00
2015-09-27,85.00
2015-09-28,85.00
2015-09-29,95.00
2015-09-30,95.00
2015-10-01,95.00
2015-10-02,105.00
2015-10-03,65.00
2015-10-04,105.00
2015-10-05,105.00
2015-10-06,105.00
2015-10-07,105.00
2015-10-16,85.00
2015-10-17,73.00
2015-10-18,75.00
2015-10-19,85.00
2015-10-20,75.00
2015-10-21,75.00
2015-10-22,85.00
2015-10-23,85.00
2015-10-24,85.00
2015-10-25,75.00
2015-10-26,75.00
2015-10-27,75.00
2015-10-28,75.00
2015-10-29,75.00
2015-10-30,75.00
2015-10-31,65.00
2015-11-01,75.00
2015-11-02,75.00
2015-11-03,75.00
2015-11-04,75.00
2015-11-05,75.00
2015-11-06,65.00
2015-11-07,73.00
2015-11-08,75.00
2015-11-09,75.00
2015-11-10,65.00
2015-11-11,65.00
2015-11-12,65.00
2015-11-13,65.00
2015-11-14,65.00
2015-11-15,73.00
2015-11-16,65.00
2015-11-17,75.00
2015-11-18,65.00
2015-11-19,65.00
2015-11-20,65.00
2015-11-21,57.00
2015-11-22,65.00
2015-11-23,65.00
2015-11-24,55.00
2015-11-25,55.00
2015-11-26,55.00
2015-11-27,55.00
2015-11-28,60.00
2015-11-29,55.00
2015-11-30,55.00
2015-12-01,55.00
2015-12-02,55.00
2015-12-03,65.00
2015-12-04,55.00
2015-12-05,55.00
2015-12-06,55.00
2015-12-07,55.00
2015-12-08,55.00
2015-12-09,55.00
2015-12-10,55.00
2015-12-11,55.00
2015-12-12,60.00
2015-12-13,65.00
2015-12-14,65.00
2015-12-15,65.00
2015-12-16,65.00
2015-12-17,65.00
2015-12-18,75.00
2015-12-19,65.00
2015-12-20,75.00
2015-12-21,65.00
2015-12-22,75.00
2015-12-23,65.00
2015-12-24,65.00
2015-12-25,60.00
2015-12-26,63.00
2015-12-27,65.00
2015-12-28,65.00
2015-12-29,65.00
2015-12-30,65.00
2015-12-31,75.00
2016-01-01,75.00
2016-01-02,68.00
2016-01-03,75.00
2016-01-04,65.00
2016-01-05,65.00
2016-01-06,75.00
2016-01-07,85.00
2016-01-08,95.00
2016-01-09,70.00
2016-01-10,85.00
2016-01-11,75.00
2016-01-12,75.00
2016-01-13,75.00
2016-01-14,75.00
2016-01-15,85.00
2016-01-16,72.00
2016-01-17,75.00
2016-01-18,75.00
2016-01-19,75.00
2016-01-20,65.00
2016-01-21,85.00
2016-01-22,75.00
2016-01-23,85.00
2016-01-24,85.00
2016-01-25,75.00
2016-01-26,85.00
2016-01-27,85.00
2016-01-28,75.00
2016-01-29,65.00
2016-01-30,65.00
2016-01-31,65.00
2016-02-01,75.00
2016-02-02,75.00
2016-02-03,65.00
2016-02-04,95.00
2016-02-05,95.00
2016-02-06,85.00
2016-02-07,95.00
2016-02-08,75.00
2016-02-09,75.00
2016-02-10,75.00
2016-02-11,85.00
2016-02-12,85.00
2016-02-13,85.00
2016-02-14,65.00
2016-02-15,75.00
2016-02-16,75.00
2016-02-17,75.00
2016-02-18,75.00
2016-02-19,75.00
2016-02-20,75.00
2016-02-21,75.00
2016-02-22,75.00
2016-02-23,75.00
2016-02-24,75.00
2016-02-25,75.00
2016-02-26,65.00
2016-02-27,65.00
2016-02-28,75.00
2016-02-29,75.00
2016-03-01,65.00
2016-03-02,65.00
2016-03-04,75.00
2016-03-05,75.00
2016-03-06,75.00
2016-03-07,71.00
2016-03-08,73.00
2016-03-09,75.00
2016-03-10,75.00
2016-03-11,75.00
2016-03-12,75.00
2016-03-13,75.00
2016-03-15,75.00
2016-03-16,85.00
2016-03-17,85.00
2016-03-18,85.00
2016-03-20,85.00
2016-03-21,85.00
2016-03-22,75.00
2016-03-23,85.00
2016-03-24,83.00
2016-03-25,85.00
2016-03-26,95.00
2016-03-27,95.00
2016-03-28,95.00
2016-03-29,95.00
2016-03-30,95.00
2016-03-31,105.00
2016-04-01,105.00
2016-04-02,105.00
2016-04-03,105.00
2016-04-04,105.00
2016-04-05,105.00
2016-04-06,105.00
2016-04-07,105.00
2016-04-08,105.00
2016-04-09,105.00
2016-04-10,115.00
2016-04-11,115.00
2016-04-12,125.00
2016-04-13,125.00
2016-04-14,125.00
2016-04-15,125.00
2016-04-16,125.00
2016-04-17,155.00
2016-04-18,135.00
2016-04-19,135.00
2016-04-20,145.00
2016-04-21,135.00
2016-04-22,145.00
2016-04-23,145.00
2016-04-24,155.00
2016-04-25,155.00
2016-04-26,155.00
2016-04-27,155.00
2016-04-28,155.00
2016-04-29,145.00
2016-04-30,145.00
2016-05-01,145.00
2016-05-02,145.00
2016-05-03,155.00
2016-05-04,145.00
2016-05-05,145.00
2016-05-06,145.00
2016-05-07,145.00
2016-05-08,155.00
2016-05-09,155.00
2016-05-10,155.00
2016-05-11,155.00
2016-05-12,155.00
2016-05-13,155.00
2016-05-14,155.00
2016-09-25,95.00
2016-09-26,95.00
2016-09-27,95.00
2016-09-28,95.00
2016-09-29,95.00
2016-09-30,95.00
2016-10-01,95.00
2016-10-02,95.00
2016-10-03,95.00
2016-10-04,95.00
2016-10-05,105.00
2016-10-06,105.00
2016-10-07,105.00
2016-10-08,105.00
2016-10-09,105.00
