date,avg
2019-06-04,75.00
2019-06-05,75.00
2019-06-06,75.00
2019-06-07,75.00
2019-06-08,75.00
2019-06-09,68.00
2019-06-10,75.00
2019-06-11,75.00
2019-06-12,85.00
2019-06-13,85.00
2019-06-14,85.00
2019-06-15,95.00
2019-06-16,95.00
2019-06-17,85.00
2019-06-18,85.00
2019-06-19,85.00
2019-06-20,85.00
2019-06-21,85.00
2019-06-22,85.00
2019-06-23,85.00
2019-06-24,75.00
2019-06-25,75.00
2019-06-26,75.00
2019-06-27,95.00
2019-06-28,95.00
2019-06-29,95.00
2019-06-30,95.00
2019-07-01,95.00
2019-07-02,95.00
2019-07-03,95.00
2019-07-04,75.00
2019-07-05,75.00
2019-07-06,95.00
2019-07-07,95.00
2019-07-08,95.00
2019-07-09,95.00
2019-07-10,95.00
2019-07-11,95.00
2019-07-12,95.00
2019-07-13,85.00
2019-07-14,85.00
2019-07-15,85.00
2019-07-16,85.00
2019-07-17,85.00
2019-07-18,85.00
2019-07-19,85.00
2019-07-20,85.00
2019-07-21,85.00
2019-07-22,95.00
2019-07-23,95.00
2019-07-24,95.00
2019-07-25,95.00
2019-07-26,95.00
2019-07-27,95.00
2019-07-28,95.00
2019-07-29,95.00
2019-07-30,95.00
2019-07-31,95.00
2019-08-01,95.00
2019-08-02,105.00
2019-08-03,95.00
2019-08-04,95.00
2019-08-05,95.00
2019-08-06,95.00
2019-08-07,95.00
2019-08-08,95.00
2019-08-09,95.00
2019-08-10,95.00
2019-08-11,95.00
2019-08-12,95.00
2019-08-13,95.00
2019-08-14,95.00
2019-08-15,95.00
2019-08-16,95.00
2019-08-17,85.00
2019-08-18,85.00
2019-08-19,95.00
2019-08-20,95.00
2019-08-21,85.00
2019-08-22,95.00
2019-08-23,95.00
2019-08-24,95.00
2019-08-25,105.00
2019-08-26,105.00
2019-08-27,95.00
2019-08-28,95.00
2019-08-29,105.00
2019-08-30,105.00
2019-08-31,95.00
2019-09-01,95.00
2019-09-02,95.00
2019-09-03,95.00
2019-09-04,95.00
2019-09-05,95.00
2019-09-06,95.00
2019-09-07,95.00
2019-09-08,95.00
2019-09-09,95.00
2019-09-10,95.00
2019-09-11,95.00
2019-09-12,95.00
2019-09-14,95.00
2019-09-15,95.00
2019-09-16,95.00
2019-09-17,95.00
2019-09-18,95.00
2019-09-20,95.00
2019-09-21,95.00
2019-09-22,95.00
2019-09-23,145.00
2019-09-24,145.00
2019-09-25,135.00
2019-09-26,135.00
2019-09-27,125.00
2019-09-28,125.00
2019-09-29,135.00
2019-09-30,125.00
2019-10-01,125.00
2019-10-02,125.00
2019-10-03,85.00
2019-10-04,85.00
2019-10-05,95.00
2019-10-06,95.00
2019-10-07,95.00
2019-10-08,95.00
2019-10-09,95.00
2019-10-10,95.00
2019-10-11,95.00
2019-10-12,135.00
2019-10-15,135.00
2019-10-16,135.00
2019-10-18,135.00
2019-10-19,135.00
2019-10-23,135.00
2019-10-24,135.00
2019-10-25,125.00
2019-10-26,125.00
2019-10-27,135.00
2019-10-28,135.00
2019-10-29,135.00
2019-10-30,135.00
2019-10-31,135.00
2019-11-01,135.00
2019-11-02,135.00
2019-11-03,135.00
2019-11-04,135.00
2019-11-05,135.00
2019-11-06,125.00
2019-11-07,135.00
2019-11-08,115.00
2019-11-09,125.00
2019-11-10,125.00
2019-11-11,125.00
2019-11-12,125.00
2019-11-13,125.00
2019-11-14,125.00
2019-11-15,115.00
2019-11-16,115.00
2019-11-17,105.00
2019-11-18,105.00
2019-11-19,105.00
2019-11-20,105.00
2019-11-21,105.00
2019-11-22,105.00
2019-11-23,105.00
2019-11-24,105.00
2019-11-25,105.00
2019-11-26,105.00
2019-11-27,105.00
2019-11-28,115.00
2019-11-29,115.00
2019-11-30,115.00
2019-12-01,115.00
2019-12-02,115.00
2019-12-03,115.00
2019-12-04,115.00
2019-12-05,115.00
2019-12-06,115.00
2019-12-07,115.00
2019-12-08,115.00
2019-12-09,115.00
2019-12-10,115.00
2019-12-11,115.00
2019-12-12,115.00
2019-12-13,115.00
2019-12-14,115.00
2019-12-15,115.00
2019-12-16,115.00
2019-12-17,115.00
2019-12-18,115.00
2019-12-19,115.00
2019-12-20,115.00
2019-12-21,115.00
2019-12-22,115.00
2019-12-23,145.00
2019-12-24,115.00
2019-12-25,115.00
2019-12-26,115.00
2019-12-27,115.00
2019-12-28,115.00
2019-12-29,115.00
2019-12-30,115.00
2019-12-31,115.00
2020-01-01,115.00
2020-01-02,115.00
2020-01-03,115.00
2020-01-04,115.00
2020-01-05,115.00
2020-01-06,115.00
2020-01-07,115.00
2020-01-08,115.00
2020-01-09,115.00
2020-01-10,115.00
2020-01-11,115.00
2020-01-12,115.00
2020-01-13,115.00
2020-01-14,115.00
2020-01-15,115.00
2020-01-16,115.00
2020-01-17,115.00
2020-01-18,115.00
2020-01-19,115.00
2020-01-20,115.00
2020-01-21,115.00
2020-01-22,115.00
2020-01-23,115.00
2020-01-24,115.00
2020-01-25,115.00
2020-01-26,115.00
2020-01-27,115.00
2020-01-28,115.00
2020-01-29,115.00
2020-01-30,115.00
2020-01-31,115.00
2020-02-01,115.00
2020-02-02,115.00
2020-02-03,115.00
2020-02-04,115.00
2020-02-05,115.00
2020-02-06,115.00
2020-02-07,115.00
2020-02-08,115.00
2020-02-09,115.00
2020-02-10,115.00
2020-02-11,115.00
2020-02-12,115.00
2020-02-13,115.00
2020-02-14,115.00
2020-02-15,115.00
2020-02-16,115.00
2020-02-17,115.00
2020-02-18,115.00
2020-02-19,115.00
2020-02-20,115.00
2020-02-21,115.00
2020-02-22,115.00
2020-02-23,115.00
2020-02-24,115.00
2020-02-25,115.00
2020-02-26,115.00
2020-02-27,115.00
2020-02-28,115.00
2020-02-29,115.00
2020-03-01,125.00
2020-03-02,115.00
2020-03-04,115.00
