date,avg
2013-04-15,43.00
2013-04-16,43.00
2013-04-17,43.00
2013-04-18,45.00
2013-04-21,45.00
2013-04-22,45.00
2013-04-23,38.00
2013-04-25,38.00
2013-04-28,38.00
2013-04-29,38.00
2013-04-30,38.00
2013-05-02,38.00
2013-05-03,38.00
2013-05-05,38.00
2013-05-06,42.00
2013-05-07,43.00
2013-05-08,48.00
2013-05-09,53.00
2013-05-10,48.00
2013-05-12,48.00
2013-05-13,53.00
2013-05-14,53.00
2013-05-15,53.00
2013-05-16,53.00
2013-05-17,53.00
2013-05-19,55.00
2013-05-20,58.00
2013-05-21,58.00
2013-05-22,55.00
2013-05-23,53.00
2013-05-24,53.00
2013-05-26,53.00
2013-05-27,53.00
2013-05-28,49.00
2013-05-30,48.00
2013-05-31,48.00
2013-06-02,48.00
2013-06-03,48.00
2013-06-04,48.00
2013-06-05,58.00
2013-06-06,58.00
2013-06-09,48.00
2013-06-10,58.00
2013-06-11,58.00
2013-06-12,63.00
2013-06-13,63.00
2013-06-14,63.00
2013-06-16,65.00
2013-06-17,65.00
2013-06-18,58.00
2013-06-19,63.00
2013-06-20,55.00
2013-06-21,58.00
2013-06-25,58.00
2013-06-26,55.00
2013-06-27,58.00
2013-06-28,55.00
2013-07-01,58.00
2013-07-02,58.00
2013-07-03,58.00
2013-07-04,55.00
2013-07-05,55.00
2013-07-09,55.00
2013-07-10,55.00
2013-07-11,55.00
2013-07-12,48.00
2013-07-14,48.00
2013-07-15,53.00
2013-07-16,53.00
2013-07-17,65.00
2013-07-18,75.00
2013-07-19,75.00
2013-07-21,68.00
2013-07-22,63.00
2013-07-23,63.00
2013-07-24,63.00
2013-07-26,65.00
2013-07-28,63.00
2013-07-29,63.00
2013-07-30,63.00
2013-07-31,63.00
2013-08-01,63.00
2013-08-02,63.00
2013-08-04,63.00
2013-08-05,63.00
2013-08-06,63.00
2013-08-07,58.00
2013-08-08,58.00
2013-08-13,58.00
2013-08-14,58.00
2013-08-15,58.00
2013-08-16,58.00
2013-08-18,58.00
2013-08-19,58.00
2013-08-20,58.00
2013-08-23,58.00
2013-08-25,58.00
2013-08-26,55.00
2013-08-27,55.00
2013-08-29,58.00
2013-08-30,53.00
2013-09-01,55.00
2013-09-02,55.00
2013-09-03,55.00
2013-09-04,80.00
2013-09-05,95.00
2013-09-06,95.00
2013-09-08,65.00
2013-09-09,65.00
2013-09-10,58.00
2013-09-11,58.00
2013-09-12,58.00
2013-09-13,58.00
2013-09-15,58.00
2013-09-16,58.00
2013-09-17,58.00
2013-09-19,58.00
2013-09-20,58.00
2013-09-22,58.00
2013-09-23,77.00
2013-09-24,62.00
2013-09-25,63.00
2013-09-26,63.00
2013-09-27,58.00
2013-09-29,58.00
2013-09-30,63.00
2013-10-01,58.00
2013-10-02,63.00
2013-10-03,48.00
2013-10-04,55.00
2013-10-06,58.00
2013-10-07,53.00
2013-10-08,53.00
2013-10-09,58.00
2013-10-10,58.00
2013-10-11,58.00
2013-10-12,58.00
2013-10-14,57.00
2013-10-16,55.00
2013-10-17,75.00
2013-10-20,55.00
2013-10-21,55.00
2013-10-22,53.00
2013-10-23,55.00
2013-10-24,55.00
2013-10-25,58.00
2013-10-27,55.00
2013-10-28,55.00
2013-10-29,55.00
2013-10-30,65.00
2013-10-31,65.00
2013-11-01,65.00
2013-11-03,65.00
2013-11-04,67.00
2013-11-05,65.00
