date,avg
2013-04-16,143.00
2013-04-17,143.00
2013-04-22,125.00
2013-04-23,125.00
2013-04-25,125.00
2013-04-26,125.00
2013-05-14,127.00
2013-05-16,125.00
2013-05-17,125.00
2013-05-19,125.00
2013-05-21,125.00
2013-05-22,125.00
2013-05-23,125.00
2013-05-30,135.00
2013-05-31,135.00
2014-03-31,145.00
2014-04-01,145.00
2014-04-03,145.00
2014-04-06,145.00
2014-04-15,58.00
2014-07-15,29.00
2014-07-17,29.00
2014-07-18,29.00
2014-07-19,29.00
2014-07-20,29.00
2014-07-22,28.00
2014-07-23,28.00
2014-07-24,28.00
2014-07-25,28.00
2014-07-26,28.00
2014-07-27,27.00
2014-07-28,28.00
2014-07-29,28.00
2014-07-30,28.00
2014-07-31,28.00
2014-08-01,28.00
2014-08-02,34.00
2014-08-03,35.00
2014-08-04,33.00
2014-08-05,32.00
2014-08-06,35.00
2014-08-07,37.00
2014-08-08,37.00
2014-08-09,35.00
2014-08-10,36.00
2014-08-11,35.00
2014-08-12,35.00
2014-08-13,33.00
2014-08-14,33.00
2014-08-15,35.00
2014-08-16,35.00
2014-08-17,35.00
2014-08-18,37.00
2014-08-19,37.00
2014-08-20,37.00
2014-08-21,47.00
2014-08-22,45.00
2014-08-23,45.00
2014-08-24,45.00
2014-08-25,47.00
2014-08-26,28.00
2014-08-27,28.00
2014-08-28,28.00
2014-08-29,37.00
2014-08-31,28.00
2014-09-01,28.00
2014-09-02,35.00
2014-09-03,37.00
2014-09-04,45.00
2014-09-05,37.00
2014-09-06,37.00
2014-09-07,37.00
2014-09-08,37.00
2014-09-09,45.00
2014-09-10,45.00
2014-09-11,45.00
2014-09-12,35.00
2014-09-13,35.00
2014-09-14,35.00
2014-09-15,37.00
2014-09-16,37.00
2014-09-17,37.00
2014-09-18,35.00
2014-09-19,35.00
2014-09-20,43.00
2014-09-21,43.00
2014-09-22,45.00
2014-09-23,37.00
2014-09-24,45.00
2014-09-26,38.00
2014-09-28,37.00
2014-09-29,35.00
2014-09-30,35.00
2014-10-09,125.00
2014-10-10,125.00
2014-10-12,115.00
2014-10-13,145.00
2014-10-14,145.00
2014-10-16,160.00
2014-10-21,55.00
2014-10-22,53.00
2014-10-23,53.00
2014-10-24,50.00
2014-10-25,53.00
2014-10-26,55.00
2014-10-27,190.00
2014-10-29,185.00
2014-10-30,185.00
2014-10-31,185.00
2014-11-01,185.00
2014-11-02,185.00
2014-11-03,185.00
2014-11-04,185.00
2014-11-05,185.00
2014-11-06,185.00
2014-11-07,185.00
2014-11-08,185.00
2014-11-09,185.00
2014-11-10,185.00
2014-11-11,185.00
2014-11-12,185.00
2014-11-13,185.00
2014-11-14,185.00
2014-11-15,185.00
2014-11-16,185.00
2014-11-17,185.00
2014-11-18,185.00
2014-11-19,185.00
2014-11-20,185.00
2014-11-21,185.00
2014-11-22,185.00
2014-11-23,185.00
2014-11-24,185.00
2014-11-25,195.00
2014-11-26,185.00
2014-11-27,195.00
2014-11-28,190.00
2014-11-29,195.00
2014-11-30,195.00
2014-12-01,195.00
2014-12-02,195.00
2014-12-03,195.00
2014-12-04,195.00
2014-12-05,195.00
2014-12-06,195.00
2014-12-07,195.00
2014-12-08,185.00
2014-12-09,210.00
2014-12-10,205.00
2014-12-11,195.00
2014-12-12,185.00
2014-12-13,195.00
2014-12-14,195.00
2014-12-15,195.00
2014-12-16,195.00
2014-12-17,195.00
2014-12-18,195.00
2014-12-19,195.00
2014-12-21,195.00
2014-12-22,195.00
2014-12-23,195.00
2014-12-24,195.00
2014-12-25,195.00
2014-12-26,195.00
2014-12-27,195.00
2014-12-29,225.00
2014-12-30,195.00
2014-12-31,195.00
2015-01-01,195.00
2015-01-02,195.00
2015-01-03,195.00
2015-01-04,197.00
2015-01-05,195.00
2015-01-06,210.00
2015-01-07,200.00
2015-01-08,205.00
2015-01-09,210.00
2015-01-11,205.00
2015-01-12,210.00
2015-01-13,210.00
2015-01-14,210.00
2015-01-16,210.00
2015-01-17,210.00
2015-01-18,210.00
2015-01-19,210.00
2015-01-22,225.00
2015-01-23,225.00
2015-02-11,195.00
2015-02-12,195.00
2015-02-13,195.00
2015-02-14,195.00
2015-02-15,195.00
2015-02-16,195.00
2015-02-18,205.00
2015-02-19,205.00
2015-02-20,210.00
2015-02-22,195.00
2015-02-23,195.00
2015-02-24,205.00
2015-02-25,205.00
2015-02-27,205.00
2015-03-16,195.00
2015-03-17,195.00
2015-03-18,210.00
2015-03-19,210.00
2015-03-20,210.00
2015-07-04,60.00
2015-07-15,31.00
2015-07-16,23.00
2015-07-17,21.00
2015-07-18,23.00
2015-07-19,19.00
2015-07-20,19.00
2015-07-21,23.00
2015-07-22,19.00
2015-07-23,18.00
2015-07-24,18.00
2015-07-25,18.00
2015-07-26,23.00
2015-07-27,23.00
2015-07-28,23.00
2015-07-29,28.00
2015-07-30,23.00
2015-07-31,23.00
2015-08-01,21.00
2015-08-02,23.00
2015-08-03,28.00
2015-08-04,28.00
2015-08-05,28.00
2015-08-06,31.00
2015-08-07,33.00
2015-08-08,22.00
2015-08-09,28.00
2015-08-10,31.00
2015-08-11,31.00
2015-08-12,23.00
2015-08-13,23.00
2015-08-14,23.00
2015-08-15,25.00
2015-08-16,23.00
2015-08-17,21.00
2015-08-18,21.00
2015-08-19,21.00
2015-08-20,23.00
2015-08-21,28.00
2015-08-22,28.00
2015-08-23,33.00
2015-08-24,28.00
2015-08-25,33.00
2015-08-26,33.00
2015-08-27,33.00
2015-08-28,32.00
2015-08-29,33.00
2015-08-30,28.00
2015-08-31,33.00
2015-09-01,33.00
2015-09-02,28.00
2015-09-03,28.00
2015-09-04,28.00
2015-09-05,28.00
2015-09-06,28.00
2015-09-07,28.00
2015-09-08,28.00
2015-09-09,28.00
2015-09-10,28.00
2015-09-11,28.00
2015-09-12,28.00
2015-09-13,28.00
2015-09-14,28.00
2015-09-15,31.00
2015-09-16,28.00
2015-09-17,28.00
2015-09-18,23.00
2015-09-19,28.00
2015-09-20,23.00
2015-09-21,28.00
2015-09-22,33.00
2015-09-23,31.00
2015-09-24,31.00
2015-09-25,38.00
2015-09-26,38.00
2015-09-27,38.00
2015-09-28,43.00
2015-09-29,43.00
2015-09-30,43.00
2015-10-01,43.00
2015-10-02,41.00
2015-10-03,43.00
2015-10-04,43.00
2015-10-05,43.00
2015-10-06,43.00
2015-10-07,43.00
2015-10-08,53.00
