date,avg
2013-04-15,43.00
2013-04-16,39.00
2013-04-17,40.00
2013-04-18,38.00
2013-04-21,38.00
2013-04-22,38.00
2013-04-23,43.00
2013-04-25,48.00
2013-04-26,48.00
2013-04-28,39.00
2013-04-29,39.00
2013-04-30,48.00
2013-05-02,43.00
2013-05-03,39.00
2013-05-05,39.00
2013-05-06,39.00
2013-05-07,42.00
2013-05-08,39.00
2013-05-09,38.00
2013-05-10,32.00
2013-05-12,33.00
2013-05-13,33.00
2013-05-14,39.00
2013-05-15,33.00
2013-05-16,30.00
2013-05-17,39.00
2013-05-19,39.00
2013-05-20,39.00
2013-05-21,38.00
2013-05-22,32.00
2013-05-23,33.00
2013-05-24,38.00
2013-05-26,38.00
2013-05-27,39.00
2013-05-28,38.00
2013-05-30,35.00
2013-05-31,38.00
2013-06-02,38.00
2013-06-03,38.00
2013-06-04,38.00
2013-06-05,38.00
2013-06-06,38.00
2013-06-09,39.00
2013-06-10,39.00
2013-06-11,29.00
2013-06-12,30.00
2013-06-13,38.00
2013-06-14,38.00
2013-06-16,33.00
2013-06-17,33.00
2013-06-18,33.00
2013-06-19,33.00
2013-06-20,33.00
2013-06-21,33.00
2013-06-25,38.00
2013-06-26,38.00
2013-06-27,38.00
2013-06-28,38.00
2013-06-30,33.00
2013-07-01,33.00
2013-07-02,30.00
2013-07-03,30.00
2013-07-04,33.00
2013-07-05,43.00
2013-07-09,43.00
2013-07-10,48.00
2013-07-11,58.00
2013-07-12,38.00
2013-07-14,40.00
2013-07-15,43.00
2013-07-16,43.00
2013-07-17,43.00
2013-07-18,43.00
2013-07-19,43.00
2013-07-21,38.00
2013-07-22,38.00
2013-07-23,33.00
2013-07-24,38.00
2013-07-25,33.00
2013-07-26,33.00
2013-07-28,33.00
2013-07-29,33.00
2013-07-30,33.00
2013-07-31,30.00
2013-08-01,30.00
2013-08-02,33.00
2013-08-04,39.00
2013-08-05,38.00
2013-08-06,41.00
2013-08-07,43.00
2013-08-08,43.00
2013-08-12,25.00
2013-08-13,43.00
2013-08-14,42.00
2013-08-15,43.00
2013-08-16,43.00
2013-08-18,42.00
2013-08-19,43.00
2013-08-20,41.00
2013-08-23,42.00
2013-08-25,41.00
2013-08-26,41.00
2013-08-27,39.00
2013-08-29,39.00
2013-08-30,38.00
2013-09-01,33.00
2013-09-02,38.00
2013-09-03,43.00
2013-09-04,33.00
2013-09-05,38.00
2013-09-06,43.00
2013-09-08,47.00
2013-09-09,47.00
2013-09-10,53.00
2013-09-11,53.00
2013-09-12,53.00
2013-09-13,53.00
2013-09-15,53.00
2013-09-16,49.00
2013-09-17,51.00
2013-09-19,53.00
2013-09-20,48.00
2013-09-22,48.00
2013-09-23,43.00
2013-09-24,43.00
2013-09-25,43.00
2013-09-26,43.00
2013-09-27,43.00
2013-09-29,38.00
2013-09-30,41.00
2013-10-01,41.00
2013-10-02,33.00
2013-10-03,34.00
2013-10-04,40.00
2013-10-06,43.00
2013-10-07,39.00
2013-10-08,43.00
2013-10-09,38.00
2013-10-10,43.00
2013-10-11,43.00
2013-10-12,43.00
2013-10-13,43.00
2013-10-14,48.00
2013-10-15,48.00
2013-10-16,64.00
2013-10-17,63.00
2013-10-20,48.00
2013-10-21,48.00
2013-10-22,58.00
2013-10-23,58.00
2013-10-24,62.00
2013-10-25,65.00
2013-10-27,63.00
2013-10-28,63.00
2013-10-29,58.00
2013-10-30,58.00
2013-10-31,59.00
2013-11-01,65.00
2013-11-03,58.00
2013-11-04,65.00
2013-11-05,65.00
2013-11-06,95.00
2013-11-07,95.00
2013-11-10,75.00
2013-11-11,54.00
2013-11-12,49.00
2013-11-13,65.00
2013-11-14,78.00
2013-11-16,65.00
2013-11-17,70.00
2013-11-18,58.00
2013-11-20,63.00
2013-11-21,78.00
2013-11-22,78.00
2013-11-24,75.00
2013-11-25,75.00
2013-11-26,58.00
2013-11-27,75.00
2013-11-28,58.00
2013-11-29,75.00
2013-12-01,75.00
2013-12-02,65.00
2013-12-03,65.00
2013-12-04,73.00
2013-12-05,65.00
2013-12-06,77.00
2013-12-18,155.00
2013-12-19,135.00
2013-12-20,105.00
2013-12-23,195.00
2013-12-24,145.00
2013-12-31,125.00
2014-01-01,185.00
2014-01-02,190.00
2014-01-23,290.00
2014-01-24,290.00
2014-02-12,290.00
2014-02-13,290.00
2014-02-14,290.00
2014-02-16,190.00
2014-02-18,235.00
2014-02-23,195.00
2014-02-24,190.00
2014-02-25,275.00
2014-02-26,245.00
2014-02-28,195.00
2014-03-03,155.00
2014-03-05,135.00
2014-03-06,155.00
2014-03-07,150.00
2014-03-09,145.00
2014-03-10,185.00
2014-03-11,185.00
2014-03-12,155.00
2014-03-13,117.00
2014-03-14,117.00
2014-03-17,97.00
2014-03-18,67.00
2014-03-19,63.00
2014-03-20,67.00
2014-03-21,77.00
2014-03-23,77.00
2014-03-24,76.00
2014-03-25,77.00
2014-03-26,75.00
2014-03-27,78.00
2014-03-28,77.00
2014-03-31,62.00
2014-04-01,63.00
2014-04-02,63.00
2014-04-03,68.00
2014-04-04,77.00
2014-04-06,68.00
2014-04-07,64.00
2014-04-09,67.00
2014-04-10,73.00
2014-04-11,53.00
2014-04-13,53.00
2014-04-15,57.00
2014-04-16,53.00
2014-04-17,53.00
2014-04-18,58.00
2014-04-20,58.00
2014-04-21,57.00
2014-04-22,52.00
2014-04-23,48.00
2014-04-25,48.00
2014-04-27,48.00
2014-04-28,58.00
