date,avg
2019-12-27,78.00
2019-12-28,78.00
2019-12-29,78.00
2019-12-30,78.00
2019-12-31,78.00
2020-01-01,78.00
2020-01-02,98.00
2020-01-03,98.00
2020-03-18,105.00
2020-03-20,98.00
2020-03-22,115.00
2020-03-23,125.00
2020-03-25,115.00
2020-03-26,115.00
2020-03-27,115.00
2020-03-28,115.00
2020-03-29,105.00
2020-03-30,115.00
2020-03-31,115.00
2020-04-01,115.00
2020-04-02,115.00
2020-04-03,105.00
2020-04-04,98.00
2020-04-05,98.00
2020-04-06,98.00
2020-04-07,98.00
2020-04-08,98.00
2020-04-13,105.00
2020-04-14,98.00
2020-04-15,78.00
2020-04-16,78.00
2020-04-20,67.00
2020-04-21,72.00
2020-04-22,55.00
2020-04-28,55.00
2020-05-09,58.00
2020-05-12,38.00
2020-05-13,38.00
2020-08-27,95.00
2020-08-28,95.00
2020-10-20,73.00
2020-10-21,73.00
2020-10-22,73.00
2020-10-23,73.00
2020-11-05,83.00
2020-11-06,85.00
2020-11-07,85.00
2020-11-08,78.00
2020-11-09,77.00
2020-11-10,77.00
2020-11-11,85.00
2020-11-12,95.00
2020-11-13,95.00
2020-11-14,95.00
2020-11-15,97.00
2020-11-19,95.00
2020-11-20,97.00
2020-11-21,95.00
2020-11-22,95.00
2020-11-23,95.00
2020-11-24,75.00
2020-11-25,75.00
2020-11-26,75.00
2020-11-27,75.00
2020-11-28,75.00
2020-11-29,75.00
2020-11-30,75.00
2020-12-01,75.00
2020-12-02,77.00
2020-12-03,77.00
2020-12-04,75.00
2020-12-05,75.00
2020-12-06,75.00
2020-12-07,75.00
2020-12-08,65.00
2020-12-09,77.00
2020-12-10,77.00
2020-12-11,75.00
2020-12-12,77.00
2020-12-13,75.00
2020-12-14,85.00
2020-12-15,75.00
2020-12-16,75.00
2020-12-17,75.00
2020-12-18,75.00
2020-12-19,67.00
2020-12-20,75.00
2020-12-21,75.00
2020-12-22,75.00
2020-12-23,75.00
2020-12-24,75.00
2020-12-25,105.00
2020-12-26,95.00
2020-12-28,95.00
2020-12-29,95.00
2020-12-30,95.00
2021-01-09,155.00
2021-01-14,175.00
2021-01-25,185.00
2021-02-09,235.00
2021-02-11,205.00
2021-02-12,190.00
2021-02-13,170.00
2021-02-14,155.00
2021-02-15,170.00
2021-02-16,165.00
2021-02-17,165.00
2021-02-26,235.00
2021-02-27,170.00
2021-03-02,155.00
2021-03-03,155.00
2021-03-05,175.00
2021-03-06,155.00
2021-03-08,170.00
2021-03-09,145.00
2021-03-10,155.00
2021-03-11,150.00
2021-03-12,155.00
2021-03-13,155.00
2021-03-17,110.00
2021-03-19,96.67
2021-03-22,95.00
2021-03-24,95.00
2021-03-25,95.00
2021-03-26,95.00
2021-03-27,95.00
2021-04-01,75.00
2021-04-02,75.00
2021-04-03,86.67
2021-04-05,76.67
2021-04-06,66.67
2021-04-07,70.00
2021-04-08,65.00
2021-04-09,75.00
2021-04-10,65.00
2021-04-11,66.67
2021-04-12,75.00
2021-04-13,65.00
2021-04-14,76.67
2021-04-15,66.67
2021-04-16,75.00
2021-04-17,75.00
2021-04-18,85.00
2021-04-19,86.67
2021-04-20,85.00
2021-04-21,76.67
2021-04-22,76.67
2021-04-23,85.00
2021-04-24,85.00
2021-04-25,75.00
2021-04-26,86.67
2021-04-27,75.00
2021-04-28,86.67
2021-04-29,75.00
2021-04-30,76.67
2021-05-01,75.00
2021-05-02,47.67
2021-05-03,45.00
2021-05-04,45.00
2021-05-05,37.67
2021-05-06,37.67
2021-05-07,37.67
2021-05-08,35.00
2021-05-09,35.00
2021-05-10,37.50
2021-05-11,45.00
2021-05-12,45.00
2021-05-13,45.00
2021-05-14,47.67
2021-05-15,45.00
2021-05-16,45.00
2021-05-17,45.00
2021-05-19,55.00
2021-05-20,55.00
2021-05-21,55.00
2021-05-22,55.00
2021-05-23,55.00
2021-05-24,55.00
2021-05-25,55.00
2021-05-26,55.00
2021-05-27,57.67
2021-05-28,55.00
2021-05-29,55.00
2021-05-30,85.00
2021-05-31,75.00
2021-06-01,55.00
2021-06-02,65.00
2021-06-03,65.00
2021-06-04,95.00
2021-06-05,75.00
2021-06-06,75.00
2021-06-07,85.00
2021-06-08,85.00
2021-06-09,95.00
2021-06-10,85.00
2021-06-11,75.00
2021-06-12,75.00
2021-06-13,46.67
2021-06-14,42.50
2021-06-15,45.00
2021-06-16,45.00
2021-06-17,45.00
2021-06-18,55.00
2021-06-19,55.00
2021-06-20,55.00
2021-06-21,55.00
2021-06-22,55.00
2021-06-23,56.67
2021-06-24,55.00
2021-06-25,55.00
2021-06-26,56.67
2021-06-27,65.00
2021-06-28,55.00
2021-06-29,66.67
2021-06-30,56.67
2021-07-01,47.50
2021-07-02,37.50
2021-07-03,46.67
2021-07-04,55.00
2021-07-05,55.00
2021-07-06,65.00
2021-07-07,66.67
2021-07-08,66.67
2021-07-09,65.00
2021-07-10,65.00
2021-07-11,75.00
2021-07-12,75.00
2021-07-13,65.00
2021-07-14,65.00
2021-07-15,75.00
2021-07-16,65.00
2021-07-17,66.67
2021-07-18,55.00
2021-07-19,56.67
2021-07-20,55.00
2021-07-21,45.00
2021-07-22,45.00
2021-07-23,45.00
2021-07-24,45.00
2021-07-25,47.67
2021-07-26,46.67
2021-07-27,55.00
2021-07-28,55.00
2021-07-29,45.00
2021-07-30,45.00
2021-07-31,45.00
2021-08-01,55.00
2021-08-02,55.00
2021-08-03,65.00
2021-08-04,65.00
2021-08-05,63.33
2021-08-06,55.33
2021-08-07,66.67
2021-08-08,65.00
2021-08-09,56.67
2021-08-10,56.00
2021-08-11,54.25
2021-08-12,54.00
2021-08-13,55.00
2021-08-14,56.67
2021-08-15,55.00
2021-08-16,55.00
2021-08-17,65.00
2021-08-18,66.67
2021-08-19,65.00
2021-08-20,75.00
2021-08-21,76.67
2021-08-22,96.67
2021-08-23,75.00
2021-08-24,76.67
2021-08-25,76.67
2021-08-26,56.67
2021-08-27,75.00
2021-08-30,66.67
2021-08-31,76.67
2021-09-01,86.67
2021-09-02,90.00
2021-09-03,86.67
2021-09-04,66.67
2021-09-05,65.00
2021-09-06,76.67
2021-09-07,86.67
2021-09-08,66.67
2021-09-09,76.67
2021-09-10,75.00
2021-09-11,95.00
2021-09-12,95.00
2021-09-13,65.00
2021-09-14,76.67
2021-09-15,76.67
2021-09-16,76.67
2021-09-17,86.67
2021-09-18,76.67
2021-09-19,76.67
2021-09-20,76.67
2021-09-21,76.67
2021-09-22,75.00
2021-09-23,96.67
2021-09-24,86.67
2021-09-25,86.67
2021-09-26,85.00
2021-09-27,96.67
2021-09-28,96.67
2021-09-29,95.00
2021-09-30,96.67
2021-10-01,86.67
2021-10-02,96.67
2021-10-03,85.00
2021-10-04,66.67
2021-10-05,56.67
2021-10-06,56.67
