date,avg
2019-05-31,25.00
2019-06-01,25.00
2019-06-03,27.00
2019-06-04,27.00
2019-06-05,27.00
2019-06-06,27.00
2019-06-07,29.00
2019-06-08,29.00
2019-06-21,28.00
2019-07-03,24.00
2019-07-04,25.00
2019-07-05,24.00
2019-07-06,24.00
2019-07-07,24.00
2019-07-08,24.00
2019-07-09,24.00
2019-07-10,24.00
2019-07-11,24.00
2019-07-12,24.00
2019-07-13,24.00
2019-07-14,24.00
2019-07-15,24.00
2019-07-16,24.00
2019-07-17,24.00
2019-07-18,29.00
2019-07-19,31.00
2019-07-20,30.00
2019-07-21,29.00
2019-07-22,29.00
2019-07-23,28.00
2019-07-24,29.00
2019-07-25,29.00
2019-07-26,29.00
2019-07-27,26.00
2019-07-28,24.00
2019-07-29,24.00
2019-07-30,24.00
2019-07-31,24.00
2019-08-01,24.00
2019-08-02,24.00
2019-08-03,24.00
2019-08-04,26.00
2019-08-05,26.00
2019-08-06,28.00
2019-08-07,26.00
2019-08-08,27.00
2019-08-09,26.00
2019-08-10,26.00
2019-08-11,26.00
2019-08-12,27.00
2019-08-13,29.00
2019-08-14,26.00
2019-08-15,27.00
2019-08-16,28.00
2019-08-17,27.00
2019-08-18,28.00
2019-08-19,27.00
2019-08-20,26.00
2019-08-21,27.00
2019-08-22,27.00
2019-08-23,27.00
2019-08-24,26.00
2019-08-25,26.00
2019-08-26,26.00
2019-08-27,26.00
2019-08-28,28.00
2019-08-29,26.00
2019-08-30,26.00
2019-08-31,27.00
2019-09-01,26.00
2019-09-02,26.00
2019-09-03,26.00
2019-09-04,26.00
2019-09-05,26.00
2019-09-06,26.00
2019-09-07,26.00
2019-09-08,26.00
2019-09-09,26.00
2019-09-10,26.00
2019-09-11,26.00
2019-09-12,26.00
2019-09-13,26.00
2019-09-14,26.00
2019-09-15,27.00
2019-09-16,32.00
2019-09-17,33.00
2019-09-18,33.00
2019-09-19,29.00
2019-09-20,27.00
2019-09-21,28.00
2019-09-22,28.00
2019-09-23,28.00
2019-09-24,28.00
2019-09-25,28.00
2019-09-26,29.00
2019-09-27,29.00
2019-09-28,28.00
2019-09-29,29.00
2019-09-30,29.00
2019-10-01,29.00
2019-10-02,31.00
2019-10-03,33.00
2019-10-04,33.00
2019-10-05,34.00
2019-10-06,34.00
2019-10-07,34.00
2019-10-08,34.00
2019-10-09,34.00
2019-10-10,34.00
2019-10-11,34.00
2019-10-12,34.00
2019-10-13,34.00
2019-10-14,34.00
2019-10-15,36.00
2019-10-16,34.00
2019-10-17,34.00
2019-10-18,34.00
2019-10-19,34.00
2019-10-20,34.00
2019-10-21,34.00
2019-10-22,34.00
2019-10-23,34.00
2019-10-24,34.00
2019-10-25,36.00
2019-10-26,35.00
2019-10-27,35.00
2019-10-28,35.00
2019-10-29,35.00
2019-10-30,34.00
2019-10-31,34.00
2019-11-01,34.00
2019-11-02,34.00
2019-11-03,34.00
2019-11-04,36.00
2019-11-05,37.00
2019-11-06,35.00
2019-11-07,35.00
2019-11-08,35.00
2019-11-09,35.00
2019-11-10,34.00
2019-11-11,34.00
2019-11-12,34.00
2019-11-13,34.00
2019-11-14,34.00
2019-11-15,34.00
2019-11-16,34.00
2019-11-17,34.00
2019-11-18,34.00
2019-11-19,34.00
2019-11-20,34.00
2019-11-21,34.00
2019-11-22,33.00
2019-11-23,33.00
2019-11-24,31.00
2019-11-25,31.00
2019-11-26,36.00
2019-11-27,36.00
2019-11-28,36.00
2019-11-29,34.00
2019-11-30,35.00
2019-12-01,36.00
2019-12-02,36.00
2019-12-03,37.00
2019-12-04,36.00
2019-12-05,40.00
2019-12-06,42.00
2019-12-07,41.00
2019-12-08,44.00
2019-12-09,44.00
2019-12-10,39.00
2019-12-11,44.00
2019-12-16,51.00
2019-12-17,52.00
2019-12-18,52.00
2019-12-19,53.00
2019-12-20,51.00
2019-12-21,52.00
2019-12-22,51.00
2019-12-23,52.00
2019-12-24,51.00
2019-12-25,51.00
2019-12-26,51.00
2019-12-27,51.00
2019-12-28,44.00
2019-12-29,42.00
2019-12-30,42.00
2019-12-31,42.00
2020-01-01,41.00
2020-01-02,42.00
2020-01-03,42.00
2020-01-04,42.00
2020-01-05,42.00
2020-01-06,42.00
2020-01-07,43.00
2020-01-08,41.00
2020-01-09,39.00
2020-01-10,39.00
2020-01-11,39.00
2020-01-12,39.00
2020-01-13,39.00
2020-01-14,39.00
2020-01-15,41.00
2020-01-16,39.00
2020-01-17,39.00
2020-01-18,39.00
2020-01-19,39.00
2020-01-20,39.00
2020-01-21,39.00
2020-01-22,39.00
2020-01-23,41.00
2020-01-24,38.00
2020-01-25,39.00
