date,avg
2019-06-23,32.00
2019-06-24,34.00
2019-06-25,34.00
2019-06-26,32.00
2019-06-27,32.00
2019-06-28,32.00
2019-06-29,32.00
2019-06-30,32.00
2019-07-01,32.00
2019-07-02,32.00
2019-07-03,31.00
2019-07-04,32.00
2019-07-05,32.00
2019-07-06,33.00
2019-07-07,31.00
2019-07-08,31.00
2019-07-09,32.00
2019-07-10,31.00
2019-07-11,31.00
2019-07-12,31.00
2019-07-13,32.00
2019-07-14,33.00
2019-07-15,33.00
2019-07-16,37.00
2019-07-17,39.00
2019-07-18,39.00
2019-07-19,38.00
2019-07-20,39.00
2019-07-21,39.00
2019-07-22,39.00
2019-07-23,38.00
2019-07-24,38.00
2019-07-25,39.00
2019-07-26,39.00
2019-07-27,38.00
2019-07-28,39.00
2019-07-29,39.00
2019-07-30,39.00
2019-07-31,39.00
2019-08-01,39.00
2019-08-02,37.00
2019-08-03,37.00
2019-08-04,37.00
2019-08-05,36.00
2019-08-06,36.00
2019-08-07,36.00
2019-08-08,37.00
2019-08-09,35.00
2019-08-10,36.00
2019-08-11,36.00
2019-08-12,37.00
2019-08-13,39.00
2019-08-14,39.00
2019-08-15,41.00
2019-08-16,41.00
2019-08-17,41.00
2019-08-18,41.00
2019-08-19,41.00
2019-08-20,41.00
2019-08-21,41.00
2019-08-22,41.00
2019-08-23,41.00
2019-08-24,41.00
2019-08-25,41.00
2019-08-26,41.00
2019-08-27,41.00
2019-08-28,41.00
2019-08-29,41.00
2019-08-30,42.00
2019-08-31,42.00
2019-09-01,42.00
2019-09-02,42.00
2019-09-03,41.00
2019-09-04,41.00
2019-09-05,41.00
2019-09-06,41.00
2019-09-07,41.00
2019-09-08,42.00
2019-09-09,42.00
2019-09-10,43.00
2019-09-11,43.00
2019-09-12,44.00
2019-09-13,43.00
2019-09-14,44.00
2019-09-15,47.00
2019-09-16,46.00
2019-09-17,49.00
2019-09-18,49.00
2019-09-19,54.00
2019-09-20,54.00
2019-09-21,54.00
2019-09-22,54.00
2019-09-23,54.00
2019-09-24,54.00
2019-09-25,54.00
2019-09-26,54.00
2019-09-27,54.00
2019-09-28,54.00
2019-09-29,52.00
2019-09-30,54.00
2019-10-01,54.00
2019-10-02,54.00
2019-10-03,54.00
2019-10-04,54.00
2019-10-05,54.00
2019-10-06,54.00
2019-10-07,54.00
2019-10-08,54.00
2019-10-09,54.00
2019-10-10,54.00
2019-10-11,54.00
2019-10-12,54.00
2019-10-13,54.00
2019-10-14,54.00
2019-10-15,51.00
2019-10-16,52.00
2019-10-17,52.00
2019-10-18,52.00
2019-10-19,49.00
2019-10-20,49.00
2019-10-21,51.00
2019-10-24,53.00
2019-10-25,51.00
2019-10-26,52.00
2019-10-27,51.00
2019-10-28,53.00
2020-06-06,34.00
2020-06-08,34.00
2020-06-09,34.00
2020-06-10,34.00
2020-06-11,35.00
2020-06-12,34.00
2020-06-13,33.00
2020-06-14,34.00
2020-06-15,34.00
2020-06-16,34.00
2020-06-17,34.00
2020-06-18,34.00
2020-06-19,34.00
2020-06-21,33.00
2020-06-22,33.00
2020-06-23,33.00
2020-06-24,35.00
2020-06-25,34.00
2020-06-26,33.00
2020-06-27,36.00
2020-06-28,34.00
2020-06-29,33.00
2020-06-30,33.00
2020-07-01,33.00
2020-07-02,35.00
2020-07-03,43.00
2020-07-04,46.00
2020-07-05,39.00
2020-07-06,39.00
2020-07-07,43.00
2020-07-08,40.00
2020-07-09,40.00
2020-07-10,40.00
2020-07-11,40.00
2020-07-13,40.00
2020-07-14,40.00
2020-07-15,41.00
2020-07-16,44.00
2020-07-17,45.00
2020-07-18,44.00
2020-07-19,49.00
2020-07-20,48.00
2020-07-21,49.00
2020-07-22,50.00
2020-07-23,59.00
2020-07-24,59.00
2020-07-25,59.00
2020-07-26,59.00
2020-07-27,60.00
2020-07-28,56.00
2020-07-29,58.00
2020-07-30,59.00
2020-07-31,54.00
2020-08-01,56.00
2020-08-02,54.00
2020-08-03,55.00
2020-08-04,55.00
2020-08-05,55.00
2020-08-06,54.00
2020-08-07,54.00
2020-08-08,54.00
2020-08-09,55.00
2020-08-10,55.00
2020-08-11,56.00
2020-08-12,56.00
2020-08-13,55.00
2020-08-14,57.00
2020-08-15,56.00
2020-08-16,56.00
2020-08-17,57.00
2020-08-18,57.00
2020-08-19,59.00
2020-08-20,59.00
2020-08-21,59.00
2020-08-22,59.00
2020-08-23,61.00
2020-08-24,61.00
2020-08-25,64.00
2020-08-26,63.00
2020-08-27,63.00
2020-08-28,63.00
2020-08-29,56.00
2020-08-30,61.00
2020-08-31,63.00
